exercise,question,answer,konnektor,german,english,french,case_english,case_french,explanation_english,explanation_french,explanation_synonym_english,explanation_synonym_french
12,"_____ ist es wichtig, die Regeln zu verstehen, bevor man spielt.",Erstens,Erstens,"Erstens ist es wichtig, die Regeln zu verstehen, bevor man spielt.","Firstly, it’s important to understand the rules before playing.","Premièrement, il est important de comprendre les règles avant de jouer.",,,erstens = firstly ● Adverb,erstens = premièrement ● Adverbe,,
12,"_____ haben wir das Problem erkannt, und jetzt suchen wir eine Lösung.",Erstens,Erstens,"Erstens haben wir das Problem erkannt, und jetzt suchen wir eine Lösung.","Firstly, we have identified the problem, and now we’re looking for a solution.","Premièrement, nous avons identifié le problème, et maintenant nous cherchons une solution.",,,erstens = firstly ● Adverb,erstens = premièrement ● Adverbe,,
12,"_____ möchte ich betonen, dass wir alle Verantwortung tragen.",Zweitens,Zweitens,"Zweitens möchte ich betonen, dass wir alle Verantwortung tragen.","Secondly, I’d like to emphasize that we all share responsibility.","Deuxièmement, je voudrais souligner que nous partageons tous la responsabilité.",,,zweitens = secondly ● Adverb,zweitens = deuxièmement ● Adverbe,,
12,"_____ war das Hotel teurer, als wir erwartet hatten.",Zweitens,Zweitens,"Zweitens war das Hotel teurer, als wir erwartet hatten.","Secondly, the hotel was more expensive than we had expected.","Deuxièmement, l’hôtel était plus cher que ce que nous avions prévu.",,,zweitens = secondly ● Adverb,zweitens = deuxièmement ● Adverbe,,
12,"_____ sollten wir prüfen, ob die Daten wirklich korrekt sind.",Zweitens,Zweitens,"Zweitens sollten wir prüfen, ob die Daten wirklich korrekt sind.","Secondly, we should check whether the data is really correct.","Deuxièmement, nous devrions vérifier si les données sont vraiment correctes.",,,zweitens = secondly ● Adverb,zweitens = deuxièmement ● Adverbe,,
12,"_____ habe ich keine Zeit, mich um dieses Projekt zu kümmern.",Zweitens,Zweitens,"Zweitens habe ich keine Zeit, mich um dieses Projekt zu kümmern.","Secondly, I don’t have time to take care of this project.","Deuxièmement, je n’ai pas le temps de m’occuper de ce projet.",,,zweitens = secondly ● Adverb,zweitens = deuxièmement ● Adverbe,,
12,"_____ müssen wir überlegen, wie wir die Kosten reduzieren können.",Zweitens,Zweitens,"Zweitens müssen wir überlegen, wie wir die Kosten reduzieren können.","Secondly, we need to consider how we can reduce the costs.","Deuxièmement, nous devons réfléchir à la façon de réduire les coûts.",,,zweitens = secondly ● Adverb,zweitens = deuxièmement ● Adverbe,,
12,"_____ möchte ich hinzufügen, dass wir schon große Fortschritte gemacht haben.",Drittens,Drittens,"Drittens möchte ich hinzufügen, dass wir schon große Fortschritte gemacht haben.","Thirdly, I’d like to add that we’ve already made great progress.","Troisièmement, je voudrais ajouter que nous avons déjà fait de grands progrès.",,,drittens = thirdly ● Adverb,drittens = troisièmement ● Adverbe,,
12,_____ war die Kommunikation im Team nicht immer einfach.,Drittens,Drittens,Drittens war die Kommunikation im Team nicht immer einfach.,"Thirdly, communication in the team wasn’t always easy.","Troisièmement, la communication dans l’équipe n’était pas toujours facile.",,,drittens = thirdly ● Adverb,drittens = troisièmement ● Adverbe,,
12,"_____ müssen wir entscheiden, wann das Projekt beginnt.",Drittens,Drittens,"Drittens müssen wir entscheiden, wann das Projekt beginnt.","Thirdly, we need to decide when the project will start.","Troisièmement, nous devons décider quand le projet commencera.",,,drittens = thirdly ● Adverb,drittens = troisièmement ● Adverbe,,
12,"_____ finde ich, dass wir mehr auf Qualität achten sollten.",Drittens,Drittens,"Drittens finde ich, dass wir mehr auf Qualität achten sollten.","Thirdly, I think we should pay more attention to quality.","Troisièmement, je pense que nous devrions accorder plus d’attention à la qualité.",,,drittens = thirdly ● Adverb,drittens = troisièmement ● Adverbe,,
12,"_____ ist es wichtig, regelmäßig Feedback zu geben.",Drittens,Drittens,"Drittens ist es wichtig, regelmäßig Feedback zu geben.","Thirdly, it’s important to give feedback regularly.","Troisièmement, il est important de donner régulièrement du feedback.",,,drittens = thirdly ● Adverb,drittens = troisièmement ● Adverbe,,
12,"Ich wollte gestern joggen gehen, _____ hat es den ganzen Tag geregnet.",jedoch,jedoch,"Ich wollte gestern joggen gehen, jedoch hat es den ganzen Tag geregnet.","I wanted to go jogging yesterday, however it rained all day.","Je voulais aller courir hier, cependant il a plu toute la journée.",,,"jedoch = however, nonetheless, nevertheless ● Adverb","jedoch = cependant, néanmoins, toutefois ● Adverbe",,
12,"Der Film war interessant, _____ etwas zu lang.",jedoch,jedoch,"Der Film war interessant, jedoch etwas zu lang.","The movie was interesting, however a bit too long.","Le film était intéressant, cependant un peu trop long.",,,"jedoch = however, nonetheless, nevertheless ● Adverb","jedoch = cependant, néanmoins, toutefois ● Adverbe",,
12,"Wir haben genug Zeit, _____ müssen wir jetzt anfangen.",jedoch,jedoch,"Wir haben genug Zeit, jedoch müssen wir jetzt anfangen.","We have enough time, however we need to start now.","Nous avons assez de temps, cependant il faut commencer maintenant.",,,"jedoch = however, nonetheless, nevertheless ● Adverb","jedoch = cependant, néanmoins, toutefois ● Adverbe",,
12,"Das Hotel war schön, _____ lag es weit vom Strand entfernt.",jedoch,jedoch,"Das Hotel war schön, jedoch lag es weit vom Strand entfernt.","The hotel was nice, however it was far from the beach.","L’hôtel était agréable, cependant il était loin de la plage.",,,"jedoch = however, nonetheless, nevertheless ● Adverb","jedoch = cependant, néanmoins, toutefois ● Adverbe",,
12,"Ich habe die Aufgabe verstanden, _____ brauche ich noch etwas Übung.",jedoch,jedoch,"Ich habe die Aufgabe verstanden, jedoch brauche ich noch etwas Übung.","I understood the task, however I still need some practice.","J’ai compris l’exercice, cependant j’ai encore besoin d’un peu de pratique.",,,"jedoch = however, nonetheless, nevertheless ● Adverb","jedoch = cependant, néanmoins, toutefois ● Adverbe",,
12,"Ich mag Obst, _____ Äpfel und Bananen.",zum Beispiel,zum Beispiel,"Ich mag Obst, zum Beispiel Äpfel und Bananen.","I like fruit, for example, apples and bananas.","J'aime les fruits, par exemple les pommes et les bananes.",,,zum beispiel = for example ● Adverb,zum beispiel = par exemple ● Adverbe,,
12,"Viele europäische Länder haben den Euro, _____ Deutschland und Frankreich.",zum Beispiel,zum Beispiel,"Viele europäische Länder haben den Euro, zum Beispiel Deutschland und Frankreich.","Many European countries use the euro, for example, Germany and France.","De nombreux pays européens utilisent l’euro, par exemple l’Allemagne et la France.",,,zum beispiel = for example ● Adverb,zum beispiel = par exemple ● Adverbe,,
12,"Man kann viele Sportarten treiben, _____ Tennis oder Fussball.",zum Beispiel,zum Beispiel,"Man kann viele Sportarten treiben, zum Beispiel Tennis oder Fussball.","You can practice many sports, for example, tennis or soccer.","Vous pouvez pratiquer de nombreux sports, par exemple le tennis ou le football.",,,zum beispiel = for example ● Adverb,zum beispiel = par exemple ● Adverbe,,
12,"Es gibt viele schöne Städte in Italien, _____ Rom und Florenz.",zum Beispiel,zum Beispiel,"Es gibt viele schöne Städte in Italien, zum Beispiel Rom und Florenz.","There are many beautiful cities in Italy, for example, Rome and Florence.","Il y a beaucoup de belles villes en Italie, par exemple Rome et Florence.",,,zum beispiel = for example ● Adverb,zum beispiel = par exemple ● Adverbe,,
12,"Einige Tiere sind sehr intelligent, _____ Delfine und Elefanten.",zum Beispiel,zum Beispiel,"Einige Tiere sind sehr intelligent, zum Beispiel Delfine und Elefanten.","Some animals are very intelligent, for example, dolphins and elephants.","Certains animaux sont très intelligents, comme les dauphins et les éléphants.",,,zum beispiel = for example ● Adverb,zum beispiel = par exemple ● Adverbe,,
13,darum,deshalb,deshalb,"Ich habe mich lange vorbereitet, darum klappt die Präsentation heute besser.","therefore, for this reason, because of that","pour cette raison, à cause de cela",Adverb,Adverbe,"deshalb = therefore, for this reason, because of that ● Adverb","deshalb = pour cette raison, à cause de cela ● Adverbe","darum = therefore, for this reason, because of that ● Adverb","darum = pour cette raison, à cause de cela ● Adverbe"
13,deswegen,deshalb,deshalb,"Sie hat viel geübt, deswegen versteht sie die Grammatik jetzt gut.","therefore, for this reason, because of that","pour cette raison, à cause de cela",Adverb,Adverbe,"deshalb = therefore, for this reason, because of that ● Adverb","deshalb = pour cette raison, à cause de cela ● Adverbe","deswegen = therefore, for this reason, because of that ● Adverb","deswegen = pour cette raison, à cause de cela ● Adverbe"
13,obgleich,obwohl,obwohl,"Er geht joggen, obgleich er eigentlich keine Zeit hat.","although, even though","bien que, même si",Subordinating conjunction,Conjonctions de subordination,"obwohl = although, even though ● Subordinating conjunction","obwohl = bien que, même si ● Conjonctions de subordination","obgleich = although, even though ● Subordinating conjunction","obgleich = bien que, même si ● Conjonctions de subordination"
13,obschon,obwohl,obwohl,"Wir blieben im Park, obschon es leicht geregnet hat.","although, even though","bien que, même si",Subordinating conjunction,Conjonctions de subordination,"obwohl = although, even though ● Subordinating conjunction","obwohl = bien que, même si ● Conjonctions de subordination","obschon = although, even though ● Subordinating conjunction","obschon = bien que, même si ● Conjonctions de subordination"
13,da,weil,weil,"Ich nehme den Bus, da mein Fahrrad kaputt ist.","because, since","parce que, puisque, vu que",Subordinating conjunction,Conjonctions de subordination,"weil = because, since ● Subordinating conjunction","weil = parce que, puisque, vu que ● Conjonctions de subordination","da = because, since ● Subordinating conjunction","da = parce que, puisque, vu que ● Conjonctions de subordination"
13,statt ... zu,anstatt ... zu,anstatt ... zu,"Er arbeitet weiter, statt zu pausieren.",instead of,"au lieu de, à la place de",Correlative conjunction,Conjonction corrélative,anstatt ... zu = instead of ● Correlative conjunction,"anstatt ... zu = au lieu de, à la place de ● Conjonction corrélative",statt ... zu = instead of ● Correlative conjunction,"statt ... zu = au lieu de, à la place de ● Conjonction corrélative"
13,dennoch,trotzdem,trotzdem,"Sie war sehr gestresst, dennoch blieb sie freundlich.","despite it, nevertheless, yet, nonetheless, anyway","malgré cela, tout de même, néanmoins, pourtant",Adverb,Adverbe,"trotzdem = despite it, nevertheless, yet, nonetheless, anyway ● Adverb","trotzdem = malgré cela, tout de même, néanmoins, pourtant ● Adverbe","dennoch = despite it, nevertheless, yet, nonetheless, anyway ● Adverb","dennoch = malgré cela, tout de même, néanmoins, pourtant ● Adverbe"
13,allerdings,jedoch,jedoch,"Das Angebot war interessant, allerdings war der Preis zu hoch.","however, nonetheless, nevertheless","cependant, néanmoins, toutefois",Adverb,Adverbe,"jedoch = however, nonetheless, nevertheless ● Adverb","jedoch = cependant, néanmoins, toutefois ● Adverbe","allerdings = however, nonetheless, nevertheless ● Adverb","allerdings = cependant, néanmoins, toutefois ● Adverbe"
13,nachher,danach,danach,Wir treffen uns nachher im Café.,"afterwards, thereafter","ensuite, par la suite, après cela",Adverb,Adverbe,"danach = afterwards, thereafter ● Adverb","danach = ensuite, par la suite, après cela ● Adverbe","nachher = afterwards, thereafter ● Adverb","nachher = ensuite, par la suite, après cela ● Adverbe"
13,davor,vorher,vorher,"Er war nervös, davor hatte er kaum geschlafen.",beforehand,"avant cela, préalablement, auparavant",Adverb,Adverbe,vorher = beforehand ● Adverb,"vorher = avant cela, préalablement, auparavant ● Adverbe",davor = beforehand ● Adverb,"davor = avant cela, préalablement, auparavant ● Adverbe"
13,zuvor,vorher,vorher,Wir haben die Regeln zuvor genau erklärt.,beforehand,"avant cela, préalablement, auparavant",Adverb,Adverbe,vorher = beforehand ● Adverb,"vorher = avant cela, préalablement, auparavant ● Adverbe",zuvor = beforehand ● Adverb,"zuvor = avant cela, préalablement, auparavant ● Adverbe"
14,,entweder ... oder,entweder ... oder,,either ... or,"soit ... soit, soit ... ou",Correlative conjunction,Conjonction corrélative,entweder ... oder = either ... or ● Correlative conjunction,"entweder ... oder = soit ... soit, soit ... ou ● Conjonction corrélative",,
14,,weder ... noch,weder ... noch,,neither ... nor,ni ... ni,Correlative conjunction,Conjonction corrélative,weder ... noch = neither ... nor ● Correlative conjunction,weder ... noch = ni ... ni ● Conjonction corrélative,,
14,,sowohl ... als auch,sowohl ... als auch,,both ... and,"à la fois ... ainsi que, aussi bien ... que",Correlative conjunction,Conjonction corrélative,sowohl ... als auch = both ... and ● Correlative conjunction,"sowohl ... als auch = à la fois ... ainsi que, aussi bien ... que ● Conjonction corrélative",,
14,,nicht nur,nicht nur,,not only,pas seulement,Correlative conjunction,Conjonction corrélative,nicht nur = not only ● Correlative conjunction,nicht nur = pas seulement ● Conjonction corrélative,,
14,,sondern auch,sondern auch,,but also,mais aussi,Correlative conjunction,Conjonction corrélative,sondern auch = but also ● Correlative conjunction,sondern auch = mais aussi ● Conjonction corrélative,,
14,,einerseits,einerseits,,on the one hand,"d'un côté, d'une part",Adverb,Adverbe,einerseits = on the one hand ● Adverb,"einerseits = d'un côté, d'une part ● Adverbe",,
14,,andererseits,andererseits,,on the other hand,"de l'autre côté, d'autre part",Adverb,Adverbe,andererseits = on the other hand ● Adverb,"andererseits = de l'autre côté, d'autre part ● Adverbe",,
14,,zwar,zwar,,"admittely, indeed, to be precise","certes, en effet",Adverb,Adverbe,"zwar = admittely, indeed, to be precise ● Adverb","zwar = certes, en effet ● Adverbe",,
15,"_____ ist der Job sehr anspruchsvoll, andererseits bietet er viele Chancen.",Einerseits,Einerseits,"Einerseits ist der Job sehr anspruchsvoll, andererseits bietet er viele Chancen.","On the one hand, the job is very demanding; on the other hand, it offers many opportunities.","D’un côté, le métier est très exigeant ; de l’autre, il offre de nombreuses opportunités.",,,einerseits = on the one hand ● Adverb,"einerseits = d'un côté, d'une part ● Adverbe",,
15,"_____ möchte ich ins Ausland ziehen, andererseits vermisse ich meine Familie.",Einerseits,Einerseits,"Einerseits möchte ich ins Ausland ziehen, andererseits vermisse ich meine Familie.","On the one hand, I want to move abroad; on the other hand, I miss my family.","D’un côté, j’ai envie de partir à l’étranger ; de l’autre, ma famille me manque.",,,einerseits = on the one hand ● Adverb,"einerseits = d'un côté, d'une part ● Adverbe",,
15,"_____ ist das Angebot günstig, andererseits gibt es bessere Alternativen.",Einerseits,Einerseits,"Einerseits ist das Angebot günstig, andererseits gibt es bessere Alternativen.","On the one hand, the offer is cheap; on the other hand, there are better alternatives.","D’un côté, l’offre est bon marché ; de l’autre, il existe de meilleures alternatives.",,,einerseits = on the one hand ● Adverb,"einerseits = d'un côté, d'une part ● Adverbe",,
15,"_____ liebe ich meine Arbeit, andererseits ist sie oft sehr stressig.",Einerseits,Einerseits,"Einerseits liebe ich meine Arbeit, andererseits ist sie oft sehr stressig.","On the one hand, I love my job; on the other hand, it is often very stressful.","D’un côté, j’aime mon travail ; de l’autre, il est souvent très stressant.",,,einerseits = on the one hand ● Adverb,"einerseits = d'un côté, d'une part ● Adverbe",,
15,"_____ wäre ein eigenes Haus schön, andererseits sind die Kosten sehr hoch.",Einerseits,Einerseits,"Einerseits wäre ein eigenes Haus schön, andererseits sind die Kosten sehr hoch.","On the one hand, owning a house would be nice; on the other hand, the costs are very high.","D’un côté, posséder une maison serait bien ; de l’autre, les coûts sont très élevés.",,,einerseits = on the one hand ● Adverb,"einerseits = d'un côté, d'une part ● Adverbe",,
15,"Ich möchte mehr Freizeit haben, _____ brauche ich das Geld.",andererseits,andererseits,"Ich möchte mehr Freizeit haben, andererseits brauche ich das Geld.","I would like to have more free time; on the other hand, I need the money.","J'aimerais avoir plus de temps libre, mais d'un autre côté, j'ai besoin d'argent.",,,andererseits = on the other hand ● Adverb,"andererseits = de l'autre côté, d'autre part ● Adverbe",,
15,"Ein Auto zu besitzen ist praktisch, _____ sind die Kosten sehr hoch.",andererseits,andererseits,"Ein Auto zu besitzen ist praktisch, andererseits sind die Kosten sehr hoch.","Owning a car is practical; on the other hand, the costs are very high.","Posséder une voiture est pratique, mais en revanche, les coûts sont très élevés.",,,andererseits = on the other hand ● Adverb,"andererseits = de l'autre côté, d'autre part ● Adverbe",,
15,"Er mag seinen Job, _____ würde er gerne etwas Neues ausprobieren.",andererseits,andererseits,"Er mag seinen Job, andererseits würde er gerne etwas Neues ausprobieren.","He likes his job; on the other hand, he would like to try something new.","Il aime son travail ; d’un autre côté, il aimerait essayer quelque chose de nouveau.",,,andererseits = on the other hand ● Adverb,"andererseits = de l'autre côté, d'autre part ● Adverbe",,
15,"Eine grosse Stadt bietet viele Möglichkeiten, _____ kann es dort sehr laut sein.",andererseits,andererseits,"Eine grosse Stadt bietet viele Möglichkeiten, andererseits kann es dort sehr laut sein.","A big city offers many opportunities; on the other hand, it can be very noisy there.","Une grande ville offre de nombreuses opportunités ; en revanche, elle peut y être très bruyante.",,,andererseits = on the other hand ● Adverb,"andererseits = de l'autre côté, d'autre part ● Adverbe",,
15,"Ich würde gerne umziehen, _____ ist meine Wohnung sehr günstig.",andererseits,andererseits,"Ich würde gerne umziehen, andererseits ist meine Wohnung sehr günstig.","I would like to move; on the other hand, my apartment is very affordable.","J'aimerais déménager, par contre mon appartement est très abordable.",,,andererseits = on the other hand ● Adverb,"andererseits = de l'autre côté, d'autre part ● Adverbe",,
15,Wir können _____ ins Kino gehen oder zu Hause einen Film schauen.,entweder,entweder oder,Wir können entweder ins Kino gehen oder zu Hause einen Film schauen.,We can either go to the cinema or watch a movie at home.,"Nous pouvons soit aller au cinéma, soit regarder un film à la maison.",,,entweder oder = We can either go to the cinema or watch a movie at home. ● ,"entweder oder = Nous pouvons soit aller au cinéma, soit regarder un film à la maison. ● ",,
15,"_____ du kommst pünktlich, oder wir starten ohne dich.",Entweder,entweder oder,"Entweder du kommst pünktlich, oder wir starten ohne dich.","Either you arrive on time, or we will start without you.","Soit vous arrivez à l'heure, soit nous partons sans vous.",,,entweder oder = We can either go to the cinema or watch a movie at home. ● ,"entweder oder = Nous pouvons soit aller au cinéma, soit regarder un film à la maison. ● ",,
15,Sie wird _____ in Berlin studieren oder nach Hamburg ziehen.,entweder,entweder oder,Sie wird entweder in Berlin studieren oder nach Hamburg ziehen.,She will either study in Berlin or move to Hamburg.,"Elle étudiera soit à Berlin, soit déménagera à Hambourg.",,,entweder oder = We can either go to the cinema or watch a movie at home. ● ,"entweder oder = Nous pouvons soit aller au cinéma, soit regarder un film à la maison. ● ",,
15,"_____ du lernst fleißig, oder du wirst die Prüfung nicht bestehen.",Entweder,entweder oder,"Entweder du lernst fleißig, oder du wirst die Prüfung nicht bestehen.","Either you study hard, or you won’t pass the exam.","Soit vous étudiez dur, soit vous ne réussirez pas l’examen.",,,entweder oder = We can either go to the cinema or watch a movie at home. ● ,"entweder oder = Nous pouvons soit aller au cinéma, soit regarder un film à la maison. ● ",,
15,Wir können _____ mit dem Auto fahren oder den Zug nehmen.,entweder,entweder oder,Wir können entweder mit dem Auto fahren oder den Zug nehmen.,We can either go by car or take the train.,Nous pouvons y aller en voiture ou prendre le train.,,,entweder oder = We can either go to the cinema or watch a movie at home. ● ,"entweder oder = Nous pouvons soit aller au cinéma, soit regarder un film à la maison. ● ",,
15,Ich trinke _____ Kaffee noch Tee.,weder,weder noch,Ich trinke weder Kaffee noch Tee.,I drink neither coffee nor tea.,Je ne bois ni café ni thé.,,,weder noch = I drink neither coffee nor tea. ● ,weder noch = Je ne bois ni café ni thé. ● ,,
15,Er mag _____ klassische Musik noch Pop.,weder,weder noch,Er mag weder klassische Musik noch Pop.,He likes neither classical music nor pop.,Il n'aime ni la musique classique ni la pop.,,,weder noch = I drink neither coffee nor tea. ● ,weder noch = Je ne bois ni café ni thé. ● ,,
15,Sie spricht _____ Spanisch noch Italienisch.,weder,weder noch,Sie spricht weder Spanisch noch Italienisch.,She speaks neither Spanish nor Italian.,Elle ne parle ni espagnol ni italien.,,,weder noch = I drink neither coffee nor tea. ● ,weder noch = Je ne bois ni café ni thé. ● ,,
15,Das Hotel war _____ sauber noch günstig.,weder,weder noch,Das Hotel war weder sauber noch günstig.,The hotel was neither clean nor affordable.,L'hôtel n'était ni propre ni abordable.,,,weder noch = I drink neither coffee nor tea. ● ,weder noch = Je ne bois ni café ni thé. ● ,,
15,Wir haben _____ Zeit noch Geld für eine Reise.,weder,weder noch,Wir haben weder Zeit noch Geld für eine Reise.,We have neither time nor money for a trip.,Nous n'avons ni le temps ni l'argent pour un voyage.,,,weder noch = I drink neither coffee nor tea. ● ,weder noch = Je ne bois ni café ni thé. ● ,,
15,Er interessiert sich weder für Sport _____ für Kunst.,noch,weder noch,Er interessiert sich weder für Sport noch für Kunst.,He is interested in neither sports nor art.,Il ne s’intéresse ni au sport ni à l’art.,,,weder noch = I drink neither coffee nor tea. ● ,weder noch = Je ne bois ni café ni thé. ● ,,
15,Ich kann weder tanzen _____ singen.,noch,weder noch,Ich kann weder tanzen noch singen.,I can neither dance nor sing.,Je ne sais ni danser ni chanter.,,,weder noch = I drink neither coffee nor tea. ● ,weder noch = Je ne bois ni café ni thé. ● ,,
15,Die Aufgabe war weder einfach _____ schnell erledigt.,noch,weder noch,Die Aufgabe war weder einfach noch schnell erledigt.,The task was neither easy nor quickly done.,La tâche n’était ni facile ni rapide à réaliser.,,,weder noch = I drink neither coffee nor tea. ● ,weder noch = Je ne bois ni café ni thé. ● ,,
15,Weder mein Bruder _____ meine Schwester konnten kommen.,noch,weder noch,Weder mein Bruder noch meine Schwester konnten kommen.,Neither my brother nor my sister could come.,Ni mon frère ni ma sœur n’ont pu venir.,,,weder noch = I drink neither coffee nor tea. ● ,weder noch = Je ne bois ni café ni thé. ● ,,
15,Dieses Buch ist weder spannend _____ informativ.,noch,weder noch,Dieses Buch ist weder spannend noch informativ.,This book is neither exciting nor informative.,Ce livre n’est ni passionnant ni informatif.,,,weder noch = I drink neither coffee nor tea. ● ,weder noch = Je ne bois ni café ni thé. ● ,,
15,Er spricht _____ Deutsch als auch Englisch fließend.,sowohl,sowohl als auch,Er spricht sowohl Deutsch als auch Englisch fließend.,He speaks both German and English fluently.,Il parle couramment l'allemand et l'anglais.,,,sowohl als auch = He speaks both German and English fluently. ● ,sowohl als auch = Il parle couramment l'allemand et l'anglais. ● ,,
15,_____ das Design als auch die Funktionalität des neuen Smartphones sind beeindruckend.,Sowohl,sowohl als auch,Sowohl das Design als auch die Funktionalität des neuen Smartphones sind beeindruckend.,Both the design and the functionality of the new smartphone are impressive.,Le design et les fonctionnalités du nouveau smartphone sont tous deux impressionnants.,,,sowohl als auch = He speaks both German and English fluently. ● ,sowohl als auch = Il parle couramment l'allemand et l'anglais. ● ,,
15,Sie interessiert sich _____ für Kunst als auch für Wissenschaft.,sowohl,sowohl als auch,Sie interessiert sich sowohl für Kunst als auch für Wissenschaft.,She is interested in both art and science.,Elle s'intéresse à la fois à l'art et à la science.,,,sowohl als auch = He speaks both German and English fluently. ● ,sowohl als auch = Il parle couramment l'allemand et l'anglais. ● ,,
15,Die Firma legt Wert auf _____ nachhaltige als auch effiziente Produktionsmethoden.,sowohl,sowohl als auch,Die Firma legt Wert auf sowohl nachhaltige als auch effiziente Produktionsmethoden.,The company values both sustainable and efficient production methods.,L'entreprise valorise les méthodes de production à la fois durables et efficaces.,,,sowohl als auch = He speaks both German and English fluently. ● ,sowohl als auch = Il parle couramment l'allemand et l'anglais. ● ,,
15,Dieses Hotel bietet _____ einen Pool als auch ein Fitnessstudio für seine Gäste.,sowohl,sowohl als auch,Dieses Hotel bietet sowohl einen Pool als auch ein Fitnessstudio für seine Gäste.,This hotel offers both a pool and a gym for its guests.,Cet hôtel propose à ses clients une piscine et une salle de sport.,,,sowohl als auch = He speaks both German and English fluently. ● ,sowohl als auch = Il parle couramment l'allemand et l'anglais. ● ,,
15,Die Konferenz behandelt sowohl aktuelle _____ zukünftige wirtschaftliche Herausforderungen.,als auch,sowohl als auch,Die Konferenz behandelt sowohl aktuelle als auch zukünftige wirtschaftliche Herausforderungen.,The conference addresses both current and future economic challenges.,La conférence aborde les défis économiques actuels et futurs.,,,sowohl als auch = He speaks both German and English fluently. ● ,sowohl als auch = Il parle couramment l'allemand et l'anglais. ● ,,
15,Er ist sowohl ein talentierter Musiker _____ ein erfolgreicher Unternehmer.,als auch,sowohl als auch,Er ist sowohl ein talentierter Musiker als auch ein erfolgreicher Unternehmer.,He is both a talented musician and a successful entrepreneur.,Il est à la fois un musicien talentueux et un entrepreneur à succès.,,,sowohl als auch = He speaks both German and English fluently. ● ,sowohl als auch = Il parle couramment l'allemand et l'anglais. ● ,,
15,Das neue Gesetz betrifft sowohl Arbeitnehmer _____ Arbeitgeber gleichermaßen.,als auch,sowohl als auch,Das neue Gesetz betrifft sowohl Arbeitnehmer als auch Arbeitgeber gleichermaßen.,The new law affects both employees and employers equally.,La nouvelle loi affecte autant les salariés que les employeurs.,,,sowohl als auch = He speaks both German and English fluently. ● ,sowohl als auch = Il parle couramment l'allemand et l'anglais. ● ,,
15,Das Wetter war sowohl sonnig _____ angenehm warm während unseres Urlaubs.,als auch,sowohl als auch,Das Wetter war sowohl sonnig als auch angenehm warm während unseres Urlaubs.,The weather was both sunny and pleasantly warm during our vacation.,Le temps était à la fois ensoleillé et agréablement chaud pendant nos vacances.,,,sowohl als auch = He speaks both German and English fluently. ● ,sowohl als auch = Il parle couramment l'allemand et l'anglais. ● ,,
15,Sie hat sowohl theoretische _____ praktische Erfahrungen in diesem Bereich gesammelt.,als auch,sowohl als auch,Sie hat sowohl theoretische als auch praktische Erfahrungen in diesem Bereich gesammelt.,She has gained both theoretical and practical experience in this field.,Elle a acquis une expérience à la fois théorique et pratique dans ce domaine.,,,sowohl als auch = He speaks both German and English fluently. ● ,sowohl als auch = Il parle couramment l'allemand et l'anglais. ● ,,
15,"Er spricht _____ Deutsch, sondern auch Spanisch fließend.",nicht nur,nicht nur,"Er spricht nicht nur Deutsch, sondern auch Spanisch fließend.",He speaks not only German but also Spanish fluently.,Il parle couramment non seulement l'allemand mais aussi l'espagnol.,,,nicht nur = not only ● Correlative conjunction,nicht nur = pas seulement ● Conjonction corrélative,,
15,"Das neue Auto ist _____ schnell, sondern auch umweltfreundlich.",nicht nur,nicht nur,"Das neue Auto ist nicht nur schnell, sondern auch umweltfreundlich.",The new car is not only fast but also environmentally friendly.,La nouvelle voiture est non seulement rapide mais aussi respectueuse de l’environnement.,,,nicht nur = not only ● Correlative conjunction,nicht nur = pas seulement ● Conjonction corrélative,,
15,"Sie ist _____ eine talentierte Musikerin, sondern auch eine erfolgreiche Schriftstellerin.",nicht nur,nicht nur,"Sie ist nicht nur eine talentierte Musikerin, sondern auch eine erfolgreiche Schriftstellerin.",She is not only a talented musician but also a successful writer.,Elle n’est pas seulement une musicienne talentueuse mais aussi une écrivaine à succès.,,,nicht nur = not only ● Correlative conjunction,nicht nur = pas seulement ● Conjonction corrélative,,
15,"Diese Stadt ist _____ historisch interessant, sondern auch kulturell vielfältig.",nicht nur,nicht nur,"Diese Stadt ist nicht nur historisch interessant, sondern auch kulturell vielfältig.",This city is not only historically interesting but also culturally diverse.,Cette ville est non seulement intéressante sur le plan historique mais aussi culturellement diversifiée.,,,nicht nur = not only ● Correlative conjunction,nicht nur = pas seulement ● Conjonction corrélative,,
15,"Die Firma investiert _____ in Technologie, sondern auch in nachhaltige Entwicklung.",nicht nur,nicht nur,"Die Firma investiert nicht nur in Technologie, sondern auch in nachhaltige Entwicklung.",The company invests not only in technology but also in sustainable development.,L'entreprise investit non seulement dans la technologie mais aussi dans le développement durable.,,,nicht nur = not only ● Correlative conjunction,nicht nur = pas seulement ● Conjonction corrélative,,
15,"Er hat nicht nur die Prüfung bestanden, _____ die beste Note erhalten.",sondern auch,sondern auch,"Er hat nicht nur die Prüfung bestanden, sondern auch die beste Note erhalten.",He not only passed the exam but also got the best grade.,"Il a non seulement réussi l’examen, mais a également obtenu la meilleure note.",,,sondern auch = but also ● Correlative conjunction,sondern auch = mais aussi ● Conjonction corrélative,,
