exercise,question,answer,german,english,french,explanation_english,explanation_french,opposite,type
12,"Wer _____ bucht, bekommt oft günstigere Tickets.",früh,"Wer früh bucht, bekommt oft günstigere Tickets.",Those who book early often get cheaper tickets.,Ceux qui réservent tôt obtiennent souvent des billets moins chers.,früh = early,früh = tôt,,
12,"Im Sommer wird es schon _____ hell, deshalb wache ich oft ohne Wecker auf.",früh,"Im Sommer wird es schon früh hell, deshalb wache ich oft ohne Wecker auf.","In summer, it gets light early, so I often wake up without an alarm clock.","En été, il fait jour tôt, c'est pourquoi je me réveille souvent sans réveil.",früh = early,früh = tôt,,
12,"Es ist schon _____, aber ich muss diese E-Mail noch schreiben.",spät,"Es ist schon spät, aber ich muss diese E-Mail noch schreiben.","It's already late, but I still have to write this email.","Il est déjà tard, mais je dois encore écrire cet e-mail.",spät = late,spät = tard,,
12,"Auch wenn wir _____ anfangen, können wir die Arbeit heute noch beenden.",spät,"Auch wenn wir spät anfangen, können wir die Arbeit heute noch beenden.","Even if we start late, we can still finish the work today.","Même si nous commençons tard, nous pouvons quand même terminer le travail aujourd'hui.",spät = late,spät = tard,,
13,,,fast,almost,presque,fast = almost,fast = presque,,
13,,,selten,"rarely, seldom",rarement,"selten = rarely, seldom",selten = rarement,,
13,,,genug,enough,assez,genug = enough,genug = assez,,
13,,,vielleicht,maybe,peut-être,vielleicht = maybe,vielleicht = peut-être,,
13,,,wirklich,"really, truly",vraiment,"wirklich = really, truly",wirklich = vraiment,,
13,,,zusammen,together,ensemble,zusammen = together,zusammen = ensemble,,
13,,,allein,alone,seul,allein = alone,allein = seul,,
13,,,bitte,please,"s'il te plaît, s'il vous plaît",bitte = please,"bitte = s'il te plaît, s'il vous plaît",,
14,,,meistens,"mostly, usually","principalement, habituellement","meistens = mostly, usually","meistens = principalement, habituellement",,
14,,,gern,gladly,volontiers,gern = gladly,gern = volontiers,,
14,,,so,so,"si, tellement",so = so,"so = si, tellement",,
14,,,ein bisschen,a little,un peu,ein bisschen = a little,ein bisschen = un peu,,
14,,,wieder,"again, another time, back","encore, à nouveau","wieder = again, another time, back","wieder = encore, à nouveau",,
14,,,drinnen,"inside, indoors",à l'intérieur,"drinnen = inside, indoors",drinnen = à l'intérieur,,
14,,,draußen,"outside, outdoors","dehors, à l'extérieur","draußen = outside, outdoors","draußen = dehors, à l'extérieur",,
14,,,geradeaus,straight ahead,tout droit,geradeaus = straight ahead,geradeaus = tout droit,,
15,,,regelmäßig,regularly,régulièrement,regelmäßig = regularly,regelmäßig = régulièrement,,
15,,,mindestens,"at least, minimum","au moins, au minimum","mindestens = at least, minimum","mindestens = au moins, au minimum",,
15,,,höchstens,"at most, maximum","au plus, au maximum","höchstens = at most, maximum","höchstens = au plus, au maximum",,
15,,,gleich,"right away, at once, in a short moment","tout de suite, dans un instant","gleich = right away, at once, in a short moment","gleich = tout de suite, dans un instant",,
15,,,oben,"above, at the top","au-dessus, en haut","oben = above, at the top","oben = au-dessus, en haut",,
15,,,unten,"below, at the bottom","ci-dessous, en bas","unten = below, at the bottom","unten = ci-dessous, en bas",,
15,,,früh,early,tôt,früh = early,früh = tôt,,
15,,,spät,late,tard,spät = late,spät = tard,,
16,,heute Abend,,tonight,ce soir,heute abend = tonight,heute abend = ce soir,,
16,,morgen früh,,tomorrow morning,demain matin,morgen früh = tomorrow morning,morgen früh = demain matin,,
16,,heute Morgen,,this morning,ce matin,heute morgen = this morning,heute morgen = ce matin,,
16,,heute Nachmittag,,this afternoon,cet après-midi,heute nachmittag = this afternoon,heute nachmittag = cet après-midi,,
16,,gestern Abend,,yesterday evening,hier soir,gestern abend = yesterday evening,gestern abend = hier soir,,
16,,nirgendwo,,nowhere,nulle part,nirgendwo = nowhere,nirgendwo = nulle part,überall,
16,,irgendwo,,anywhere,"n'importe où, quelque part",irgendwo = anywhere,"irgendwo = n'importe où, quelque part",,
16,,überall,,everywhere,partout,überall = everywhere,überall = partout,nowhere,
17,_____ gehen wir ins Kino.,Heute Abend,Heute Abend gehen wir ins Kino.,Tonight we are going to the cinema.,Ce soir nous allons au cinéma.,heute abend = tonight,heute abend = ce soir,,
17,Ich koche _____ für meine Freunde.,heute Abend,Ich koche heute Abend für meine Freunde.,I am cooking for my friends tonight.,Je cuisine pour mes amis ce soir.,heute abend = tonight,heute abend = ce soir,,
17,_____ möchte ich ein Buch lesen.,Heute Abend,Heute Abend möchte ich ein Buch lesen.,Tonight I want to read a book.,"Ce soir, je veux lire un livre.",heute abend = tonight,heute abend = ce soir,,
17,Wir treffen uns _____ im Restaurant.,heute Abend,Wir treffen uns heute Abend im Restaurant.,We are meeting at the restaurant tonight.,Nous nous retrouvons au restaurant ce soir.,heute abend = tonight,heute abend = ce soir,,
17,_____ wird es wahrscheinlich regnen.,Heute Abend,Heute Abend wird es wahrscheinlich regnen.,Tonight it will probably rain.,Ce soir il va probablement pleuvoir.,heute abend = tonight,heute abend = ce soir,,
17,_____ gehe ich joggen im Park.,Morgen früh,Morgen früh gehe ich joggen im Park.,Tomorrow morning I am going jogging in the park.,Demain matin je vais faire un jogging dans le parc.,morgen früh = tomorrow morning,morgen früh = demain matin,,
17,Wir fahren _____ mit dem Zug nach München.,morgen früh,Wir fahren morgen früh mit dem Zug nach München.,We are taking the train to Munich tomorrow morning.,Nous prenons le train pour Munich demain matin.,morgen früh = tomorrow morning,morgen früh = demain matin,,
17,"Ich muss _____ arbeiten, also gehe ich früh ins Bett.",morgen früh,"Ich muss morgen früh arbeiten, also gehe ich früh ins Bett.","I have to work tomorrow morning, so I am going to bed early.","Je dois travailler demain matin, donc je vais me coucher tôt.",morgen früh = tomorrow morning,morgen früh = demain matin,,
17,_____ kaufe ich frisches Brot beim Bäcker.,Morgen früh,Morgen früh kaufe ich frisches Brot beim Bäcker.,Tomorrow morning I will buy fresh bread at the bakery.,Demain matin j’achèterai du pain frais à la boulangerie.,morgen früh = tomorrow morning,morgen früh = demain matin,,
17,_____ lernen wir für die Prüfung in der Bibliothek.,Morgen früh,Morgen früh lernen wir für die Prüfung in der Bibliothek.,Tomorrow morning we will study for the exam in the library.,Demain matin nous allons étudier pour l’examen à la bibliothèque.,morgen früh = tomorrow morning,morgen früh = demain matin,,
17,_____ habe ich verschlafen und musste mich beeilen.,Heute Morgen,Heute Morgen habe ich verschlafen und musste mich beeilen.,This morning I overslept and had to hurry.,"Ce matin, je me suis réveillé en retard et j’ai dû me dépêcher.",heute morgen = this morning,heute morgen = ce matin,,
17,_____ hat es plötzlich angefangen zu schneien.,Heute Morgen,Heute Morgen hat es plötzlich angefangen zu schneien.,This morning it suddenly started to snow.,"Ce matin, il s’est mis à neiger soudainement.",heute morgen = this morning,heute morgen = ce matin,,
17,_____ habe ich eine lange E-Mail von meinem Chef bekommen.,Heute Morgen,Heute Morgen habe ich eine lange E-Mail von meinem Chef bekommen.,This morning I received a long email from my boss.,"Ce matin, j’ai reçu un long e-mail de mon chef.",heute morgen = this morning,heute morgen = ce matin,,
17,"_____ war die U-Bahn so voll, dass ich kaum einsteigen konnte.",Heute Morgen,"Heute Morgen war die U-Bahn so voll, dass ich kaum einsteigen konnte.",This morning the subway was so crowded that I could barely get in.,"Ce matin, le métro était tellement bondé que j’ai à peine pu monter.",heute morgen = this morning,heute morgen = ce matin,,
17,"_____ habe ich mir vorgenommen, früher ins Bett zu gehen.",Heute Morgen,"Heute Morgen habe ich mir vorgenommen, früher ins Bett zu gehen.",This morning I decided to go to bed earlier.,"Ce matin, j’ai décidé d’aller au lit plus tôt.",heute morgen = this morning,heute morgen = ce matin,,
17,_____ treffe ich mich mit einer Kollegin für einen Kaffee.,Heute Nachmittag,Heute Nachmittag treffe ich mich mit einer Kollegin für einen Kaffee.,This afternoon I’m meeting a colleague for a coffee.,"Cet après-midi, je retrouve une collègue pour un café.",heute nachmittag = this afternoon,heute nachmittag = cet après-midi,,
17,_____ muss ich einen wichtigen Bericht fertig schreiben.,Heute Nachmittag,Heute Nachmittag muss ich einen wichtigen Bericht fertig schreiben.,This afternoon I have to finish an important report.,"Cet après-midi, je dois terminer un rapport important.",heute nachmittag = this afternoon,heute nachmittag = cet après-midi,,
17,"_____ kommt ein Handwerker vorbei, um die Waschmaschine zu reparieren.",Heute Nachmittag,"Heute Nachmittag kommt ein Handwerker vorbei, um die Waschmaschine zu reparieren.",This afternoon a repairman is coming to fix the washing machine.,"Cet après-midi, un réparateur passe pour réparer la machine à laver.",heute nachmittag = this afternoon,heute nachmittag = cet après-midi,,
17,"_____ möchte ich eine Runde joggen gehen, falls das Wetter gut bleibt.",Heute Nachmittag,"Heute Nachmittag möchte ich eine Runde joggen gehen, falls das Wetter gut bleibt.",This afternoon I want to go for a run if the weather stays good.,"Cet après-midi, je veux aller courir si le temps reste bon.",heute nachmittag = this afternoon,heute nachmittag = cet après-midi,,
17,"_____ rufe ich meine Eltern an, weil wir etwas planen müssen.",Heute Nachmittag,"Heute Nachmittag rufe ich meine Eltern an, weil wir etwas planen müssen.",This afternoon I’ll call my parents because we need to plan something.,"Cet après-midi, j’appellerai mes parents parce que nous devons organiser quelque chose.",heute nachmittag = this afternoon,heute nachmittag = cet après-midi,,
17,_____ habe ich einen spannenden Film geschaut.,Gestern Abend,Gestern Abend habe ich einen spannenden Film geschaut.,Last night I watched an exciting movie.,"Hier soir, j’ai regardé un film passionnant.",gestern abend = yesterday evening,gestern abend = hier soir,,
17,_____ war ich mit Freunden essen und wir hatten viel Spaß.,Gestern Abend,Gestern Abend war ich mit Freunden essen und wir hatten viel Spaß.,Last night I went out to eat with friends and we had a great time.,"Hier soir, je suis allé dîner avec des amis et nous nous sommes beaucoup amusés.",gestern abend = yesterday evening,gestern abend = hier soir,,
17,"_____ bin ich später nach Hause gekommen, weil der Zug Verspätung hatte.",Gestern Abend,"Gestern Abend bin ich später nach Hause gekommen, weil der Zug Verspätung hatte.",Last night I got home late because the train was delayed.,"Hier soir, je suis rentré tard parce que le train était en retard.",gestern abend = yesterday evening,gestern abend = hier soir,,
17,"_____ habe ich lange telefoniert, um ein Problem zu klären.",Gestern Abend,"Gestern Abend habe ich lange telefoniert, um ein Problem zu klären.",Last night I spent a long time on the phone to sort out a problem.,"Hier soir, j’ai passé longtemps au téléphone pour régler un problème.",gestern abend = yesterday evening,gestern abend = hier soir,,
17,"_____ konnte ich nicht einschlafen, weil ich an zu viele Dinge gedacht habe.",Gestern Abend,"Gestern Abend konnte ich nicht einschlafen, weil ich an zu viele Dinge gedacht habe.",Last night I couldn’t fall asleep because I was thinking about too many things.,"Hier soir, je n’arrivais pas à m’endormir parce que je pensais à trop de choses.",gestern abend = yesterday evening,gestern abend = hier soir,,
17,"Ich habe meine Brille _____ hingelegt, aber ich kann mich nicht erinnern, wo.",irgendwo,"Ich habe meine Brille irgendwo hingelegt, aber ich kann mich nicht erinnern, wo.","I put my glasses somewhere, but I can't remember where.","J'ai mis mes lunettes quelque part, mais je ne me souviens plus où.",irgendwo = anywhere,"irgendwo = n'importe où, quelque part",,
17,"Er möchte _____ in den Bergen Urlaub machen, aber er hat noch kein Hotel gebucht.",irgendwo,"Er möchte irgendwo in den Bergen Urlaub machen, aber er hat noch kein Hotel gebucht.","He wants to go on vacation somewhere in the mountains, but he hasn’t booked a hotel yet.","Il veut partir en vacances quelque part à la montagne, mais il n’a pas encore réservé d’hôtel.",irgendwo = anywhere,"irgendwo = n'importe où, quelque part",,
17,"Ich habe gehört, dass es _____ ein neues Café geben soll.",irgendwo,"Ich habe gehört, dass es irgendwo ein neues Café geben soll.",I heard that there is supposed to be a new café somewhere.,J'ai entendu dire qu'il y aurait un nouveau café quelque part.,irgendwo = anywhere,"irgendwo = n'importe où, quelque part",,
17,"Es gibt _____ in dieser Stadt ein tolles Museum, das du besuchen solltest.",irgendwo,"Es gibt irgendwo in dieser Stadt ein tolles Museum, das du besuchen solltest.",There is a great museum somewhere in this city that you should visit.,Il y a un grand musée quelque part dans cette ville que vous devriez visiter.,irgendwo = anywhere,"irgendwo = n'importe où, quelque part",,
17,"Sie hofft, dass sie _____ eine passende Wohnung finden wird.",irgendwo,"Sie hofft, dass sie irgendwo eine passende Wohnung finden wird.",She hopes to find a suitable apartment somewhere.,Elle espère trouver un appartement convenable quelque part.,irgendwo = anywhere,"irgendwo = n'importe où, quelque part",,
17,"Ich habe meine Schlüssel gesucht, aber sie waren _____ zu finden.",nirgendwo,"Ich habe meine Schlüssel gesucht, aber sie waren nirgendwo zu finden.","I looked for my keys, but they were nowhere to be found.","J'ai cherché mes clés, mais elles étaient introuvables.",nirgendwo = nowhere,nirgendwo = nulle part,,
17,_____ habe ich so gutes Essen gegessen wie in diesem Restaurant.,Nirgendwo,Nirgendwo habe ich so gutes Essen gegessen wie in diesem Restaurant.,Nowhere have I eaten such good food as in this restaurant.,Nulle part ailleurs je n'ai mangé d'aussi bons plats que dans ce restaurant.,nirgendwo = nowhere,nirgendwo = nulle part,,
17,Er fühlt sich _____ so wohl wie in seinem Heimatdorf.,nirgendwo,Er fühlt sich nirgendwo so wohl wie in seinem Heimatdorf.,He feels comfortable nowhere as much as in his hometown.,Il ne se sent nulle part aussi bien que dans sa ville natale.,nirgendwo = nowhere,nirgendwo = nulle part,,
17,"Dieses Produkt ist _____ mehr erhältlich, weil es nicht mehr produziert wird.",nirgendwo,"Dieses Produkt ist nirgendwo mehr erhältlich, weil es nicht mehr produziert wird.",This product is no longer available anywhere because it is no longer produced.,Ce produit n'est plus disponible nulle part car il n'est plus fabriqué.,nirgendwo = nowhere,nirgendwo = nulle part,,
17,"Ich habe überall nach einer Lösung gesucht, aber _____ eine gefunden.",nirgendwo,"Ich habe überall nach einer Lösung gesucht, aber nirgendwo eine gefunden.","I searched everywhere for a solution, but I found one nowhere.","J'ai cherché partout une solution, mais je n'en ai trouvé nulle part.",nirgendwo = nowhere,nirgendwo = nulle part,,
17,_____ in der Stadt gibt es schöne Cafés.,Überall,Überall in der Stadt gibt es schöne Cafés.,There are beautiful cafés everywhere in the city.,Il y a de beaux cafés partout dans la ville.,überall = everywhere,überall = partout,,
17,Ich habe mein Handy verloren und _____ danach gesucht.,überall,Ich habe mein Handy verloren und überall danach gesucht.,I lost my phone and searched for it everywhere.,J'ai perdu mon téléphone et je l'ai cherché partout.,überall = everywhere,überall = partout,,
17,Nach dem Sturm lag _____ Schnee.,überall,Nach dem Sturm lag überall Schnee.,"After the storm, there was snow everywhere.","Après la tempête, il y avait de la neige partout.",überall = everywhere,überall = partout,,
17,Moderne Technologie ist mittlerweile _____ verfügbar.,überall,Moderne Technologie ist mittlerweile überall verfügbar.,Modern technology is now available everywhere.,La technologie moderne est désormais disponible partout.,überall = everywhere,überall = partout,,
17,"Die Musik war so laut, dass man sie _____ hören konnte.",überall,"Die Musik war so laut, dass man sie überall hören konnte.",The music was so loud that you could hear it all over.,La musique était si forte qu’on pouvait l’entendre partout.,überall = everywhere,überall = partout,,
18,,noch nicht,,"not yet, still not","pas encore, toujours pas","noch nicht = not yet, still not","noch nicht = pas encore, toujours pas",,
18,,da drüben,,over there,là-bas,da drüben = over there,da drüben = là-bas,,
18,,einmal,,"once, one time",une fois,"einmal = once, one time",einmal = une fois,,
18,,zweimal,,twice,deux fois,zweimal = twice,zweimal = deux fois,,
18,,leider,,unfortunately,malheureusement,leider = unfortunately,leider = malheureusement,,
18,,glücklicherweise,,fortunately,heureusement,glücklicherweise = fortunately,glücklicherweise = heureusement,unfortunately,
18,,zuhause,,"at home, home","à la maison, chez soi","zuhause = at home, home","zuhause = à la maison, chez soi",,
18,,ziemlich,,"quite, fairly","assez, franchement","ziemlich = quite, fairly","ziemlich = assez, franchement",,
19,Ich habe meine Hausaufgaben _____ gemacht.,noch nicht,Ich habe meine Hausaufgaben noch nicht gemacht.,I haven’t done my homework yet.,Je n’ai pas encore fait mes devoirs.,"noch nicht = not yet, still not","noch nicht = pas encore, toujours pas",,
19,Wir sind _____ fertig.,noch nicht,Wir sind noch nicht fertig.,We’re not finished yet.,Nous n’avons pas encore fini.,"noch nicht = not yet, still not","noch nicht = pas encore, toujours pas",,
19,Er hat das Buch _____ gelesen.,noch nicht,Er hat das Buch noch nicht gelesen.,He hasn’t read the book yet.,Il n’a pas encore lu le livre.,"noch nicht = not yet, still not","noch nicht = pas encore, toujours pas",,
19,Sie ist _____ angekommen.,noch nicht,Sie ist noch nicht angekommen.,She hasn’t arrived yet.,Elle n’est pas encore arrivée.,"noch nicht = not yet, still not","noch nicht = pas encore, toujours pas",,
19,Ich kann _____ schwimmen.,noch nicht,Ich kann noch nicht schwimmen.,I can’t swim yet.,Je ne sais pas encore nager.,"noch nicht = not yet, still not","noch nicht = pas encore, toujours pas",,
19,Siehst du das Café _____? Dort gibt es den besten Kuchen.,da drüben,Siehst du das Café da drüben? Dort gibt es den besten Kuchen.,Do you see the café over there? They have the best cake.,Tu vois le café là-bas ? Ils ont les meilleurs gâteaux.,da drüben = over there,da drüben = là-bas,,
19,Mein Auto steht _____ auf dem Parkplatz.,da drüben,Mein Auto steht da drüben auf dem Parkplatz.,My car is parked over there in the parking lot.,Ma voiture est garée là-bas sur le parking.,da drüben = over there,da drüben = là-bas,,
19,"_____ ist ein schöner Park, lass uns dort spazieren gehen.",Da drüben,"Da drüben ist ein schöner Park, lass uns dort spazieren gehen.","Over there is a beautiful park, let's go for a walk there.","Là-bas il y a un beau parc, allons nous y promener.",da drüben = over there,da drüben = là-bas,,
19,"Ich glaube, ich habe ihn _____ an der Bushaltestelle gesehen.",da drüben,"Ich glaube, ich habe ihn da drüben an der Bushaltestelle gesehen.",I think I saw him over there at the bus stop.,"Je crois que je l'ai vu là-bas, à l'arrêt de bus.",da drüben = over there,da drüben = là-bas,,
19,"Das Kino ist nicht weit, es ist gleich _____ an der Ecke.",da drüben,"Das Kino ist nicht weit, es ist gleich da drüben an der Ecke.","The cinema isn't far, it's just over there at the corner.","Le cinéma n'est pas loin, il est juste là-bas au coin.",da drüben = over there,da drüben = là-bas,,
19,Ich war _____ in Berlin.,einmal,Ich war einmal in Berlin.,I was in Berlin once.,J'étais à Berlin une fois.,"einmal = once, one time",einmal = une fois,,
19,Kannst du das noch _____ sagen?,einmal,Kannst du das noch einmal sagen?,Can you say that again?,Peux-tu le répéter ?,"einmal = once, one time",einmal = une fois,,
19,Ich möchte _____ nach Japan reisen.,einmal,Ich möchte einmal nach Japan reisen.,I would like to travel to Japan one day.,J'aimerais voyager au Japon un jour.,"einmal = once, one time",einmal = une fois,,
19,Probier es _____ aus!,einmal,Probier es einmal aus!,Try it once!,Essayez-le une fois !,"einmal = once, one time",einmal = une fois,,
19,Er hat das nur _____ gemacht.,einmal,Er hat das nur einmal gemacht.,He only did that once.,Il n'a fait ça qu'une fois.,"einmal = once, one time",einmal = une fois,,
19,Ich war schon _____ in Deutschland.,zweimal,Ich war schon zweimal in Deutschland.,I have been to Germany twice.,Je suis allé deux fois en Allemagne.,zweimal = twice,zweimal = deux fois,,
19,Bitte lies den Text _____.,zweimal,Bitte lies den Text zweimal.,Please read the text twice.,Veuillez lire le texte deux fois.,zweimal = twice,zweimal = deux fois,,
19,Ich gehe _____ pro Woche joggen.,zweimal,Ich gehe zweimal pro Woche joggen.,I go jogging twice a week.,Je fais du jogging deux fois par semaine.,zweimal = twice,zweimal = deux fois,,
19,Er hat _____ angerufen.,zweimal,Er hat zweimal angerufen.,He called twice.,Il a appelé deux fois.,zweimal = twice,zweimal = deux fois,,
19,Wir sehen uns mindestens _____ im Monat.,zweimal,Wir sehen uns mindestens zweimal im Monat.,We see each other at least twice a month.,Nous nous voyons au moins deux fois par mois.,zweimal = twice,zweimal = deux fois,,
19,Ich kann heute _____ nicht kommen.,leider,Ich kann heute leider nicht kommen.,"Unfortunately, I can't come today.","Malheureusement, je ne peux pas venir aujourd'hui.",leider = unfortunately,leider = malheureusement,,
19,Das Restaurant ist _____ geschlossen.,leider,Das Restaurant ist leider geschlossen.,"Unfortunately, the restaurant is closed.","Malheureusement, le restaurant est fermé.",leider = unfortunately,leider = malheureusement,,
19,Er hat _____ die Prüfung nicht bestanden.,leider,Er hat leider die Prüfung nicht bestanden.,"Unfortunately, he did not pass the exam.","Malheureusement, il n'a pas réussi l'examen.",leider = unfortunately,leider = malheureusement,,
19,Wir haben den Bus _____ verpasst.,leider,Wir haben den Bus leider verpasst.,"Unfortunately, we missed the bus.","Malheureusement, nous avons raté le bus.",leider = unfortunately,leider = malheureusement,,
19,Ich habe _____ keine Zeit.,leider,Ich habe leider keine Zeit.,"Unfortunately, I don’t have time.","Malheureusement, je n’ai pas le temps.",leider = unfortunately,leider = malheureusement,,
19,"_____ hat es aufgehört zu regnen, bevor das Konzert begann.",Glücklicherweise,"Glücklicherweise hat es aufgehört zu regnen, bevor das Konzert begann.","Fortunately, it stopped raining before the concert started.","Heureusement, la pluie a cessé avant le début du concert.",glücklicherweise = fortunately,glücklicherweise = heureusement,,
19,"Ich hatte meinen Schlüssel verloren, aber _____ hatte mein Nachbar einen Ersatzschlüssel.",glücklicherweise,"Ich hatte meinen Schlüssel verloren, aber glücklicherweise hatte mein Nachbar einen Ersatzschlüssel.","I had lost my key, but fortunately, my neighbor had a spare key.","J'avais perdu ma clé, mais heureusement, mon voisin avait une clé de rechange.",glücklicherweise = fortunately,glücklicherweise = heureusement,,
19,_____ war niemand verletzt nach dem Unfall.,Glücklicherweise,Glücklicherweise war niemand verletzt nach dem Unfall.,"Fortunately, no one was injured after the accident.","Heureusement, personne n’a été blessé après l’accident.",glücklicherweise = fortunately,glücklicherweise = heureusement,,
19,"Er kam zu spät zum Flughafen, aber _____ hatte sein Flug Verspätung.",glücklicherweise,"Er kam zu spät zum Flughafen, aber glücklicherweise hatte sein Flug Verspätung.","He arrived late at the airport, but fortunately, his flight was delayed.","Il est arrivé en retard à l'aéroport, mais heureusement, son vol a été retardé.",glücklicherweise = fortunately,glücklicherweise = heureusement,,
19,"Wir haben uns verlaufen, aber _____ hat uns ein Einheimischer geholfen.",glücklicherweise,"Wir haben uns verlaufen, aber glücklicherweise hat uns ein Einheimischer geholfen.","We got lost, but fortunately, a local helped us.","Nous nous sommes perdus, mais heureusement, un local nous a aidé.",glücklicherweise = fortunately,glücklicherweise = heureusement,,
19,Am Wochenende bleibe ich meistens _____ und entspanne mich.,zuhause,Am Wochenende bleibe ich meistens zuhause und entspanne mich.,On weekends I usually stay at home and relax.,"Le week-end, je reste généralement à la maison et je me détends.","zuhause = at home, home","zuhause = à la maison, chez soi",,
19,"Ich arbeite heute _____, weil mein Chef Homeoffice erlaubt.",zuhause,"Ich arbeite heute zuhause, weil mein Chef Homeoffice erlaubt.",I’m working from home today because my boss allows remote work.,Je travaille à la maison aujourd’hui parce que mon patron autorise le télétravail.,"zuhause = at home, home","zuhause = à la maison, chez soi",,
19,"Wenn es draußen regnet, ist es _____ besonders gemütlich.",zuhause,"Wenn es draußen regnet, ist es zuhause besonders gemütlich.","When it rains outside, it’s especially cozy at home.","Quand il pleut dehors, c’est particulièrement agréable à la maison.","zuhause = at home, home","zuhause = à la maison, chez soi",,
19,"Nach einer langen Reise freue ich mich immer, wieder _____ zu sein.",zuhause,"Nach einer langen Reise freue ich mich immer, wieder zuhause zu sein.","After a long trip, I’m always happy to be home again.","Après un long voyage, je suis toujours heureux d’être de retour à la maison.","zuhause = at home, home","zuhause = à la maison, chez soi",,
19,"Ich koche gerne _____, weil es billiger und gesünder ist.",zuhause,"Ich koche gerne zuhause, weil es billiger und gesünder ist.",I like cooking at home because it’s cheaper and healthier.,"J’aime cuisiner à la maison, car c’est moins cher et plus sain.","zuhause = at home, home","zuhause = à la maison, chez soi",,
19,Das Wetter ist heute _____ kalt für den Frühling.,ziemlich,Das Wetter ist heute ziemlich kalt für den Frühling.,The weather is quite cold today for spring.,Il fait assez froid aujourd’hui pour le printemps.,"ziemlich = quite, fairly","ziemlich = assez, franchement",,
19,"Die Prüfung war _____ schwer, aber ich habe mein Bestes gegeben.",ziemlich,"Die Prüfung war ziemlich schwer, aber ich habe mein Bestes gegeben.","The exam was quite difficult, but I did my best.","L'examen était assez difficile, mais j'ai fait de mon mieux.","ziemlich = quite, fairly","ziemlich = assez, franchement",,
19,Er ist ein _____ erfahrener Ingenieur in seinem Bereich.,ziemlich,Er ist ein ziemlich erfahrener Ingenieur in seinem Bereich.,He is quite an experienced engineer in his field.,C'est un ingénieur assez expérimenté dans son domaine.,"ziemlich = quite, fairly","ziemlich = assez, franchement",,
19,"Die Wohnung ist _____ teuer, aber sie hat eine tolle Lage.",ziemlich,"Die Wohnung ist ziemlich teuer, aber sie hat eine tolle Lage.","The apartment is quite expensive, but it has a great location.","L'appartement est assez cher, mais il est très bien situé.","ziemlich = quite, fairly","ziemlich = assez, franchement",,
19,"Das Buch war _____ interessant, ich konnte es kaum weglegen.",ziemlich,"Das Buch war ziemlich interessant, ich konnte es kaum weglegen.","The book was quite interesting, I could hardly put it down.","Le livre était assez intéressant, j'ai eu du mal à le lâcher.","ziemlich = quite, fairly","ziemlich = assez, franchement",,
20,,vorn,,"in the front, at the front","devant, à l'avant","vorn = in the front, at the front","vorn = devant, à l'avant",hinten,
20,,hinten,,at the back,à l'arrière,hinten = at the back,hinten = à l'arrière,vorn,
20,,sofort,,"immediately, right away","immédiatement, tout de suite","sofort = immediately, right away","sofort = immédiatement, tout de suite",,
20,,circa,,"approximately, about","environ, approximativement","circa = approximately, about","circa = environ, approximativement",,
20,,vor kurzem,,recently,récemment,vor kurzem = recently,vor kurzem = récemment,,
20,,zurzeit,,"currently, at present",actuellement,"zurzeit = currently, at present",zurzeit = actuellement,,
20,,zukünftig,,in the future,"dans le futur, à l'avenir",zukünftig = in the future,"zukünftig = dans le futur, à l'avenir",,
20,,besonders,,"especially, particularly, above all","surtout, particulièrement","besonders = especially, particularly, above all","besonders = surtout, particulièrement",,
21,"Ich sitze lieber _____ im Bus, weil ich die Aussicht mag.",vorn,"Ich sitze lieber vorn im Bus, weil ich die Aussicht mag.",I prefer to sit at the front of the bus because I like the view.,Je préfère m'asseoir à l'avant du bus parce que j'aime la vue.,"vorn = in the front, at the front","vorn = devant, à l'avant",,
21,Das Museum ist gleich _____ an der Ecke.,vorn,Das Museum ist gleich vorn an der Ecke.,The museum is right at the front on the corner.,"Le musée est juste en face, au coin.","vorn = in the front, at the front","vorn = devant, à l'avant",,
21,"Stell dich bitte _____ an, wenn du schon dran bist.",vorn,"Stell dich bitte vorn an, wenn du schon dran bist.",Please stand in front if it’s your turn.,Veuillez vous placer devant si c’est votre tour.,"vorn = in the front, at the front","vorn = devant, à l'avant",,
21,_____ im Garten stehen viele bunte Blumen.,Vorn,Vorn im Garten stehen viele bunte Blumen.,"In the front of the garden, there are many colorful flowers.","À l'avant du jardin, il y a beaucoup de fleurs colorées.","vorn = in the front, at the front","vorn = devant, à l'avant",,
21,Die besten Plätze im Theater sind oft ganz _____.,vorn,Die besten Plätze im Theater sind oft ganz vorn.,The best seats in the theater are often right at the front.,Les meilleures places au théâtre sont souvent tout au premier plan.,"vorn = in the front, at the front","vorn = devant, à l'avant",,
21,Das Auto steht ganz _____ auf dem Parkplatz.,hinten,Das Auto steht ganz hinten auf dem Parkplatz.,The car is parked all the way at the back of the parking lot.,La voiture est garée tout au fond du parking.,hinten = at the back,hinten = à l'arrière,,
21,_____ im Garten gibt es eine kleine Hütte.,Hinten,Hinten im Garten gibt es eine kleine Hütte.,"At the back of the garden, there is a small hut.","Au fond du jardin, il y a une petite cabane.",hinten = at the back,hinten = à l'arrière,,
