Nr,exercise,question,answer,german,english,french,connector,explanation_english_,explanation_french_,indication_english_,indication_french_,verb,verb_english,verb_french,indication_english,indication_french,connector_english,connector_french,explanation_english,explanation_french
411,21,,"Sie hat ihren Bus verpasst, deshalb kommt sie zu spät.","Sie hat ihren Bus verpasst, deshalb kommt sie zu spät.","She missed her bus, therefore she is late.","Elle a raté son bus, donc elle est en retard.",deshalb,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",,,,,,,,"<br><br>deshalb = therefore, for this reason, because of that ● Adverb","<br><br>deshalb = therefore, for this reason, because of that ● Adverb","Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>deshalb = therefore, for this reason, because of that ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>deshalb = therefore, for this reason, because of that ● Adverb"
412,21,,"Ich gehe joggen, wenn ich Zeit habe.","Ich gehe joggen, wenn ich Zeit habe.",I go jogging when I have time.,Je fais du jogging quand j'ai le temps.,wenn,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,"<br><br>wenn = if, when ● Subordinating conjunction","<br><br>wenn = if, when ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>wenn = if, when ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>wenn = if, when ● Subordinating conjunction"
413,21,,"Wenn er müde ist, trinkt er Kaffee.","Wenn er müde ist, trinkt er Kaffee.","When he is tired, he drinks coffee.","Quand il est fatigué, il boit du café.",wenn,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",In first position: temporal phrase,En première position : expression temporelle,,,,<br><br>In first position: temporal phrase,<br><br>En première position : expression temporelle,"<br><br>wenn = if, when ● Subordinating conjunction","<br><br>wenn = if, when ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>wenn = if, when ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>wenn = if, when ● Subordinating conjunction"
414,21,,"Wir machen ein Picknick, wenn das Wetter schön ist.","Wir machen ein Picknick, wenn das Wetter schön ist.",We have a picnic when the weather is nice.,Nous faisons un pique-nique quand il fait beau.,wenn,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,"<br><br>wenn = if, when ● Subordinating conjunction","<br><br>wenn = if, when ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>wenn = if, when ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>wenn = if, when ● Subordinating conjunction"
415,21,,"Wenn sie Geburtstag hat, feiert sie mit ihrer Familie.","Wenn sie Geburtstag hat, feiert sie mit ihrer Familie.","When it’s her birthday, she celebrates with her family.","Quand c’est son anniversaire, elle le fête avec sa famille.",wenn,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",In first position: temporal phrase,En première position : expression temporelle,,,,<br><br>In first position: temporal phrase,<br><br>En première position : expression temporelle,"<br><br>wenn = if, when ● Subordinating conjunction","<br><br>wenn = if, when ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>wenn = if, when ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>wenn = if, when ● Subordinating conjunction"
416,21,,"Als ich ein Kind war, hatte ich einen Hund.","Als ich ein Kind war, hatte ich einen Hund.","When I was a child, I had a dog.","Quand j'étais enfant, j'avais un chien.",als,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",In first position: temporal phrase,En première position : expression temporelle,,,,<br><br>In first position: temporal phrase,<br><br>En première position : expression temporelle,"<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction","<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction"
417,21,,"Als wir in Berlin waren, haben wir den Fernsehturm besucht.","Als wir in Berlin waren, haben wir den Fernsehturm besucht.","When we were in Berlin, we visited the TV tower.","Quand nous étions à Berlin, nous avons visité la tour de télévision.",als,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",In first position: temporal phrase,En première position : expression temporelle,,,,<br><br>In first position: temporal phrase,<br><br>En première position : expression temporelle,"<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction","<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction"
418,21,,"Ich stehe auf, dann mache ich einen Kaffee.","Ich stehe auf, dann mache ich einen Kaffee.","I get up, then I make a coffee.","Je me lève, puis je fais un café.",dann,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",,,,,,,,<br><br>dann = then ● Adverb,<br><br>dann = then ● Adverb,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>dann = then ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>dann = then ● Adverb"
419,21,,"Wir kaufen die Zutaten ein, dann kochen wir das Abendessen.","Wir kaufen die Zutaten ein, dann kochen wir das Abendessen.","We buy the ingredients, then we cook dinner.","Nous achetons les ingrédients, puis nous préparons le dîner.",dann,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",,,,,,,,<br><br>dann = then ● Adverb,<br><br>dann = then ● Adverb,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>dann = then ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>dann = then ● Adverb"
420,21,,"Sie macht ihre Hausaufgaben, dann schaut sie einen Film.","Sie macht ihre Hausaufgaben, dann schaut sie einen Film.","She does her homework, then she watches a movie.","Elle fait ses devoirs, puis elle regarde un film.",dann,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",,,,,,,,<br><br>dann = then ● Adverb,<br><br>dann = then ● Adverb,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>dann = then ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>dann = then ● Adverb"
421,22,,"Er kann nicht kommen, weil er arbeiten muss.","Er kann nicht kommen, weil er arbeiten muss.",He can't come because he has to work.,Il ne peut pas venir parce qu'il doit travailler.,weil,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,"<br><br>weil = because, since ● Subordinating conjunction","<br><br>weil = because, since ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>weil = because, since ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>weil = because, since ● Subordinating conjunction"
422,22,,"Sie lernt viel, weil sie die Prüfung bestehen will.","Sie lernt viel, weil sie die Prüfung bestehen will.",She studies a lot because she wants to pass the exam.,Elle étudie beaucoup parce qu'elle veut réussir l'examen.,weil,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,"<br><br>weil = because, since ● Subordinating conjunction","<br><br>weil = because, since ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>weil = because, since ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>weil = because, since ● Subordinating conjunction"
423,22,,"Wir gehen ins Bett, weil wir früh aufstehen müssen.","Wir gehen ins Bett, weil wir früh aufstehen müssen.",We go to bed because we have to get up early .,Nous nous couchons parce que nous devons nous lever tôt.,weil,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,"<br><br>weil = because, since ● Subordinating conjunction","<br><br>weil = because, since ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>weil = because, since ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>weil = because, since ● Subordinating conjunction"
424,22,,Du hast das Buch vergessen? Also müssen wir zurückgehen./Hast du das Buch vergessen? Also müssen wir zurückgehen.,Du hast das Buch vergessen? Also müssen wir zurückgehen.,You forgot the book? So we have to go back.,Tu as oublié le livre ? Alors on doit y retourner.,also,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",,,,,,,,"<br><br>also = so, thus, hence ● Adverb","<br><br>also = so, thus, hence ● Adverb","Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>also = so, thus, hence ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>also = so, thus, hence ● Adverb"
425,22,,"Sie glaubt, dass er ihr helfen kann.","Sie glaubt, dass er ihr helfen kann.",She believes that he can help her.,Elle croit qu’il peut l’aider.,dass,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,<br><br>dass = that ● Subordinating conjunction,<br><br>dass = that ● Subordinating conjunction,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>dass = that ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>dass = that ● Subordinating conjunction"
426,22,,"Ich habe meine Hausaufgaben vergessen, deshalb muss ich sie jetzt machen./Ich habe meine Hausaufgaben vergessen, deshalb muss ich jetzt sie machen.","Ich habe meine Hausaufgaben vergessen, deshalb muss ich sie jetzt machen.","I forgot my homework, therefore I have to do it now.","J'ai oublié mes devoirs, donc je dois les faire maintenant.",deshalb,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",,,,,,,,"<br><br>deshalb = therefore, for this reason, because of that ● Adverb","<br><br>deshalb = therefore, for this reason, because of that ● Adverb","Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>deshalb = therefore, for this reason, because of that ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>deshalb = therefore, for this reason, because of that ● Adverb"
427,22,,"Er war sehr glücklich, als er die Prüfung bestanden hat.","Er war sehr glücklich, als er die Prüfung bestanden hat.",He was very happy when he passed the exam.,Il était très heureux lorsqu'il a réussi l'examen.,als,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,"<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction","<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction"
428,22,,"Ich habe ihn zum ersten Mal getroffen, als ich nach Deutschland gereist bin./Ich habe zum ersten Mal ihn getroffen, als ich nach Deutschland gereist bin.","Ich habe ihn zum ersten Mal getroffen, als ich nach Deutschland gereist bin.",I met him for the first time when I traveled to Germany.,Je l'ai rencontré pour la première fois lors d'un voyage en Allemagne.,als,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,"<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction","<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction"
429,22,,"Als sie ihr Auto gekauft hat, war sie sehr stolz.","Als sie ihr Auto gekauft hat, war sie sehr stolz.","When she bought her car, she was very proud.","Lorsqu'elle a acheté sa voiture, elle était très fière.",als,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",In first position: temporal phrase,En première position : expression temporelle,,,,<br><br>In first position: temporal phrase,<br><br>En première position : expression temporelle,"<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction","<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>als = when (for a specific event in the past), as ● Subordinating conjunction"
430,22,,"Ich dusche, dann ziehe ich mich an.","Ich dusche, dann ziehe ich mich an.","I take a shower, then I get dressed.","Je prends une douche, puis je m'habille.",dann,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",,,anziehen,"anziehen = to get dressed, to put on, to dress someone, to attract, to pull","anziehen = s'habiller, mettre, habiller quelqu'un, attirer, tirer","<br><br>anziehen = to get dressed, to put on, to dress someone, to attract, to pull","<br><br>anziehen = s'habiller, mettre, habiller quelqu'un, attirer, tirer",<br><br>dann = then ● Adverb,<br><br>dann = then ● Adverb,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>dann = then ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>dann = then ● Adverb"
431,22,,"Wenn ich heute arbeiten muss, komme ich später nach Hause./Wenn ich heute arbeiten muss, komme ich nach Hause später.","Wenn ich heute arbeiten muss, komme ich später nach Hause.","If I have to work today, I come home later.","Si je dois travailler aujourd’hui, je rentre plus tard à la maison.",wenn,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,"<br><br>wenn = if, when ● Subordinating conjunction","<br><br>wenn = if, when ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>wenn = if, when ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>wenn = if, when ● Subordinating conjunction"
432,22,,"Wenn sie früh aufgestanden ist, trinkt sie zuerst Kaffee./Wenn sie früh aufgestanden ist, trinkt sie Kaffee zuerst.","Wenn sie früh aufgestanden ist, trinkt sie zuerst Kaffee.","If she got up early, she drinks coffee first.","Si elle s’est levée tôt, elle boit d’abord du café.",wenn,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,,,,,,"<br><br>wenn = if, when ● Subordinating conjunction","<br><br>wenn = if, when ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>wenn = if, when ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>wenn = if, when ● Subordinating conjunction"
433,22,,"Er muss morgen früh arbeiten, deshalb steht er jetzt auf.","Er muss morgen früh arbeiten, deshalb steht er jetzt auf.","He has to work early tomorrow, therefore he gets up now.","Il doit travailler tôt demain, c’est pourquoi il se lève maintenant.",deshalb,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",,,aufstehen,"aufstehen = to get up, to be open (e.g. a window, door)","aufstehen = se lever, être ouvert (par exemple une fenêtre, une porte)","<br><br>aufstehen = to get up, to be open (e.g. a window, door)","<br><br>aufstehen = se lever, être ouvert (par exemple une fenêtre, une porte)","<br><br>deshalb = therefore, for this reason, because of that ● Adverb","<br><br>deshalb = therefore, for this reason, because of that ● Adverb","Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>deshalb = therefore, for this reason, because of that ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>deshalb = therefore, for this reason, because of that ● Adverb"
434,22,,"Wir haben kein Brot gekauft, also haben wir heute Reis gegessen./Wir haben kein Brot gekauft, also haben wir Reis heute gegessen.","Wir haben kein Brot gekauft, also haben wir heute Reis gegessen.","We did not buy bread, so we ate rice today.","Nous n’avons pas acheté de pain, donc nous avons mangé du riz aujourd’hui.",also,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",,,,,,,,"<br><br>also = so, thus, hence ● Adverb","<br><br>also = so, thus, hence ● Adverb","Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>also = so, thus, hence ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>also = so, thus, hence ● Adverb"
435,22,,"Du bist krank, also kannst du heute nicht arbeiten.","Du bist krank, also kannst du heute nicht arbeiten.","You are sick, so you cannot work today.","Tu es malade, donc tu ne peux pas travailler aujourd’hui.",also,"Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.",,,,,,,,"<br><br>also = so, thus, hence ● Adverb","<br><br>also = so, thus, hence ● Adverb","Rule: adverbs are part of a clause. When they appear at the beginning of a main clause, they occupy the first position, so the conjugated verb remains in second position immediately after them.<br><br>also = so, thus, hence ● Adverb","Règle : les adverbes font partie d'une proposition. Lorsqu'ils apparaissent au début d'une proposition principale, ils occupent la première position, de sorte que le verbe conjugué reste en deuxième position, immédiatement après eux.<br><br>also = so, thus, hence ● Adverb"
436,22,,"Wenn ich Zeit habe, dann rufe ich dich an.","Wenn ich Zeit habe, dann rufe ich dich an.","If I have time, then I will call you.","Si j’ai le temps, alors je t’appelle.",wenn,"Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.",,,anrufen,"anrufen = to call by telephone, to call on (someone)",anrufen = appeler par téléphone,"<br><br>anrufen = to call by telephone, to call on (someone)",<br><br>anrufen = appeler par téléphone,"<br><br>wenn = if, when ● Subordinating conjunction","<br><br>wenn = if, when ● Subordinating conjunction","Rule: when a clause begins with a subordinating conjunction, the conjugated verb goes at the very end of the clause, after verbs in the infinitive, past participles and separable particles.<br><br>wenn = if, when ● Subordinating conjunction","Règle : lorsqu'une proposition commence par une conjonction de subordination, le verbe conjugué se place tout à la fin de la proposition, après les verbes à l'infinitif, les participes passés et les particules séparables.<br><br>wenn = if, when ● Subordinating conjunction"
