Nr,exercise,level,level_routledge,level_goethe,question,answer,german,english,french,plural,explanation_plural_english,explanation_plural_french,explanation_english_,explanation_french_,explanation_english,explanation_french
452,24,B1,A1,B1,_____ Zeitpunkt,der,der Zeitpunkt,the time,le temps,die Zeitpunkte,<br><br>Plural: die Zeitpunkte,<br><br>Pluriel: die Zeitpunkte,,,<br><br>Plural: die Zeitpunkte,<br><br>Pluriel: die Zeitpunkte
453,24,B1,A1,B1,_____ Auftrag,der,der Auftrag,the order,l'ordre,die Aufträge,<br><br>Plural: die Aufträge,<br><br>Pluriel: die Aufträge,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Aufträge<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Aufträge<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
454,24,B1,A1,B1,_____ Freude,die,die Freude,the joy,la joie,die Freuden,<br><br>Plural: die Freuden,<br><br>Pluriel: die Freuden,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Freuden<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Freuden<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
455,24,B1,A1,B1,_____ Hinweis,der,der Hinweis,the hint,l'indice,die Hinweise,<br><br>Plural: die Hinweise,<br><br>Pluriel: die Hinweise,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Hinweise<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Hinweise<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
456,24,B1,A1,B1,_____ Netz,das,das Netz,the network,le réseau,die Netze,<br><br>Plural: die Netze,<br><br>Pluriel: die Netze,,,<br><br>Plural: die Netze,<br><br>Pluriel: die Netze
457,24,B1,A1,B1,_____ Forschung,die,die Forschung,the research,la recherche,die Forschungen,<br><br>Plural: die Forschungen,<br><br>Pluriel: die Forschungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Forschungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Forschungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
458,24,B1,A1,B1,_____ Haut,die,die Haut,the skin,la peau,die Häute,<br><br>Plural: die Häute,<br><br>Pluriel: die Häute,,,<br><br>Plural: die Häute,<br><br>Pluriel: die Häute
459,24,B1,A1,B1,_____ Ausdruck,der,der Ausdruck,the expression,l'expression,die Ausdrücke,<br><br>Plural: die Ausdrücke,<br><br>Pluriel: die Ausdrücke,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Ausdrücke<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Ausdrücke<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
460,24,B1,A1,B1,_____ Finger,der,der Finger,the finger,le doigt,die Finger,<br><br>Plural: die Finger,<br><br>Pluriel: die Finger,,,<br><br>Plural: die Finger,<br><br>Pluriel: die Finger
461,24,B1,A1,B1,_____ Roman,der,der Roman,the novel,le roman,die Romane,<br><br>Plural: die Romane,<br><br>Pluriel: die Romane,,,<br><br>Plural: die Romane,<br><br>Pluriel: die Romane
462,25,B1,A1,B1,_____ Theorie,die,die Theorie,the theory,la théorie,die Theorien,<br><br>Plural: die Theorien,<br><br>Pluriel: die Theorien,Words finishing in <i>-ie</i> are usually Feminine,Les noms communs se terminant par <i>-ie</i> sont généralement Féminins,<br><br>Plural: die Theorien<br><br>Words finishing in <i>-ie</i> are usually Feminine,<br><br>Pluriel: die Theorien<br><br>Les noms communs se terminant par <i>-ie</i> sont généralement Féminins
463,25,B1,A1,B1,_____ Umwelt,die,die Umwelt,the environment,l'environnement,die Umwelten,<br><br>Plural: die Umwelten,<br><br>Pluriel: die Umwelten,,,<br><br>Plural: die Umwelten,<br><br>Pluriel: die Umwelten
464,25,B1,A1,B1,_____ Politiker,der,der Politiker,the politician,l'homme politique,die Politiker,<br><br>Plural: die Politiker,<br><br>Pluriel: die Politiker,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Politiker<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Politiker<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
465,25,B1,A1,B1,_____ Fernsehen,das,das Fernsehen,the television,la télévision,,​,​,Words formed from verb stems that end in <i>-en</i> are usually Neuter,Les noms communs formés à partir de racines verbales se terminant par <i>-en</i> sont généralement Neutres,​<br><br>Words formed from verb stems that end in <i>-en</i> are usually Neuter,​<br><br>Les noms communs formés à partir de racines verbales se terminant par <i>-en</i> sont généralement Neutres
466,25,B1,A1,B1,_____ Schulter,die,die Schulter,the shoulder,l'épaule,die Schultern,<br><br>Plural: die Schultern,<br><br>Pluriel: die Schultern,,,<br><br>Plural: die Schultern,<br><br>Pluriel: die Schultern
467,25,B1,A1,B1,_____ Unterstützung,die,die Unterstützung,the support,le soutien,,​,​,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,​<br><br>Words finishing in <i>-ung</i> are Feminine,​<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
468,25,B1,A1,B1,_____ Zeichen,das,das Zeichen,the sign,le signe,die Zeichen,<br><br>Plural: die Zeichen,<br><br>Pluriel: die Zeichen,Words formed from verb stems that end in <i>-en</i> are usually Neuter,Les noms communs formés à partir de racines verbales se terminant par <i>-en</i> sont généralement Neutres,<br><br>Plural: die Zeichen<br><br>Words formed from verb stems that end in <i>-en</i> are usually Neuter,<br><br>Pluriel: die Zeichen<br><br>Les noms communs formés à partir de racines verbales se terminant par <i>-en</i> sont généralement Neutres
469,25,B1,A1,B1,_____ Material,das,das Material,the material,le matériau,die Materialien,<br><br>Plural: die Materialien,<br><br>Pluriel: die Materialien,,,<br><br>Plural: die Materialien,<br><br>Pluriel: die Materialien
470,25,B1,A1,B1,_____ Produktion,die,die Produktion,the production,la production,die Produktionen,<br><br>Plural: die Produktionen,<br><br>Pluriel: die Produktionen,Words finishing in <i>-ion</i> are usually Feminine,Les noms communs se terminant par <i>-ion</i> sont généralement Féminins,<br><br>Plural: die Produktionen<br><br>Words finishing in <i>-ion</i> are usually Feminine,<br><br>Pluriel: die Produktionen<br><br>Les noms communs se terminant par <i>-ion</i> sont généralement Féminins
471,25,B1,A1,B1,_____ Schaden,der,der Schaden,the damage,le dégât,die Schäden,<br><br>Plural: die Schäden,<br><br>Pluriel: die Schäden,,,<br><br>Plural: die Schäden,<br><br>Pluriel: die Schäden
472,25,B1,A1,B1,_____ Sorge,die,die Sorge,the worry,l'inquiétude,die Sorgen,<br><br>Plural: die Sorgen,<br><br>Pluriel: die Sorgen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Sorgen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Sorgen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
473,25,B1,A1,B1,_____ Tatsache,die,die Tatsache,the fact,le fait,die Tatsachen,<br><br>Plural: die Tatsachen,<br><br>Pluriel: die Tatsachen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Tatsachen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Tatsachen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
474,25,B1,A1,B1,_____ Umgebung,die,die Umgebung,the environment,l'environnement,die Umgebungen,<br><br>Plural: die Umgebungen,<br><br>Pluriel: die Umgebungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Umgebungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Umgebungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
475,25,B1,A1,B1,_____ Zweck,der,der Zweck,the purpose,le but,die Zwecke,<br><br>Plural: die Zwecke,<br><br>Pluriel: die Zwecke,,,<br><br>Plural: die Zwecke,<br><br>Pluriel: die Zwecke
476,25,B1,A1,B1,_____ Antrag,der,der Antrag,the application,l'application,die Anträge,<br><br>Plural: die Anträge,<br><br>Pluriel: die Anträge,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Anträge<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Anträge<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
477,25,B1,A1,B1,_____ Öffentlichkeit,die,die Öffentlichkeit,the public,le public,,​,​,Words finishing in <i>-keit</i> are Feminine,Les noms communs se terminant par <i>-keit</i> sont Féminins,​<br><br>Words finishing in <i>-keit</i> are Feminine,​<br><br>Les noms communs se terminant par <i>-keit</i> sont Féminins
478,25,B1,A1,B1,_____ Schutz,der,der Schutz,the protection,la protection,die Schutze,<br><br>Plural: die Schutze,<br><br>Pluriel: die Schutze,,,<br><br>Plural: die Schutze,<br><br>Pluriel: die Schutze
479,25,B1,A1,B1,_____ Energie,die,die Energie,the energy,l'énergie,die Energien,<br><br>Plural: die Energien,<br><br>Pluriel: die Energien,Words finishing in <i>-ie</i> are usually Feminine,Les noms communs se terminant par <i>-ie</i> sont généralement Féminins,<br><br>Plural: die Energien<br><br>Words finishing in <i>-ie</i> are usually Feminine,<br><br>Pluriel: die Energien<br><br>Les noms communs se terminant par <i>-ie</i> sont généralement Féminins
480,25,B1,A1,B1,_____ Erklärung,die,die Erklärung,the explanation,l'explication,die Erklärungen,<br><br>Plural: die Erklärungen,<br><br>Pluriel: die Erklärungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Erklärungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Erklärungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
481,25,B1,A1,B1,_____ Gang,der,der Gang,the aisle,l'allée,die Gänge,<br><br>Plural: die Gänge,<br><br>Pluriel: die Gänge,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Gänge<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Gänge<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
482,26,B1,A1,B1,_____ Amt,das,das Amt,the Office,le Bureau,die Ämter,<br><br>Plural: die Ämter,<br><br>Pluriel: die Ämter,,,<br><br>Plural: die Ämter,<br><br>Pluriel: die Ämter
483,26,B1,A1,B1,_____ Einrichtung,die,die Einrichtung,the facility,l'installation,die Einrichtungen,<br><br>Plural: die Einrichtungen,<br><br>Pluriel: die Einrichtungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Einrichtungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Einrichtungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
484,26,B1,A1,B1,_____ Feld,das,das Feld,the field,le champ,die Felder,<br><br>Plural: die Felder,<br><br>Pluriel: die Felder,,,<br><br>Plural: die Felder,<br><br>Pluriel: die Felder
485,26,B1,A1,B1,_____ Publikum,das,das Publikum,the audience,le public,die Publika,<br><br>Plural: die Publika,<br><br>Pluriel: die Publika,Words finishing in <i>-um</i> are generally Neuter,Les noms communs se terminant par <i>-um</i> sont généralement Neutres,<br><br>Plural: die Publika<br><br>Words finishing in <i>-um</i> are generally Neuter,<br><br>Pluriel: die Publika<br><br>Les noms communs se terminant par <i>-um</i> sont généralement Neutres
486,26,B1,A1,B1,_____ Studie,die,die Studie,the study,l'étude,die Studien,<br><br>Plural: die Studien,<br><br>Pluriel: die Studien,Words finishing in <i>-ie</i> are usually Feminine,Les noms communs se terminant par <i>-ie</i> sont généralement Féminins,<br><br>Plural: die Studien<br><br>Words finishing in <i>-ie</i> are usually Feminine,<br><br>Pluriel: die Studien<br><br>Les noms communs se terminant par <i>-ie</i> sont généralement Féminins
487,26,B1,A1,B1,_____ Spur,die,die Spur,the trail,le sentier,die Spuren,<br><br>Plural: die Spuren,<br><br>Pluriel: die Spuren,Words finishing in <i>-ur</i> are usually Feminine,Les noms communs se terminant par <i>-ur</i> sont généralement Féminins,<br><br>Plural: die Spuren<br><br>Words finishing in <i>-ur</i> are usually Feminine,<br><br>Pluriel: die Spuren<br><br>Les noms communs se terminant par <i>-ur</i> sont généralement Féminins
488,26,B1,A1,B1,_____ Faktor,der,der Faktor,the factor,le facteur,die Faktoren,<br><br>Plural: die Faktoren,<br><br>Pluriel: die Faktoren,Words finishing in <i>-or</i> are usually Masculine,Les noms communs se terminant par <i>-or</i> sont généralement Masculins,<br><br>Plural: die Faktoren<br><br>Words finishing in <i>-or</i> are usually Masculine,<br><br>Pluriel: die Faktoren<br><br>Les noms communs se terminant par <i>-or</i> sont généralement Masculins
489,26,B1,A1,B1,_____ Freiheit,die,die Freiheit,the freedom,la liberté,die Freiheiten,<br><br>Plural: die Freiheiten,<br><br>Pluriel: die Freiheiten,Words finishing in <i>-heit</i> are Feminine,Les noms communs se terminant par <i>-heit</i> sont Féminins,<br><br>Plural: die Freiheiten<br><br>Words finishing in <i>-heit</i> are Feminine,<br><br>Pluriel: die Freiheiten<br><br>Les noms communs se terminant par <i>-heit</i> sont Féminins
490,26,B1,A1,B1,_____ Gegend,die,die Gegend,the area,la région,die Gegenden,<br><br>Plural: die Gegenden,<br><br>Pluriel: die Gegenden,,,<br><br>Plural: die Gegenden,<br><br>Pluriel: die Gegenden
491,26,B1,A1,B1,_____ Kritik,die,die Kritik,the criticism,la critique,die Kritiken,<br><br>Plural: die Kritiken,<br><br>Pluriel: die Kritiken,Words finishing in <i>-ik</i> are usually Feminine,Les noms communs se terminant par <i>-ik</i> sont généralement Féminins,<br><br>Plural: die Kritiken<br><br>Words finishing in <i>-ik</i> are usually Feminine,<br><br>Pluriel: die Kritiken<br><br>Les noms communs se terminant par <i>-ik</i> sont généralement Féminins
492,26,B1,A1,B1,_____ Typ,der,der Typ,the type,le type,die Typen,<br><br>Plural: die Typen,<br><br>Pluriel: die Typen,,,<br><br>Plural: die Typen,<br><br>Pluriel: die Typen
493,26,B1,A1,B1,_____ Ereignis,das,das Ereignis,the event,l'événement,die Ereignisse,<br><br>Plural: die Ereignisse,<br><br>Pluriel: die Ereignisse,Words finishing in <i>-nis</i> are mostly Neuter,Les noms communs se terminant par <i>-nis</i> sont pour la plupart Neutres,<br><br>Plural: die Ereignisse<br><br>Words finishing in <i>-nis</i> are mostly Neuter,<br><br>Pluriel: die Ereignisse<br><br>Les noms communs se terminant par <i>-nis</i> sont pour la plupart Neutres
494,26,B1,A1,B1,_____ Kontrolle,die,die Kontrolle,the control,le contrôle,die Kontrollen,<br><br>Plural: die Kontrollen,<br><br>Pluriel: die Kontrollen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Kontrollen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Kontrollen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
495,26,B1,A1,B1,_____ Opfer,das,das Opfer,the victim,la victime,die Opfer,<br><br>Plural: die Opfer,<br><br>Pluriel: die Opfer,,,<br><br>Plural: die Opfer,<br><br>Pluriel: die Opfer
496,26,B1,A1,B1,_____ Aufnahme,die,die Aufnahme,the recording,l'enregistrement,die Aufnahmen,<br><br>Plural: die Aufnahmen,<br><br>Pluriel: die Aufnahmen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Aufnahmen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Aufnahmen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
497,26,B1,A1,B1,_____ Fähigkeit,die,die Fähigkeit,the ability,la capacité,die Fähigkeiten,<br><br>Plural: die Fähigkeiten,<br><br>Pluriel: die Fähigkeiten,Words finishing in <i>-keit</i> are Feminine,Les noms communs se terminant par <i>-keit</i> sont Féminins,<br><br>Plural: die Fähigkeiten<br><br>Words finishing in <i>-keit</i> are Feminine,<br><br>Pluriel: die Fähigkeiten<br><br>Les noms communs se terminant par <i>-keit</i> sont Féminins
498,26,B1,A1,B1,_____ Verantwortung,die,die Verantwortung,the responsibility,la responsabilité,die Verantwortungen,<br><br>Plural: die Verantwortungen,<br><br>Pluriel: die Verantwortungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Verantwortungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Verantwortungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
499,26,B1,A1,B1,_____ Wahrheit,die,die Wahrheit,the truth,la vérité,die Wahrheiten,<br><br>Plural: die Wahrheiten,<br><br>Pluriel: die Wahrheiten,Words finishing in <i>-heit</i> are Feminine,Les noms communs se terminant par <i>-heit</i> sont Féminins,<br><br>Plural: die Wahrheiten<br><br>Words finishing in <i>-heit</i> are Feminine,<br><br>Pluriel: die Wahrheiten<br><br>Les noms communs se terminant par <i>-heit</i> sont Féminins
500,26,B1,A1,B1,_____ Gebäude,das,das Gebäude,the building,le bâtiment,die Gebäude,<br><br>Plural: die Gebäude,<br><br>Pluriel: die Gebäude,Words beginning in <i>Ge-</i> are usually Neuter,Les noms communs commençant par <i>Ge-</i> sont généralement Neutres,<br><br>Plural: die Gebäude<br><br>Words beginning in <i>Ge-</i> are usually Neuter,<br><br>Pluriel: die Gebäude<br><br>Les noms communs commençant par <i>Ge-</i> sont généralement Neutres
501,26,B1,A1,B1,_____ Hoffnung,die,die Hoffnung,the hope,l'espoir,die Hoffnungen,<br><br>Plural: die Hoffnungen,<br><br>Pluriel: die Hoffnungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Hoffnungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Hoffnungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
502,27,B1,A1,B1,_____ Bericht,der,der Bericht,the report,le rapport,die Berichte,<br><br>Plural: die Berichte,<br><br>Pluriel: die Berichte,,,<br><br>Plural: die Berichte,<br><br>Pluriel: die Berichte
503,27,B1,A1,B1,_____ Gewinn,der,der Gewinn,the profit,le profit,die Gewinne,<br><br>Plural: die Gewinne,<br><br>Pluriel: die Gewinne,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Gewinne<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Gewinne<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
504,27,B1,A1,B1,_____ König,der,der König,the king,le roi,die Könige,<br><br>Plural: die Könige,<br><br>Pluriel: die Könige,Words finishing in <i>-ig</i> are Masculine,Les noms communs se terminant par <i>-ig</i> sont Masculins,<br><br>Plural: die Könige<br><br>Words finishing in <i>-ig</i> are Masculine,<br><br>Pluriel: die Könige<br><br>Les noms communs se terminant par <i>-ig</i> sont Masculins
505,27,B1,A1,B1,_____ Sieg,der,der Sieg,the victory,la victoire,die Siege,<br><br>Plural: die Siege,<br><br>Pluriel: die Siege,Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins,<br><br>Plural: die Siege<br><br>Words formed from verb stems that do not end in <i>-en</i> or <i>-t</i> are usually Masculine,<br><br>Pluriel: die Siege<br><br>Les noms communs formés à partir de racines verbales qui ne se terminent pas par <i>-en</i> ou <i>-t</i> sont généralement Masculins <i>-en</i> ou <i>-t</i> sont généralement masculins
506,27,B1,A1,B1,_____ Tat,die,die Tat,the act,l'acte,die Taten,<br><br>Plural: die Taten,<br><br>Pluriel: die Taten,Words formed from verb stems that end in <i>-t</i> are usually Feminine,Les noms communs formés à partir de racines verbales se terminant par <i>-t</i> sont généralement Féminins,<br><br>Plural: die Taten<br><br>Words formed from verb stems that end in <i>-t</i> are usually Feminine,<br><br>Pluriel: die Taten<br><br>Les noms communs formés à partir de racines verbales se terminant par <i>-t</i> sont généralement Féminins
507,27,B1,A1,B1,_____ Direktor,der,der Direktor,the director,le directeur,die Direktoren,<br><br>Plural: die Direktoren,<br><br>Pluriel: die Direktoren,Words finishing in <i>-or</i> are usually Masculine,Les noms communs se terminant par <i>-or</i> sont généralement Masculins,<br><br>Plural: die Direktoren<br><br>Words finishing in <i>-or</i> are usually Masculine,<br><br>Pluriel: die Direktoren<br><br>Les noms communs se terminant par <i>-or</i> sont généralement Masculins
508,27,B1,A1,B1,_____ Rand,der,der Rand,the edge,le bord,die Ränder,<br><br>Plural: die Ränder,<br><br>Pluriel: die Ränder,,,<br><br>Plural: die Ränder,<br><br>Pluriel: die Ränder
509,27,B1,A1,B1,_____ Vergangenheit,die,die Vergangenheit,the past,le passé,,​,​,Words finishing in <i>-heit</i> are Feminine,Les noms communs se terminant par <i>-heit</i> sont Féminins,​<br><br>Words finishing in <i>-heit</i> are Feminine,​<br><br>Les noms communs se terminant par <i>-heit</i> sont Féminins
510,27,B1,A1,B1,_____ Abschnitt,der,der Abschnitt,the section,la section,die Abschnitte,<br><br>Plural: die Abschnitte,<br><br>Pluriel: die Abschnitte,,,<br><br>Plural: die Abschnitte,<br><br>Pluriel: die Abschnitte
511,27,B1,A1,B1,_____ Bauer,der,der Bauer,the farmer,le fermier,die Bauern,<br><br>Plural: die Bauern,<br><br>Pluriel: die Bauern,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Bauern<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Bauern<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
512,27,B1,A1,B1,_____ Ehe,die,die Ehe,the marriage,le mariage,die Ehen,<br><br>Plural: die Ehen,<br><br>Pluriel: die Ehen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Ehen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Ehen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
513,27,B1,A1,B1,_____ Ursache,die,die Ursache,the cause,la cause,die Ursachen,<br><br>Plural: die Ursachen,<br><br>Pluriel: die Ursachen,Most words finishing in <i>-e</i> are Feminine,La majorité des noms communs se terminant par <i>-e</i> sont Féminins,<br><br>Plural: die Ursachen<br><br>Most words finishing in <i>-e</i> are Feminine,<br><br>Pluriel: die Ursachen<br><br>La majorité des noms communs se terminant par <i>-e</i> sont Féminins
514,27,B1,A1,B1,_____ Verlust,der,der Verlust,the loss,la perte,die Verluste,<br><br>Plural: die Verluste,<br><br>Pluriel: die Verluste,,,<br><br>Plural: die Verluste,<br><br>Pluriel: die Verluste
515,27,B1,A1,B1,_____ Zuschauer,der,der Zuschauer,the spectator,le spectateur,die Zuschauer,<br><br>Plural: die Zuschauer,<br><br>Pluriel: die Zuschauer,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Zuschauer<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Zuschauer<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
516,27,B1,A1,B1,_____ Anzahl,die,die Anzahl,the number,le nombre,,​,​,,,​,​
517,27,B1,A1,B1,_____ Störung,die,die Störung,the disruption,la perturbation,die Störungen,<br><br>Plural: die Störungen,<br><br>Pluriel: die Störungen,Words finishing in <i>-ung</i> are Feminine,Les noms communs se terminant par <i>-ung</i> sont Féminins,<br><br>Plural: die Störungen<br><br>Words finishing in <i>-ung</i> are Feminine,<br><br>Pluriel: die Störungen<br><br>Les noms communs se terminant par <i>-ung</i> sont Féminins
518,27,B1,A1,B1,_____ Vertreter,der,der Vertreter,the representative,le représentant,die Vertreter,<br><br>Plural: die Vertreter,<br><br>Pluriel: die Vertreter,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Vertreter<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Vertreter<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
519,27,B1,A1,B1,_____ Generation,die,die Generation,the generation,la génération,die Generationen,<br><br>Plural: die Generationen,<br><br>Pluriel: die Generationen,Words finishing in <i>-ion</i> are usually Feminine,Les noms communs se terminant par <i>-ion</i> sont généralement Féminins,<br><br>Plural: die Generationen<br><br>Words finishing in <i>-ion</i> are usually Feminine,<br><br>Pluriel: die Generationen<br><br>Les noms communs se terminant par <i>-ion</i> sont généralement Féminins
520,27,B1,A1,B1,_____ Leiter,der,der Leiter,the leader,le leader,die Leitern,<br><br>Plural: die Leitern,<br><br>Pluriel: die Leitern,"Words designating Men, including through professions and nationalities, are Masculine","Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins","<br><br>Plural: die Leitern<br><br>Words designating Men, including through professions and nationalities, are Masculine","<br><br>Pluriel: die Leitern<br><br>Les noms communs désignant les hommes, notamment par leur profession ou leur nationalité, sont Masculins"
