Nr,exercise,level,question,answer,german,english,french
439,22,A1,_____ Gericht,das,das Gericht,the court,le tribunal
440,22,A1,_____ Gewinn,der,der Gewinn,the profit,le profit
441,23,A1,_____ König,der,der König,the king,le roi
442,23,A1,_____ Sieg,der,der Sieg,the victory,la victoire
443,23,A1,_____ Tat,die,die Tat,the act,la loi
444,23,A1,_____ Traum,der,der Traum,the dream,le rêve
445,23,A1,_____ Union,die,die Union,the Union,l'Union
446,23,A1,_____ Besucher,der,der Besucher,the visitor,le visiteur
447,23,A1,_____ Bund,der,der Bund,the federal government,le gouvernement fédéral
448,23,A1,_____ Direktor,der,der Direktor,the director,le directeur
449,23,A1,_____ Geographie,die,die Geographie,geography,géographie
450,23,A1,_____ Hintergrund,der,der Hintergrund,the background,le contexte
451,23,A1,_____ Qualität,die,die Qualität,the quality,la qualité
452,23,A1,_____ Rand,der,der Rand,the edge,le bord
453,23,A1,_____ Vergangenheit,die,die Vergangenheit,the past,le passé
454,23,A1,_____ Abschnitt,der,der Abschnitt,the section,la section
455,23,A1,_____ Bauer,der,der Bauer,the farmer,le fermier
456,23,A1,_____ Ehe,die,die Ehe,the marriage,le mariage
457,23,A1,_____ Ursache,die,die Ursache,the cause,la cause
458,23,A1,_____ Verlust,der,der Verlust,the loss,la perte
459,23,A1,_____ Winter,der,der Winter,the winter,l'hiver
460,23,A1,_____ Zuschauer,der,der Zuschauer,the spectator,le spectateur
461,24,A1,_____ Anzahl,die,die Anzahl,the number,le nombre
462,24,A1,_____ Insel,die,die Insel,the island,l'île
463,24,A1,_____ Instrument,das,das Instrument,the instrument,l'instrument
464,24,A1,_____ Nachricht,die,die Nachricht,the message,le message
465,24,A1,_____ Störung,die,die Störung,the disruption,la perturbation
466,24,A1,_____ Vertreter,der,der Vertreter,the representative,le représentant
467,24,A1,_____ Vorschlag,der,der Vorschlag,the suggestion,la suggestion
468,24,A1,_____ Zentimeter,der,der Zentimeter,the centimeter,le centimètre
469,24,A1,_____ Abstand,der,der Abstand,the distance,la distance
470,24,A1,_____ Bildung,die,die Bildung,the education,l'éducation
471,24,A1,_____ Eigenschaft,die,die Eigenschaft,the property,la propriété
472,24,A1,_____ Generation,die,die Generation,the generation,la génération
473,24,A1,_____ Leiter,der,der Leiter,the ladder,l'échelle
474,24,A1,_____ Leiter,die,die Leiter,the ladder,l'échelle
475,24,A1,_____ Abschluss,der,der Abschluss,the conclusion,la conclusion
476,24,A1,_____ Blatt,das,das Blatt,the leaf,la feuille
477,24,A1,_____ Geist,der,der Geist,the spirit,l'esprit
478,24,A1,_____ Interview,das,das Interview,the interview,l'interview
479,24,A1,_____ Semester,das,das Semester,the semester,le semestre
480,24,A1,_____ Stand,der,der Stand,the stand,le stand
481,25,A1,_____ Tradition,die,die Tradition,the tradition,la tradition
482,25,A1,_____ Anlage,die,die Anlage,the attachment,la pièce jointe
483,25,A1,_____ Behörde,die,die Behörde,the authority,l'autorité
484,25,A1,_____ Bühne,die,die Bühne,the stage,la scène
485,25,A1,_____ Dame,die,die Dame,the lady,la dame
486,25,A1,_____ Element,das,das Element,the element,l'élément
487,25,A1,_____ Gelegenheit,die,die Gelegenheit,the opportunity,l'opportunité
488,25,A1,_____ Hof,der,der Hof,the yard,la cour
489,25,A1,_____ Kommunikation,die,die Kommunikation,the communication,la communication
490,25,A1,_____ Mama,die,die Mama,the mother,la mère
491,25,A1,_____ Museum,das,das Museum,the museum,le musée
492,25,A1,_____ Nutzung,die,die Nutzung,the use,l'utilisation
493,25,A2,_____ Basis,die,die Basis,the base,la base
494,25,A2,_____ Ecke,die,die Ecke,the corner,le coin
495,25,A2,_____ Herbst,der,der Herbst,the autumn,l'automne
496,25,A2,_____ Kriterium,das,das Kriterium,the criterion,le critère
497,25,A2,_____ Terror,der,der Terror,the terror,la terreur
498,25,A2,_____ Verständnis,das,das Verständnis,the understanding,la compréhension
499,25,A2,_____ Zusammenarbeit,die,die Zusammenarbeit,the collaboration,la collaboration
500,25,A2,_____ Ansicht,die,die Ansicht,the view,la vue
501,26,A2,_____ Auseinandersetzung,die,die Auseinandersetzung,the dispute,le différend
502,26,A2,_____ Bahn,die,die Bahn,the train,le train
503,26,A2,_____ Bürgermeister,der,der Bürgermeister,the mayor,le maire
504,26,A2,_____ Definition,die,die Definition,the definition,la définition
505,26,A2,_____ Flugzeug,das,das Flugzeug,The plane,L'avion
506,26,A2,_____ Foto,das,das Foto,the photo,la photo
507,26,A2,_____ Masse,die,die Masse,the mass,la masse
508,26,A2,_____ Nation,die,die Nation,the nation,la nation
509,26,A2,_____ Phase,die,die Phase,the phase,la phase
510,26,A2,_____ Stein,der,der Stein,the stone,la pierre
511,26,A2,_____ Ton,der,der Ton,the tone,le ton
512,26,A2,_____ Veranstaltung,die,die Veranstaltung,the event,l'événement
513,26,A2,_____ Änderung,die,die Änderung,the change,le changement
514,26,A2,_____ Ausnahme,die,die Ausnahme,the exception,l'exception
515,26,A2,_____ Bau,der,der Bau,the construction,la construction
516,26,A2,_____ Hobby,das,das Hobby,the hobby,le passe-temps
517,26,A2,_____ Kaffee,der,der Kaffee,the coffee,le café
518,26,A2,_____ Konflikt,der,der Konflikt,the conflict,le conflit
519,26,A2,_____ Leitung,die,die Leitung,the management,la direction
520,26,A2,_____ Lust,die,die Lust,the lust,la convoitise
521,27,A2,_____ Mehrheit,die,die Mehrheit,the majority,la majorité
522,27,A2,_____ Nachmittag,der,der Nachmittag,the afternoon,l'après-midi
523,27,A2,_____ Rechnung,die,die Rechnung,the bill,le projet de loi
524,27,A2,_____ Schloss,das,das Schloss,the castle,le château
525,27,A2,_____ Aktivität,die,die Aktivität,the activity,l'activité
526,27,A2,_____ Dach,das,das Dach,the roof,le toit
527,27,A2,_____ Fest,das,das Fest,the party,la fête
528,27,A2,_____ Kandidat,der,der Kandidat,the candidate,le candidat
529,27,A2,_____ Landschaft,die,die Landschaft,the landscape,le paysage
530,27,A2,_____ Mannschaft,die,die Mannschaft,the team,l'équipe
531,27,A2,_____ Mauer,die,die Mauer,the wall,le mur
532,27,A2,_____ Runde,die,die Runde,the round,le rond
533,27,A2,_____ Stern,der,der Stern,the star,la star
534,27,A2,_____ Experte,der,der Experte,the expert,l'expert
535,27,A2,_____ Gestalt,die,die Gestalt,the shape,la forme
536,27,A2,_____ Laden,der,der Laden,the store,le magasin
537,27,A2,_____ Meister,der,der Meister,the master,le maître
538,27,A2,_____ Stellung,die,die Stellung,the position,la position
539,27,A2,_____ Zugang,der,der Zugang,the access,l'accès
540,27,A2,_____ Branche,die,die Branche,the industry,l'industrie
541,28,A2,_____ Figur,die,die Figur,the character,le personnage
542,28,A2,_____ Frieden,der,der Frieden,the peace,la paix
543,28,A2,_____ Industrie,die,die Industrie,the industry,l'industrie
544,28,A2,_____ Umgang,der,der Umgang,the handling,la manutention
545,28,A2,_____ Vorgang,der,der Vorgang,the process,le processus
546,28,A2,_____ Wachstum,das,das Wachstum,the growth,la croissance
547,28,A2,_____ Büro,das,das Büro,the office,le bureau
548,28,A2,_____ Darstellung,die,die Darstellung,the representation,la représentation
549,28,A2,_____ Fußball,der,der Fußball,football,le football
550,28,A2,_____ Gewalt,die,die Gewalt,the violence,la violence
551,28,A2,_____ Institution,die,die Institution,the institution,l'institution
552,28,A2,_____ Katze,die,die Katze,the cat,le chat
553,28,A2,_____ Konzern,der,der Konzern,the group,le groupe
554,28,A2,_____ Lager,das,das Lager,the warehouse,l'entrepôt
555,28,A2,_____ Lehre,die,die Lehre,the teaching,l'enseignement
556,28,A2,_____ Pferd,das,das Pferd,the horse,le cheval
557,28,A2,_____ Rat,der,der Rat,the council,le conseil
558,28,A2,_____ Schatten,der,der Schatten,the shadow,l'ombre
559,28,A2,_____ Spitze,die,die Spitze,the summit,le sommet
560,28,A2,_____ Strecke,die,die Strecke,the route,la route
561,29,A2,_____ Szene,die,die Szene,the scene,la scène
562,29,A2,_____ Weltmeisterschaft,die,die Weltmeisterschaft,the World Cup,la Coupe du monde
563,29,A2,_____ Blut,das,das Blut,the blood,le sang
564,29,A2,_____ Dauer,die,die Dauer,the duration,la durée
565,29,A2,_____ Feuer,das,das Feuer,the fire,le feu
566,29,A2,_____ Gymnasium,das,das Gymnasium,the high school,le lycée
567,29,A2,_____ Konsequenz,die,die Konsequenz,the consequence,la conséquence
568,29,A2,_____ Nase,die,die Nase,the nose,le nez
569,29,A2,_____ Stuhl,der,der Stuhl,the chair,la chaise
570,29,A2,_____ Süden,der,der Süden,the south,le sud
571,29,A2,_____ Tor,das,das Tor,the gate,la porte
572,29,A2,_____ Verband,der,der Verband,the association,l'association
573,29,A2,_____ Aktie,die,die Aktie,the stock,le stock
574,29,A2,_____ Aktion,die,die Aktion,the action,l'action
575,29,A2,_____ Anlass,der,der Anlass,the occasion,l'occasion
576,29,A2,_____ Ausgabe,die,die Ausgabe,the issue,le problème
577,29,A2,_____ Ausländer,der,der Ausländer,the foreigner,l'étranger
578,29,A2,_____ Bundesland,das,das Bundesland,the federal state,l'État fédéral
579,29,A2,_____ Club,der,der Club,the club,le club
580,29,A2,_____ Fluss,der,der Fluss,the river,la rivière
581,30,A2,_____ Führung,die,die Führung,the leadership,le leadership
582,30,A2,_____ Geschwindigkeit,die,die Geschwindigkeit,the speed,la vitesse
583,30,A2,_____ Gut,das,das Gut,the good,le bien
584,30,A2,_____ Medizin,die,die Medizin,medicine,la médecine
585,30,A2,_____ Nachbar,der,der Nachbar,the neighbor,le voisin
586,30,A2,_____ Software,die,die Software,the software,le logiciel
587,30,A2,_____ Stufe,die,die Stufe,the level,le niveau
588,30,A2,_____ Telefon,das,das Telefon,the phone,le téléphone
589,30,A2,_____ Terrorismus,der,der Terrorismus,the terrorism,le terrorisme
590,30,A2,_____ Trainer,der,der Trainer,the coach,l'entraîneur
591,30,A2,_____ Zweifel,der,der Zweifel,the doubt,le doute
592,30,A2,_____ Anforderung,die,die Anforderung,the requirement,l'exigence
593,30,A2,_____ Bad,das,das Bad,the bathroom,la salle de bain
594,30,A2,_____ Belastung,die,die Belastung,the burden,le fardeau
595,30,A2,_____ Bus,der,der Bus,the bus,le bus
596,30,A2,_____ Effekt,der,der Effekt,the effect,l'effet
597,30,A2,_____ Messe,die,die Messe,the fair,la foire
598,30,A2,_____ Umfang,der,der Umfang,the scope,la portée
599,30,A2,_____ Vorschrift,die,die Vorschrift,the regulation,le règlement
600,30,A2,_____ Fahrrad,das,das Fahrrad,the bike,le vélo
601,31,A2,_____ Kommission,die,die Kommission,the Commission,la Commission
602,31,A2,_____ Krankenhaus,das,das Krankenhaus,the hospital,l'hôpital
603,31,A2,_____ Mangel,der,der Mangel,the shortage,la pénurie
604,31,A2,_____ Richter,der,der Richter,the judge,le juge
605,31,A2,_____ Terrorist,der,der Terrorist,the terrorist,le terroriste
606,31,A2,_____ Urteil,das,das Urteil,the verdict,le verdict
607,31,A2,_____ Anbieter,der,der Anbieter,the provider,le fournisseur
608,31,A2,_____ Decke,die,die Decke,the ceiling,le plafond
609,31,A2,_____ Fisch,der,der Fisch,the fish,le poisson
610,31,A2,_____ Fleisch,das,das Fleisch,the meat,la viande
611,31,A2,_____ Jugend,die,die Jugend,the youth,la jeunesse
612,31,A2,_____ Schmerz,der,der Schmerz,the pain,la douleur
613,31,A2,_____ Schuld,die,die Schuld,the blame,la faute
614,31,A2,_____ Stimmung,die,die Stimmung,the mood,l'humeur
615,31,A2,_____ Tasche,die,die Tasche,the bag,le sac
616,31,A2,_____ Wein,der,der Wein,the wine,le vin
617,31,A2,_____ Welle,die,die Welle,the wave,la vague
618,31,A2,_____ Wettbewerb,der,der Wettbewerb,the competition,la compétition
619,31,A2,_____ Wetter,das,das Wetter,the weather,la météo
620,31,A2,_____ Alternative,die,die Alternative,the alternative,l'alternative
621,32,A2,_____ Auswirkung,die,die Auswirkung,the effect,l'effet
622,32,A2,_____ Bedürfnis,das,das Bedürfnis,the need,le besoin
623,32,A2,_____ Haltung,die,die Haltung,the attitude,l'attitude
624,32,A2,_____ Leser,der,der Leser,the reader,le lecteur
625,32,A2,_____ Tante,die,die Tante,the aunt,la tante
626,32,A2,_____ Temperatur,die,die Temperatur,the temperature,la température
627,32,A2,_____ Waffe,die,die Waffe,the weapon,l'arme
628,32,A2,_____ Ware,die,die Ware,the goods,la marchandise
629,32,A2,_____ Ahnung,die,die Ahnung,the feeling,le sentiment
630,32,A2,_____ Brust,die,die Brust,the breast,le sein
631,32,A2,_____ Einführung,die,die Einführung,the introduction,l'introduction
632,32,A2,_____ Fahrt,die,die Fahrt,the ride,le trajet
633,32,A2,_____ Förderung,die,die Förderung,the promotion,la promotion
634,32,A2,_____ Kleid,das,das Kleid,the dress,la robe
635,32,A2,_____ Koalition,die,die Koalition,the coalition,la coalition
636,32,A2,_____ Länge,die,die Länge,the length,la longueur
637,32,A2,_____ Loch,das,das Loch,the hole,le trou
638,32,A2,_____ Manager,der,der Manager,the manager,le gérant
639,32,A2,_____ Quelle,die,die Quelle,the source,la source
640,32,A2,_____ Regen,der,der Regen,the rain,la pluie
641,33,A2,_____ Religion,die,die Religion,the religion,la religion
642,33,A2,_____ Spieler,der,der Spieler,the player,le joueur
643,33,A2,_____ Summe,die,die Summe,the sum,la somme
644,33,A2,_____ Termin,der,der Termin,the appointment,le rendez-vous
645,33,A2,_____ Test,der,der Test,the test,le test
646,33,A2,_____ Tourist,der,der Tourist,the tourist,le touriste
647,33,A2,_____ Umsatz,der,der Umsatz,the revenue,le revenu
648,33,A2,_____ Vertrauen,das,das Vertrauen,the trust,la confiance
649,33,A2,_____ Verwendung,die,die Verwendung,the use,l'utilisation
650,33,A2,_____ Vorwurf,der,der Vorwurf,the accusation,l'accusation
651,33,A2,_____ Wissenschaftler,der,der Wissenschaftler,the scientist,le scientifique
652,33,A2,_____ Bier,das,das Bier,the beer,la bière
653,33,A2,_____ Bundesregierung,die,die Bundesregierung,the Federal Government,le gouvernement fédéral
654,33,A2,_____ Konzert,das,das Konzert,the concert,le concert
655,33,A2,_____ Krise,die,die Krise,the crisis,la crise
656,33,A2,_____ Landwirtschaft,die,die Landwirtschaft,agriculture,agriculture
657,33,A2,_____ Leid,das,das Leid,the suffering,la souffrance
658,33,A2,_____ Lied,das,das Lied,the song,la chanson
659,33,A2,_____ Merkmal,das,das Merkmal,the characteristic,la caractéristique
660,33,A2,_____ Parlament,das,das Parlament,the parliament,le parlement
661,34,A2,_____ Pause,die,die Pause,the break,la pause
662,34,A2,_____ Perspektive,die,die Perspektive,the perspective,la perspective
663,34,A2,_____ Phänomen,das,das Phänomen,the phenomenon,le phénomène
664,34,A2,_____ Realität,die,die Realität,the reality,la réalité
665,34,A2,_____ Suche,die,die Suche,the search,la recherche
666,34,A2,_____ Weltkrieg,der,der Weltkrieg,the World War,la guerre mondiale
667,34,A2,_____ Arbeitgeber,der,der Arbeitgeber,the employer,l'employeur
668,34,A2,_____ Aufbau,der,der Aufbau,the structure,la structure
669,34,A2,_____ Botschaft,die,die Botschaft,the message,le message
670,34,A2,_____ Brot,das,das Brot,the bread,le pain
671,34,A2,_____ Flasche,die,die Flasche,the bottle,la bouteille
672,34,A2,_____ Formel,die,die Formel,the formula,la formule
673,34,A2,_____ Fortschritt,der,der Fortschritt,the progress,le progrès
674,34,A2,_____ Geburtstag,der,der Geburtstag,the birthday,l'anniversaire
675,34,A2,_____ Gegenwart,die,die Gegenwart,the present,le présent
676,34,A2,_____ Hauptstadt,die,die Hauptstadt,the capital,la capitale
677,34,A2,_____ Mühe,die,die Mühe,the effort,l'effort
678,34,A2,_____ Nachfrage,die,die Nachfrage,the demand,la demande
679,34,A2,_____ Pflicht,die,die Pflicht,the duty,le devoir
680,34,A2,_____ Studiengang,der,der Studiengang,the study program,le programme d'études
681,35,A2,_____ Teilnehmer,der,der Teilnehmer,the participant,le participant
682,35,A2,_____ Wille,der,der Wille,the will,le testament
683,35,A2,_____ Debatte,die,die Debatte,the debate,le débat
684,35,A2,_____ Fremdsprache,die,die Fremdsprache,the foreign language,la langue étrangère
685,35,A2,_____ Gegner,der,der Gegner,the opponent,l'adversaire
686,35,A2,_____ Hinsicht,die,die Hinsicht,the view,la vue
687,35,A2,_____ Käufer,der,der Käufer,the buyer,l'acheteur
688,35,A2,_____ Kilogramm,das,das Kilogramm,the kilogram,le kilogramme
689,35,A2,_____ Verwaltung,die,die Verwaltung,the administration,l'administration
690,35,A2,_____ Weile,die,die Weile,the while,pendant ce temps
691,35,A2,_____ Adresse,die,die Adresse,the address,l'adresse
692,35,A2,_____ Betrag,der,der Betrag,the amount,la quantité
693,35,A2,_____ Hals,der,der Hals,the neck,le cou
694,35,A2,_____ Heimat,die,die Heimat,the homeland,la patrie
695,35,A2,_____ Kauf,der,der Kauf,the purchase,l'achat
696,35,A2,_____ Kino,das,das Kino,the cinema,le cinéma
697,35,A2,_____ Konkurrenz,die,die Konkurrenz,the competition,la compétition
698,35,A2,_____ Mathematik,die,die Mathematik,the mathematics,les mathématiques
699,35,A2,_____ Schicht,die,die Schicht,the layer,la couche
700,35,A2,_____ Schwerpunkt,der,der Schwerpunkt,the focus,l'accent
701,36,A2,_____ Streit,der,der Streit,the dispute,le différend
702,36,A2,_____ Verhandlung,die,die Verhandlung,the negotiation,la négociation
703,36,A2,_____ Ablauf,der,der Ablauf,the process,le processus
704,36,A2,_____ Arbeitnehmer,der,der Arbeitnehmer,the employee,l'employé
705,36,A2,_____ Drittel,das,das Drittel,the third,le troisième
706,36,A2,_____ Fahrer,der,der Fahrer,the driver,le conducteur
707,36,A2,_____ Gegenteil,das,das Gegenteil,the contrary,le contraire
708,36,A2,_____ Gemeinschaft,die,die Gemeinschaft,the community,la communauté
709,36,A2,_____ Gewerkschaft,die,die Gewerkschaft,the union,le syndicat
710,36,A2,_____ Handel,der,der Handel,the trade,le commerce
711,36,A2,_____ Kanzler,der,der Kanzler,the Chancellor,le chancelier
712,36,A2,_____ Management,das,das Management,the management,la direction
713,36,A2,_____ Millimeter,der,der Millimeter,the millimeter,le millimètre
714,36,A2,_____ Minister,der,der Minister,the minister,le ministre
715,36,A2,_____ Nachteil,der,der Nachteil,the disadvantage,le désavantage
716,36,A2,_____ Platte,die,die Platte,the record,le record
717,36,A2,_____ Sitz,der,der Sitz,the seat,le siège
718,36,A2,_____ Start,der,der Start,the start,le début
719,36,A2,_____ Tabelle,die,die Tabelle,the table,la table
720,36,A2,_____ Tourismus,der,der Tourismus,the tourism,le tourisme
721,37,A2,_____ Verdacht,der,der Verdacht,the suspicion,le soupçon
722,37,A2,_____ Vogel,der,der Vogel,the bird,l'oiseau
723,37,A2,_____ Widerstand,der,der Widerstand,the resistance,la résistance
724,37,A2,_____ Investition,die,die Investition,the investment,l'investissement
725,37,A2,_____ Planung,die,die Planung,the planning,la planification
726,37,A2,_____ Polizist,der,der Polizist,the police officer,l'agent de police
727,37,A2,_____ Schriftsteller,der,der Schriftsteller,the writer,l'écrivain
728,37,A2,_____ Stärke,die,die Stärke,the strength,la force
729,37,A2,_____ Steuer,die,die Steuer,the tax,l'impôt
730,37,A2,_____ Steuer,das,das Steuer,the steering,la direction
731,37,A2,_____ Therapie,die,die Therapie,the therapy,la thérapie
732,37,A2,_____ Überlegung,die,die Überlegung,the consideration,la considération
733,37,A2,_____ Verkehr,der,der Verkehr,the traffic,la circulation
734,37,A2,_____ Verletzung,die,die Verletzung,the injury,la blessure
735,37,A2,_____ Anschluss,der,der Anschluss,the connection,la connexion
736,37,A2,_____ Armee,die,die Armee,the army,l'armée
737,37,A2,_____ Atmosphäre,die,die Atmosphäre,the atmosphere,l'atmosphère
738,37,A2,_____ Auswahl,die,die Auswahl,the selection,la sélection
739,37,A2,_____ Beschreibung,die,die Beschreibung,the description,la description
740,37,A2,_____ Boot,das,das Boot,the boat,le bateau
741,38,A2,_____ Einnahme,die,die Einnahme,the revenue,le revenu
742,38,A2,_____ Erkrankung,die,die Erkrankung,the disease,la maladie
743,38,A2,_____ Fläche,die,die Fläche,the area,la région
744,38,A2,_____ Flughafen,der,der Flughafen,the airport,l'aéroport
745,38,A2,_____ Gehirn,das,das Gehirn,the brain,le cerveau
746,38,A2,_____ Gesundheit,die,die Gesundheit,the health,la santé
747,38,A2,_____ Park,der,der Park,the park,le parc
748,38,A2,_____ PC,der,der PC,the PC,le PC
749,38,A2,_____ Physik,die,die Physik,physics,la physique
750,38,A2,_____ Post,die,die Post,the post,le poste
751,38,A2,_____ Saison,die,die Saison,the season,la saison
752,38,A2,_____ Stirn,die,die Stirn,the forehead,le front
753,38,A2,_____ Strategie,die,die Strategie,the strategy,la stratégie
754,38,A2,_____ Wechsel,der,der Wechsel,the change,le changement
755,38,A2,_____ Alltag,der,der Alltag,the everyday,le quotidien
756,38,A2,_____ Auftritt,der,der Auftritt,the performance,la performance
757,38,A2,_____ Bahnhof,der,der Bahnhof,the station,la station
758,38,A2,_____ Bundeskanzler,der,der Bundeskanzler,the Federal Chancellor,le chancelier fédéral
759,38,A2,_____ Demokratie,die,die Demokratie,democracy,la démocratie
760,38,A2,_____ Erwartung,die,die Erwartung,the expectation,l'attente
761,39,A2,_____ Fahrzeug,das,das Fahrzeug,the vehicle,le véhicule
762,39,A2,_____ Fotografie,die,die Fotografie,photography,photographie
763,39,A2,_____ Hersteller,der,der Hersteller,the manufacturer,le fabricant
764,39,A2,_____ Holz,das,das Holz,the wood,le bois
765,39,A2,_____ Knie,das,das Knie,the knee,le genou
766,39,A2,_____ Kombination,die,die Kombination,the combination,la combinaison
767,39,A2,_____ Liste,die,die Liste,the list,la liste
768,39,A2,_____ Niveau,das,das Niveau,the level,le niveau
769,39,A2,_____ Pfarrer,der,der Pfarrer,the pastor,le pasteur
770,39,A2,_____ Schicksal,das,das Schicksal,the fate,la destin
771,39,A2,_____ Schrift,die,die Schrift,the writing,l'écriture
772,39,A2,_____ Standort,der,der Standort,the location,l'emplacement
773,39,A2,_____ Verlag,der,der Verlag,the publisher,l'éditeur
774,39,A2,_____ Zeltraum,der,der Zeltraum,the tent room,la chambre sous la tente
775,39,A2,_____ Abteilung,die,die Abteilung,the Department,le Département
776,39,A2,_____ Beweis,der,der Beweis,the proof,la preuve
777,39,A2,_____ Detail,das,das Detail,the detail,le détail
778,39,A2,_____ Dimension,die,die Dimension,the dimension,la dimension
779,39,A2,_____ Forscher,der,der Forscher,the researcher,le chercheur
780,39,A2,_____ Integration,die,die Integration,the integration,l'intégration
781,40,A2,_____ Kasse,die,die Kasse,the cash register,la caisse enregistreuse
782,40,A2,_____ Kategorie,die,die Kategorie,the category,la catégorie
783,40,A2,_____ Organismus,der,der Organismus,the organism,l'organisme
784,40,A2,_____ Radio,das,das Radio,the radio,la radio
785,40,A2,_____ Unfall,der,der Unfall,the accident,l'accident
786,40,A2,_____ Verbesserung,die,die Verbesserung,the improvement,l'amélioration
787,40,A2,_____ Verpflichtung,die,die Verpflichtung,the obligation,l'obligation
788,40,A2,_____ Abitur,das,das Abitur,the high school diploma,le diplôme d'études secondaires
789,40,A2,_____ Bedarf,der,der Bedarf,the need,le besoin
790,40,A2,_____ Beratung,die,die Beratung,the consultation,la consultation
791,40,A2,_____ Beschäftigung,die,die Beschäftigung,the employment,l'emploi
792,40,A2,_____ Betrachtung,die,die Betrachtung,the consideration,la considération
793,40,A2,_____ Frühjahr,das,das Frühjahr,the spring,le printemps
794,40,A2,_____ Gewicht,das,das Gewicht,the weight,le poids
795,40,A2,_____ Journalist,der,der Journalist,the journalist,le journaliste
796,40,A2,_____ Kompetenz,die,die Kompetenz,the competence,la compétence
797,40,A2,_____ Lebensmittel,das,das Lebensmittel,the food,la nourriture
798,40,A2,_____ Mittelpunkt,der,der Mittelpunkt,the center,le centre
799,40,A2,_____ Spiegel,der,der Spiegel,the mirror,le miroir
800,40,A2,_____ Strand,der,der Strand,the beach,la plage
801,41,A2,_____ Treppe,die,die Treppe,the stairs,l'escalier
802,41,A2,_____ Vermögen,das,das Vermögen,the assets,le patrimoine
803,41,A2,_____ Wesen,das,das Wesen,the essence,l'essence
804,41,A2,_____ Arbeitslosigkeit,die,die Arbeitslosigkeit,the unemployment,le chômage
805,41,A2,_____ Beobachtung,die,die Beobachtung,the observation,l'observation
806,41,A2,_____ Bestandteil,der,der Bestandteil,the component,le composant
807,41,A2,_____ Beteiligung,die,die Beteiligung,the participation,la participation
808,41,A2,_____ Bewertung,die,die Bewertung,the rating,la note
809,41,A2,_____ Bezeichnung,die,die Bezeichnung,the designation,la désignation
810,41,A2,_____ Brücke,die,die Brücke,the bridge,le pont
811,41,A2,_____ CD,die,die CD,the CD,le CD
812,41,A2,_____ Gebrauch,der,der Gebrauch,the use,l'utilisation
813,41,A2,_____ Geschäftsführer,der,der Geschäftsführer,the managing director,le directeur général
814,41,A2,_____ Lippe,die,die Lippe,the lip,la lèvre
815,41,A2,_____ Ministerpräsident,der,der Ministerpräsident,the Prime Minister,le Premier ministre
816,41,A2,_____ Nutzen,der,der Nutzen,the benefit,l'avantage
817,41,A2,_____ Ruf,der,der Ruf,the reputation,la réputation
818,41,A2,_____ Signal,das,das Signal,the signal,le signal
819,41,A2,_____ Standard,der,der Standard,the standard,la norme
820,41,A2,_____ Start,der,der Start,the start,le début
821,42,A2,_____ Substanz,die,die Substanz,the substance,la substance
822,42,A2,_____ Taste,die,die Taste,the key,la clé
823,42,A2,_____ Teilchen,das,das Teilchen,the particle,la particule
824,42,A2,_____ Versicherung,die,die Versicherung,the insurance,l'assurance
825,42,A2,_____ Vorbereitung,die,die Vorbereitung,the preparation,la préparation
826,42,A2,_____ Vordergrund,der,der Vordergrund,the foreground,le premier plan
827,42,A2,_____ Anwalt,der,der Anwalt,the lawyer,l'avocat
828,42,A2,_____ Experiment,das,das Experiment,the experiment,l'expérience
829,42,A2,_____ Glauben,der,der Glauben,the faith,la foi
830,42,A2,_____ Grundsatz,der,der Grundsatz,the principle,le principe
831,42,A2,_____ Komponente,die,die Komponente,the component,le composant
832,42,A2,_____ Oberfläche,die,die Oberfläche,the surface,la surface
833,42,A2,_____ Reich,das,das Reich,the Empire,l'Empire
834,42,A2,_____ Rennen,das,das Rennen,the race,la course
835,42,A2,_____ Schlag,der,der Schlag,the blow,le coup
836,42,A2,_____ Schuh,der,der Schuh,the shoe,la chaussure
837,42,A2,_____ Seminar,das,das Seminar,the seminar,le séminaire
838,42,A2,_____ Sendung,die,die Sendung,the broadcast,la diffusion
839,42,A2,_____ Spannung,die,die Spannung,the tension,la tension
840,42,A2,_____ Technologie,die,die Technologie,the technology,la technologie
841,43,A2,_____ Truppe,die,die Truppe,the troop,la troupe
842,43,A2,_____ Umfeld,das,das Umfeld,the environment,l'environnement
843,43,A2,_____ Verbraucher,der,der Verbraucher,the consumer,le consommateur
844,43,A2,_____ Verkauf,der,der Verkauf,the sale,la vente
845,43,A2,_____ Viertel,das,das Viertel,the quarter,le trimestre
846,43,A2,_____ Vorjahr,das,das Vorjahr,the previous year,l'année précédente
847,43,A2,_____ Bilanz,die,die Bilanz,the balance sheet,le bilan
848,43,A2,_____ Erlebnis,das,das Erlebnis,the experience,l'expérience
849,43,A2,_____ Grundstück,das,das Grundstück,the property,la propriété
850,43,A2,_____ Identität,die,die Identität,the identity,l'identité
851,43,A2,_____ Kamera,die,die Kamera,the camera,l'appareil photo
852,43,A2,_____ Kanal,der,der Kanal,the canal,le canal
853,43,A2,_____ Karriere,die,die Karriere,the career,la carrière
854,43,A2,_____ Kredit,der,der Kredit,the loan,le prêt
855,43,A2,_____ Quartal,das,das Quartal,the quarter,le trimestre
856,43,A2,_____ Rad,das,das Rad,the wheel,la roue
857,43,A2,_____ Rechner,der,der Rechner,the computer,l'ordinateur
858,43,A2,_____ Schlaf,der,der Schlaf,the sleep,le sommeil
