exercise,level,level_routledge,level_goethe,question,answer,german,english,french,explanation_english_,explanation_french_,explanation_english,explanation_french
20,B1,A1,B1,die Luft,Lüfte,die Lüfte,the air,l'air,,,​,​
20,B1,A1,B1,der Vergleich,Vergleiche,die Vergleiche,the comparison,la comparaison,,,​,​
20,B1,A1,B1,das Modell,Modelle,die Modelle,the model,le modèle,,,​,​
20,B1,A1,B1,der Tod,Tode,die Tode,the death,la mort,,,​,​
20,B1,A1,B1,die Wirtschaft,Wirtschaften,die Wirtschaften,the economy,l'économie,,,​,​
20,B1,A1,B1,die Bewegung,Bewegungen,die Bewegungen,the movement,le mouvement,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
20,B1,A1,B1,die Sicherheit,Sicherheiten,die Sicherheiten,the safety,la sécurité,Words finishing in -heit add -en in their plural form,Les mots se terminant par -heit prennent la terminaison -en au pluriel,<br><br>Words finishing in -heit add -en in their plural form,<br><br>Les mots se terminant par -heit prennent la terminaison -en au pluriel
20,B1,A1,B1,das Gebiet,Gebiete,die Gebiete,the area,la région,,,​,​
20,B1,A1,B1,die Angabe,Angaben,die Angaben,the information,les informations,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
20,B1,A1,B1,das Herz,Herzen,die Herzen,the heart,le cœur,,,​,​
20,B1,A1,B1,der Anspruch,Ansprüche,die Ansprüche,the claim,la réclamation,,,​,​
20,B1,A1,B1,die Verbindung,Verbindungen,die Verbindungen,the connection,la connexion,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
20,B1,A1,B1,die Vorstellung,Vorstellungen,die Vorstellungen,the idea,l'idée,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
21,B1,A1,B1,der Patient,Patienten,die Patienten,the patient,le patient,,,​,​
21,B1,A1,B1,die Gefahr,Gefahren,die Gefahren,the danger,le danger,,,​,​
21,B1,A1,B1,der Stoff,Stoffe,die Stoffe,the fabric,le tissu,,,​,​
21,B1,A1,B1,der Beginn,Beginne,die Beginne,the beginning,le début,,,​,​
21,B1,A1,B1,der Professor,Professoren,die Professoren,the professor,le professeur,,,​,​
21,B1,A1,B1,die Bevölkerung,Bevölkerungen,die Bevölkerungen,the population,la population,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
21,B1,A1,B1,das Institut,Institute,die Institute,the institute,l'institut,,,​,​
21,B1,A1,B1,die Erde,Erden,die Erden,the earth,la terre,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
21,B1,A1,B1,der Vorteil,Vorteile,die Vorteile,the advantage,l'avantage,,,​,​
21,B1,A1,B1,der Autor,Autoren,die Autoren,the author,l'auteur,,,​,​
21,B1,A1,B1,die Bedingung,Bedingungen,die Bedingungen,the condition,la condition,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
21,B1,A1,B1,das Risiko,Risiken,die Risiken,the risk,le risque,,,​,​
21,B1,A1,B1,die Wahl,Wahlen,die Wahlen,the choice,le choix,,,​,​
21,B1,A1,B1,die Wirkung,Wirkungen,die Wirkungen,the effect,l'effet,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
21,B1,A1,B1,die Untersuchung,Untersuchungen,die Untersuchungen,the investigation,l'enquête,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
21,B1,A1,B1,der Einfluss,Einflüsse,die Einflüsse,the influence,l'influence,,,​,​
21,B1,A1,B1,die Methode,Methoden,die Methoden,the method,la méthode,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
21,B1,A1,B1,die Organisation,Organisationen,die Organisationen,the organization,l'organisation,,,​,​
21,B1,A1,B1,die Rede,Reden,die Reden,the speech,le discours,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
21,B1,A1,B1,der Augenblick,Augenblicke,die Augenblicke,the moment,le moment,,,​,​
22,B1,A1,B1,die Diskussion,Diskussionen,die Diskussionen,the discussion,la discussion,,,​,​
22,B1,A1,B1,die Forderung,Forderungen,die Forderungen,the requirement,l'exigence,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
22,B1,A1,B1,der Kreis,Kreise,die Kreise,the circle,le cercle,,,​,​
22,B1,A1,B1,die Technik,Techniken,die Techniken,the technology,la technologie,,,​,​
22,B1,A1,B1,der Versuch,Versuche,die Versuche,the attempt,la tentative,,,​,​
22,B1,A1,B1,die Schwierigkeit,Schwierigkeiten,die Schwierigkeiten,the difficulty,la difficulté,Words finishing in -keit add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -keit add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
22,B1,A1,B1,die Tätigkeit,Tätigkeiten,die Tätigkeiten,the activity,l'activité,Words finishing in -keit add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -keit add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
22,B1,A1,B1,die Voraussetzung,Voraussetzungen,die Voraussetzungen,the prerequisite,prérequis,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
22,B1,A1,B1,der Kampf,Kämpfe,die Kämpfe,the fight,le combat,,,​,​
22,B1,A1,B1,der Künstler,Künstler,die Künstler,the artist,l'artiste,,,​,​
22,B1,A1,B1,die Region,Regionen,die Regionen,the region,la région,,,​,​
22,B1,A1,B1,der Eindruck,Eindrücke,die Eindrücke,the impression,l'impression,,,​,​
22,B1,A1,B1,die Reaktion,Reaktionen,die Reaktionen,the reaction,la réaction,,,​,​
22,B1,A1,B1,der Beitrag,Beiträge,die Beiträge,the contribution,la contribution,,,​,​
22,B1,A1,B1,die Linie,Linien,die Linien,the line,la ligne,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
22,B1,A1,B1,der Gegensatz,Gegensätze,die Gegensätze,the contrast,le contraste,,,​,​
22,B1,A1,B1,das Kapitel,Kapitel,die Kapitel,the chapter,le chapitre,,,​,​
22,B1,A1,B1,die Literatur,Literaturen,die Literaturen,literature,littérature,,,​,​
22,B1,A1,B1,der Bürger,Bürger,die Bürger,the citizen,le citoyen,,,​,​
22,B1,A1,B1,der Inhalt,Inhalte,die Inhalte,the content,le contenu,,,​,​
23,B1,A1,B1,die Wand,Wände,die Wände,the wall,le mur,,,​,​
23,B1,B1,A1,der/die Jugendliche,Jugendliche,die Jugendliche,the young,"le jeune, la jeune",,,​,​
23,B1,A1,B1,die Erinnerung,Erinnerungen,die Erinnerungen,the memory,le souvenir,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
23,B1,A1,B1,die Wirklichkeit,Wirklichkeiten,die Wirklichkeiten,the reality,la réalité,Words finishing in -keit add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -keit add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
23,B1,A1,B1,der Druck,Drucke,die Drucke,the pressure,la pression,,,​,​
23,B1,A1,B1,der Zustand,Zustände,die Zustände,the condition,la condition,,,​,​
23,B1,A1,B1,die Hälfte,Hälften,die Hälften,the half,la moitié,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
23,B1,A1,B1,der Dienst,Dienste,die Dienste,the service,le service,,,​,​
23,B1,A1,B1,der Gegenstand,Gegenstände,die Gegenstände,the object,l'objet,,,​,​
23,B1,A1,B1,der Zeitpunkt,Zeitpunkte,die Zeitpunkte,the time,le temps,,,​,​
23,B1,A1,B1,der Auftrag,Aufträge,die Aufträge,the order,l'ordre,,,​,​
23,B1,A1,B1,die Freude,Freuden,die Freuden,the joy,la joie,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
23,B1,A1,B1,der Hinweis,Hinweise,die Hinweise,the hint,l'indice,,,​,​
23,B1,A1,B1,das Netz,Netze,die Netze,the network,le réseau,,,​,​
23,B1,A1,B1,die Forschung,Forschungen,die Forschungen,the research,la recherche,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
23,B1,A1,B1,die Haut,Häute,die Häute,the skin,la peau,,,​,​
23,B1,A1,B1,der Ausdruck,Ausdrücke,die Ausdrücke,the expression,l'expression,,,​,​
23,B1,A1,B1,der Finger,Finger,die Finger,the finger,le doigt,,,​,​
23,B1,A1,B1,der Roman,Romane,die Romane,the novel,le roman,,,​,​
23,B1,A1,B1,die Theorie,Theorien,die Theorien,the theory,la théorie,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
24,B1,A1,B1,die Umwelt,Umwelten,die Umwelten,the environment,l'environnement,,,​,​
24,B1,A1,B1,der Politiker,Politiker,die Politiker,the politician,l'homme politique,,,​,​
24,B1,A1,B1,die Schulter,Schultern,die Schultern,the shoulder,l'épaule,,,​,​
24,B1,A1,B1,das Zeichen,Zeichen,die Zeichen,the sign,le signe,,,​,​
24,B1,A1,B1,das Material,Materialien,die Materialien,the material,le matériau,,,​,​
24,B1,A1,B1,die Produktion,Produktionen,die Produktionen,the production,la production,,,​,​
24,B1,A1,B1,der Schaden,Schäden,die Schäden,the damage,le dégât,,,​,​
24,B1,A1,B1,die Sorge,Sorgen,die Sorgen,the worry,l'inquiétude,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
24,B1,A1,B1,die Tatsache,Tatsachen,die Tatsachen,the fact,le fait,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
24,B1,A1,B1,die Umgebung,Umgebungen,die Umgebungen,the environment,l'environnement,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
24,B1,A1,B1,der Zweck,Zwecke,die Zwecke,the purpose,le but,,,​,​
24,B1,A1,B1,der Antrag,Anträge,die Anträge,the application,l'application,,,​,​
24,B1,B1,A1,der/das Grad,Grade,die Grade,the degree,le degré,,,​,​
24,B1,A1,B1,der Schutz,Schutze,die Schutze,the protection,la protection,,,​,​
24,B1,A1,B1,die Energie,Energien,die Energien,the energy,l'énergie,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
24,B1,A1,B1,die Erklärung,Erklärungen,die Erklärungen,the explanation,l'explication,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
24,B1,A1,B1,der Gang,Gänge,die Gänge,the aisle,l'allée,,,​,​
24,B1,A1,B1,das Amt,Ämter,die Ämter,the Office,le Bureau,,,​,​
24,B1,A1,B1,die Einrichtung,Einrichtungen,die Einrichtungen,the facility,l'installation,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
24,B1,A1,B1,das Feld,Felder,die Felder,the field,le champ,,,​,​
25,B1,A1,B1,das Publikum,Publika,die Publika,the audience,le public,,,​,​
25,B1,A1,B1,die Studie,Studien,die Studien,the study,l'étude,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
25,B1,A1,B1,die Spur,Spuren,die Spuren,the trail,le sentier,,,​,​
25,B1,A1,B1,der Faktor,Faktoren,die Faktoren,the factor,le facteur,,,​,​
25,B1,A1,B1,die Freiheit,Freiheiten,die Freiheiten,the freedom,la liberté,Words finishing in -heit add -en in their plural form,Les mots se terminant par -heit prennent la terminaison -en au pluriel,<br><br>Words finishing in -heit add -en in their plural form,<br><br>Les mots se terminant par -heit prennent la terminaison -en au pluriel
25,B1,A1,B1,die Gegend,Gegenden,die Gegenden,the area,la région,,,​,​
25,B1,A1,B1,die Kritik,Kritiken,die Kritiken,the criticism,la critique,,,​,​
25,B1,A1,B1,der Typ,Typen,die Typen,the type,le type,,,​,​
25,B1,A1,B1,das Ereignis,Ereignisse,die Ereignisse,the event,l'événement,,,​,​
25,B1,A1,B1,die Kontrolle,Kontrollen,die Kontrollen,the control,le contrôle,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
25,B1,A1,B1,das Opfer,Opfer,die Opfer,the victim,la victime,,,​,​
25,B1,A1,B1,die Aufnahme,Aufnahmen,die Aufnahmen,the recording,l'enregistrement,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
25,B1,A1,B1,die Fähigkeit,Fähigkeiten,die Fähigkeiten,the ability,la capacité,Words finishing in -keit add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -keit add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
25,B1,A1,B1,die Verantwortung,Verantwortungen,die Verantwortungen,the responsibility,la responsabilité,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
25,B1,A1,B1,die Wahrheit,Wahrheiten,die Wahrheiten,the truth,la vérité,Words finishing in -heit add -en in their plural form,Les mots se terminant par -heit prennent la terminaison -en au pluriel,<br><br>Words finishing in -heit add -en in their plural form,<br><br>Les mots se terminant par -heit prennent la terminaison -en au pluriel
25,B1,A1,B1,das Gebäude,Gebäude,die Gebäude,the building,le bâtiment,,,​,​
25,B1,A1,B1,die Hoffnung,Hoffnungen,die Hoffnungen,the hope,l'espoir,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
25,B1,A1,B1,der Bericht,Berichte,die Berichte,the report,le rapport,,,​,​
25,B1,A1,B1,der Gewinn,Gewinne,die Gewinne,the profit,le profit,,,​,​
25,B1,A1,B1,der König,Könige,die Könige,the king,le roi,,,​,​
26,B1,A1,B1,der Sieg,Siege,die Siege,the victory,la victoire,,,​,​
26,B1,A1,B1,die Tat,Taten,die Taten,the act,la loi,,,​,​
26,B1,A1,B1,der Direktor,Direktoren,die Direktoren,the director,le directeur,,,​,​
26,B1,A1,B1,der Rand,Ränder,die Ränder,the edge,le bord,,,​,​
26,B1,A1,B1,der Abschnitt,Abschnitte,die Abschnitte,the section,la section,,,​,​
26,B1,A1,B1,der Bauer,Bauern,die Bauern,the farmer,le fermier,,,​,​
26,B1,A1,B1,die Ehe,Ehen,die Ehen,the marriage,le mariage,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
26,B1,A1,B1,die Ursache,Ursachen,die Ursachen,the cause,la cause,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
26,B1,A1,B1,der Verlust,Verluste,die Verluste,the loss,la perte,,,​,​
26,B1,A1,B1,der Zuschauer,Zuschauer,die Zuschauer,the spectator,le spectateur,,,​,​
26,B1,A1,B1,die Störung,Störungen,die Störungen,the disruption,la perturbation,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
26,B1,A1,B1,der Vertreter,Vertreter,die Vertreter,the representative,le représentant,,,​,​
26,B1,A1,B1,die Generation,Generationen,die Generationen,the generation,la génération,,,​,​
26,B1,A1,B1,der Leiter,Leitern,die Leitern,the leader,le leader,,,​,​
26,B1,A1,B1,die Leiter,Leitern,die Leitern,the ladder,l'échelle,,,​,​
26,B1,A1,B1,der Abschluss,Abschlüsse,die Abschlüsse,the conclusion,la conclusion,,,​,​
26,B1,A1,B1,die Tradition,Traditionen,die Traditionen,the tradition,la tradition,,,​,​
26,B1,A1,B1,die Anlage,Anlagen,die Anlagen,the attachment,la pièce jointe,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
26,B1,A1,B1,die Behörde,Behörden,die Behörden,the authority,l'autorité,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
26,B1,A1,B1,die Bühne,Bühnen,die Bühnen,the stage,la scène,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
27,B1,A1,B1,die Gelegenheit,Gelegenheiten,die Gelegenheiten,the opportunity,l'opportunité,Words finishing in -heit add -en in their plural form,Les mots se terminant par -heit prennent la terminaison -en au pluriel,<br><br>Words finishing in -heit add -en in their plural form,<br><br>Les mots se terminant par -heit prennent la terminaison -en au pluriel
27,B1,A1,B1,der Hof,Höfe,die Höfe,the yard,la cour,,,​,​
27,B1,A1,B1,die Kommunikation,Kommunikationen,die Kommunikationen,the communication,la communication,,,​,​
27,B1,A1,B1,das Verständnis,Verständnisse,die Verständnisse,the understanding,la compréhension,,,​,​
27,B1,A1,B1,die Zusammenarbeit,Zusammenarbeiten,die Zusammenarbeiten,the collaboration,la collaboration,,,​,​
27,B1,A2,B1,der Stein,Steine,die Steine,the stone,la pierre,,,​,​
27,B1,A2,B1,die Änderung,Änderungen,die Änderungen,the change,le changement,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
27,B1,A2,B1,die Ausnahme,Ausnahmen,die Ausnahmen,the exception,l'exception,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
27,B1,A2,B1,der Bau,Bauten,die Bauten,the construction,la construction,,,​,​
27,B1,A2,B1,der Konflikt,Konflikte,die Konflikte,the conflict,le conflit,,,​,​
27,B1,A2,B1,die Leitung,Leitungen,die Leitungen,the management,la direction,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
27,B1,A2,B1,die Mehrheit,Mehrheiten,die Mehrheiten,the majority,la majorité,Words finishing in -heit add -en in their plural form,Les mots se terminant par -heit prennent la terminaison -en au pluriel,<br><br>Words finishing in -heit add -en in their plural form,<br><br>Les mots se terminant par -heit prennent la terminaison -en au pluriel
27,B1,A2,B1,die Aktivität,Aktivitäten,die Aktivitäten,the activity,l'activité,,,​,​
27,B1,A2,B1,das Dach,Dächer,die Dächer,the roof,le toit,,,​,​
27,B1,A2,B1,der Kandidat,Kandidaten,die Kandidaten,the candidate,le candidat,,,​,​
27,B1,A2,B1,die Mauer,Mauern,die Mauern,the wall,le mur,,,​,​
27,B1,A2,B1,die Runde,Runden,die Runden,the round,le rond,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
27,B1,A2,B1,der Stern,Sterne,die Sterne,the star,la star,,,​,​
27,B1,A2,B1,der Experte,Experten,die Experten,the expert,l'expert,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
27,B1,A2,B1,der Meister,Meister,die Meister,the master,le maître,,,​,​
28,B1,A2,B1,der Zugang,Zugänge,die Zugänge,the access,l'accès,,,​,​
28,B1,A2,B1,die Figur,Figuren,die Figuren,the character,le personnage,,,​,​
28,B1,A2,B1,die Industrie,Industrien,die Industrien,the industry,l'industrie,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
28,B1,A2,B1,die Darstellung,Darstellungen,die Darstellungen,the representation,la représentation,Words finishing in -ung add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -ung add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
28,B1,A2,B1,die Gewalt,Gewalten,die Gewalten,the violence,la violence,,,​,​
28,B1,A2,B1,das Lager,Lager,die Lager,the warehouse,l'entrepôt,,,​,​
28,B1,A2,B1,die Lehre,Lehren,die Lehren,the teaching,l'enseignement,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
28,B1,A2,B1,der Rat,Räte,die Räte,the council,le conseil,,,​,​
28,B1,A2,B1,der Schatten,Schatten,die Schatten,the shadow,l'ombre,,,​,​
28,B1,A2,B1,die Strecke,Strecken,die Strecken,the route,la route,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
28,B1,A2,B1,die Szene,Szenen,die Szenen,the scene,la scène,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
28,B1,A2,B1,die Dauer,Dauern,die Dauern,the duration,la durée,,,​,​
28,B1,A2,B1,die Nase,Nasen,die Nasen,the nose,le nez,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
28,B1,A2,B1,das Tor,Tore,die Tore,the gate,la porte,,,​,​
28,B1,A2,B1,die Aktion,Aktionen,die Aktionen,the action,l'action,,,​,​
28,B1,A2,B1,die Ausgabe,Ausgaben,die Ausgaben,the issue,le problème,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
28,B1,A2,B1,die Geschwindigkeit,Geschwindigkeiten,die Geschwindigkeiten,the speed,la vitesse,Words finishing in -keit add -en in their plural form,Les noms communs se terminant par -ung prennent la terminaison -en au pluriel,<br><br>Words finishing in -keit add -en in their plural form,<br><br>Les noms communs se terminant par -ung prennent la terminaison -en au pluriel
28,B1,A2,B1,die Medizin,Medizinen,die Medizinen,medicine,la médecine,,,​,​
28,B1,A2,B1,die Stufe,Stufen,die Stufen,the level,le niveau,Most words finishing in -e add a -n in their plural form,La plupart des noms communs se terminant par -e prennent un -n au pluriel,<br><br>Most words finishing in -e add a -n in their plural form,<br><br>La plupart des noms communs se terminant par -e prennent un -n au pluriel
28,B1,A2,B1,der Trainer,Trainer,die Trainer,the coach,l'entraîneur,,,​,​
29,B1,A2,B1,der Zweifel,Zweifel,die Zweifel,the doubt,le doute,,,​,​
29,B1,A2,B1,die Vorschrift,Vorschriften,die Vorschriften,the regulation,le règlement,,,​,​
29,B1,A2,B1,der Mangel,Mängel,die Mängel,the shortage,la pénurie,,,​,​
29,B1,A2,B1,der Richter,Richter,die Richter,the judge,le juge,,,​,​
29,B1,A2,B1,das Urteil,Urteile,die Urteile,the verdict,le verdict,,,​,​
29,B1,A2,B1,der Anbieter,Anbieter,die Anbieter,the provider,le fournisseur,,,​,​
