Nr,level,question,english,ich,du,er/sie/es,wir,ihr,Sie
469,13,zulassen,"to allow, to license (for a car)",,,liess zu,,,
470,13,verurteilen,"to condemn, to sentence (law)",,,verurteilte,,,
471,13,senden,"to broadcast, to send",,,sandte,,,
472,13,erfolgen,"to occur, to take place",,,erfolgte,,,
473,13,beugen,to bow,,,beugte,,,
474,13,nicken,to nod,,,nickte,,,
475,13,fällen,"to fall, to fell",,,fällte,,,
476,13,regeln,to regulate,,,regelte,,,
477,13,überleben,to survive,,,überlebte,,,
478,13,beeindrucken,to impress someone,,,beeindruckte,,,
479,13,mitkommen,"to come with someone, to understand something",,,kam mit,,,
480,13,reichen,"to suffice, to be enough",,,reichte,,,
481,14,stricken,to knit,,,strickte,,,
482,14,faulenzen,"to chill, to laze around",,,faulenzte,,,
483,14,joggen,to jog,,,joggte,,,
484,14,tauschen,"to swap, to trade, to exchange",,,tauschte,,,
485,14,leihen,"to lend, to borrow",,,lieh,,,
486,14,finanzieren,"to finance, to fund",,,finanzierte,,,
487,14,investieren,to invest,,,investierte,,,
488,14,abheben,to withdraw (money),,,hob ab,,,
489,14,überweisen,to transfer (money),,,überwies,,,
490,14,stärken,to strengthen,,,stärkte,,,
491,14,gefährden,to endanger,,,gefährdete,,,
492,14,erleichtern,to lighten,,,erleichterte,,,
493,14,verlängern,to extend,,,verlängerte,,,
494,14,vertiefen,to deepen,,,vertiefte,,,
495,14,erweitern,"to expand, to extend, to broaden",,,erweiterte,,,
496,14,ermöglichen,"to enable, to facilitate",,,ermöglichte,,,
497,14,bemerken,"to notice, to remark something",,,bemerkte,,,
498,14,begrüssen,"to welcome, to greet",,,begrüsste,,,
499,14,bemühen,to make an effort,,,bemühte,,,
500,14,beschliessen,"to decide something, to end, to close",,,beschloss,,,
501,14,beauftragen,"to instruct, to give an order",,,beauftragte,,,
502,14,berechnen,to calculate something,,,berechnete,,,
503,14,bedanken,to thank someone,,,bedankte,,,
504,14,beschützen,"to protect, defend (security)",,,beschützte,,,
505,14,befreien,to free (make free),,,befreite,,,
506,14,beschädigen,to damage (objects),,,beschädigte,,,
507,14,beruhigen,to calm,,,beruhigte,,,
508,14,füttern,to feed (an animal),,,fütterte,,,
509,14,betrinken,to get drunk (refl.),,,betrank,,,
510,14,frühstücken,to have breakfast,,,frühstückte,,,
511,14,gönnen,"to treat, to allow, to grant",,,gönnte,,,
512,14,wetten,to bet,,,wettete,,,
513,14,formulieren,"to formulate, to phrase",,,formulierte,,,
514,14,meinen,"to be of the opinion, to mean",,,meinte,,,
515,14,zögern,to hesitate,,,zögerte,,,
516,14,bewundern,to admire,,,bewunderte,,,
517,14,unterzeichnen,to sign (formal),,,unterzeichnete,,,
518,14,umtauschen,"to convert, to exchange (currency)",,,tauschte um,,,
519,14,verschlechtern,to worsen,,,verschlechterte,,,
520,14,bezeichnen,"to designate, to label",,,bezeichnete,,,
