Nr,level,question,answer,german,person,case,english,answer_2,sentence_2
212,4,Der Lehrer hat _____ die Regeln erklärt.,euch,Der Lehrer hat euch die Regeln erklärt.,Ihr,Dativ,,,
213,4,_____ gefällt der neue Film sehr gut?,Euch,Euch gefällt der neue Film sehr gut?,Ihr,Dativ,,,
214,4,Nach dem Spiel hat der Trainer _____ ein Lob ausgesprochen.,euch,Nach dem Spiel hat der Trainer euch ein Lob ausgesprochen.,Ihr,Dativ,,,
215,4,"Der Hund folgt immer _____, wenn ihr ihn ruft.",euch,"Der Hund folgt immer euch, wenn ihr ihn ruft.",Ihr,Dativ,,,
216,4,Kann ich _____ bei der Organisation helfen?,ihnen,Kann ich ihnen bei der Organisation helfen?,Sie - Plu.,Dativ,,,
217,4,Der Lehrer hat _____ die neuen Regeln erklärt.,ihnen,Der Lehrer hat ihnen die neuen Regeln erklärt.,Sie - Plu.,Dativ,,,
218,4,_____ gefällt die Idee mit dem Ausflug sehr gut.,Ihnen,Ihnen gefällt die Idee mit dem Ausflug sehr gut.,Sie - Plu.,Dativ,,,
219,4,Nach dem Spiel hat der Trainer _____ hilfreiche Tipps gegeben.,ihnen,Nach dem Spiel hat der Trainer ihnen hilfreiche Tipps gegeben.,Sie - Plu.,Dativ,,,
220,4,"Der Hund folgt immer _____, wenn sie ihn rufen.",ihnen,"Der Hund folgt immer ihnen, wenn sie ihn rufen.",Sie - Plu.,Dativ,,,
221,4,Kann ich _____ bei der Planung helfen?,Ihnen,Kann ich Ihnen bei der Planung helfen?,Sie - Form.,Dativ,,,
222,4,Der Lehrer hat _____ die neuen Informationen erklärt.,Ihnen,Der Lehrer hat Ihnen die neuen Informationen erklärt.,Sie - Form.,Dativ,,,
223,4,_____ gefällt die Idee mit der neuen Strategie?,Ihnen,Ihnen gefällt die Idee mit der neuen Strategie?,Sie - Form.,Dativ,,,
224,4,Nach dem Meeting hat der Chef _____ ein Kompliment gemacht.,Ihnen,Nach dem Meeting hat der Chef Ihnen ein Kompliment gemacht.,Sie - Form.,Dativ,,,
225,4,"Der Hund folgt immer _____, wenn Sie ihn rufen.",Ihnen,"Der Hund folgt immer Ihnen, wenn Sie ihn rufen.",Sie - Form.,Dativ,,,
226,5,Ich dusche _____ jeden Morgen.,mich,Ich dusche mich jeden Morgen.,Ich,Reflexiv & Akkusative,,,
227,5,Ich wasche _____ die Hände vor dem Essen.,mir,Ich wasche mir die Hände vor dem Essen.,Ich,Reflexiv & Dative,,,
228,5,Nach dem Sport ziehe ich _____ um.,mich,Nach dem Sport ziehe ich mich um.,Ich,Reflexiv & Akkusative,,,
229,5,Vor dem Schlafengehen ziehe ich _____ die Schuhe aus.,mir,Vor dem Schlafengehen ziehe ich mir die Schuhe aus.,Ich,Reflexiv & Dative,,,
230,5,Heute Abend bade ich _____.,mich,Heute Abend bade ich mich.,Ich,Reflexiv & Akkusative,,,
231,5,Hast du _____ schon geduscht?,dich,Hast du dich schon geduscht?,Du,Reflexiv & Akkusative,,,
232,5,Du wäschst _____ die Hände vor dem Essen.,dir,Du wäschst dir die Hände vor dem Essen.,Du,Reflexiv & Dative,,,
233,5,Ziehst du _____ nach dem Sport um?,dich,Ziehst du dich nach dem Sport um?,Du,Reflexiv & Akkusative,,,
234,5,"Du ziehst _____ die Schuhe aus, bevor du ins Haus gehst.",dir,"Du ziehst dir die Schuhe aus, bevor du ins Haus gehst.",Du,Reflexiv & Dative,,,
235,5,"Du freust _____ auf die Ferien, oder?",dich,"Du freust dich auf die Ferien, oder?",Du,Reflexiv & Akkusative,,,
236,5,Er duscht _____ jeden Morgen vor der Arbeit.,sich,Er duscht sich jeden Morgen vor der Arbeit.,Er,Reflexiv & Akkusative,,,
237,5,Sie wäscht _____ die Hände vor dem Essen.,sich,Sie wäscht sich die Hände vor dem Essen.,Sie - Fem.,Reflexiv & Dative,,,
238,5,Es zieht _____ nach dem Spaziergang etwas Warmes an.,sich,Es zieht sich nach dem Spaziergang etwas Warmes an.,Er,Reflexiv & Dative,,,
239,5,Sie freut _____ auf den Urlaub am Meer.,sich,Sie freut sich auf den Urlaub am Meer.,Sie - Fem.,Reflexiv & Akkusative,,,
240,5,Er informiert _____ über die neuesten Nachrichten.,sich,Er informiert sich über die neuesten Nachrichten.,Er,Reflexiv & Akkusative,,,
241,5,Wir duschen _____ nach dem Sport.,uns,Wir duschen uns nach dem Sport.,Wir,Reflexiv & Akkusative,,,
242,5,Wir waschen _____ die Hände vor dem Essen.,uns,Wir waschen uns die Hände vor dem Essen.,Wir,Reflexiv & Dative,,,
243,5,"Wir ziehen _____ um, bevor die Gäste kommen.",uns,"Wir ziehen uns um, bevor die Gäste kommen.",Wir,Reflexiv & Akkusative,,,
244,5,"Wir ziehen _____ die Jacken aus, wenn wir ankommen.",uns,"Wir ziehen uns die Jacken aus, wenn wir ankommen.",Wir,Reflexiv & Dative,,,
245,5,Wir freuen _____ auf die Reise nach Italien.,uns,Wir freuen uns auf die Reise nach Italien.,Wir,Reflexiv & Akkusative,,,
246,5,Habt ihr _____ nach dem Training geduscht?,euch,Habt ihr euch nach dem Training geduscht?,Ihr,Reflexiv & Akkusative,,,
247,5,Ihr wascht _____ die Hände vor dem Essen.,euch,Ihr wascht euch die Hände vor dem Essen.,Ihr,Reflexiv & Dative,,,
248,5,"Zieht ihr _____ um, bevor ihr ins Bett geht?",euch,"Zieht ihr euch um, bevor ihr ins Bett geht?",Ihr,Reflexiv & Akkusative,,,
249,5,"Zieht ihr _____ die Schuhe aus, bevor ihr reinkommt?",euch,"Zieht ihr euch die Schuhe aus, bevor ihr reinkommt?",Ihr,Reflexiv & Dative,,,
250,5,"Ihr freut _____ auf die Ferien, oder?",euch,"Ihr freut euch auf die Ferien, oder?",Ihr,Reflexiv & Akkusative,,,
251,5,Sie duschen _____ nach dem Training.,sich,Sie duschen sich nach dem Training.,Sie - Plu.,Reflexiv & Akkusative,,,
252,5,Sie waschen _____ die Hände vor dem Essen.,sich,Sie waschen sich die Hände vor dem Essen.,Sie - Plu.,Reflexiv & Dative,,,
253,5,"Sie ziehen _____ um, bevor sie schlafen gehen.",sich,"Sie ziehen sich um, bevor sie schlafen gehen.",Sie - Plu.,Reflexiv & Akkusative,,,
254,5,"Sie ziehen _____ die Jacken aus, bevor sie reinkommen.",sich,"Sie ziehen sich die Jacken aus, bevor sie reinkommen.",Sie - Plu.,Reflexiv & Dative,,,
255,5,Sie freuen _____ auf die Ferien.,sich,Sie freuen sich auf die Ferien.,Sie - Plu.,Reflexiv & Akkusative,,,
256,5,Haben Sie _____ heute schon geduscht?,sich,Haben Sie sich heute schon geduscht?,Sie - Form.,Reflexiv & Akkusative,,,
257,5,Haben Sie _____ die Hände vor dem Essen gewaschen?,sich,Haben Sie sich die Hände vor dem Essen gewaschen?,Sie - Form.,Reflexiv & Dative,,,
258,5,"Ziehen Sie _____ um, bevor Sie ausgehen?",sich,"Ziehen Sie sich um, bevor Sie ausgehen?",Sie - Form.,Reflexiv & Akkusative,,,
259,5,"Ziehen Sie _____ die Jacke aus, wenn es warm wird.",sich,"Ziehen Sie sich die Jacke aus, wenn es warm wird.",Sie - Form.,Reflexiv & Dative,,,
260,5,Freuen Sie _____ auf den bevorstehenden Urlaub?,sich,Freuen Sie sich auf den bevorstehenden Urlaub?,Sie - Form.,Reflexiv & Akkusative,,,
261,6,Kannst du _____ morgen im Büro anrufen?,mich,Kannst du mich morgen im Büro anrufen?,Ich,Akkusativ,,,
262,6,Heute hat niemand _____ besucht.,mich,Heute hat niemand mich besucht.,Ich,Akkusativ,,,
263,6,_____ hat der Film gestern total begeistert.,Mich,Mich hat der Film gestern total begeistert.,Ich,Akkusativ,,,
264,6,Nach dem Training hat der Trainer _____ gelobt.,mich,Nach dem Training hat der Trainer mich gelobt.,Ich,Akkusativ,,,
265,6,"Bitte ruf _____ an, wenn du angekommen bist.",mich,"Bitte ruf mich an, wenn du angekommen bist.",Ich,Akkusativ,,,
266,6,Heute habe ich _____ im Park gesehen.,dich,Heute habe ich dich im Park gesehen.,Du,Akkusativ,,,
267,6,Kann ich _____ später anrufen?,dich,Kann ich dich später anrufen?,Du,Akkusativ,,,
268,6,_____ hat der Lehrer gestern gelobt.,Dich,Dich hat der Lehrer gestern gelobt.,Du,Akkusativ,,,
269,6,Nach der Party habe ich _____ überall gesucht.,dich,Nach der Party habe ich dich überall gesucht.,Du,Akkusativ,,,
270,6,Der Hund hat _____ sofort erkannt.,dich,Der Hund hat dich sofort erkannt.,Du,Akkusativ,,,
271,6,Gestern habe ich _____ im Kino gesehen.,ihn,Gestern habe ich ihn im Kino gesehen.,Er,Akkusativ,,,
272,6,Kannst du _____ später anrufen?,ihn,Kannst du ihn später anrufen?,Er,Akkusativ,,,
273,6,_____ hat der Trainer für die Mannschaft ausgewählt.,Ihn,Ihn hat der Trainer für die Mannschaft ausgewählt.,Er,Akkusativ,,,
274,6,Nach dem Spiel habe ich _____ überall gesucht.,ihn,Nach dem Spiel habe ich ihn überall gesucht.,Er,Akkusativ,,,
275,6,Der Hund hat _____ sofort erkannt.,ihn,Der Hund hat ihn sofort erkannt.,Er,Akkusativ,,,
276,6,Heute habe ich _____ im Park getroffen.,sie,Heute habe ich sie im Park getroffen.,Sie - Fem.,Akkusativ,,,
277,6,Kannst du _____ später anrufen?,sie,Kannst du sie später anrufen?,Sie - Fem.,Akkusativ,,,
278,6,Der Lehrer hat _____ gestern gelobt.,sie,Der Lehrer hat sie gestern gelobt.,Sie - Fem.,Akkusativ,,,
279,6,Nach der Party habe ich _____ gesucht.,sie,Nach der Party habe ich sie gesucht.,Sie - Fem.,Akkusativ,,,
280,6,Der Hund hat _____ sofort erkannt.,sie,Der Hund hat sie sofort erkannt.,Sie - Fem.,Akkusativ,,,
281,6,Gestern habe ich _____ im Wohnzimmer gesehen.,es,Gestern habe ich es im Wohnzimmer gesehen.,Es,Akkusativ,,,
282,6,Kannst du _____ bitte auf den Tisch legen?,es,Kannst du es bitte auf den Tisch legen?,Es,Akkusativ,,,
283,6,Der Hund hat _____ sofort gefressen.,es,Der Hund hat es sofort gefressen.,Es,Akkusativ,,,
284,6,Nach dem Spiel habe ich _____ zurückgebracht.,es,Nach dem Spiel habe ich es zurückgebracht.,Es,Akkusativ,,,
285,6,Der Lehrer hat _____ gestern erklärt.,es,Der Lehrer hat es gestern erklärt.,Es,Akkusativ,,,
286,6,Nach der Veranstaltung haben sie _____ eingeladen.,uns,Nach der Veranstaltung haben sie uns eingeladen.,Wir,Akkusativ,,,
287,6,Der Hund hat _____ sofort erkannt.,uns,Der Hund hat uns sofort erkannt.,Wir,Akkusativ,,,
288,6,Morgen nimmt der Chef _____ in sein Büro mit.,uns,Morgen nimmt der Chef uns in sein Büro mit.,Wir,Akkusativ,,,
289,6,"Wenn du _____ brauchst, ruf einfach an.",uns,"Wenn du uns brauchst, ruf einfach an.",Wir,Akkusativ,,,
290,6,Ich habe _____ gestern in der Stadt getroffen.,uns,Ich habe uns gestern in der Stadt getroffen.,Wir,Akkusativ,,,
291,6,Die Lehrerin hat _____ gestern gelobt.,euch,Die Lehrerin hat euch gestern gelobt.,Ihr,Akkusativ,,,
292,6,Ich werde _____ morgen ins Kino einladen.,euch,Ich werde euch morgen ins Kino einladen.,Ihr,Akkusativ,,,
293,6,Der Hund hat _____ im Garten gesehen.,euch,Der Hund hat euch im Garten gesehen.,Ihr,Akkusativ,,,
294,6,Ich habe _____ beim Konzert sofort erkannt.,euch,Ich habe euch beim Konzert sofort erkannt.,Ihr,Akkusativ,,,
295,6,Kann ich _____ später anrufen?,euch,Kann ich euch später anrufen?,Ihr,Akkusativ,,,
296,6,Ich habe _____ gestern im Park getroffen.,sie,Ich habe sie gestern im Park getroffen.,Sie - Plu.,Akkusativ,,,
297,6,Kannst du _____ später anrufen?,sie,Kannst du sie später anrufen?,Sie - Plu.,Akkusativ,,,
298,6,Der Hund hat _____ im Garten gesehen.,sie,Der Hund hat sie im Garten gesehen.,Sie - Plu.,Akkusativ,,,
299,6,Nach der Besprechung hat der Chef _____ eingeladen.,sie,Nach der Besprechung hat der Chef sie eingeladen.,Sie - Plu.,Akkusativ,,,
300,6,Warum hat niemand _____ informiert?,sie,Warum hat niemand sie informiert?,Sie - Plu.,Akkusativ,,,
301,6,Kann ich _____ später anrufen?,Sie,Kann ich Sie später anrufen?,Sie - Form.,Akkusativ,,,
302,6,Der Chef möchte _____ morgen sprechen.,Sie,Der Chef möchte Sie morgen sprechen.,Sie - Form.,Akkusativ,,,
303,6,Ich habe _____ gestern im Büro gesehen.,Sie,Ich habe Sie gestern im Büro gesehen.,Sie - Form.,Akkusativ,,,
304,6,Der Hund hat _____ sofort erkannt.,Sie,Der Hund hat Sie sofort erkannt.,Sie - Form.,Akkusativ,,,
305,6,Nach der Besprechung werden wir _____ informieren.,Sie,Nach der Besprechung werden wir Sie informieren.,Sie - Form.,Akkusativ,,,
306,6,Kannst du _____ bitte helfen?,mir,Kannst du mir bitte helfen?,Ich,Dativ,,,
307,6,Der Lehrer hat _____ eine gute Note gegeben.,mir,Der Lehrer hat mir eine gute Note gegeben.,Ich,Dativ,,,
308,6,_____ gefällt das neue Buch sehr gut.,Mir,Mir gefällt das neue Buch sehr gut.,Ich,Dativ,,,
309,6,Nach dem Spiel hat er _____ seine Meinung gesagt.,mir,Nach dem Spiel hat er mir seine Meinung gesagt.,Ich,Dativ,,,
310,6,"Der Hund folgt immer _____, wenn ich ihn rufe.",mir,"Der Hund folgt immer mir, wenn ich ihn rufe.",Ich,Dativ,,,
311,6,Kann ich _____ später helfen?,dir,Kann ich dir später helfen?,Du,Dativ,,,
312,6,Der Lehrer hat _____ eine Frage gestellt.,dir,Der Lehrer hat dir eine Frage gestellt.,Du,Dativ,,,
313,6,_____ gefällt das neue Lied?,Dir,Dir gefällt das neue Lied?,Du,Dativ,,,
314,6,Nach dem Spiel hat er _____ die Wahrheit gesagt.,dir,Nach dem Spiel hat er dir die Wahrheit gesagt.,Du,Dativ,,,
315,6,"Der Hund folgt immer _____, wenn du ihn rufst.",dir,"Der Hund folgt immer dir, wenn du ihn rufst.",Du,Dativ,,,
316,6,Kannst du _____ später helfen?,ihm,Kannst du ihm später helfen?,Er,Dativ,,,
317,6,Der Lehrer hat _____ eine schwierige Frage gestellt.,ihm,Der Lehrer hat ihm eine schwierige Frage gestellt.,Er,Dativ,,,
318,6,_____ gefällt das neue Auto sehr gut.,Ihm,Ihm gefällt das neue Auto sehr gut.,Er,Dativ,,,
319,6,Nach dem Spiel hat der Trainer _____ ein Lob ausgesprochen.,ihm,Nach dem Spiel hat der Trainer ihm ein Lob ausgesprochen.,Er,Dativ,,,
320,6,"Der Hund folgt immer _____, wenn er ruft.",ihm,"Der Hund folgt immer ihm, wenn er ruft.",Er,Dativ,,,
321,6,Kannst du _____ morgen bei der Arbeit helfen?,ihr,Kannst du ihr morgen bei der Arbeit helfen?,Sie - Fem.,Dativ,,,
322,6,Der Lehrer hat _____ eine gute Note gegeben.,ihr,Der Lehrer hat ihr eine gute Note gegeben.,Sie - Fem.,Dativ,,,
323,6,_____ gefällt das neue Kleid sehr gut.,Ihr,Ihr gefällt das neue Kleid sehr gut.,Sie - Fem.,Dativ,,,
324,6,Nach der Besprechung hat der Chef _____ einige Tipps gegeben.,ihr,Nach der Besprechung hat der Chef ihr einige Tipps gegeben.,Sie - Fem.,Dativ,,,
325,6,"Der Hund folgt immer _____, wenn sie ihn ruft.",ihr,"Der Hund folgt immer ihr, wenn sie ihn ruft.",Sie - Fem.,Dativ,,,
326,6,Kannst du _____ bei der Aufgabe helfen?,ihm,Kannst du ihm bei der Aufgabe helfen?,Es,Dativ,,,
327,6,Der Lehrer hat _____ eine interessante Frage gestellt.,ihm,Der Lehrer hat ihm eine interessante Frage gestellt.,Es,Dativ,,,
328,6,_____ gefällt das neue Spielzeug sehr gut.,Ihm,Ihm gefällt das neue Spielzeug sehr gut.,Es,Dativ,,,
329,6,Nach der Präsentation hat der Chef _____ ein Kompliment gemacht.,ihm,Nach der Präsentation hat der Chef ihm ein Kompliment gemacht.,Es,Dativ,,,
330,6,"Der Hund folgt immer _____, wenn es ihn ruft.",ihm,"Der Hund folgt immer ihm, wenn es ihn ruft.",Es,Dativ,,,
331,6,Kannst du _____ bei der Entscheidung helfen?,uns,Kannst du uns bei der Entscheidung helfen?,Wir,Dativ,,,
332,6,Der Lehrer hat _____ die Regeln erklärt.,uns,Der Lehrer hat uns die Regeln erklärt.,Wir,Dativ,,,
333,6,_____ gefällt die Idee mit dem Ausflug sehr gut.,Uns,Uns gefällt die Idee mit dem Ausflug sehr gut.,Wir,Dativ,,,
334,6,Nach dem Spiel hat der Trainer _____ einige Tipps gegeben.,uns,Nach dem Spiel hat der Trainer uns einige Tipps gegeben.,Wir,Dativ,,,
335,6,"Der Hund folgt immer _____, wenn wir ihn rufen.",uns,"Der Hund folgt immer uns, wenn wir ihn rufen.",Wir,Dativ,,,
336,6,Kann ich _____ bei der Aufgabe helfen?,euch,Kann ich euch bei der Aufgabe helfen?,Ihr,Dativ,,,
337,6,Der Lehrer hat _____ die Regeln erklärt.,euch,Der Lehrer hat euch die Regeln erklärt.,Ihr,Dativ,,,
338,6,_____ gefällt der neue Film sehr gut?,Euch,Euch gefällt der neue Film sehr gut?,Ihr,Dativ,,,
339,6,Nach dem Spiel hat der Trainer _____ ein Lob ausgesprochen.,euch,Nach dem Spiel hat der Trainer euch ein Lob ausgesprochen.,Ihr,Dativ,,,
340,6,"Der Hund folgt immer _____, wenn ihr ihn ruft.",euch,"Der Hund folgt immer euch, wenn ihr ihn ruft.",Ihr,Dativ,,,
341,6,Kann ich _____ bei der Organisation helfen?,ihnen,Kann ich ihnen bei der Organisation helfen?,Sie - Plu.,Dativ,,,
342,6,Der Lehrer hat _____ die neuen Regeln erklärt.,ihnen,Der Lehrer hat ihnen die neuen Regeln erklärt.,Sie - Plu.,Dativ,,,
343,6,_____ gefällt die Idee mit dem Ausflug sehr gut.,Ihnen,Ihnen gefällt die Idee mit dem Ausflug sehr gut.,Sie - Plu.,Dativ,,,
344,6,Nach dem Spiel hat der Trainer _____ hilfreiche Tipps gegeben.,ihnen,Nach dem Spiel hat der Trainer ihnen hilfreiche Tipps gegeben.,Sie - Plu.,Dativ,,,
345,6,"Der Hund folgt immer _____, wenn sie ihn rufen.",ihnen,"Der Hund folgt immer ihnen, wenn sie ihn rufen.",Sie - Plu.,Dativ,,,
346,6,Kann ich _____ bei der Planung helfen?,Ihnen,Kann ich Ihnen bei der Planung helfen?,Sie - Form.,Dativ,,,
347,6,Der Lehrer hat _____ die neuen Informationen erklärt.,Ihnen,Der Lehrer hat Ihnen die neuen Informationen erklärt.,Sie - Form.,Dativ,,,
348,6,_____ gefällt die Idee mit der neuen Strategie?,Ihnen,Ihnen gefällt die Idee mit der neuen Strategie?,Sie - Form.,Dativ,,,
349,6,Nach dem Meeting hat der Chef _____ ein Kompliment gemacht.,Ihnen,Nach dem Meeting hat der Chef Ihnen ein Kompliment gemacht.,Sie - Form.,Dativ,,,
350,6,"Der Hund folgt immer _____, wenn Sie ihn rufen.",Ihnen,"Der Hund folgt immer Ihnen, wenn Sie ihn rufen.",Sie - Form.,Dativ,,,
351,6,Ich dusche _____ jeden Morgen.,mich,Ich dusche mich jeden Morgen.,Ich,Reflexiv & Akkusative,,,
352,6,Ich wasche _____ die Hände vor dem Essen.,mir,Ich wasche mir die Hände vor dem Essen.,Ich,Reflexiv & Dative,,,
353,6,Nach dem Sport ziehe ich _____ um.,mich,Nach dem Sport ziehe ich mich um.,Ich,Reflexiv & Akkusative,,,
354,6,Vor dem Schlafengehen ziehe ich _____ die Schuhe aus.,mir,Vor dem Schlafengehen ziehe ich mir die Schuhe aus.,Ich,Reflexiv & Dative,,,
355,6,Heute Abend bade ich _____.,mich,Heute Abend bade ich mich.,Ich,Reflexiv & Akkusative,,,
356,6,Hast du _____ schon geduscht?,dich,Hast du dich schon geduscht?,Du,Reflexiv & Akkusative,,,
357,6,Du wäschst _____ die Hände vor dem Essen.,dir,Du wäschst dir die Hände vor dem Essen.,Du,Reflexiv & Dative,,,
358,6,Ziehst du _____ nach dem Sport um?,dich,Ziehst du dich nach dem Sport um?,Du,Reflexiv & Akkusative,,,
359,6,"Du ziehst _____ die Schuhe aus, bevor du ins Haus gehst.",dir,"Du ziehst dir die Schuhe aus, bevor du ins Haus gehst.",Du,Reflexiv & Dative,,,
360,6,"Du freust _____ auf die Ferien, oder?",dich,"Du freust dich auf die Ferien, oder?",Du,Reflexiv & Akkusative,,,
361,6,Er duscht _____ jeden Morgen vor der Arbeit.,sich,Er duscht sich jeden Morgen vor der Arbeit.,Er,Reflexiv & Akkusative,,,
362,6,Sie wäscht _____ die Hände vor dem Essen.,sich,Sie wäscht sich die Hände vor dem Essen.,Sie - Fem.,Reflexiv & Dative,,,
363,6,Es zieht _____ nach dem Spaziergang etwas Warmes an.,sich,Es zieht sich nach dem Spaziergang etwas Warmes an.,Er,Reflexiv & Dative,,,
364,6,Sie freut _____ auf den Urlaub am Meer.,sich,Sie freut sich auf den Urlaub am Meer.,Sie - Fem.,Reflexiv & Akkusative,,,
365,6,Er informiert _____ über die neuesten Nachrichten.,sich,Er informiert sich über die neuesten Nachrichten.,Er,Reflexiv & Akkusative,,,
366,6,Wir duschen _____ nach dem Sport.,uns,Wir duschen uns nach dem Sport.,Wir,Reflexiv & Akkusative,,,
367,6,Wir waschen _____ die Hände vor dem Essen.,uns,Wir waschen uns die Hände vor dem Essen.,Wir,Reflexiv & Dative,,,
368,6,"Wir ziehen _____ um, bevor die Gäste kommen.",uns,"Wir ziehen uns um, bevor die Gäste kommen.",Wir,Reflexiv & Akkusative,,,
369,6,"Wir ziehen _____ die Jacken aus, wenn wir ankommen.",uns,"Wir ziehen uns die Jacken aus, wenn wir ankommen.",Wir,Reflexiv & Dative,,,
370,6,Wir freuen _____ auf die Reise nach Italien.,uns,Wir freuen uns auf die Reise nach Italien.,Wir,Reflexiv & Akkusative,,,
371,6,Habt ihr _____ nach dem Training geduscht?,euch,Habt ihr euch nach dem Training geduscht?,Ihr,Reflexiv & Akkusative,,,
372,6,Ihr wascht _____ die Hände vor dem Essen.,euch,Ihr wascht euch die Hände vor dem Essen.,Ihr,Reflexiv & Dative,,,
373,6,"Zieht ihr _____ um, bevor ihr ins Bett geht?",euch,"Zieht ihr euch um, bevor ihr ins Bett geht?",Ihr,Reflexiv & Akkusative,,,
374,6,"Zieht ihr _____ die Schuhe aus, bevor ihr reinkommt?",euch,"Zieht ihr euch die Schuhe aus, bevor ihr reinkommt?",Ihr,Reflexiv & Dative,,,
375,6,"Ihr freut _____ auf die Ferien, oder?",euch,"Ihr freut euch auf die Ferien, oder?",Ihr,Reflexiv & Akkusative,,,
376,6,Sie duschen _____ nach dem Training.,sich,Sie duschen sich nach dem Training.,Sie - Plu.,Reflexiv & Akkusative,,,
377,6,Sie waschen _____ die Hände vor dem Essen.,sich,Sie waschen sich die Hände vor dem Essen.,Sie - Plu.,Reflexiv & Dative,,,
378,6,"Sie ziehen _____ um, bevor sie schlafen gehen.",sich,"Sie ziehen sich um, bevor sie schlafen gehen.",Sie - Plu.,Reflexiv & Akkusative,,,
379,6,"Sie ziehen _____ die Jacken aus, bevor sie reinkommen.",sich,"Sie ziehen sich die Jacken aus, bevor sie reinkommen.",Sie - Plu.,Reflexiv & Dative,,,
380,6,Sie freuen _____ auf die Ferien.,sich,Sie freuen sich auf die Ferien.,Sie - Plu.,Reflexiv & Akkusative,,,
381,6,Haben Sie _____ heute schon geduscht?,sich,Haben Sie sich heute schon geduscht?,Sie - Form.,Reflexiv & Akkusative,,,
382,6,Haben Sie _____ die Hände vor dem Essen gewaschen?,sich,Haben Sie sich die Hände vor dem Essen gewaschen?,Sie - Form.,Reflexiv & Dative,,,
383,6,"Ziehen Sie _____ um, bevor Sie ausgehen?",sich,"Ziehen Sie sich um, bevor Sie ausgehen?",Sie - Form.,Reflexiv & Akkusative,,,
384,6,"Ziehen Sie _____ die Jacke aus, wenn es warm wird.",sich,"Ziehen Sie sich die Jacke aus, wenn es warm wird.",Sie - Form.,Reflexiv & Dative,,,
385,6,Freuen Sie _____ auf den bevorstehenden Urlaub?,sich,Freuen Sie sich auf den bevorstehenden Urlaub?,Sie - Form.,Reflexiv & Akkusative,,,
386,7,"something, a little",etwas,,,,,,
387,7,nothing,nichts,,,,,,
388,7,"no one, nobody",niemand,,,,,,
389,7,someone,jemand,,,,,,
390,7,"one, you",man,,,,,,
391,8,Ich möchte _____ essen.,etwas,Ich möchte etwas essen.,,,I want to eat something.,,
392,8,Kannst du mir _____ helfen?,etwas,Kannst du mir etwas helfen?,,,Can you help me a little?,,
393,8,Ich habe _____ Interessantes gelesen.,etwas,Ich habe etwas Interessantes gelesen.,,,I read something interesting.,,
394,8,Er spricht _____ langsamer als vorher.,etwas,Er spricht etwas langsamer als vorher.,,,He speaks a little slower than before.,,
395,8,Gibt es _____ Neues?,etwas,Gibt es etwas Neues?,,,Is there anything new?,,
396,8,Ich habe heute _____ gegessen.,nichts,Ich habe heute nichts gegessen.,,,I have eaten nothing today.,,
397,8,Er sagt _____ über seine Pläne.,nichts,Er sagt nichts über seine Pläne.,,,He says nothing about his plans.,,
398,8,Es gibt _____ Interessantes im Fernsehen.,nichts,Es gibt nichts Interessantes im Fernsehen.,,,There is nothing interesting on TV.,,
399,8,Ich verstehe _____ von Mathematik.,nichts,Ich verstehe nichts von Mathematik.,,,I understand nothing about mathematics.,,
400,8,Sie hat _____ gegen die Idee.,nichts,Sie hat nichts gegen die Idee.,,,She has nothing against the idea.,,
401,8,_____ hat an der Tür geklopft.,Jemand,Jemand hat an der Tür geklopft.,,,Someone knocked on the door.,,
402,8,"Ich habe _____ gesehen, der dir ähnlich sieht.",jemanden,"Ich habe jemanden gesehen, der dir ähnlich sieht.",,,I saw someone who looks like you.,,
403,8,Sprichst du mit _____ über deine Sorgen?,jemandem,Sprichst du mit jemandem über deine Sorgen?,,,Do you talk to someone about your worries?,,
404,8,Die Meinung von _____ sollte nicht ignoriert werden.,jemandem,Die Meinung von jemandem sollte nicht ignoriert werden.,,,Someone's opinion should not be ignored.,,
405,8,_____ Neues wird bald in unser Team kommen.,Jemand,Jemand Neues wird bald in unser Team kommen.,,,Someone new will soon join our team.,,
406,8,"_____ weiß, was wirklich passiert ist.",Niemand,"Niemand weiß, was wirklich passiert ist.",,,Nobody knows what really happened.,,
407,8,"Ich habe _____ getroffen, den ich kannte.",niemanden,"Ich habe niemanden getroffen, den ich kannte.",,,I met nobody that I knew.,,
408,8,Er spricht mit _____ über seine Probleme.,niemandem,Er spricht mit niemandem über seine Probleme.,,,He talks to nobody about his problems.,,
409,8,Die Meinung von _____ interessiert mich.,niemandem,Die Meinung von niemandem interessiert mich.,,,Nobody's opinion interests me.,,
410,8,"_____ hat die Absicht, eine Mauer zu bauen.",Niemand,"Niemand hat die Absicht, eine Mauer zu bauen.",,,Nobody has the intention to build a wall.,,
411,8,_____ sollte jeden Tag mindestens zwei Liter Wasser trinken.,Man,Man sollte jeden Tag mindestens zwei Liter Wasser trinken.,,,One should drink at least two liters of water every day.,,
412,8,In Deutschland spricht _____ Deutsch.,man,In Deutschland spricht man Deutsch.,,,"In Germany, people speak German.",,
413,8,_____ kann das Problem auf verschiedene Weise lösen.,Man,Man kann das Problem auf verschiedene Weise lösen.,,,One can solve the problem in different ways.,,
414,8,"Wenn _____ gesund leben will, sollte _____ sich regelmäßig bewegen.",man,"Wenn man gesund leben will, sollte man sich regelmäßig bewegen.",,,"If one wants to live healthily, one should exercise regularly.",,
