Nr,level,level_verben,question,answer,german,english
498,8,B2,the congratulation,die Beglückwünschung,beglückwünschen,to congratulate
499,8,B2,the greeting,die Begrüßung,begrüssen,to greet
500,8,B2,the obstruction,die Behinderung,behindern,to obstruct
501,8,B2,the realization,die Bemerkung,bemerken,to realize
502,8,B2,the effort,die Bemühung,bemühen,to strive
503,8,B2,the computation,die Berechnung,berechnen,to compute
504,8,B2,the calm,die Ruhe,beruhigen,to calm
505,8,B2,the damage,die Beschädigung,beschädigen,to damage
506,8,B2,the occupation,die Beschäftigung,beschäftigen,to occupy
507,8,B2,the decision,der Beschluss,beschliessen,to decide
508,8,B2,the limitation,die Beschränkung,beschränken,to limit
509,8,B2,the protection,der Schutz,beschützen,to protect
510,9,C1,the rejection,die Ablehnung,ablehnen,to reject
511,9,C1,the acceptance,die Akzeptanz,akzeptieren,to accept
512,9,C1,the offer,das Angebot,anbieten,to offer
513,9,C1,the statement,die Angabe,angeben,to state
514,9,C1,the approach,das Angehen,angehen,to tackle
515,9,C1,the occurrence,das Auftreten,auftreten,to occur
516,9,C1,the failure,der Ausfall,ausfallen,to fail
517,9,C1,the promotion,die Beförderung,befördern,to promote
518,9,C1,the accompaniment,die Begleitung,begleiten,to accompany
519,9,C1,the assertion,die Behauptung,behaupten,to claim
520,9,C1,the concern,die Betroffenheit,betreffen,to affect
521,9,C1,the definition,die Definition,definieren,to define
522,9,C1,the engagement,das Eingehen,eingehen,to deal with
523,9,C1,the commitment,das Engagement,engagieren,to commit (oneself)
524,9,C1,the investigation,die Ermittlung,ermitteln,to investigate
525,9,C1,the achievement,die Erreichung,erreichen,to reach
526,9,C1,the appearance,das Erscheinen,erscheinen,to appear
527,9,C1,the grasp,das Fassen,fassen,to grasp
528,9,C1,the determination,die Feststellung,feststellen,to determine
529,9,C1,the escape,die Flucht,fliehen,to flee
530,9,C1,the demand,die Forderung,fordern,to demand
531,9,C1,the rule,die Herrschaft,herrschen,to rule
532,9,C1,the haste,die Hetze,hetzen,to rush
533,9,C1,the legacy,das Hinterlassen,hinterlassen,to leave behind
534,9,C1,the success,das Klappen,klappen,to work out
535,9,C1,the comment,der Kommentar,kommentieren,to comment
536,9,C1,the landing,die Landung,landen,to land
537,9,C1,the impression,die Prägung,prägen,to shape
538,9,C1,the profit,der Profit,profitieren,to profit
539,9,C1,the reduction,die Reduzierung,reduzieren,to reduce
540,9,C1,the rescue,die Rettung,retten,to save
541,9,C1,the movement,die Rückung,rücken,to move (position)
542,9,C1,the failure,das Schiefgehen,schiefgehen,to go wrong
543,9,C1,the shot,der Schuss,schiessen,to shoot
544,9,C1,the start,der Start,starten,to start
545,9,C1,the handling,der Umgang,umgehen,to handle
546,9,C1,the farewell,die Verabschiedung,verabschieden,to say goodbye
547,9,C1,the inheritance,die Vererbung,vererben,to inherit
548,9,C1,the forgiveness,die Vergebung,vergeben,to forgive
549,9,C1,the prevention,die Verhinderung,verhindern,to prevent
550,9,C1,the course,der Verlauf,verlaufen,to proceed
551,9,C1,the betrayal,der Verrat,verraten,to betray
552,9,C1,the concealment,das Verschweigen,verschweigen,to withhold
553,9,C1,the defense,die Verteidigung,verteidigen,to defend
554,9,C1,the transformation,die Verwandlung,verwandeln,to transform
555,9,C1,the turn,die Wendung,wenden,to turn
556,9,C1,the compulsion,der Zwang,zwingen,to force
557,9,C1,the intention,das Absicht,absehen,to foresee
558,9,C1,the attack,der Angriff,angreifen,to attack
559,9,C1,the investment,die Anlage,anlegen,to invest
560,9,C1,the adaptation,die Anpassung,anpassen,to adapt
561,9,C1,"the address, the speech",die Ansprache,ansprechen,to address
562,9,C1,the competition,das Antreten,antreten,to compete
563,9,C1,the report,die Anzeige,anzeigen,to report
564,9,C1,the construction,der Aufbau,aufbauen,to build up
565,9,C1,the remarkability,die Auffälligkeit,auffallen,to stand out
566,9,C1,the excitement,die Aufregung,aufregen,to excite
567,9,C1,the setup,die Aufstellung,aufstellen,to set up
568,9,C1,the expansion,der Ausbau,ausbauen,to expand
569,9,C1,the execution,die Ausführung,ausführen,to execute
570,10,C1,the exclusion,der Ausschluss,ausschliessen,to exclude
571,10,C1,the equipment,die Ausstattung,ausstatten,to equip
572,10,C1,"the distinction, the award",die Auszeichnung,auszeichnen,to distinguish
573,10,C1,the basis,die Basis,basieren,to be based on
574,10,C1,the application,der Antrag,beantragen,to apply for
575,10,C1,the service,die Bedienung,bedienen,to serve
576,10,C1,the encounter,die Begegnung,begegnen,to encounter
577,10,C1,the commission,die Begehung,begehen,to commit (a crime)
578,10,C1,the burial,das Begräbnis,begraben,to bury
579,10,C1,the proof,der Beleg,belegen,to prove
580,10,C1,the consideration,die Berücksichtigung,berücksichtigen,to consider
581,10,C1,the victory,der Sieg,besiegen,to defeat
582,10,C1,the emphasis,die Betonung,betonen,to emphasize
583,10,C1,the accent,die Betonung,betonen,to emphasize
584,10,C1,the consideration,die Betrachtung,betrachten,to regard
585,10,C1,the amount,der Betrag,betragen,to amount to
586,10,C1,the operation,der Betrieb,betreiben,to operate
587,10,C1,the supervision,die Betreuung,betreuen,to supervise
588,10,C1,the fraud,der Betrug,betrügen,to cheat
589,10,C1,the description,die Bezeichnung,bezeichnen,to describe
590,10,C1,the receipt,der Bezug,beziehen,to obtain
591,10,C1,the threat,die Drohung,drohen,to threaten
592,10,C1,the implementation,die Durchführung,durchführen,to carry out
593,10,C1,the enforcement,die Durchsetzung,durchsetzen,to enforce
594,10,C1,the suitability,die Eignung,eignen,to be suitable
595,10,C1,the escape,das Entkommen,entkommen,to escape
596,10,C1,the delight,die Freude,erfreuen,to please
597,10,C1,the levy,die Erhebung,erheben,to raise
598,10,C1,the explanation,die Erläuterung,erläutern,to explain
599,10,C1,the murder,der Mord,ermorden,to murder
600,10,C1,the establishment,die Errichtung,errichten,to establish
601,10,C1,the fright,der Schreck,erschrecken,to frighten
602,10,C1,the issuance,die Erteilung,erteilen,to grant
603,10,C1,the endurance,das Ertragen,ertragen,to endure
604,10,C1,the proof,der Beweis,erweisen,to prove
605,10,C1,the acquisition,der Erwerb,erwerben,to acquire
606,10,C1,the existence,die Existenz,existieren,to exist
607,10,C1,the determination,die Festlegung,festlegen,to determine
608,10,C1,"the flow, the river",der Fluss,fliessen,to flow
609,10,C1,the usage,der Gebrauch,gebrauchen,to use
610,10,C1,the remembrance,das Gedenken,gedenken,to commemorate
611,10,C1,the arrival,das Gelangen,gelangen,to reach
612,10,C1,the sufficiency,die Genüge,genügen,to be sufficient
613,10,C1,the design,die Gestaltung,gestalten,to shape
614,10,C1,the guarantee,die Gewährleistung,gewährleisten,to ensure
615,10,C1,the healing,die Heilung,heilen,to heal
616,10,C1,the origin,die Herkunft,herkommen,to come from
617,10,C1,the production,die Herstellung,herstellen,to produce
618,10,C1,the attendance,das Hingehen,hingehen,to go there
619,10,C1,the addition,die Hinzufügung,hinzufügen,to add
620,10,C1,the integration,die Integration,integrieren,to integrate
621,10,C1,the theft,der Klau,klauen,to steal (slang)
622,10,C1,the acquisition,das Kriegen,kriegen,to get
623,10,C1,the deletion,das Löschen,löschen,to delete
624,10,C1,the removal,das Loswerden,loswerden,to get rid of
625,10,C1,the notification,die Mitteilung,mitteilen,to inform
626,10,C1,the modernization,die Modernisierung,modern,to modernize
627,10,C1,the organization,die Organisation,organisieren,to organize
628,10,C1,the emergence,das Rauskommen,rauskommen,to come out
629,10,C1,the registration,die Registrierung,registrieren,to register
630,11,C1,the risk,das Risiko,riskieren,to risk
631,11,C1,the renovation,die Sanierung,sanieren,to renovate
632,11,C1,the harm,der Schaden,schaden,to harm
633,11,C1,the failure,das Scheitern,scheitern,to fail
634,11,C1,the snatch,das Schnappen,schnappen,to grab
635,11,C1,the stride,das Schreiten,schreiten,to stride
636,11,C1,the oath,der Schwur,schwören,to swear
637,11,C1,the separation,die Sonderung,sondern,to separate
638,11,C1,the split,die Spaltung,spalten,to split
639,11,C1,the storage,das Speichern,speichern,to save (data)
640,11,C1,the increase,die Steigerung,steigern,to increase
641,11,C1,the control,die Steuerung,steuern,to control
642,11,C1,the argument,der Streit,streiten,to argue
643,11,C1,the support,die Stütze,stützen,to support
644,11,C1,the telephone call,das Telefonat,telefonieren,to make a call
645,11,C1,the handover,die Übergabe,übergeben,to hand over
646,11,C1,the transmission,die Übertragung,übertragen,to transmit
647,11,C1,the turn,die Umdrehung,umdrehen,to turn around
648,11,C1,the scope,die Umfassung,umfassen,to encompass
649,11,C1,the implementation,die Umsetzung,umsetzen,to implement
650,11,C1,the entertainment,die Unterhaltung,unterhalten,to entertain
651,11,C1,the subjugation,das Unterliegen,unterliegen,to be subject to
652,11,C1,the differentiation,die Unterscheidung,unterscheiden,to differentiate
653,11,C1,the event,die Veranstaltung,veranstalten,to organize (event)
654,11,C1,the distribution,die Verbreitung,verbreiten,to spread
655,11,C1,the condemnation,die Verdammung,verdammen,to condemn
656,11,C1,the composition,die Verfassung,verfassen,to compose
657,11,C1,the pursuit,die Verfolgung,verfolgen,to pursue
658,11,C1,the arrest,die Verhaftung,verhaften,to arrest
659,11,C1,the award,die Verleihung,verleihen,to award
660,11,C1,the mediation,die Vermittlung,vermitteln,to mediate
661,11,C1,the destruction,die Vernichtung,vernichten,to destroy
662,11,C1,the obligation,die Verpflichtung,verpflichten,to obligate
663,11,C1,the distribution,die Verteilung,verteilen,to distribute
664,11,C1,the reference,der Verweis,verweisen,to refer
665,11,C1,the existence,das Vorliegen,vorliegen,to exist
666,11,C1,the provision,die Vorsicht,vorsehen,to plan
667,11,C1,the risk,die Wagnis,wagen,to dare
668,11,C1,the resistance,die Wehr,wehren,to resist
669,11,C1,the indication,der Hinweis,weisen,to point
670,11,C1,the dedication,die Widmung,widmen,to dedicate
671,11,C1,the quotation,das Zitat,zitieren,to quote
672,11,C1,the return,die Rückkehr,zurückkehren,to return
673,11,C1,the withdrawal,der Rückzug,zurückziehen,to withdraw
674,11,C1,the observation,das Zusehen,zusehen,to watch
675,11,C1,the retrieval,der Abruf,abrufen,to retrieve
676,11,C1,the activation,die Aktivierung,aktivieren,to activate
677,11,C1,the update,die Aktualisierung,aktualisieren,to update
678,11,C1,the age,das Alter,altern,to age
679,11,C1,the inquiry,die Anfrage,anfragen,to inquire
680,11,C1,the increase,der Anstieg,ansteigen,to increase
681,11,C1,the employment,die Anstellung,anstellen,to hire
682,11,C1,the instruction,die Anweisung,anweisen,to instruct
683,11,C1,the task,die Aufgabe,aufgeben,to give up
684,11,C1,the attention,die Aufmerksamkeit,aufmerken,to pay attention
685,11,C1,the emergence,das Auftauchen,auftauchen,to emerge
686,11,C1,the characteristic,die Aufweisung,aufweisen,to exhibit
687,11,C1,the expression,der Ausdruck,ausdrücken,to express
688,11,C1,the alignment,die Ausrichtung,ausrichten,to align
689,11,C1,the statement,die Aussage,aussagen,"to testify, to state"
690,12,C1,the suspension,die Aussetzung,aussetzen,to suspend
691,12,C1,the exit,der Ausstieg,aussteigen,to get off (transport)
692,12,C1,the selection,die Auswahl,aussuchen,to pick out
693,12,C1,the exchange,der Austausch,austauschen,to exchange
694,12,C1,the consideration,das Bedenken,bedenken,to consider
695,12,C1,the threat,die Bedrohung,bedrohen,to threaten
696,12,C1,the command,der Befehl,befehligen,to command
697,12,C1,the enthusiasm,die Begeisterung,begeistern,to inspire
698,12,C1,the fight,die Bekämpfung,bekämpfen,to combat
699,12,C1,the insult,die Beleidigung,beleidigen,to insult
700,12,C1,the regret,die Reue,bereuen,to regret
701,12,C1,the touch,die Berührung,berühren,to touch
702,12,C1,the punishment,die Bestrafung,bestrafen,to punish
703,12,C1,the guard,der Wächten,bewachen,to guard
704,12,C1,the preservation,die Bewahrung,bewahren,to preserve
705,12,C1,the burn,das Brennen,brennen,to burn
706,12,C1,the occurrence,der Einfall,einfallen,to occur
707,12,C1,the creation,die Erschaffung,erschaffen,to create
708,12,C1,the explosion,die Explosion,explodieren,to explode
709,12,C1,the color,die Farbe,färben,to color
710,12,C1,the detention,das Festhalten,festhalten,to hold on
711,12,C1,the fire,das Feuer,feuern,to fire
712,12,C1,the hit,der Hieb,hauen,to hit
713,12,C1,the identification,die Identifikation,identifizieren,to identify
714,12,C1,the import,der Import,importieren,to import
715,12,C1,the error,der Irrtum,irren,to be wrong
716,12,C1,the clothes,die Kleidung,kleiden,to dress
717,12,C1,the knee,das Knie,knien,to kneel
718,12,C1,the teacher,der Lehrer,lehren,to teach
719,12,C1,the sacrifice,das Opfer,opfern,to sacrifice
720,12,C1,the praise,das Preisen,preisen,to praise
721,12,C1,the revenge,die Rache,rächen,to avenge
722,12,C1,the government,die Regierung,regieren,to govern
723,12,C1,the debt,die Schuld,schulden,to owe
724,12,C1,the silence,das Schweigen,schweigen,to remain silent
725,12,C1,the stench,der Gestank,stinken,to stink
726,12,C1,the deletion,die Streichung,streichen,to paint/cancel
727,12,C1,the fall,der Sturz,stürzen,to fall
728,12,C1,the trust,das Vertrauen,trauen,to trust
729,12,C1,the dryer,der Trockner,trocknen,to dry
730,12,C1,the handover,die Überlassung,überlassen,to leave to
731,12,C1,the exaggeration,die Übertreibung,übertreiben,to exaggerate
732,12,C1,the concealment,die Verbergung,verbergen,to hide
733,12,C1,the stay,der Verbleib,verbleiben,to remain
734,12,C1,the behavior,das Verhalten,verhalten,to behave
735,12,C1,the negotiation,die Verhandlung,verhandeln,to negotiate
736,12,C1,the failure,das Versagen,versagen,to fail
737,12,C1,the waste,die Verschwendung,verschwenden,to waste
738,12,C1,the relocation,die Versetzung,versetzen,to relocate
739,12,C1,the forgiveness,die Verzeihung,verzeihen,to forgive
740,12,C1,the continuation,das Weitergehen,weitergehen,to continue
741,12,C1,the continuation,das Weitermachen,weitermachen,to continue
742,12,C1,the weight,das Gewicht,wiegen,to weight
