Nr,exercise,question,answer,german,english,french,person,case_english,case_french,gender_english,gender_french,verb_german,verb_english,verb_french,explanation_english_article,explanation_french_article,valency_english,valency_french,explanation_english_valency,explanation_french_valency,explanation_english_verb,explanation_french_verb,explanation_english,explanation_french
64,1,Ich vergesse _____ Schlüssel oft.,meinen,Ich vergesse meinen Schlüssel oft.,I often forget my key.,J’oublie souvent ma clé.,mein,Accusative,Accusatif,Masculine,Masculin,vergessen,"to forget, to leave (forget to take)",oublier,"mein, Masculine, Accusative → meinen","mein, Masculin, Accusatif → meinen",Accusative,Accusatif,vergessen → Accusative,vergessen → Accusatif,,,"mein, Masculine, Accusative → meinen<br><br>vergessen → Accusative<br><br>vergessen = to forget, to leave (forget to take)","mein, Masculin, Accusatif → meinen<br><br>vergessen → Accusatif<br><br>vergessen = oublier"
65,2,Sie sucht _____ Hund im Garten.,den,Sie sucht den Hund im Garten.,She looks for the dog in the garden.,Elle cherche le chien dans le jardin.,der/die/das,Accusative,Accusatif,Masculine,Masculin,suchen,"to seek, to search","chercher, rechercher","der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,suchen → Accusative,suchen → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>suchen → Accusative<br><br>suchen = to seek, to search","der/die/das, Masculin, Accusatif → den<br><br>suchen → Accusatif<br><br>suchen = chercher, rechercher"
66,3,Wir lernen _____ neuen Wörter.,die,Wir lernen die neuen Wörter.,We learn the new words.,Nous apprenons les nouveaux mots.,der/die/das,Accusative,Accusatif,Plural,Pluriel,lernen,"to learn, to study, to train something","apprendre, étudier, se former à quelque chose","der/die/das, Plural, Accusative → die","der/die/das, Pluriel, Accusatif → die",Accusative,Accusatif,lernen → Accusative,lernen → Accusatif,,,"der/die/das, Plural, Accusative → die<br><br>lernen → Accusative<br><br>lernen = to learn, to study, to train something","der/die/das, Pluriel, Accusatif → die<br><br>lernen → Accusatif<br><br>lernen = apprendre, étudier, se former à quelque chose"
67,1,Ich koche _____ Suppe.,eine,Ich koche eine Suppe.,I cook a soup.,Je cuisine une soupe.,ein,Accusative,Accusatif,Feminine,Féminin,kochen,"to cook, to boil (to heat a liquid), to boil something","cuire, faire bouillir (chauffer un liquide), faire bouillir quelque chose","ein, Feminine, Accusative → eine","ein, Féminin, Accusatif → eine",Accusative,Accusatif,kochen → Accusative,kochen → Accusatif,,,"ein, Feminine, Accusative → eine<br><br>kochen → Accusative<br><br>kochen = to cook, to boil (to heat a liquid), to boil something","ein, Féminin, Accusatif → eine<br><br>kochen → Accusatif<br><br>kochen = cuire, faire bouillir (chauffer un liquide), faire bouillir quelque chose"
68,2,Sie wäscht _____ Kleidung.,die,Sie wäscht die Kleidung.,She washes the clothes.,Elle lave les vêtements.,der/die/das,Accusative,Accusatif,Feminine,Féminin,waschen,to wash,laver,"der/die/das, Feminine, Accusative → die","der/die/das, Féminin, Accusatif → die",Accusative,Accusatif,waschen → Accusative,waschen → Accusatif,,,"der/die/das, Feminine, Accusative → die<br><br>waschen → Accusative<br><br>waschen = to wash","der/die/das, Féminin, Accusatif → die<br><br>waschen → Accusatif<br><br>waschen = laver"
69,3,Wir zeichnen _____ Bild.,ein,Wir zeichnen ein Bild.,We draw a picture.,Nous dessinons une image.,ein,Accusative,Accusatif,Neuter,Neutre,zeichnen,"to draw, to sketch","dessiner, esquisser","ein, Neuter, Accusative → ein","ein, Neutre, Accusatif → ein",Accusative,Accusatif,zeichnen → Accusative,zeichnen → Accusatif,,,"ein, Neuter, Accusative → ein<br><br>zeichnen → Accusative<br><br>zeichnen = to draw, to sketch","ein, Neutre, Accusatif → ein<br><br>zeichnen → Accusatif<br><br>zeichnen = dessiner, esquisser"
70,1,Ich trage _____ schweren Rucksack.,einen,Ich trage einen schweren Rucksack.,I carry a heavy backpack.,Je porte un sac à dos lourd.,ein,Accusative,Accusatif,Masculine,Masculin,tragen,"to wear (clothing), to carry, to hold","porter (des vêtements), transporter, tenir","ein, Masculine, Accusative → einen","ein, Masculin, Accusatif → einen",Accusative,Accusatif,tragen → Accusative,tragen → Accusatif,,,"ein, Masculine, Accusative → einen<br><br>tragen → Accusative<br><br>tragen = to wear (clothing), to carry, to hold","ein, Masculin, Accusatif → einen<br><br>tragen → Accusatif<br><br>tragen = porter (des vêtements), transporter, tenir"
71,2,Sie zieht _____ Mantel an.,den,Sie zieht den Mantel an.,She puts on the coat.,Elle met le manteau.,der/die/das,Accusative,Accusatif,Masculine,Masculin,anziehen,"to get dressed, to put on, to dress someone, to attract, to pull","s'habiller, mettre, habiller quelqu'un, attirer, tirer","der/die/das, Masculine, Accusative → den","der/die/das, Masculin, Accusatif → den",Accusative,Accusatif,anziehen → Accusative,anziehen → Accusatif,,,"der/die/das, Masculine, Accusative → den<br><br>anziehen → Accusative<br><br>anziehen = to get dressed, to put on, to dress someone, to attract, to pull","der/die/das, Masculin, Accusatif → den<br><br>anziehen → Accusatif<br><br>anziehen = s'habiller, mettre, habiller quelqu'un, attirer, tirer"
72,3,Wir schließen _____ Tür am Abend.,die,Wir schließen die Tür am Abend.,We close the door in the evening.,Nous fermons la porte le soir.,der/die/das,Accusative,Accusatif,Feminine,Féminin,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure","der/die/das, Feminine, Accusative → die","der/die/das, Féminin, Accusatif → die",Accusative,Accusatif,schließen → Accusative,schließen → Accusatif,,,"der/die/das, Feminine, Accusative → die<br><br>schließen → Accusative<br><br>schließen = to shut, to close, to lock, to conclude","der/die/das, Féminin, Accusatif → die<br><br>schließen → Accusatif<br><br>schließen = fermer, clore, verrouiller, conclure"
73,4,Dieses Werkzeug dient _____ Handwerker bei der Arbeit.,dem,Dieses Werkzeug dient dem Handwerker bei der Arbeit.,This tool serves the craftsman in his work.,Cet outil sert à l’artisan dans son travail.,der/die/das,Dative,Datif,Masculine,Masculin,dienen,"to serve, to function","servir, fonctionner","der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Dative,Datif,dienen → Dative,dienen → Datif,,,"der/die/das, Masculine, Dative → dem<br><br>dienen → Dative<br><br>dienen = to serve, to function","der/die/das, Masculin, Datif → dem<br><br>dienen → Datif<br><br>dienen = servir, fonctionner"
74,5,Die Erklärung dient _____ Studenten zum besseren Verständnis.,den,Die Erklärung dient den Studenten zum besseren Verständnis.,The explanation serves the students for better understanding.,L’explication sert aux étudiants pour une meilleure compréhension.,der/die/das,Dative,Datif,Masculine,Masculin,dienen,"to serve, to function","servir, fonctionner","der/die/das, Masculine, Dative → den","der/die/das, Masculin, Datif → den",Dative,Datif,dienen → Dative,dienen → Datif,,,"der/die/das, Masculine, Dative → den<br><br>dienen → Dative<br><br>dienen = to serve, to function","der/die/das, Masculin, Datif → den<br><br>dienen → Datif<br><br>dienen = servir, fonctionner"
75,6,Diese Maßnahme dient _____ Sicherheit der Bürger.,der,Diese Maßnahme dient der Sicherheit der Bürger.,This measure serves the safety of the citizens.,Cette mesure sert à la sécurité des citoyens.,der/die/das,Dative,Datif,Feminine,Féminin,dienen,"to serve, to function","servir, fonctionner","der/die/das, Feminine, Dative → der","der/die/das, Féminin, Datif → der",Dative,Datif,dienen → Dative,dienen → Datif,,,"der/die/das, Feminine, Dative → der<br><br>dienen → Dative<br><br>dienen = to serve, to function","der/die/das, Féminin, Datif → der<br><br>dienen → Datif<br><br>dienen = servir, fonctionner"
76,4,_____ fehlt heute die Zeit für Sport.,Mir,Mir fehlt heute die Zeit für Sport.,I lack time for sports today.,Je manque de temps pour le sport aujourd’hui.,ich,Dative,Datif,,,fehlen,"to lack, to be absent or missing","manquer, être absent ou manquant","ich, Dative → Mir","ich, Datif → Mir",Dative,Datif,fehlen → Dative,fehlen → Datif,,,"ich, Dative → Mir<br><br>fehlen → Dative<br><br>fehlen = to lack, to be absent or missing","ich, Datif → Mir<br><br>fehlen → Datif<br><br>fehlen = manquer, être absent ou manquant"
77,5,_____ Team fehlt ein guter Trainer.,Dem,Dem Team fehlt ein guter Trainer.,The team lacks a good coach.,Il manque un bon entraîneur à l’équipe.,der/die/das,Dative,Datif,Neuter,Neutre,fehlen,"to lack, to be absent or missing","manquer, être absent ou manquant","der/die/das, Neuter, Dative → Dem","der/die/das, Neutre, Datif → Dem",Dative,Datif,fehlen → Dative,fehlen → Datif,,,"der/die/das, Neuter, Dative → Dem<br><br>fehlen → Dative<br><br>fehlen = to lack, to be absent or missing","der/die/das, Neutre, Datif → Dem<br><br>fehlen → Datif<br><br>fehlen = manquer, être absent ou manquant"
78,6,_____ fehlt die Erfahrung für diese Arbeit.,Ihr,Ihr fehlt die Erfahrung für diese Arbeit.,She lacks the experience for this job.,Elle manque d’expérience pour ce travail.,sie,Dative,Datif,,,fehlen,"to lack, to be absent or missing","manquer, être absent ou manquant","sie, Dative → Ihr","sie, Datif → Ihr",Dative,Datif,fehlen → Dative,fehlen → Datif,,,"sie, Dative → Ihr<br><br>fehlen → Dative<br><br>fehlen = to lack, to be absent or missing","sie, Datif → Ihr<br><br>fehlen → Datif<br><br>fehlen = manquer, être absent ou manquant"
79,4,Die Schuhe passen _____ nicht mehr.,mir,Die Schuhe passen mir nicht mehr.,The shoes no longer fit me.,Les chaussures ne me vont plus.,ich,Dative,Datif,,,passen,"to fit, to suit","s'adapter, convenir","ich, Dative → mir","ich, Datif → mir",Dative,Datif,passen → Dative,passen → Datif,Verbs that describe an experience for the subject usually take the Dative,Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif,"ich, Dative → mir<br><br>passen → Dative<br><br>Verbs that describe an experience for the subject usually take the Dative<br><br>passen = to fit, to suit","ich, Datif → mir<br><br>passen → Datif<br><br>Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif<br><br>passen = s'adapter, convenir"
80,5,Der Termin passt _____ gut.,uns,Der Termin passt uns gut.,The appointment suits us well.,Le rendez-vous nous convient bien.,wir,Dative,Datif,,,passen,"to fit, to suit","s'adapter, convenir","wir, Dative → uns","wir, Datif → uns",Dative,Datif,passen → Dative,passen → Datif,Verbs that describe an experience for the subject usually take the Dative,Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif,"wir, Dative → uns<br><br>passen → Dative<br><br>Verbs that describe an experience for the subject usually take the Dative<br><br>passen = to fit, to suit","wir, Datif → uns<br><br>passen → Datif<br><br>Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif<br><br>passen = s'adapter, convenir"
81,6,Dieses Kleid passt _____ perfekt.,ihr,Dieses Kleid passt ihr perfekt.,This dress fits her perfectly.,Cette robe lui va parfaitement.,sie,Dative,Datif,,,passen,"to fit, to suit","s'adapter, convenir","sie, Dative → ihr","sie, Datif → ihr",Dative,Datif,passen → Dative,passen → Datif,Verbs that describe an experience for the subject usually take the Dative,Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif,"sie, Dative → ihr<br><br>passen → Dative<br><br>Verbs that describe an experience for the subject usually take the Dative<br><br>passen = to fit, to suit","sie, Datif → ihr<br><br>passen → Datif<br><br>Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif<br><br>passen = s'adapter, convenir"
82,4,Die Suppe schmeckt _____ heute besonders gut.,mir,Die Suppe schmeckt mir heute besonders gut.,The soup tastes especially good to me today.,La soupe me plaît particulièrement aujourd’hui.,ich,Dative,Datif,,,schmecken,"to taste, to be tasty, to enjoy (with Dat.)","être savoureux, apprécier (avec Dat.)","ich, Dative → mir","ich, Datif → mir",Dative,Datif,schmecken → Dative,schmecken → Datif,Verbs that describe an experience for the subject usually take the Dative,Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif,"ich, Dative → mir<br><br>schmecken → Dative<br><br>Verbs that describe an experience for the subject usually take the Dative<br><br>schmecken = to taste, to be tasty, to enjoy (with Dat.)","ich, Datif → mir<br><br>schmecken → Datif<br><br>Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif<br><br>schmecken = être savoureux, apprécier (avec Dat.)"
83,5,Der Wein schmeckt _____ nicht.,ihm,Der Wein schmeckt ihm nicht.,The wine does not taste good to him.,Le vin ne lui plaît pas.,er,Dative,Datif,,,schmecken,"to taste, to be tasty, to enjoy (with Dat.)","être savoureux, apprécier (avec Dat.)","er, Dative → ihm","er, Datif → ihm",Dative,Datif,schmecken → Dative,schmecken → Datif,Verbs that describe an experience for the subject usually take the Dative,Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif,"er, Dative → ihm<br><br>schmecken → Dative<br><br>Verbs that describe an experience for the subject usually take the Dative<br><br>schmecken = to taste, to be tasty, to enjoy (with Dat.)","er, Datif → ihm<br><br>schmecken → Datif<br><br>Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif<br><br>schmecken = être savoureux, apprécier (avec Dat.)"
84,6,Die neuen Gerichte schmecken _____ sehr.,uns,Die neuen Gerichte schmecken uns sehr.,We like the new dishes very much.,Les nouveaux plats nous plaisent beaucoup.,wir,Dative,Datif,,,schmecken,"to taste, to be tasty, to enjoy (with Dat.)","être savoureux, apprécier (avec Dat.)","wir, Dative → uns","wir, Datif → uns",Dative,Datif,schmecken → Dative,schmecken → Datif,Verbs that describe an experience for the subject usually take the Dative,Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif,"wir, Dative → uns<br><br>schmecken → Dative<br><br>Verbs that describe an experience for the subject usually take the Dative<br><br>schmecken = to taste, to be tasty, to enjoy (with Dat.)","wir, Datif → uns<br><br>schmecken → Datif<br><br>Les verbes qui décrivent une expérience vécue par le sujet s'accompagnent généralement du Datif<br><br>schmecken = être savoureux, apprécier (avec Dat.)"
85,4,Ich antworte _____ später auf die Frage.,dir,Ich antworte dir später auf die Frage.,I will answer you later about the question.,Je te répondrai plus tard à la question.,du,Dative,Datif,,,antworten,"to answer, to reply","répondre, répliquer","du, Dative → dir","du, Datif → dir",Dative,Datif,antworten → Dative,antworten → Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"du, Dative → dir<br><br>antworten → Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>antworten = to answer, to reply","du, Datif → dir<br><br>antworten → Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>antworten = répondre, répliquer"
86,5,Sie antwortet _____ Lehrer sofort.,dem,Sie antwortet dem Lehrer sofort.,She answers the teacher immediately.,Elle répond immédiatement au professeur.,der/die/das,Dative,Datif,Masculine,Masculin,antworten,"to answer, to reply","répondre, répliquer","der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Dative,Datif,antworten → Dative,antworten → Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"der/die/das, Masculine, Dative → dem<br><br>antworten → Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>antworten = to answer, to reply","der/die/das, Masculin, Datif → dem<br><br>antworten → Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>antworten = répondre, répliquer"
87,6,Wir antworten _____ Kunden schnell per E-Mail.,unseren,Wir antworten unseren Kunden schnell per E-Mail.,We reply quickly to our customers by email.,Nous répondons rapidement à nos clients par e-mail.,unser,Dative,Datif,Plural,Pluriel,antworten,"to answer, to reply","répondre, répliquer","unser, Plural, Dative → unseren","unser, Pluriel, Datif → unseren",Dative,Datif,antworten → Dative,antworten → Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"unser, Plural, Dative → unseren<br><br>antworten → Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>antworten = to answer, to reply","unser, Pluriel, Datif → unseren<br><br>antworten → Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>antworten = répondre, répliquer"
88,4,Ich vertraue _____ in dieser Situation.,dir,Ich vertraue dir in dieser Situation.,I trust you in this situation.,Je te fais confiance dans cette situation.,du,Dative,Datif,,,vertrauen,to trust,faire confiance,"du, Dative → dir","du, Datif → dir",Dative,Datif,vertrauen → Dative,vertrauen → Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"du, Dative → dir<br><br>vertrauen → Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>vertrauen = to trust","du, Datif → dir<br><br>vertrauen → Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>vertrauen = faire confiance"
89,5,Sie vertraut _____ Freund sehr.,ihrem,Sie vertraut ihrem Freund sehr.,She trusts her friend very much.,Elle fait beaucoup confiance à son ami.,ihr,Dative,Datif,,,vertrauen,to trust,faire confiance,"ihr, Dative → ihrem","ihr, Datif → ihrem",Dative,Datif,vertrauen → Dative,vertrauen → Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"ihr, Dative → ihrem<br><br>vertrauen → Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>vertrauen = to trust","ihr, Datif → ihrem<br><br>vertrauen → Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>vertrauen = faire confiance"
90,6,Wir vertrauen _____ Arzt.,dem,Wir vertrauen dem Arzt.,We trust the doctor.,Nous faisons confiance au médecin.,der/die/das,Dative,Datif,Masculine,Masculin,vertrauen,to trust,faire confiance,"der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Dative,Datif,vertrauen → Dative,vertrauen → Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"der/die/das, Masculine, Dative → dem<br><br>vertrauen → Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>vertrauen = to trust","der/die/das, Masculin, Datif → dem<br><br>vertrauen → Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>vertrauen = faire confiance"
91,4,Ich stimme _____ in diesem Punkt zu.,dir,Ich stimme dir in diesem Punkt zu.,I agree with you on this point.,Je suis d’accord avec toi sur ce point.,du,Dative,Datif,,,zustimmen,"to agree, to consent, to approve","être d'accord, consentir, approuver","du, Dative → dir","du, Datif → dir",Dative,Datif,zustimmen → Dative,zustimmen → Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"du, Dative → dir<br><br>zustimmen → Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>zustimmen = to agree, to consent, to approve","du, Datif → dir<br><br>zustimmen → Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>zustimmen = être d'accord, consentir, approuver"
92,5,Sie stimmt _____ Vorschlag sofort zu.,dem,Sie stimmt dem Vorschlag sofort zu.,She immediately agrees to the proposal.,Elle accepte immédiatement la proposition.,der/die/das,Dative,Datif,Masculine,Masculin,zustimmen,"to agree, to consent, to approve","être d'accord, consentir, approuver","der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Dative,Datif,zustimmen → Dative,zustimmen → Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"der/die/das, Masculine, Dative → dem<br><br>zustimmen → Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>zustimmen = to agree, to consent, to approve","der/die/das, Masculin, Datif → dem<br><br>zustimmen → Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>zustimmen = être d'accord, consentir, approuver"
93,6,Wir stimmen _____ Plan nach der Diskussion zu.,dem,Wir stimmen dem Plan nach der Diskussion zu.,We agree to the plan after the discussion.,Nous acceptons le plan après la discussion.,der/die/das,Dative,Datif,Masculine,Masculin,zustimmen,"to agree, to consent, to approve","être d'accord, consentir, approuver","der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Dative,Datif,zustimmen → Dative,zustimmen → Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"der/die/das, Masculine, Dative → dem<br><br>zustimmen → Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>zustimmen = to agree, to consent, to approve","der/die/das, Masculin, Datif → dem<br><br>zustimmen → Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>zustimmen = être d'accord, consentir, approuver"
94,4,"Ich rate _____, früher zu gehen.",dir,"Ich rate dir, früher zu gehen.",I advise you to leave earlier.,Je te conseille de partir plus tôt.,du,Dative,Datif,,,raten,"to advise, to recommend, to guess","conseiller, recommander, deviner","du, Dative → dir","du, Datif → dir",Dative,Datif,raten → Dative,raten → Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"du, Dative → dir<br><br>raten → Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>raten = to advise, to recommend, to guess","du, Datif → dir<br><br>raten → Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>raten = conseiller, recommander, deviner"
95,5,Der Arzt rät _____ Patienten zu mehr Ruhe.,dem,Der Arzt rät dem Patienten zu mehr Ruhe.,The doctor advises the patient to get more rest.,Le médecin conseille au patient de se reposer davantage.,der/die/das,Dative,Datif,Masculine,Masculin,raten,"to advise, to recommend, to guess","conseiller, recommander, deviner","der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Dative,Datif,raten → Dative,raten → Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"der/die/das, Masculine, Dative → dem<br><br>raten → Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>raten = to advise, to recommend, to guess","der/die/das, Masculin, Datif → dem<br><br>raten → Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>raten = conseiller, recommander, deviner"
96,6,"Sie rät _____ Freunden, das Hotel zu buchen.",ihren,"Sie rät ihren Freunden, das Hotel zu buchen.",She advises her friends to book the hotel.,Elle conseille à ses amis de réserver l’hôtel.,ihr,Dative,Datif,Plural,Pluriel,raten,"to advise, to recommend, to guess","conseiller, recommander, deviner","ihr, Plural, Dative → ihren","ihr, Pluriel, Datif → ihren",Dative,Datif,raten → Dative,raten → Datif,Verbs that describe an implicit transmission usually take the Dative,Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif,"ihr, Plural, Dative → ihren<br><br>raten → Dative<br><br>Verbs that describe an implicit transmission usually take the Dative<br><br>raten = to advise, to recommend, to guess","ihr, Pluriel, Datif → ihren<br><br>raten → Datif<br><br>Les verbes qui désignent un transfert implicite s'accompagnent généralement du Datif<br><br>raten = conseiller, recommander, deviner"
97,4,Ich stelle _____ meinen neuen Kollegen vor.,dir,Ich stelle dir meinen neuen Kollegen vor.,I introduce my new colleague to you.,Je te présente mon nouveau collègue.,du,Dative,Datif,,,vorstellen,"to introduce, to present oneself (refl.), to move forward, to represent","introduire, se présenter (réfl.), représenter","du, Dative → dir","du, Datif → dir",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),vorstellen → Accusative + Dative (Ditransitive),vorstellen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"du, Dative → dir<br><br>vorstellen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>vorstellen = to introduce, to present oneself (refl.), to move forward, to represent","du, Datif → dir<br><br>vorstellen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>vorstellen = introduire, se présenter (réfl.), représenter"
98,5,Sie empfiehlt _____ Kunden ein gutes Restaurant.,dem,Sie empfiehlt dem Kunden ein gutes Restaurant.,She recommends a good restaurant to the customer.,Elle recommande un bon restaurant au client.,der/die/das,Dative,Datif,Masculine,Masculin,empfehlen,"to recommend, to suggest","recommander, suggérer","der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),empfehlen → Accusative + Dative (Ditransitive),empfehlen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Masculine, Dative → dem<br><br>empfehlen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>empfehlen = to recommend, to suggest","der/die/das, Masculin, Datif → dem<br><br>empfehlen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>empfehlen = recommander, suggérer"
99,6,Wir schenken _____ Mutter Blumen zum Geburtstag.,unserer,Wir schenken unserer Mutter Blumen zum Geburtstag.,We give our mother flowers for her birthday.,Nous offrons des fleurs à notre mère pour son anniversaire.,unser,Dative,Datif,Feminine,Féminin,schenken,"to gift, to give as a present","offrir, faire un cadeau","unser, Feminine, Dative → unserer","unser, Féminin, Datif → unserer",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),schenken → Accusative + Dative (Ditransitive),schenken → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"unser, Feminine, Dative → unserer<br><br>schenken → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>schenken = to gift, to give as a present","unser, Féminin, Datif → unserer<br><br>schenken → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>schenken = offrir, faire un cadeau"
100,4,Er verkauft _____ Kunden ein neues Handy.,dem,Er verkauft dem Kunden ein neues Handy.,He sells a new phone to the customer.,Il vend un nouveau téléphone au client.,der/die/das,Dative,Datif,Masculine,Masculin,verkaufen,to sell,vendre,"der/die/das, Masculine, Dative → dem","der/die/das, Masculin, Datif → dem",Accusative + Dative (Ditransitive),Accusatif + Datif (Ditransitif),verkaufen → Accusative + Dative (Ditransitive),verkaufen → Accusatif + Datif (Ditransitif),Verbs that describe an explicit transmission usually take one Dative and one Accusative,Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif,"der/die/das, Masculine, Dative → dem<br><br>verkaufen → Accusative + Dative (Ditransitive)<br><br>Verbs that describe an explicit transmission usually take one Dative and one Accusative<br><br>verkaufen = to sell","der/die/das, Masculin, Datif → dem<br><br>verkaufen → Accusatif + Datif (Ditransitif)<br><br>Les verbes qui expriment une transmission explicite s'accompagnent généralement d'un Datif et d'un Accusatif<br><br>verkaufen = vendre"
