Nr,exercise,original_exercise,question,answer,german,english,french,person,preposition,article,combination,case_english_,case_french_,gender_english,gender_french,explanation_english,explanation_french,case_english,case_french
217,7,6,Wir machen Urlaub _____ Insel Mallorca.,auf der,Wir machen Urlaub auf der Insel Mallorca.,We're on vacation on the island of Mallorca.,Nous sommes en vacances sur l'île de Majorque.,der/die/das,auf,der,,Dative,Datif,Feminine,Féminin,"to indicate a position in open, flat or elevated spaces in nature → auf + Dat.","pour indiquer une position dans des espaces ouverts, plats ou surélevés dans la nature → auf + Dat.",", Dative",", Datif"
218,7,6,Viele Leute sind _____ Marktplatz.,auf dem,Viele Leute sind auf dem Marktplatz.,There are lots of people on the market square.,Il y a beaucoup de monde sur la place du marché.,der/die/das,auf,dem,,Dative,Datif,Masculine,Masculin,"to indicate a position in open urban spaces – terraces, balconies, squares → auf + Dat.","pour indiquer une position dans les espaces urbains ouverts – terrasses, balcons, places → auf + Dat.",", Dative",", Datif"
219,7,6,Er liest ein Buch _____ Balkon.,auf dem,Er liest ein Buch auf dem Balkon.,He is reading a book on the balcony.,Il lit un livre sur le balcon.,der/die/das,auf,dem,,Dative,Datif,Masculine,Masculin,"to indicate a position in open urban spaces – terraces, balconies, squares → auf + Dat.","pour indiquer une position dans les espaces urbains ouverts – terrasses, balcons, places → auf + Dat.",", Dative",", Datif"
220,7,6,Sie studiert _____ Schweiz.,in der,Sie studiert in der Schweiz.,She's studying in Switzerland.,Elle étudie en Suisse.,der/die/das,in,der,,Dative,Datif,Feminine,Féminin,"to indicate a position in a country, region or city → in + Dat.","pour indiquer une position dans un pays, une région ou une ville → in + Dat.",", Dative",", Datif"
221,7,6,Meine Großeltern leben _____ kleinen Dorf.,in einem,Meine Großeltern leben in einem kleinen Dorf.,My grandparents live in a small village.,Mes grands-parents vivent dans un petit village.,ein,in,einem,,Dative,Datif,Neuter,Neutre,"to indicate a position in a country, region or city → in + Dat.","pour indiquer une position dans un pays, une région ou une ville → in + Dat.",", Dative",", Datif"
222,7,7,Das Kind läuft _____ Eingang.,an den,Das Kind läuft an den Eingang.,The child runs to the entrance.,L'enfant court vers l'entrée.,der/die/das,an,den,,Accusative,Accusatif,Masculine,Masculin,to indicate a direction to the immediate vicinity of something → an + Acc.,indiquer une direction vers le voisinage immédiat de quelque chose → an + Acc.,", Accusative",", Accusatif"
223,7,7,Ich gehe _____ Strand.,an den,Ich gehe an den Strand.,I am going to the beach.,Je vais à la plage.,der/die/das,an,den,,Accusative,Accusatif,Masculine,Masculin,"to indicate a direction next to a body of water – Küste, Strand, Meer, See etc. → an + Acc.","pour indiquer une direction à côté d’un plan d’eau – Küste, Strand, Meer, See etc. → an + Acc.",", Accusative",", Accusatif"
224,7,7,Die Touristen fahren _____ See.,an den,Die Touristen fahren an den See.,The tourists go to the lake.,Les touristes vont au lac.,der/die/das,an,den,,Accusative,Accusatif,Masculine,Masculin,"to indicate a direction next to a body of water – Küste, Strand, Meer, See etc. → an + Acc.","pour indiquer une direction à côté d’un plan d’eau – Küste, Strand, Meer, See etc. → an + Acc.",", Accusative",", Accusatif"
225,7,7,Wir machen einen Spaziergang _____ Fluss.,an den,Wir machen einen Spaziergang an den Fluss.,We go for a walk to the river.,Nous allons nous promener jusqu'à la rivière.,der/die/das,an,den,,Accusative,Accusatif,Masculine,Masculin,"to indicate a direction next to a body of water – Küste, Strand, Meer, See etc. → an + Acc.","pour indiquer une direction à côté d’un plan d’eau – Küste, Strand, Meer, See etc. → an + Acc.",", Accusative",", Accusatif"
226,7,7,Wir gehen _____ Marktplatz.,auf den,Wir gehen auf den Marktplatz.,We go to the market square.,Nous allons sur la place du marché.,der/die/das,auf,den,,Accusative,Accusatif,Masculine,Masculin,"to indicate a direction to open urban spaces – terraces, balconies, squares → auf + Acc.","pour indiquer une direction vers des espaces urbains ouverts – terrasses, balcons, places → auf + Acc.",", Accusative",", Accusatif"
227,7,7,Sie läuft _____ Spielplatz.,auf den,Sie läuft auf den Spielplatz.,She runs to the playground.,Elle court vers l'aire de jeux.,der/die/das,auf,den,,Accusative,Accusatif,Masculine,Masculin,"to indicate a direction to open urban spaces – terraces, balconies, squares → auf + Acc.","pour indiquer une direction vers des espaces urbains ouverts – terrasses, balcons, places → auf + Acc.",", Accusative",", Accusatif"
228,7,7,Er tritt _____ Balkon und schaut hinaus.,auf den,Er tritt auf den Balkon und schaut hinaus.,He steps onto the balcony and looks out.,Il sort sur le balcon et regarde dehors.,der/die/das,auf,den,,Accusative,Accusatif,Masculine,Masculin,"to indicate a direction to open urban spaces – terraces, balconies, squares → auf + Acc.","pour indiquer une direction vers des espaces urbains ouverts – terrasses, balcons, places → auf + Acc.",", Accusative",", Accusatif"
229,7,7,Wir gehen _____ Wald spazieren.,in den,Wir gehen in den Wald spazieren.,We go for a walk in the forest.,Nous allons nous promener en forêt.,der/die/das,in,den,,Accusative,Accusatif,Masculine,Masculin,to indicate a direction to a delimited space in nature → in + Acc.,pour indiquer une direction vers un espace délimité dans la nature → in + Acc.,", Accusative",", Accusatif"
230,7,7,Die Kinder laufen _____ Park.,in den,Die Kinder laufen in den Park.,The children run into the park.,Les enfants courent dans le parc.,der/die/das,in,den,,Accusative,Accusatif,Masculine,Masculin,to indicate a direction to a delimited space in nature → in + Acc.,pour indiquer une direction vers un espace délimité dans la nature → in + Acc.,", Accusative",", Accusatif"
231,7,7,Der Vogel taucht _____ See.,in den,Der Vogel taucht in den See.,The bird is diving into the lake.,L'oiseau plonge dans le lac.,der/die/das,in,den,,Accusative,Accusatif,Masculine,Masculin,to indicate a direction to a delimited space in nature → in + Acc.,pour indiquer une direction vers un espace délimité dans la nature → in + Acc.,", Accusative",", Accusatif"
232,7,7,Wir fahren _____ Schweiz.,in die,Wir fahren in die Schweiz.,We go to Switzerland.,Nous allons en Suisse.,der/die/das,in,die,,Accusative,Accusatif,Feminine,Féminin,to indicate a direction to a country with an article → in + Acc.,pour indiquer une direction vers un pays avec un article → in + Acc.,", Accusative",", Accusatif"
233,7,7,Das Wasser kommt _____ Flasche.,aus der,Das Wasser kommt aus der Flasche.,The water comes out of the bottle.,L'eau sort de la bouteille.,der/die/das,aus,der,,Dative,Datif,Feminine,Féminin,"to indicate an origin, from an enclosed place → aus + Dat.","pour indiquer une origine, depuis un lieu clos → aus + Dat.",", Dative",", Datif"
234,7,7,Er geht _____ Haus.,aus dem,Er geht aus dem Haus.,He goes out of the house.,Il sort de la maison.,der/die/das,aus,dem,,Dative,Datif,Neuter,Neutre,"to indicate an origin, from an enclosed place → aus + Dat.","pour indiquer une origine, depuis un lieu clos → aus + Dat.",", Dative",", Datif"
235,7,7,Sie steigt _____ Bus.,aus dem,Sie steigt aus dem Bus.,She gets out of the bus.,Elle descend du bus.,der/die/das,aus,dem,,Dative,Datif,Masculine,Masculin,"to indicate an origin, from an enclosed place → aus + Dat.","pour indiquer une origine, depuis un lieu clos → aus + Dat.",", Dative",", Datif"
236,7,7,Er fährt _____ Schule nach Hause.,von der,Er fährt von der Schule nach Hause.,He is driving home from school.,Il rentre de l'école en voiture.,der/die/das,von,der,,Dative,Datif,Feminine,Féminin,"to indicate an origin, typically from an institution or a place where ""in"" cannot be used → von + Dat.","pour indiquer une origine, généralement d'une institution ou d'un lieu où « in » ne peut pas être utilisé → von + Dat.",", Dative",", Datif"
237,7,7,Wir kommen _____ langen Reise.,von einer,Wir kommen von einer langen Reise.,We are coming from a long trip.,Nous revenons d'un long voyage.,ein,von,einer,,Dative,Datif,Feminine,Féminin,"to indicate an origin, typically from an institution or a place where ""in"" cannot be used → von + Dat.","pour indiquer une origine, généralement d'une institution ou d'un lieu où « in » ne peut pas être utilisé → von + Dat.",", Dative",", Datif"
238,7,7,Sie kommt gerade _____ Großeltern.,von ihren,Sie kommt gerade von ihren Großeltern.,She has just come from her grandparents' house.,Elle vient de rentrer de chez ses grands-parents.,ihr,von,ihren,,Dative,Datif,Plural,Pluriel,"to indicate an origin, typically from an institution or a place where ""in"" cannot be used → von + Dat.","pour indiquer une origine, généralement d'une institution ou d'un lieu où « in » ne peut pas être utilisé → von + Dat.",", Dative",", Datif"
239,8,5,_____ Jahr bin ich nach Deutschland gezogen.,Vor einem,Vor einem Jahr bin ich nach Deutschland gezogen.,I moved to Germany a year ago.,J'ai déménagé en Allemagne il y a un an.,ein,Vor,einem,,Dative,Datif,Neuter,Neutre,"to indicate a time in the past, equivalent to <i>ago</i> → vor + Dat.","pour indiquer un moment dans le passé, équivalent de <i>il y a</i> → vor + Dat.",", Dative",", Datif"
240,8,6,Es gibt viele schöne Häuser _____ Küste.,an der,Es gibt viele schöne Häuser an der Küste.,There are many beautiful houses on the coast.,Il y a de nombreuses belles maisons sur la côte.,der/die/das,an,der,,Dative,Datif,Feminine,Féminin,"to indicate a position in next to a body of water – Küste, Strand, Meer, See etc. → an + Dat.","pour indiquer une position à côté d'un plan d'eau – Küste, Strand, Meer, See etc. → an + Dat.",", Dative",", Datif"
241,8,6,Ich kaufe mein Brot _____ Bäckerei.,bei der,Ich kaufe mein Brot bei der Bäckerei.,I buy my bread at the bakery.,J'achète mon pain à la boulangerie.,der/die/das,bei,der,,Dative,Datif,Feminine,Féminin,to indicate a position in and with an institution or a company → bei + Dat.,pour indiquer une position dans et avec une institution ou une entreprise → bei + Dat.,", Dative",", Datif"
242,8,6,Ich habe mich _____ Polizei beschwert.,bei der,Ich habe mich bei der Polizei beschwert.,I complained to the police.,J'ai porté plainte auprès de la police.,der/die/das,bei,der,,Dative,Datif,Feminine,Féminin,to indicate a position in and with an institution or a company → bei + Dat.,pour indiquer une position dans et avec une institution ou une entreprise → bei + Dat.,", Dative",", Datif"
243,8,6,Er wohnt _____ Land.,auf dem,Er wohnt auf dem Land.,He lives in the countryside.,Il vit à la campagne.,der/die/das,auf,dem,,Dative,Datif,Masculine,Masculin,"to indicate a position in open, flat or elevated spaces in nature → auf + Dat.","pour indiquer une position dans des espaces ouverts, plats ou surélevés dans la nature → auf + Dat.",", Dative",", Datif"
244,8,6,Die Hütte liegt _____ Berg.,auf dem,Die Hütte liegt auf dem Berg.,The cottage is on the mountain.,Le chalet se trouve sur la montagne.,der/die/das,auf,dem,,Dative,Datif,Masculine,Masculin,"to indicate a position in open, flat or elevated spaces in nature → auf + Dat.","pour indiquer une position dans des espaces ouverts, plats ou surélevés dans la nature → auf + Dat.",", Dative",", Datif"
245,8,6,Es gibt viele Boote _____ See.,auf dem,Es gibt viele Boote auf dem See.,There are lots of boats on the lake.,Il y a beaucoup de bateaux sur le lac.,der/die/das,auf,dem,,Dative,Datif,Masculine,Masculin,"to indicate a position in open, flat or elevated spaces in nature → auf + Dat.","pour indiquer une position dans des espaces ouverts, plats ou surélevés dans la nature → auf + Dat.",", Dative",", Datif"
246,8,6,Die Kinder spielen _____ Wiese.,auf der,Die Kinder spielen auf der Wiese.,The children play in the meadow.,Les enfants jouent dans le pré.,der/die/das,auf,der,,Dative,Datif,Feminine,Féminin,"to indicate a position in open, flat or elevated spaces in nature → auf + Dat.","pour indiquer une position dans des espaces ouverts, plats ou surélevés dans la nature → auf + Dat.",", Dative",", Datif"
247,8,6,Wir sitzen _____ Terrasse.,auf der,Wir sitzen auf der Terrasse.,We sit on the terrace.,Nous sommes assis sur la terrasse.,der/die/das,auf,der,,Dative,Datif,Feminine,Féminin,"to indicate a position in open urban spaces – terraces, balconies, squares → auf + Dat.","pour indiquer une position dans les espaces urbains ouverts – terrasses, balcons, places → auf + Dat.",", Dative",", Datif"
248,8,6,Die Kinder spielen _____ Spielplatz.,auf dem,Die Kinder spielen auf dem Spielplatz.,The children are playing in the playground.,Les enfants jouent dans la cour de récréation.,der/die/das,auf,dem,,Dative,Datif,Masculine,Masculin,"to indicate a position in open urban spaces – terraces, balconies, squares → auf + Dat.","pour indiquer une position dans les espaces urbains ouverts – terrasses, balcons, places → auf + Dat.",", Dative",", Datif"
249,8,6,Die Touristen machen Fotos _____ Rathausplatz.,auf dem,Die Touristen machen Fotos auf dem Rathausplatz.,The tourists are taking photos on the town hall square.,Les touristes prennent des photos sur la place de l'hôtel de ville.,der/die/das,auf,dem,,Dative,Datif,Masculine,Masculin,"to indicate a position in open urban spaces – terraces, balconies, squares → auf + Dat.","pour indiquer une position dans les espaces urbains ouverts – terrasses, balcons, places → auf + Dat.",", Dative",", Datif"
250,8,6,Viele Tiere leben _____ Bergen.,in den,Viele Tiere leben in den Bergen.,Many animals live in the mountains.,De nombreux animaux vivent dans les montagnes.,der/die/das,in,den,,Dative,Datif,Plural,Pluriel,to indicate a position in a delimited space in nature → in + Dat.,pour indiquer une position dans un espace délimité dans la nature → in + Dat.,", Dative",", Datif"
251,8,6,Ich lese gern ein Buch _____ Natur.,in der,Ich lese gern ein Buch in der Natur.,I like to read a book in nature.,J'aime lire un livre en pleine nature.,der/die/das,in,der,,Dative,Datif,Feminine,Féminin,to indicate a position in a delimited space in nature → in + Dat.,pour indiquer une position dans un espace délimité dans la nature → in + Dat.,", Dative",", Datif"
252,8,7,Wir setzen uns _____ Tisch.,an den,Wir setzen uns an den Tisch.,We sit down at the table.,Nous nous asseyons à table.,der/die/das,an,den,,Accusative,Accusatif,Masculine,Masculin,to indicate a direction to the immediate vicinity of something → an + Acc.,indiquer une direction vers le voisinage immédiat de quelque chose → an + Acc.,", Accusative",", Accusatif"
253,8,7,Ich stelle den Stuhl _____ Tisch.,an den,Ich stelle den Stuhl an den Tisch.,I put the chair at the table.,J'ai placé la chaise à table.,der/die/das,an,den,,Accusative,Accusatif,Masculine,Masculin,to indicate a direction to the immediate vicinity of something → an + Acc.,indiquer une direction vers le voisinage immédiat de quelque chose → an + Acc.,", Accusative",", Accusatif"
254,8,7,Wir fahren _____ Nordsee.,an die,Wir fahren an die Nordsee.,We are driving to the North Sea.,Nous partons en voiture vers la mer du Nord.,der/die/das,an,die,,Accusative,Accusatif,Feminine,Féminin,"to indicate a direction next to a body of water – Küste, Strand, Meer, See etc. → an + Acc.","pour indiquer une direction à côté d’un plan d’eau – Küste, Strand, Meer, See etc. → an + Acc.",", Accusative",", Accusatif"
255,8,7,Wir fahren _____ Insel.,auf die,Wir fahren auf die Insel.,We travel onto the island.,Nous nous rendons sur l'île.,der/die/das,auf,die,,Accusative,Accusatif,Feminine,Féminin,"to indicate a direction to open, flat or elevated spaces in nature → auf + Acc.","pour indiquer une direction vers des espaces ouverts, plats ou surélevés dans la nature → auf + Acc.",", Accusative",", Accusatif"
256,8,7,Wir wandern _____ Berg.,auf den,Wir wandern auf den Berg.,We hike up the mountain.,Nous gravissons la montagne à pied.,der/die/das,auf,den,,Accusative,Accusatif,Masculine,Masculin,"to indicate a direction to open, flat or elevated spaces in nature → auf + Acc.","pour indiquer une direction vers des espaces ouverts, plats ou surélevés dans la nature → auf + Acc.",", Accusative",", Accusatif"
257,8,7,Die Kinder laufen _____ Wiese.,auf die,Die Kinder laufen auf die Wiese.,The children run to the meadow.,Les enfants courent vers la prairie.,der/die/das,auf,die,,Accusative,Accusatif,Feminine,Féminin,"to indicate a direction to open, flat or elevated spaces in nature → auf + Acc.","pour indiquer une direction vers des espaces ouverts, plats ou surélevés dans la nature → auf + Acc.",", Accusative",", Accusatif"
258,8,7,"Er fährt _____ Land, um Ruhe zu finden.",auf das,"Er fährt auf das Land, um Ruhe zu finden.",He goes to the countryside to find peace and quiet.,Il se rend à la campagne pour trouver la paix et la tranquillité.,der/die/das,auf,das,,Accusative,Accusatif,Neuter,Neutre,"to indicate a direction to open, flat or elevated spaces in nature → auf + Acc.","pour indiquer une direction vers des espaces ouverts, plats ou surélevés dans la nature → auf + Acc.",", Accusative",", Accusatif"
259,8,7,"Sie gehen _____ Feld, um Gemüse zu ernten.",auf das,"Sie gehen auf das Feld, um Gemüse zu ernten.",They go to the field to harvest vegetables.,Ils vont aux champs pour récolter les légumes.,der/die/das,auf,das,,Accusative,Accusatif,Neuter,Neutre,"to indicate a direction to open, flat or elevated spaces in nature → auf + Acc.","pour indiquer une direction vers des espaces ouverts, plats ou surélevés dans la nature → auf + Acc.",", Accusative",", Accusatif"
260,8,7,"Ich gehe _____ Terrasse, um frische Luft zu holen.",auf die,"Ich gehe auf die Terrasse, um frische Luft zu holen.",I go out onto the terrace to get some fresh air.,Je sors sur la terrasse pour prendre l'air.,der/die/das,auf,die,,Accusative,Accusatif,Feminine,Féminin,"to indicate a direction to open urban spaces – terraces, balconies, squares → auf + Acc.","pour indiquer une direction vers des espaces urbains ouverts – terrasses, balcons, places → auf + Acc.",", Accusative",", Accusatif"
261,8,7,Die Kinder rennen _____ Schulhof.,auf den,Die Kinder rennen auf den Schulhof.,The children run into the schoolyard.,Les enfants courent dans la cour de l'école.,der/die/das,auf,den,,Accusative,Accusatif,Masculine,Masculin,"to indicate a direction to open urban spaces – terraces, balconies, squares → auf + Acc.","pour indiquer une direction vers des espaces urbains ouverts – terrasses, balcons, places → auf + Acc.",", Accusative",", Accusatif"
262,8,7,Für seine Arbeit muss er _____ Wildnis gehen.,in die,Für seine Arbeit muss er in die Wildnis gehen.,"For his work, he needs to go in the wilderness.","Pour son travail, il doit aller en pleine nature.",der/die/das,in,die,,Accusative,Accusatif,Feminine,Féminin,to indicate a direction to a delimited space in nature → in + Acc.,pour indiquer une direction vers un espace délimité dans la nature → in + Acc.,", Accusative",", Accusatif"
263,8,7,Er zieht _____ Türkei.,in die,Er zieht in die Türkei.,He moves to Turkey.,Il déménage en Turquie.,der/die/das,in,die,,Accusative,Accusatif,Feminine,Féminin,to indicate a direction to a country with an article → in + Acc.,pour indiquer une direction vers un pays avec un article → in + Acc.,", Accusative",", Accusatif"
264,8,7,Ich reise _____ USA.,in die,Ich reise in die USA.,I'm traveling to the USA.,Je voyage aux États-Unis.,der/die/das,in,die,,Accusative,Accusatif,Feminine,Féminin,to indicate a direction to a country with an article → in + Acc.,pour indiquer une direction vers un pays avec un article → in + Acc.,", Accusative",", Accusatif"
265,8,7,Sie fliegt _____ Iran.,in den,Sie fliegt in den Iran.,She flies to Iran.,Elle s'envole pour l'Iran.,der/die/das,in,den,,Accusative,Accusatif,Masculine,Masculin,to indicate a direction to a country with an article → in + Acc.,pour indiquer une direction vers un pays avec un article → in + Acc.,", Accusative",", Accusatif"
266,8,7,"Wir gehen _____ Sudan, um dort zu arbeiten.",in den,"Wir gehen in den Sudan, um dort zu arbeiten.",We go to Sudan to work there.,Nous allons au Soudan pour y travailler.,der/die/das,in,den,,Accusative,Accusatif,Masculine,Masculin,to indicate a direction to a country with an article → in + Acc.,pour indiquer une direction vers un pays avec un article → in + Acc.,", Accusative",", Accusatif"
267,8,7,Sie trinkt _____ Tasse.,aus einer,Sie trinkt aus einer Tasse.,She drinks from a cup.,Elle boit dans une tasse.,ein,aus,einer,,Dative,Datif,Feminine,Féminin,"to indicate an origin, from an enclosed place → aus + Dat.","pour indiquer une origine, depuis un lieu clos → aus + Dat.",", Dative",", Datif"
268,8,7,Ich nehme das Buch _____ Regal.,aus dem,Ich nehme das Buch aus dem Regal.,I take the book from the shelf.,Je prends le livre sur l'étagère.,der/die/das,aus,dem,,Dative,Datif,Neuter,Neutre,"to indicate an origin, from an enclosed place → aus + Dat.","pour indiquer une origine, depuis un lieu clos → aus + Dat.",", Dative",", Datif"
269,8,7,Ich komme gerade _____ Arbeit.,von der,Ich komme gerade von der Arbeit.,I just came from work.,Je viens de rentrer du travail.,der/die/das,von,der,,Dative,Datif,Feminine,Féminin,"to indicate an origin, typically from an institution or a place where ""in"" cannot be used → von + Dat.","pour indiquer une origine, généralement d'une institution ou d'un lieu où « in » ne peut pas être utilisé → von + Dat.",", Dative",", Datif"
270,9,6,Dieses Buch gehört _____ Sammlung.,zu meiner,Dieses Buch gehört zu meiner Sammlung.,This book belongs to my collection.,Ce livre fait partie de ma collection.,mein,zu,meiner,gehören zu,Dative,Datif,Feminine,Féminin,to belong to = gehören zu + Dative<br>to introduce a combination → zu + Dat.,appartenir à = gehören zu + Datif<br>pour introduire une association → zu + Dat.,", Dative",", Datif"
271,9,6,Er gehört _____ besten Spielern.,zu den,Er gehört zu den besten Spielern.,He belongs to the best players.,Il fait partie des meilleurs joueurs.,der/die/das,zu,den,gehören zu,Dative,Datif,Plural,Pluriel,to belong to = gehören zu + Dative<br>to introduce a combination → zu + Dat.,appartenir à = gehören zu + Datif<br>pour introduire une association → zu + Dat.,", Dative",", Datif"
272,9,6,Sie gehört _____ Familie.,zu meiner,Sie gehört zu meiner Familie.,She is part of my family.,Elle fait partie de ma famille.,mein,zu,meiner,gehören zu,Dative,Datif,Feminine,Féminin,to belong to = gehören zu + Dative<br>to introduce a combination → zu + Dat.,appartenir à = gehören zu + Datif<br>pour introduire une association → zu + Dat.,", Dative",", Datif"
273,9,6,Ich antworte _____ Frage.,auf deine,Ich antworte auf deine Frage.,I answer your question.,Je réponds à votre question.,dein,auf,deine,antworten auf,Accusative,Accusatif,Feminine,Féminin,to answer something = antworten auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,répondre à = antworten auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,", Accusative",", Accusatif"
274,9,6,Er antwortet _____ E-Mail.,auf die/auf das,Er antwortet auf die E-Mail.,He answers the email.,Il répond au courriel.,der/die/das,auf,die,antworten auf,Accusative,Accusatif,Feminine,Féminin,to answer something = antworten auf + Accusative<br>to introduce an object of focus or a target → auf + Acc.,répondre à = antworten auf + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,", Accusative",", Accusatif"
275,9,6,Er bittet _____ Gefallen.,um einen,Er bittet um einen Gefallen.,He asks for a favor.,Il demande une faveur.,ein,um,einen,bitten um,Accusative,Accusatif,Masculine,Masculin,"to ask for, to plead for = bitten um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.","demander, plaider pour = bitten um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc.",", Accusative",", Accusatif"
276,9,6,Ich danke dir _____ Hilfe.,für deine,Ich danke dir für deine Hilfe.,I thank you for your help.,Je vous remercie de votre aide.,dein,für,deine,danken für,Accusative,Accusatif,Feminine,Féminin,"to thank for = danken für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","remercier pour = danken für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc.",", Accusative",", Accusatif"
277,9,6,Er dankt seiner Kollegin _____ Unterstützung.,für die,Er dankt seiner Kollegin für die Unterstützung.,He thanks his colleague for her support.,Il remercie sa collègue pour son soutien.,der/die/das,für,die,danken für,Accusative,Accusatif,Feminine,Féminin,"to thank for = danken für + Accusative<br>to introduce a purpose, a goal or a beneficiary → für + Acc.","remercier pour = danken für + Accusatif<br>pour introduire un objectif, un but ou un bénéficiaire → für + Acc.",", Accusative",", Accusatif"
278,9,6,Ich lade dich _____ Party ein.,zu meiner,Ich lade dich zu meiner Party ein.,I invite you to my party.,Je vous invite à ma fête.,mein,zu,meiner,einladen zu,Dative,Datif,Feminine,Féminin,to invite to = einladen zu + Dative<br>to introduce an occasion → zu + Dat.,inviter à = einladen zu + Datif<br>pour introduire une occasion → zu + Dat.,", Dative",", Datif"
279,9,6,Er lädt uns _____ Geburtstag ein.,zu seinem,Er lädt uns zu seinem Geburtstag ein.,He invites us to his birthday.,Il nous invite à son anniversaire.,sein,zu,seinem,einladen zu,Dative,Datif,Masculine,Masculin,to invite to = einladen zu + Dative<br>to introduce an occasion → zu + Dat.,inviter à = einladen zu + Datif<br>pour introduire une occasion → zu + Dat.,", Dative",", Datif"
280,9,6,Sie lädt ihre Freunde _____ Abendessen ein.,zu einem,Sie lädt ihre Freunde zu einem Abendessen ein.,She invites her friends over for dinner.,Elle invite ses amis à dîner.,ein,zu,einem,einladen zu,Dative,Datif,Neuter,Neutre,to invite to = einladen zu + Dative<br>to introduce an occasion → zu + Dat.,inviter à = einladen zu + Datif<br>pour introduire une occasion → zu + Dat.,", Dative",", Datif"
281,9,6,Ich helfe dir _____ Hausaufgaben.,bei den,Ich helfe dir bei den Hausaufgaben.,I help you with your homework.,Je t'aide avec tes devoirs.,der/die/das,bei,den,helfen bei,Dative,Datif,Plural,Pluriel,to help with = helfen bei + Dative<br>to introduce a context or a situation → bei + Dat.,aider à = helfen bei + Datif<br>pour introduire un contexte ou une situation → bei + Dat.,", Dative",", Datif"
282,9,6,Er hilft _____ Organisation.,bei der,Er hilft bei der Organisation.,He helps with the organization.,Il apporte son aide à l'organisation.,der/die/das,bei,der,helfen bei,Dative,Datif,Feminine,Féminin,to help with = helfen bei + Dative<br>to introduce a context or a situation → bei + Dat.,aider à = helfen bei + Datif<br>pour introduire un contexte ou une situation → bei + Dat.,", Dative",", Datif"
283,9,6,Sie hilft ihrer Schwester _____ Vorbereitungen.,bei den,Sie hilft ihrer Schwester bei den Vorbereitungen.,She helps her sister with the preparations.,Elle aide sa sœur dans les préparatifs.,der/die/das,bei,den,helfen bei,Dative,Datif,Plural,Pluriel,to help with = helfen bei + Dative<br>to introduce a context or a situation → bei + Dat.,aider à = helfen bei + Datif<br>pour introduire un contexte ou une situation → bei + Dat.,", Dative",", Datif"
284,9,6,Ich freue mich _____ Sommer.,auf den,Ich freue mich auf den Sommer.,I am looking forward to summer.,J'attends l'été avec impatience.,der/die/das,auf,den,sich freuen auf,Accusative,Accusatif,Masculine,Masculin,to look forward to = sich freuen auf + Accusative<br>to introduce something in the future → auf + Acc.,attendre avec impatience = sich freuen auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.,", Accusative",", Accusatif"
285,9,6,Er freut sich _____ Besuch.,auf den,Er freut sich auf den Besuch.,He is looking forward to the visit.,Il attend cette visite avec impatience.,der/die/das,auf,den,sich freuen auf,Accusative,Accusatif,Masculine,Masculin,to look forward to = sich freuen auf + Accusative<br>to introduce something in the future → auf + Acc.,attendre avec impatience = sich freuen auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.,", Accusative",", Accusatif"
286,9,6,Wir freuen uns _____ Konzert nächste Woche.,auf das,Wir freuen uns auf das Konzert nächste Woche.,We are looking forward to the concert next week.,Nous attendons avec impatience le concert de la semaine prochaine.,der/die/das,auf,das,sich freuen auf,Accusative,Accusatif,Neuter,Neutre,to look forward to = sich freuen auf + Accusative<br>to introduce something in the future → auf + Acc.,attendre avec impatience = sich freuen auf + Accusatif<br>pour introduire quelque chose dans le future → auf + Acc.,", Accusative",", Accusatif"
287,9,6,Ich freue mich _____ Geschenk.,über dein,Ich freue mich über dein Geschenk.,I am happy about your gift.,Je suis ravi(e) de votre cadeau.,dein,über,dein,sich freuen über,Accusative,Accusatif,Neuter,Neutre,"to rejoice about, to be happy about = sich freuen über + Accusative<br>to introduce an emotional theme → über + Acc.","se réjouir de, être heureux de = sich freuen über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.",", Accusative",", Accusatif"
288,9,6,Sie freut sich _____ gute Nachricht.,über die,Sie freut sich über die gute Nachricht.,She is happy about the good news.,Elle est heureuse de cette bonne nouvelle.,der/die/das,über,die,sich freuen über,Accusative,Accusatif,Feminine,Féminin,"to rejoice about, to be happy about = sich freuen über + Accusative<br>to introduce an emotional theme → über + Acc.","se réjouir de, être heureux de = sich freuen über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.",", Accusative",", Accusatif"
289,9,6,Er freut sich _____ Lob seines Chefs.,über das,Er freut sich über das Lob seines Chefs.,He is delighted with his boss's praise.,Il est ravi des éloges de son patron.,der/die/das,über,das,sich freuen über,Accusative,Accusatif,Neuter,Neutre,"to rejoice about, to be happy about = sich freuen über + Accusative<br>to introduce an emotional theme → über + Acc.","se réjouir de, être heureux de = sich freuen über + Accusatif<br>pour introduire un thème émotionnel → über + Acc.",", Accusative",", Accusatif"
