Nr,level,question,answer,case,german,english
251,7,_____ nächster Woche habe ich einen neuen Job.,Ab,,"From next week on, I have a new job.",Ab nächster Woche habe ich einen neuen Job.
252,7,_____ Januar wird das Wetter kälter.,Ab,,"From January on, the weather will get colder.",Ab Januar wird das Wetter kälter.
253,7,Das Bild hängt _____ der Wand.,an,,Das Bild hängt an der Wand.,The picture is hanging on the wall.
254,7,Ich stehe _____ der Haltestelle.,an,,Ich stehe an der Haltestelle.,I am standing at the bus stop.
255,7,Wir sitzen _____ dem Tisch.,an,,Wir sitzen an dem Tisch.,We are sitting at the table.
256,7,Die Uhr hängt _____ der Wand.,an,,Die Uhr hängt an der Wand.,The clock is hanging on the wall.
257,7,Der Spiegel ist _____ der Tür.,an,,Der Spiegel ist an der Tür.,The mirror is on the door.
258,7,Die Blumen stehen _____ dem Fensterbrett.,auf,,Die Blumen stehen auf dem Fensterbrett.,The flowers are on the windowsill.
259,7,Mein Laptop liegt _____ dem Schreibtisch.,auf,,Mein Laptop liegt auf dem Schreibtisch.,My laptop is on the desk.
260,7,Ich gehe _____ den Markt.,auf,,Ich gehe auf den Markt.,I am going to the market.
261,7,Er nimmt das Buch _____ der Tasche.,aus,,Er nimmt das Buch aus der Tasche.,He takes the book out of the bag.
262,7,Wir steigen _____ dem Zug.,aus,,Wir steigen aus dem Zug.,We get off the train.
263,7,Wir sind _____ unseren Großeltern.,bei,,Wir sind bei unseren Großeltern.,We are at our grandparents' place.
264,7,Wir bleiben _____ Sonntag in Hamburg.,bis,,Wir bleiben bis Sonntag in Hamburg.,We are staying in Hamburg until Sunday.
265,7,_____ zum Sommer möchte ich Deutsch lernen.,Bis,,Bis zum Sommer möchte ich Deutsch lernen.,I want to learn German by the summer.
266,7,Ich gehe _____ zur Ecke.,bis,,Ich gehe bis zur Ecke.,I walk up to the corner.
267,7,Ich kaufe ein Buch _____ meinen Freund.,für,,Ich kaufe ein Buch für meinen Freund.,I am buying a book for my friend.
268,7,Sie arbeitet als Beraterin _____ eine große Firma.,für,,Sie arbeitet als Beraterin für eine große Firma.,She works for a big company as a consultant.
269,7,Wir protestieren _____ die neuen Regeln.,gegen,,Wir protestieren gegen die neuen Regeln.,We are protesting against the new rules.
270,7,Sie hat sich _____ die Entscheidung gewehrt.,gegen,,Sie hat sich gegen die Entscheidung gewehrt.,She resisted the decision.
271,7,Mein Auto steht _____ der Garage.,hinter,,Mein Auto steht hinter der Garage.,My car is behind the garage.
272,7,Das Buch ist _____ der Tasche.,in,,Das Buch ist in der Tasche.,The book is in the bag.
273,7,Ich bin _____ der Schule.,in,,Ich bin in der Schule.,I am at school.
274,7,Die Schuhe stehen _____ der Ecke.,in,,Die Schuhe stehen in der Ecke.,The shoes are in the corner.
275,7,Er sitzt _____ seinem Zimmer.,in,,Er sitzt in seinem Zimmer.,He is sitting in his room.
276,7,Das Kind springt _____ den Pool.,in,,Das Kind springt in den Pool.,The child jumps into the pool.
277,7,Wir essen _____ einem Löffel.,mit,,Wir essen mit einem Löffel.,We eat with a spoon.
278,7,Er arbeitet _____ einem Computer.,mit,,Er arbeitet mit einem Computer.,He works with a computer.
279,7,_____ einer Woche fühlte ich mich besser.,Nach,,Nach einer Woche fühlte ich mich besser.,"After a week, I felt better."
280,7,_____ dem Sport dusche ich immer.,Nach,,Nach dem Sport dusche ich immer.,"After sports, I always take a shower."
281,7,Ich fahre _____ Berlin.,nach,,Ich fahre nach Berlin.,I am driving to Berlin.
282,7,Mein Haus ist _____ der Schule.,neben,,Mein Haus ist neben der Schule.,My house is next to the school.
283,7,Die Lampe steht _____ dem Bett.,neben,,Die Lampe steht neben dem Bett.,The lamp is next to the bed.
284,7,Er geht nie _____ sein Handy aus dem Haus.,ohne,,Er geht nie ohne sein Handy aus dem Haus.,He never leaves the house without his phone.
285,7,Wir können nicht _____ dich feiern.,ohne,,Wir können nicht ohne dich feiern.,We can't celebrate without you.
286,7,Wir haben zweimal _____ Woche Deutschkurs.,pro,,Wir haben zweimal pro Woche Deutschkurs.,We have German class twice per week.
287,7,Das kostet fünf Euro _____ Person.,pro,,Das kostet fünf Euro pro Person.,That costs five euros per person.
288,7,Sie lernt _____ drei Monaten Deutsch.,seit,,Sie lernt seit drei Monaten Deutsch.,She has been learning German for three months.
289,7,Die Brücke ist _____ dem Fluss.,über,,Die Brücke ist über dem Fluss.,The bridge is over the river.
290,7,Die Uhr hängt _____ der Tür.,über,,Die Uhr hängt über der Tür.,The clock is hanging above the door.
291,7,Ich stehe _____ 7 Uhr auf.,um,,Ich stehe um 7 Uhr auf.,I get up at 7 o’clock.
292,7,Der Film beginnt _____ 20:15 Uhr.,um,,Der Film beginnt um 20:15 Uhr.,The movie starts at 8:15 PM.
293,7,Die Schuhe stehen _____ dem Stuhl.,unter,,Die Schuhe stehen unter dem Stuhl.,The shoes are under the chair.
294,7,Das Buch ist _____ der Jacke.,unter,,Das Buch ist unter der Jacke.,The book is under the jacket.
295,7,Ich habe _____ 2015 bis 2020 in Berlin gelebt.,von,,Ich habe von 2015 bis 2020 in Berlin gelebt.,I lived in Berlin from 2015 to 2020.
296,7,Ich komme gerade _____ der Arbeit.,von,,Ich komme gerade von der Arbeit.,I just came from work.
297,7,Er fährt _____ der Schule nach Hause.,von,,Er fährt von der Schule nach Hause.,He is driving home from school.
298,7,Wir kommen _____ einer langen Reise.,von,,Wir kommen von einer langen Reise.,We are coming from a long trip.
299,7,Sie kommt _____ dem Arzt zurück.,von,,Sie kommt von dem Arzt zurück.,She is coming back from the doctor.
300,7,_____ dem Schlafen lese ich ein Buch.,Vor,,Vor dem Schlafen lese ich ein Buch.,"Before sleeping, I read a book."
301,7,_____ einem Jahr bin ich nach Deutschland gezogen.,Vor,,Vor einem Jahr bin ich nach Deutschland gezogen.,"A year ago, I moved to Germany."
302,7,Das Auto steht _____ dem Haus.,vor,,Das Auto steht vor dem Haus.,The car is in front of the house.
303,7,Wir gehen zu Fuß _____ der Schule.,zu,,Wir gehen zu Fuß zu der Schule.,We are walking to school.
304,7,Er fährt mit dem Bus _____ seiner Arbeit.,zu,,Er fährt mit dem Bus zu seiner Arbeit.,He takes the bus to his workplace.
305,7,Die Pause ist _____ den zwei Unterrichtsstunden.,zwischen,,Die Pause ist zwischen den zwei Unterrichtsstunden.,The break is between the two lessons.
306,7,_____ Weihnachten und Neujahr habe ich Urlaub.,Zwischen,,Zwischen Weihnachten und Neujahr habe ich Urlaub.,"Between Christmas and New Year, I have vacation."
307,7,Der Tisch steht _____ dem Sofa und dem Stuhl.,zwischen,,Der Tisch steht zwischen dem Sofa und dem Stuhl.,The table is between the sofa and the chair.
308,8,_____ dem Essen wasche ich meine Hände.,Vor,,Vor dem Essen wasche ich meine Hände.,"Before eating, I wash my hands."
309,8,Das Buch ist _____ den Heften auf dem Tisch.,zwischen,,Das Buch ist zwischen den Heften auf dem Tisch.,The book is between the notebooks on the table.
310,8,Der Bus fährt _____ 8 Uhr jede Stunde.,ab,,The bus leaves every hour from 8 AM.,Der Bus fährt ab 8 Uhr jede Stunde.
311,8,Ich gehe _____ den Strand.,an,,Ich gehe an den Strand.,I am going to the beach.
312,8,Wir fahren _____ die Nordsee.,an,,Wir fahren an die Nordsee.,We are driving to the North Sea.
313,8,Er stellt das Glas _____ das Fenster.,an,,Er stellt das Glas an das Fenster.,He puts the glass by the window.
314,8,Sie hängt das Bild _____ die Wand.,an,,Sie hängt das Bild an die Wand.,She hangs the picture on the wall.
315,8,Wir setzen uns _____ den Tisch.,an,,Wir setzen uns an den Tisch.,We sit down at the table.
316,8,Er legt das Buch _____ den Tisch.,auf,,Er legt das Buch auf den Tisch.,He puts the book on the table.
317,8,Wir steigen _____ den Berg.,auf,,Wir steigen auf den Berg.,We climb up the mountain.
318,8,Sie fährt _____ die Insel.,auf,,Sie fährt auf die Insel.,She is driving to the island.
319,8,Sie holt die Milch _____ dem Kühlschrank.,aus,,Sie holt die Milch aus dem Kühlschrank.,She takes the milk out of the fridge.
320,8,Das Kind schaut _____ dem Fenster.,aus,,Das Kind schaut aus dem Fenster.,The child looks out of the window.
321,8,Er bleibt heute _____ mir zu Hause.,bei,,Er bleibt heute bei mir zu Hause.,He is staying at my place today.
322,8,Ich kaufe mein Brot _____ der Bäckerei.,bei,,Ich kaufe mein Brot bei der Bäckerei.,I buy my bread at the bakery.
323,8,Fahr _____ zur nächsten Haltestelle.,bis,,Fahr bis zur nächsten Haltestelle.,Ride until the next stop.
324,8,Wir laufen _____ zum Park.,bis,,Wir laufen bis zum Park.,We’re walking as far as the park.
325,8,Der Zug fährt _____ nach München.,bis,,Der Zug fährt bis nach München.,The train goes as far as Munich.
326,8,Wir haben Tickets _____ das Konzert.,für,,Wir haben Tickets für das Konzert.,We have tickets for the concert.
327,8,Das ist gut _____ deine Gesundheit.,für,,Das ist gut für deine Gesundheit.,That is good for your health.
328,8,Das Auto fuhr _____ einen Baum.,gegen,,Das Auto fuhr gegen einen Baum.,The car crashed into a tree.
329,8,Das Kino ist _____ dem Supermarkt.,hinter,,Das Kino ist hinter dem Supermarkt.,The cinema is behind the supermarket.
330,8,Der Ball liegt _____ dem Sofa.,hinter,,Der Ball liegt hinter dem Sofa.,The ball is behind the sofa.
331,8,Die Milch ist _____ dem Kühlschrank.,in,,Die Milch ist in dem Kühlschrank.,The milk is in the fridge.
332,8,Ich gehe _____ die Schule.,in,,Ich gehe in die Schule.,I am going to school.
333,8,Er legt das Buch _____ den Rucksack.,in,,Er legt das Buch in den Rucksack.,He puts the book into the backpack.
334,8,Wir fahren _____ die Stadt.,in,,Wir fahren in die Stadt.,We are driving to the city.
335,8,Sie geht _____ das Zimmer.,in,,Sie geht in das Zimmer.,She goes into the room.
336,8,Ich schreibe _____ einem Bleistift.,mit,,Ich schreibe mit einem Bleistift.,I write with a pencil.
337,8,Er geht _____ Hause.,nach,,Er geht nach Hause.,He is going home.
338,8,Wir reisen _____ Italien.,nach,,Wir reisen nach Italien.,We are traveling to Italy.
339,8,Sie fliegt _____ Spanien.,nach,,Sie fliegt nach Spanien.,She is flying to Spain.
340,8,Nach der Arbeit gehe ich _____ Hause.,Nach,,Nach der Arbeit gehe ich nach Hause.,"After work, I go home."
341,8,Der Parkplatz ist _____ dem Kino.,neben,,Der Parkplatz ist neben dem Kino.,The parking lot is next to the cinema.
342,8,Sie fährt nie _____ Helm Fahrrad.,ohne,,Sie fährt nie ohne Helm Fahrrad.,She never rides a bike without a helmet.
343,8,_____ Brille kann ich nicht gut sehen.,Ohne,,Ohne Brille kann ich nicht gut sehen.,"Without glasses, I can't see well."
344,8,Ich mache einmal _____ Monat einen Ausflug.,pro,,Ich mache einmal pro Monat einen Ausflug.,I go on a trip once per month.
345,8,Er arbeitet vier Stunden _____ Tag.,pro,,Er arbeitet vier Stunden pro Tag.,He works four hours per day.
346,8,_____ dem Wochenende fühle ich mich besser.,Seit,,Seit dem Wochenende fühle ich mich besser.,I have been feeling better since the weekend.
347,8,_____ gestern habe ich Kopfschmerzen.,Seit,,Seit gestern habe ich Kopfschmerzen.,I have had a headache since yesterday.
348,8,Ein Flugzeug fliegt _____ der Stadt.,über,,Ein Flugzeug fliegt über der Stadt.,A plane is flying over the city.
349,8,Wir treffen uns _____ 14 Uhr im Park.,um,,Wir treffen uns um 14 Uhr im Park.,We are meeting at 2 PM in the park.
350,8,Die Schule endet _____ 16 Uhr.,um,,Die Schule endet um 16 Uhr.,School ends at 4 PM.
351,8,Die Katze versteckt sich _____ der Couch.,unter,,Die Katze versteckt sich unter der Couch.,The cat is hiding under the couch.
352,8,Ich habe das Buch _____ meinem Freund bekommen.,von,,Ich habe das Buch von meinem Freund bekommen.,I got the book from my friend.
353,8,Das Buch ist _____ meinem Bruder.,von,,Das Buch ist von meinem Bruder.,The book is from my brother.
354,8,Ich habe ein Geschenk _____ meiner Mutter bekommen.,von,,Ich habe ein Geschenk von meiner Mutter bekommen.,I got a gift from my mother.
355,8,Er spricht _____ seinem Urlaub.,von,,Er spricht von seinem Urlaub.,He is talking about his vacation.
356,8,Wir haben das Rezept _____ einer Freundin.,von,,Wir haben das Rezept von einer Freundin.,We got the recipe from a friend.
357,8,Der Bus hält _____ der Schule.,vor,,Der Bus hält vor der Schule.,The bus stops in front of the school.
358,8,Ich warte _____ dem Kino.,vor,,Ich warte vor dem Kino.,I am waiting in front of the cinema.
359,8,Die Katze sitzt _____ der Tür.,vor,,Die Katze sitzt vor der Tür.,The cat is sitting in front of the door.
360,8,Ich bringe das Paket _____ der Post.,zu,,Ich bringe das Paket zu der Post.,I am taking the package to the post office.
361,8,Die Lampe hängt _____ den Regalen.,zwischen,,Die Lampe hängt zwischen den Regalen.,The lamp is hanging between the shelves.
362,8,Mein Auto ist _____ zwei anderen Autos geparkt.,zwischen,,Mein Auto ist zwischen zwei anderen Autos geparkt.,My car is parked between two other cars.
363,8,Das Café liegt _____ dem Supermarkt und der Bank.,zwischen,,Das Café liegt zwischen dem Supermarkt und der Bank.,The café is between the supermarket and the bank.
364,9,_____ nächstem Monat werde ich zweimal pro Woche einen Sprachkurs besuchen.,Ab,,Ab nächstem Monat werde ich zweimal pro Woche einen Sprachkurs besuchen.,"From next month on, I will attend a language course twice a week."
365,9,Die Bibliothek ist _____ Montag wieder geöffnet.,ab,,Die Bibliothek ist ab Montag wieder geöffnet.,The library will be open again from Monday.
366,9,_____ sofort ist Rauchen im Gebäude verboten.,Ab,,Ab sofort ist Rauchen im Gebäude verboten.,"From now on, smoking is forbidden in the building."
367,9,Wir treffen uns _____ Montag.,am,,Wir treffen uns am Montag.,We meet on Monday.
368,9,Ich arbeite _____ Computer.,am,,Ich arbeite am Computer.,I work on the computer.
369,9,_____ 30. Januar beginnt der neue Kurs.,Am,,Am 30. Januar beginnt der neue Kurs.,The new course starts on January 30.
370,9,Das Buch liegt _____ dem Tisch,auf,,Das Buch liegt auf dem Tisch,The book lies on the table
371,9,Die Katze sitzt _____ dem Stuhl,auf,,Die Katze sitzt auf dem Stuhl,The cat sits on the chair
372,9,Ich gehe morgen _____ das Konzert.,auf,,Ich gehe morgen auf das Konzert.,I'm going to the concert tomorrow.
373,9,Sie tanzt immer gern _____ Geburtstagen.,auf,,Sie tanzt immer gern auf Geburtstagen.,She always likes dancing at birthday parties.
374,9,Ich komme _____ Deutschland.,aus,,Ich komme aus Deutschland.,I come from Germany.
375,9,Das Wasser kommt _____ der Flasche.,aus,,Das Wasser kommt aus der Flasche.,The water comes out of the bottle.
376,9,Der Brief ist _____ Papier.,aus,,Der Brief ist aus Papier.,The letter is made of paper.
377,9,Sie arbeitet _____ einer Bäckerei.,bei,,Sie arbeitet bei einer Bäckerei.,She works at a bakery.
378,9,_____ uns ist es warm.,Bei,,Bei uns ist es warm.,"At our place, it is warm."
379,9,Ich warte _____ morgen.,bis,,Ich warte bis morgen.,I will wait until tomorrow.
380,9,Der Zug fährt nur _____ Hamburg.,bis,,Der Zug fährt nur bis Hamburg.,The train only goes until Hamburg.
381,9,Ich arbeite _____ fünf Uhr.,bis,,Ich arbeite bis fünf Uhr.,I work until five o'clock.
382,9,Das Geschenk ist _____ dich.,für,,Das Geschenk ist für dich.,The gift is for you.
383,9,Ich kaufe Brot _____ das Frühstück.,für,,Ich kaufe Brot für das Frühstück.,I'm buying bread for breakfast.
384,9,Ich bin _____ diese Idee.,gegen,,Ich bin gegen diese Idee.,I am against this idea.
385,9,Der Ball fliegt _____ die Wand.,gegen,,Der Ball fliegt gegen die Wand.,The ball flies against the wall.
386,9,Der Ball ist _____ dem Sofa.,hinter,,Der Ball ist hinter dem Sofa.,The ball is behind the sofa.
387,9,_____ den Bergen geht die Sonne unter.,Hinter,,Hinter den Bergen geht die Sonne unter.,The sun sets behind the mountains.
388,9,_____ Sommer ist es warm.,Im,,Im Sommer ist es warm.,In summer it is warm.
389,9,Ich bin _____ Büro.,im,,Ich bin im Büro.,I am in the office.
390,9,Ich fahre _____ dem Bus.,mit,,Ich fahre mit dem Bus.,I go by bus.
391,9,Ich esse _____ meiner Familie.,mit,,Ich esse mit meiner Familie.,I eat with my family.
392,9,_____ Freude helfe ich dir.,Mit,,Mit Freude helfe ich dir.,"With pleasure, I help you."
393,9,Ich fahre _____ Berlin.,nach,,Ich fahre nach Berlin.,I am going to Berlin.
394,9,Der Stuhl steht _____ dem Tisch.,neben,,Der Stuhl steht neben dem Tisch.,The chair is next to the table.
395,9,Ich sitze _____ meiner Mutter.,neben,,Ich sitze neben meiner Mutter.,I am sitting next to my mother.
396,9,Ich trinke Kaffee _____ Milch.,ohne,,Ich trinke Kaffee ohne Milch.,I drink coffee without milk.
397,9,Er geht _____ Jacke raus.,ohne,,Er geht ohne Jacke raus.,He goes out without a jacket.
398,9,Sie ging _____ ein Wort zu sagen.,ohne,,Sie ging ohne ein Wort zu sagen.,She left without saying a word.
399,9,Ich wohne _____ einem Jahr in Berlin.,seit,,Ich wohne seit einem Jahr in Berlin.,I have been living in Berlin for a year.
400,9,Sie arbeitet _____ Montag in der neuen Firma.,seit,,Sie arbeitet seit Montag in der neuen Firma.,She has been working at the new company since Monday.
401,9,Die Lampe hängt _____ dem Tisch.,über,,Die Lampe hängt über dem Tisch.,The lamp hangs above the table.
402,9,Ich habe _____ 10 Euro bezahlt.,über,,Ich habe über 10 Euro bezahlt.,I paid over 10 euros.
403,9,Der Unterricht beginnt _____ 8 Uhr.,um,,Der Unterricht beginnt um 8 Uhr.,The lesson starts at 8 o'clock.
404,9,Der Ball liegt _____ dem Tisch.,unter,,Der Ball liegt unter dem Tisch.,The ball is under the table.
405,9,Das Buch ist _____ den Papieren.,unter,,Das Buch ist unter den Papieren.,The book is under the papers.
406,9,Das Buch ist _____ meinem Bruder.,von,,Das Buch ist von meinem Bruder.,The book is from my brother.
407,9,Der Zug fährt _____ München nach Hamburg.,von,,Der Zug fährt von München nach Hamburg.,The train travels from Munich to Hamburg.
408,9,Der Baum steht _____ dem Haus.,vor,,Der Baum steht vor dem Haus.,The tree stands in front of the house.
409,9,Ich warte _____ der Tür.,vor,,Ich warte vor der Tür.,I am waiting in front of the door.
410,9,Sie kam _____ fünf Minuten ins Büro.,vor,,Sie kam vor fünf Minuten ins Büro.,She came into the office five minutes ago.
411,9,Ich gehe _____ Fuss.,zu,,Ich gehe zu Fuss.,I go on foot.
412,9,Er ist _____ Hause.,zu,,Er ist zu Hause.,He is at home.
413,9,Ich bleibe _____ Hause.,zu,,Ich bleibe zu Hause.,I am staying at home.
414,9,Der Tisch steht _____ den Stühlen.,zwischen,,Der Tisch steht zwischen den Stühlen.,The table is between the chairs.
415,9,Ich sitze _____ meiner Mutter und meinem Vater.,zwischen,,Ich sitze zwischen meiner Mutter und meinem Vater.,I am sitting between my mother and my father.
416,10,_____ dem Sommer plane ich eine lange Reise durch Europa.,Ab,,Ab dem Sommer plane ich eine lange Reise durch Europa.,"From summer onwards, I am planning a long trip through Europe."
417,10,_____ nächstem Jahr wird die Stadt eine neue Umweltsteuer einführen.,Ab,,Ab nächstem Jahr wird die Stadt eine neue Umweltsteuer einführen.,"Starting next year, the city will introduce a new environmental tax."
418,10,_____ dem ersten Kapitel war das Buch sehr spannend.,Ab,,Ab dem ersten Kapitel war das Buch sehr spannend.,"From the first chapter, the book was very exciting."
419,10,Sie steht _____ Fenster.,am,,Sie steht am Fenster.,She stands at the window.
420,10,_____ Abend esse ich Brot.,Am,,Am Abend esse ich Brot.,On the evening I eat bread.
421,10,_____ 1. Oktober fahren wir nach Berlin.,Am,,Am 1. Oktober fahren wir nach Berlin.,We're going to Berlin on October 1.
422,10,Der Vogel sitzt _____ dem Baum,auf,,Der Vogel sitzt auf dem Baum,The bird sits on the tree
423,10,Wir fahren _____ die Insel,auf,,Wir fahren auf die Insel,We travel onto the island
424,10,Wir waren gestern _____ dem Festival.,auf,,Wir waren gestern auf dem Festival.,We were at the festival yesterday.
425,10,Sie trinkt _____ einer Tasse.,aus,,Sie trinkt aus einer Tasse.,She drinks from a cup.
426,10,Er geht _____ dem Haus.,aus,,Er geht aus dem Haus.,He goes out of the house.
427,10,Die Musik kommt _____ dem Radio.,aus,,Die Musik kommt aus dem Radio.,The music comes from the radio.
428,10,Wir essen _____ Oma.,bei,,Wir essen bei Oma.,We eat at Grandma's.
429,10,_____ Regen bleibe ich zu Hause.,Bei,,Bei Regen bleibe ich zu Hause.,"When it rains, I stay at home."
430,10,Lies bitte _____ Seite zehn.,bis,,Lies bitte bis Seite zehn.,Please read up to page ten.
431,10,Die Geschäfte sind _____ acht Uhr geöffnet.,bis,,Die Geschäfte sind bis acht Uhr geöffnet.,The shops are open until eight o'clock.
432,10,Es ist nur ein kurzer Weg _____ zum Park.,bis,,Es ist nur ein kurzer Weg bis zum Park.,It's only a short way to the park.
433,10,Sie arbeitet _____ eine grosse Firma als Beraterin.,für,,Sie arbeitet für eine grosse Firma als Beraterin.,She works for a large company as an advisor.
434,10,Er lernt Deutsch _____ die Reise.,für,,Er lernt Deutsch für die Reise.,He is learning German for the trip.
435,10,Wir haben _____ morgen einen Termin.,für,,Wir haben für morgen einen Termin.,We have an appointment for tomorrow.
436,10,Wir spielen _____ Bayern München.,gegen,,Wir spielen gegen Bayern München.,We are playing against Bayern Munich.
437,10,_____ Abend wird es kühler.,Gegen,,Gegen Abend wird es kühler.,Towards evening it gets cooler.
438,10,Ich wohne _____ der Bäckerei.,hinter,,Ich wohne hinter der Bäckerei.,I live behind the bakery.
439,10,Schreib deinen Namen _____ die Zahl.,hinter,,Schreib deinen Namen hinter die Zahl.,Write your name behind the number.
440,10,Er steht _____ seiner Entscheidung.,hinter,,Er steht hinter seiner Entscheidung.,He stands behind his decision.
441,10,Das Bild hängt _____ Wohnzimmer.,im,,Das Bild hängt im Wohnzimmer.,The picture hangs in the living room.
442,10,Es ist kalt _____ Winter.,im,,Es ist kalt im Winter.,It is cold in winter.
443,10,Sie spielt _____ ihren Freunden.,mit,,Sie spielt mit ihren Freunden.,She plays with her friends.
444,10,Ich trinke Kaffee _____ Milch.,mit,,Ich trinke Kaffee mit Milch.,I drink coffee with milk.
445,10,Sie kommt _____ dem Zug an.,mit,,Sie kommt mit dem Zug an.,She arrives by train.
446,10,Wir fliegen _____ Italien.,nach,,Wir fliegen nach Italien.,We are flying to Italy.
447,10,Das Haus ist _____ der Kirche.,neben,,Das Haus ist neben der Kirche.,The house is next to the church.
448,10,_____ dem Bahnhof gibt es ein Café.,Neben,,Neben dem Bahnhof gibt es ein Café.,Next to the train station there is a café.
449,10,_____ den Kosten gibt es auch Vorteile.,Neben,,Neben den Kosten gibt es auch Vorteile.,"Besides the costs, there are also advantages."
450,10,_____ dich wäre ich traurig.,Ohne,,Ohne dich wäre ich traurig.,"Without you, I would be sad."
451,10,Ich bin _____ Hunger.,ohne,,Ich bin ohne Hunger.,I am without hunger. / I am not hungry.
452,10,_____ gestern bin ich krank.,Seit,,Seit gestern bin ich krank.,I have been sick since yesterday.
453,10,_____ langer Zeit habe ich ihn nicht gesehen.,Seit,,Seit langer Zeit habe ich ihn nicht gesehen.,I haven't seen him for a long time.
454,10,Das Bild hängt _____ dem Sofa.,über,,Das Bild hängt über dem Sofa.,The picture hangs above the sofa.
455,10,Die Wolken ziehen _____ den Himmel.,über,,Die Wolken ziehen über den Himmel.,The clouds are moving across the sky.
456,10,Ich treffe dich _____ 10 Uhr.,um,,Ich treffe dich um 10 Uhr.,I'll meet you at 10 o'clock.
457,10,Wir sitzen _____ einem Baum.,unter,,Wir sitzen unter einem Baum.,We are sitting under a tree.
458,10,Die Farbe ist _____ guter Qualität.,von,,Die Farbe ist von guter Qualität.,The paint is of good quality.
459,10,_____ Montag bis Freitag arbeite ich.,Von,,Von Montag bis Freitag arbeite ich.,"From Monday to Friday, I work."
460,10,Das ist _____ meiner Zeit passiert.,vor,,Das ist vor meiner Zeit passiert.,That happened before my time.
461,10,_____ dem Essen waschen wir die Hände.,Vor,,Vor dem Essen waschen wir die Hände.,"Before eating, we wash our hands."
462,10,_____ drei Monaten haben wir das Auto gekauft.,Vor,,Vor drei Monaten haben wir das Auto gekauft.,We bought the car three months ago.
463,10,Ich gehe jeden Tag _____ Fuß zur Arbeit.,zu,,Ich gehe jeden Tag zu Fuß zur Arbeit.,I walk to work every day.
464,10,Früher reisten die Menschen oft _____ Pferd.,zu,,Früher reisten die Menschen oft zu Pferd.,"In the past, people often traveled on horseback."
465,10,Wir fahren morgen _____ Schiff nach Dänemark.,zu,,Wir fahren morgen zu Schiff nach Dänemark.,We're going to Denmark by ship tomorrow.
466,10,Das Museum ist _____ der Bank und der Post.,zwischen,,Das Museum ist zwischen der Bank und der Post.,The museum is between the bank and the post office.
467,10,_____ 10 und 12 Uhr bin ich im Büro.,Zwischen,,Zwischen 10 und 12 Uhr bin ich im Büro.,Between 10 and 12 o'clock I am in the office.
468,10,_____ zwei Welten.,Zwischen,,Zwischen zwei Welten.,Between two worlds.
469,11,_____ sofort sind Reservierungen nur noch online möglich.,Ab,,Ab sofort sind Reservierungen nur noch online möglich.,"From now on, reservations are only possible online."
470,11,Dieses Spiel ist nur _____ 12 Jahren erlaubt,ab,,Dieses Spiel ist nur ab 12 Jahren erlaubt,"From next week, I will work in a new department."
471,11,Das Haus ist _____ Fluss.,am,,Das Haus ist am Fluss.,The house is on the river.
472,11,_____ 2. September 2004 wurde mein Bruder geboren.,Am,,Am 2. September 2004 wurde mein Bruder geboren.,"My brother was born on September 2, 2004."
473,11,Ich wohne _____ der Strasse.,an,,Ich wohne an der Strasse.,I live on the street.
474,11,Das Bild hängt _____ der Wand.,an,,Das Bild hängt an der Wand.,The picture hangs on the wall.
475,11,Die Kinder spielen _____ dem Spielplatz,auf,,Die Kinder spielen auf dem Spielplatz,The children play on the playground
476,11,Wir gehen _____ die Strasse,auf,,Wir gehen auf die Strasse,We go onto the street
477,11,Gehst du am Samstag _____ die Hochzeit?,auf,,Gehst du am Samstag auf die Hochzeit?,Are you going to the wedding on Saturday?
478,11,Das Licht kommt _____ dem Fenster.,aus,,Das Licht kommt aus dem Fenster.,The light comes from the window.
479,11,Ich nehme das Buch _____ dem Regal.,aus,,Ich nehme das Buch aus dem Regal.,I take the book from the shelf.
480,11,Sie steigt _____ dem Bus.,aus,,Sie steigt aus dem Bus.,She gets out of the bus.
481,11,Ich lerne Deutsch _____ der Volkshochschule,bei,,Ich lerne Deutsch bei der Volkshochschule,I learn German at the adult education center
482,11,Das Problem liegt _____ der Technik.,bei,,Das Problem liegt bei der Technik.,The problem is with the technology.
483,11,_____ dieser Frage brauche ich Hilfe.,Bei,,Bei dieser Frage brauche ich Hilfe.,"With this question, I need help."
431,11,Der Wanderweg geht _____ zum Gipfel des Berges.,bis,,Der Wanderweg geht bis zum Gipfel des Berges.,The hiking trail goes up to the top of the mountain.
432,11,Sie fährt mit dem Fahrrad _____ ans Meer.,bis,,Sie fährt mit dem Fahrrad bis ans Meer.,She rides her bike all the way to the sea.
433,11,Wir laufen _____ zum Ende der Straße.,bis,,Wir laufen bis zum Ende der Straße.,We walk to the end of the street.
434,11,Das ist gut _____ die Gesundheit.,für,,Das ist gut für die Gesundheit.,That is good for your health.
435,11,Ich danke dir _____ deine Hilfe.,für,,Ich danke dir für deine Hilfe.,I thank you for your help.
436,11,_____ mich ist das kein Problem.,Für,,Für mich ist das kein Problem.,"For me, that's not a problem."
437,11,Das Medikament hilft _____ Kopfschmerzen.,gegen,,Das Medikament hilft gegen Kopfschmerzen.,The medicine helps against headaches.
438,11,Er hat _____ die Regeln verstossen.,gegen,,Er hat gegen die Regeln verstossen.,He acted against the rules.
439,11,Was steckt _____ dieser Geschichte?,hinter,,Was steckt hinter dieser Geschichte?,What's behind this story?
