Nr,level,question,answer,german,english,case,complement,,
233,6,Seine Entschuldigung _____ der Lehrerin wurde angenommen.,bei,Seine Entschuldigung bei der Lehrerin wurde angenommen.,His apology to the teacher was accepted.,,Entschuldigung,,
234,6,Ihre Stimme _____ den Kandidaten machte den Unterschied.,für,Ihre Stimme für den Kandidaten machte den Unterschied.,Her vote for the candidate made the difference.,,Stimme,,
235,6,Die Stimme _____ die Reform wurde einstimmig abgegeben.,für,Die Stimme für die Reform wurde einstimmig abgegeben.,The vote for the reform was unanimous.,,Stimme,,
236,6,Die Verantwortung _____ das Projekt liegt bei ihm.,für,Die Verantwortung für das Projekt liegt bei ihm.,The responsibility for the project lies with him.,,Verantwortung,,
237,6,Ihre Verantwortung _____ die Kinder ist ihr wichtig.,für,Ihre Verantwortung für die Kinder ist ihr wichtig.,Her responsibility for the children is important to her.,,Verantwortung,,
238,6,Die Werbung _____ das neue Produkt war sehr effektiv.,für,Die Werbung für das neue Produkt war sehr effektiv.,The advertisement for the new product was very effective.,,Werbung,,
239,6,Die Werbung _____ den Film läuft auf allen Kanälen.,für,Die Werbung für den Film läuft auf allen Kanälen.,The advertisement for the film is running on all channels.,,Werbung,,
240,6,Die Stimme _____ den Vorschlag wurde laut geäußert.,gegen,Die Stimme gegen den Vorschlag wurde laut geäußert.,The vote against the proposal was expressed loudly.,,Stimme,,
241,6,Ihre Stimme _____ den Plan beeinflusste die Entscheidung.,gegen,Ihre Stimme gegen den Plan beeinflusste die Entscheidung.,Her vote against the plan influenced the decision.,,Stimme,,
242,6,Der Kampf _____ den Umständen war schwierig.,mit,Der Kampf mit den Umständen war schwierig.,The fight with the circumstances was difficult.,,Kampf,,
243,6,Ihr Kampf _____ der Krankheit dauerte Jahre.,mit,Ihr Kampf mit der Krankheit dauerte Jahre.,Her fight with the illness lasted for years.,,Kampf,,
244,6,Der Streit _____ seinem Bruder war schnell vergessen.,mit,Der Streit mit seinem Bruder war schnell vergessen.,The argument with his brother was quickly forgotten.,,Streit,,
245,6,Ihr Streit _____ der Kollegin eskalierte schnell.,mit,Ihr Streit mit der Kollegin eskalierte schnell.,Her argument with the colleague escalated quickly.,,Streit,,
246,6,Der Geschmack _____ Zimt war angenehm.,nach,Der Geschmack nach Zimt war angenehm.,The taste of cinnamon was pleasant.,,Geschmack,,
247,6,Der Geschmack _____ frischen Kräutern passte perfekt zum Gericht.,nach,Der Geschmack nach frischen Kräutern passte perfekt zum Gericht.,The taste of fresh herbs was perfect for the dish.,,Geschmack,,
248,6,Die Beschwerde _____ den Service wurde schnell bearbeitet.,über,Die Beschwerde über den Service wurde schnell bearbeitet.,The complaint about the service was processed quickly.,,Beschwerde,,
249,6,Seine Beschwerde _____ die laute Musik wurde ignoriert.,über,Seine Beschwerde über die laute Musik wurde ignoriert.,His complaint about the loud music was ignored.,,Beschwerde,,
250,6,Die Debatte _____ die neue Steuer war hitzig.,über,Die Debatte über die neue Steuer war hitzig.,The debate about the new tax was heated.,,Debatte,,
251,6,Ihre Debatte _____ die Umweltpolitik zog viele Zuhörer an.,über,Ihre Debatte über die Umweltpolitik zog viele Zuhörer an.,Their debate about environmental policy attracted many listeners.,,Debatte,,
252,6,Die Information _____ die Änderungen wurde per E-Mail verschickt.,über,Die Information über die Änderungen wurde per E-Mail verschickt.,The information about the changes was sent via email.,,Information,,
253,6,Er suchte nach mehr Informationen _____ die Firma.,über,Er suchte nach mehr Informationen über die Firma.,He looked for more information about the company.,,Information,,
254,6,Die Rede _____ die Zukunft des Unternehmens war inspirierend.,über,Die Rede über die Zukunft des Unternehmens war inspirierend.,The speech about the company's future was inspiring.,,Rede,,
255,6,Ihre Rede _____ Gleichberechtigung erhielt viel Applaus.,über,Ihre Rede über Gleichberechtigung erhielt viel Applaus.,Her speech about equality received a lot of applause.,,Rede,,
256,6,Sein Wissen _____ Geschichte beeindruckte alle.,über,Sein Wissen über Geschichte beeindruckte alle.,His knowledge about history impressed everyone.,,Wissen,,
257,6,Ihr Wissen _____ Technik ist bemerkenswert.,über,Ihr Wissen über Technik ist bemerkenswert.,Her knowledge about technology is remarkable.,,Wissen,,
258,6,Das Spiel _____ den Pokal war spannend.,um,Das Spiel um den Pokal war spannend.,The game for the trophy was exciting.,,Spiel,,
259,6,Ihr Spiel _____ den Sieg zog viele Zuschauer an.,um,Ihr Spiel um den Sieg zog viele Zuschauer an.,Their game for victory attracted many spectators.,,Spiel,,
260,6,Der Streit _____ das Erbe spaltete die Familie.,um,Der Streit um das Erbe spaltete die Familie.,The argument about the inheritance divided the family.,,Streit,,
261,6,Ihr Streit _____ die Zuständigkeiten eskalierte schnell.,um,Ihr Streit um die Zuständigkeiten eskalierte schnell.,Their argument about responsibilities escalated quickly.,,Streit,,
262,6,Die Wette _____ 50 Euro wurde ernst genommen.,um,Die Wette um 50 Euro wurde ernst genommen.,The bet for 50 euros was taken seriously.,,Wette,,
263,6,Seine Wette _____ den Ausgang des Spiels sorgte für Spannung.,um,Seine Wette um den Ausgang des Spiels sorgte für Spannung.,His bet on the outcome of the game created excitement.,,Wette,,
264,6,Die Warnung _____ dem Sturm kam rechtzeitig.,vor,Die Warnung vor dem Sturm kam rechtzeitig.,The warning about the storm came in time.,,Warnung,,
265,6,Ihre Warnung _____ den Gefahren wurde ernst genommen.,vor,Ihre Warnung vor den Gefahren wurde ernst genommen.,Her warning about the dangers was taken seriously.,,Warnung,,
266,6,Die Wahl _____ ihrem Vorsitzenden wurde einstimmig getroffen.,zu,Die Wahl zu ihrem Vorsitzenden wurde einstimmig getroffen.,The election as their chairperson was unanimous.,,Wahl,,
267,6,Seine Wahl _____ diesem Posten überraschte viele.,zu,Seine Wahl zu diesem Posten überraschte viele.,His election to this position surprised many.,,Wahl,,
268,6,Der Beitrag _____ dem Projekt war entscheidend.,zu,Der Beitrag zu dem Projekt war entscheidend.,The contribution to the project was crucial.,,Beitrag,,
269,6,Sein Beitrag _____ der Diskussion brachte neue Perspektiven.,zu,Sein Beitrag zu der Diskussion brachte neue Perspektiven.,His contribution to the discussion brought new perspectives.,,Beitrag,,
270,6,Der Rat _____ mehr Geduld war hilfreich.,zu,Der Rat zu mehr Geduld war hilfreich.,The advice for more patience was helpful.,,Rat,,
271,6,Ihr Rat _____ diesem Thema wurde ernst genommen.,zu,Ihr Rat zu diesem Thema wurde ernst genommen.,Her advice on this topic was taken seriously.,,Rat,,
272,7,the curiosity about,auf,die Neugier,,,,,
273,7,the designation as,als,die Bezeichnung,,,,,
274,7,the illness of,an,die Erkrankung,,,,,
275,7,the adaptation to,an,die Anpassung,,,,,
276,7,the reference to,auf,der Bezug,,,,,
277,7,the jealousy of,auf,die Eifersucht,,,,,
278,7,the agreement on,auf,die Einigung,,,,,
279,7,the emergence from,aus,die Entstehung,,,,,
280,7,the demonstration for,für,die Demonstration,,,,,
281,7,the suitability for,für,die Eignung,,,,,
282,7,the immunity against,gegen,die Immunität,,,,,
283,7,the error in,in,der Irrtum,,,,,
284,7,the agreement with,mit,die Einigung,,,,,
285,7,the phone call with,mit,das Telefonat,,,,,
286,7,the confrontation with,mit,die Auseinandersetzung,,,,,
287,7,the inquiry about,nach,die Erkundigung,,,,,
288,7,the longing for,nach,die Sehnsucht,,,,,
289,7,the amazement about,über,die Verwunderung,,,,,
290,7,the excitement about,über,die Aufregung,,,,,
291,7,the horror of,über,das Entsetzen,,,,,
292,7,the complaint about,über,die Klage,,,,,
293,7,the dependence on,von,die Abhängigkeit,,,,,
294,7,the disgust for,vor,der Ekel,,,,,
295,7,the escape from,vor,die Flucht,,,,,
296,7,the congratulations on,zu,der Glückwunsch,,,,,
297,7,the readiness for,zu,die Bereitschaft,,,,,
298,7,the appointment as,zu,die Ernennung,,,,,
299,7,the suitability to,zu,die Eignung,,,,,
300,7,the belonging to,zu,die Zugehörigkeit,,,,,
301,7,the tendency to,zu,die Neigung,,,,,
302,7,the suggestion to,zu,die Anregung,,,,,
303,8,Die Neugier _____ das neue Produkt war spürbar.,auf,Die Neugier auf das neue Produkt war spürbar.,The curiosity about the new product was noticeable.,,Neugier,,
304,8,Seine Neugier _____ die Lösung des Rätsels war groß.,auf,Seine Neugier auf die Lösung des Rätsels war groß.,His curiosity about the solution to the puzzle was great.,,Neugier,,
305,8,Die Bezeichnung _____ Held ist übertrieben.,als,Die Bezeichnung als Held ist übertrieben.,The designation as a hero is exaggerated.,,Bezeichnung,,
306,8,Seine Bezeichnung _____ Experte wurde anerkannt.,als,Seine Bezeichnung als Experte wurde anerkannt.,His designation as an expert was acknowledged.,,Bezeichnung,,
307,8,Die Erkrankung _____ Grippe war mild.,an,Die Erkrankung an Grippe war mild.,The illness with flu was mild.,,Erkrankung,,
308,8,Seine Erkrankung _____ Krebs wurde früh erk_____nt.,an,Seine Erkrankung an Krebs wurde früh erkannt.,His illness with cancer was detected early.,,Erkrankung,,
309,8,Die Anpassung _____ neue Umstände fiel ihr leicht.,an,Die Anpassung an neue Umstände fiel ihr leicht.,Adapting to new circumstances was easy for her.,,Anpassung,,
310,8,Die Anpassung _____ das Klima dauerte mehrere Wochen.,an,Die Anpassung an das Klima dauerte mehrere Wochen.,The adaptation to the climate took several weeks.,,Anpassung,,
311,8,Sein Bezug _____ das alte Gesetz war ungenau.,auf,Sein Bezug auf das alte Gesetz war ungenau.,His reference to the old law was inaccurate.,,Bezug,,
312,8,Ich nehme Bezug _____ Ihren letzten Brief.,auf,Ich nehme Bezug auf Ihren letzten Brief.,I refer to your last letter.,,Bezug,,
313,8,Ihre Eifersucht _____ seine Kollegin war offensichtlich.,auf,Ihre Eifersucht auf seine Kollegin war offensichtlich.,Her jealousy of his colleague was obvious.,,Eifersucht,,
314,8,Die Eifersucht _____ den Erfolg anderer kann zerstörerisch sein.,auf,Die Eifersucht auf den Erfolg anderer kann zerstörerisch sein.,Jealousy of others’ success can be destructive.,,Eifersucht,,
315,8,Die Einigung _____ einen Vertrag dauerte lange.,auf,Die Einigung auf einen Vertrag dauerte lange.,Agreement on a contract took a long time.,,Einigung,,
316,8,Es kam zur Einigung _____ einen gemeinsamen Plan.,auf,Es kam zur Einigung auf einen gemeinsamen Plan.,They reached an agreement on a common plan.,,Einigung,,
317,8,Die Entstehung _____ einfachen Verhältnissen beeindruckte viele.,aus,Die Entstehung aus einfachen Verhältnissen beeindruckte viele.,His emergence from humble origins impressed many.,,Entstehung,,
318,8,Die Entstehung _____ dieser Idee war unerwartet.,aus,Die Entstehung aus dieser Idee war unerwartet.,The emergence from this idea was unexpected.,,Entstehung,,
319,8,Die Demonstration _____ mehr Lohn war friedlich.,für,Die Demonstration für mehr Lohn war friedlich.,The demonstration for higher wages was peaceful.,,Demonstration,,
320,8,Es gab eine große Demonstration _____ die Rechte der Minderheiten.,für,Es gab eine große Demonstration für die Rechte der Minderheiten.,There was a large demonstration for minority rights.,,Demonstration,,
321,8,Ihre Eignung _____ die Stelle wurde überprüft.,für,Ihre Eignung für die Stelle wurde überprüft.,Her suitability for the position was reviewed.,,Eignung,,
322,8,Die Eignung _____ den Beruf ist gesetzlich geregelt.,für,Die Eignung für den Beruf ist gesetzlich geregelt.,Suitability for the profession is legally regulated.,,Eignung,,
323,8,Die Immunität _____ das Virus ist noch nicht vollständig entwickelt.,gegen,Die Immunität gegen das Virus ist noch nicht vollständig entwickelt.,Immunity against the virus is not yet fully developed.,,Immunität,,
324,8,Viele Tiere besitzen eine natürliche Immunität _____ bestimmte Krankheiten.,gegen,Viele Tiere besitzen eine natürliche Immunität gegen bestimmte Krankheiten.,Many animals have natural immunity against certain diseases.,,Immunität,,
325,8,Sein Irrtum _____ dieser Sache war offensichtlich.,in,Sein Irrtum in dieser Sache war offensichtlich.,His error in this matter was obvious.,,Irrtum,,
326,8,Der Irrtum _____ der Berechnung führte zum Fehler.,in,Der Irrtum in der Berechnung führte zum Fehler.,The mistake in the calculation led to the error.,,Irrtum,,
327,8,Die Einigung _____ dem Partner wurde schriftlich festgehalten.,mit,Die Einigung mit dem Partner wurde schriftlich festgehalten.,The agreement with the partner was put in writing.,,Einigung,,
328,8,Nach langer Diskussion kam es zur Einigung _____ der Gewerkschaft.,mit,Nach langer Diskussion kam es zur Einigung mit der Gewerkschaft.,"After long discussion, an agreement was reached with the union.",,Einigung,,
329,8,Das Telefonat _____ der Kundin dauerte eine Stunde.,mit,Das Telefonat mit der Kundin dauerte eine Stunde.,The phone call with the client lasted an hour.,,Telefonat,,
330,8,Mein letztes Telefonat _____ ihm war sehr aufschlussreich.,mit,Mein letztes Telefonat mit ihm war sehr aufschlussreich.,My last phone call with him was very informative.,,Telefonat,,
331,8,Die Auseinandersetzung _____ dem Thema war intensiv.,mit,Die Auseinandersetzung mit dem Thema war intensiv.,The engagement with the topic was intense.,,Auseinandersetzung,,
332,8,Seine Auseinandersetzung _____ dem Gegner war hart.,mit,Seine Auseinandersetzung mit dem Gegner war hart.,His confrontation with the opponent was tough.,,Auseinandersetzung,,
333,8,Die Erkundigung _____ dem Weg war erfolglos.,nach,Die Erkundigung nach dem Weg war erfolglos.,The inquiry about the way was unsuccessful.,,Ekundigung,,
334,8,Seine Erkundigung _____ dem Preis wurde schnell beantwortet.,nach,Seine Erkundigung nach dem Preis wurde schnell beantwortet.,His inquiry about the price was quickly answered.,,Ekundigung,,
335,8,Ihre Sehnsucht _____ Ruhe wurde stärker.,nach,Ihre Sehnsucht nach Ruhe wurde stärker.,Her longing for peace grew stronger.,,Sehnsucht,,
336,8,Die Sehnsucht _____ der Heimat begleitete ihn ständig.,nach,Die Sehnsucht nach der Heimat begleitete ihn ständig.,The longing for home followed him constantly.,,Sehnsucht,,
337,8,Ihre Verwunderung _____ die Entscheidung war groß.,über,Ihre Verwunderung über die Entscheidung war groß.,Her astonishment about the decision was great.,,Verwunderung,,
338,8,Meine Verwunderung _____ sein Verhalten war ehrlich.,über,Meine Verwunderung über sein Verhalten war ehrlich.,My surprise at his behavior was genuine.,,Verwunderung,,
339,8,Die Aufregung _____ das Ergebnis war groß.,über,Die Aufregung über das Ergebnis war groß.,The excitement about the result was huge.,,Aufregung,,
340,8,Ihre Aufregung _____ den Besuch war spürbar.,über,Ihre Aufregung über den Besuch war spürbar.,Her excitement about the visit was noticeable.,,Aufregung,,
341,8,Sein Entsetzen _____ den Unfall war deutlich.,über,Sein Entsetzen über den Unfall war deutlich.,His horror at the accident was obvious.,,Entsetzen,,
342,8,Das Entsetzen _____ die Nachricht war allgemein.,über,Das Entsetzen über die Nachricht war allgemein.,The horror at the news was widespread.,,Entsetzen,,
343,8,Ihre Klage _____ die Arbeitsbedingungen war berechtigt.,über,Ihre Klage über die Arbeitsbedingungen war berechtigt.,Her complaint about the working conditions was justified.,,Klage,,
344,8,Die Klage _____ den Lärm wurde ignoriert.,über,Die Klage über den Lärm wurde ignoriert.,The complaint about the noise was ignored.,,Klage,,
345,8,Die Abhängigkeit _____ Alkohol wurde behandelt.,von,Die Abhängigkeit von Alkohol wurde behandelt.,The dependence on alcohol was treated.,,Abhängigkeit,,
346,8,Seine Abhängigkeit _____ Geld war offensichtlich.,von,Seine Abhängigkeit von Geld war offensichtlich.,His dependence on money was obvious.,,Abhängigkeit,,
347,8,Sein Ekel _____ dem Anblick war sichtbar.,vor,Sein Ekel vor dem Anblick war sichtbar.,His disgust at the sight was visible.,,Ekel,,
348,8,Der Ekel _____ bestimmten Tieren ist weit verbreitet.,vor,Der Ekel vor bestimmten Tieren ist weit verbreitet.,Disgust toward certain animals is widespread.,,Ekel,,
349,8,Die Flucht _____ dem Feind war erfolgreich.,vor,Die Flucht vor dem Feind war erfolgreich.,The escape from the enemy was successful.,,Flucht,,
350,8,Seine Flucht _____ der Verantwortung wurde kritisiert.,vor,Seine Flucht vor der Verantwortung wurde kritisiert.,His escape from responsibility was criticized.,,Flucht,,
351,8,Der Glückwunsch _____ ihrem Erfolg war herzlich.,zu,Der Glückwunsch zu ihrem Erfolg war herzlich.,The congratulations on her success were heartfelt.,,Glückwunsch,,
352,8,Sein Glückwunsch _____ ihrer Hochzeit war sehr persönlich.,zu,Sein Glückwunsch zu ihrer Hochzeit war sehr persönlich.,His congratulations on her wedding were very personal.,,Glückwunsch,,
353,8,Die Bereitschaft _____ Veränderungen ist gering.,zu,Die Bereitschaft zu Veränderungen ist gering.,The willingness for change is low.,,Bereitschaft,,
354,8,Seine Bereitschaft _____ helfen war beeindruckend.,zu,Seine Bereitschaft zu helfen war beeindruckend.,His willingness to help was impressive.,,Bereitschaft,,
355,8,Die Eignung _____ diesem Beruf muss nachgewiesen werden.,zu,Die Eignung zu diesem Beruf muss nachgewiesen werden.,Suitability for this profession must be proven.,,Eignung,,
356,8,Seine Eignung _____ dieser Aufgabe ist fraglich.,zu,Seine Eignung zu dieser Aufgabe ist fraglich.,His suitability for this task is questionable.,,Eignung,,
357,8,Die Zugehörigkeit _____ dieser Gruppe war freiwillig.,zu,Die Zugehörigkeit zu dieser Gruppe war freiwillig.,Belonging to this group was voluntary.,,Zugehörigkeit,,
358,8,Die Zugehörigkeit _____ einer Nation prägt die Identität.,zu,Die Zugehörigkeit zu einer Nation prägt die Identität.,Belonging to a nation shapes identity.,,Zugehörigkeit,,
359,8,Ihre Neigung _____ Dramatik ist bekannt.,zu,Ihre Neigung zu Dramatik ist bekannt.,Her tendency toward drama is well known.,,Neigung,,
360,8,Seine Neigung _____ Extremen ist gefährlich.,zu,Seine Neigung zu Extremen ist gefährlich.,His inclination toward extremes is dangerous.,,Neigung,,
361,8,Die Anregung _____ neuen Ideen war hilfreich.,zu,Die Anregung zu neuen Ideen war hilfreich.,The stimulation to new ideas was helpful.,,Anregung,,
362,8,Die Anregung _____ Kreativität fehlte.,zu,Die Anregung zu Kreativität fehlte.,The encouragement toward creativity was lacking.,,Anregung,,
363,8,Die Ernennung _____ Direktor war überraschend.,zum,Die Ernennung zum Direktor war überraschend.,The appointment as director was surprising.,,Ernennung,,
364,8,Seine Ernennung _____ Präsidenten wurde gefeiert.,zum,Seine Ernennung zum Präsidenten wurde gefeiert.,His appointment as president was celebrated.,,Ernennung,,
365,9,the reputation as,als,das Ansehen,,,,,
366,9,the suffering from,an,das Leiden,,,,,
367,9,the orientation to,an,die Orientierung,,,,,
368,9,the revenge on,an,die Rache,,,,,
369,9,the rage at,auf,die Wut,,,,,
370,9,the envy of,auf,der Neid,,,,,
371,9,the waiver of,auf,der Verzicht,,,,,
372,9,the composition of,aus,die Zusammensetzung,,,,,
373,9,the commitment to,für,das Engagement,,,,,
374,9,the revenge for,für,die Rache,,,,,
375,9,the defense against,gegen,die Verteidigung,,,,,
376,9,the violation of,gegen,der Verstoß,,,,,
377,9,the transformation into,in,die Verwandlung,,,,,
378,9,the distinction in,in,die Unterscheidung,,,,,
379,9,the deception in,in,die Täuschung,,,,,
380,9,the structure in,in,die Gliederung,,,,,
381,9,the conversation with,mit,die Unterhaltung,,,,,
382,9,the call for,nach,der Ruf,,,,,
383,9,the stink of,nach,der Gestank,,,,,
384,9,the entertainment about,über,die Unterhaltung,,,,,
385,9,the mockery of,über,der Spott,,,,,
386,9,the astonishment at,über,das Erstaunen,,,,,
387,9,the liberation from,von,die Befreiung,,,,,
388,9,the protection against,vor,der Schutz,,,,,
389,9,the education to,zu,die Erziehung,,,,,
390,9,the request to,zu,die Aufforderung,,,,,
391,9,the transport to,zu,die Beförderung,,,,,
392,9,the decision to,zu,der Entschluss,,,,,
393,9,the persuasion to,zu,die Überredung,,,,,
394,9,the compulsion to,zu,der Zwang,,,,,
395,10,Sein Ansehen _____ Experte wurde nie infrage gestellt.,als,Sein Ansehen als Experte wurde nie infrage gestellt.,His reputation as an expert was never questioned.,,Ansehen,,
396,10,Das Ansehen _____ zuverlässiger Partner ist wichtig.,als,Das Ansehen als zuverlässiger Partner ist wichtig.,Reputation as a reliable partner is important.,,Ansehen,,
397,10,Das Leiden _____ Schlaflosigkeit beeinträchtigt ihn stark.,an,Das Leiden an Schlaflosigkeit beeinträchtigt ihn stark.,The suffering from insomnia affects him severely.,,Leiden,,
398,10,Ihr Leiden _____ Migräne ist chronisch.,an,Ihr Leiden an Migräne ist chronisch.,Her suffering from migraines is chronic.,,Leiden,,
399,10,Die Orientierung _____ den Zielen ist wichtig.,an,Die Orientierung an den Zielen ist wichtig.,Orientation toward the goals is important.,,Orientierung,,
400,10,Seine Orientierung _____ traditionellen Werten prägt sein Handeln.,an,Seine Orientierung an traditionellen Werten prägt sein Handeln.,His orientation toward traditional values shapes his actions.,,Orientierung,,
401,10,Die Rache _____ dem Täter war grausam.,an,Die Rache an dem Täter war grausam.,The revenge on the perpetrator was cruel.,,Rache,,
402,10,Ihre Rache _____ ihm war wohlüberlegt.,an,Ihre Rache an ihm war wohlüberlegt.,Her revenge on him was deliberate.,,Rache,,
403,10,Ihre Wut _____ den Chef war kaum zu übersehen.,auf,Ihre Wut auf den Chef war kaum zu übersehen.,Her anger at the boss was hard to miss.,,Wut,,
404,10,Die Wut _____ den Verkehr wuchs mit jeder Minute.,auf,Die Wut auf den Verkehr wuchs mit jeder Minute.,The anger at the traffic grew by the minute.,,Wut,,
405,10,Sein Neid _____ den Nachbarn war unbegründet.,auf,Sein Neid auf den Nachbarn war unbegründet.,His envy of the neighbor was unfounded.,,Neid,,
406,10,Der Neid _____ ihren Erfolg war nicht zu übersehen.,auf,Der Neid auf ihren Erfolg war nicht zu übersehen.,The envy of her success was noticeable.,,Neid,,
407,10,Der Verzicht _____ Luxus fiel ihm schwer.,auf,Der Verzicht auf Luxus fiel ihm schwer.,Renouncing luxury was difficult for him.,,Verzicht,,
408,10,Sein Verzicht _____ das Erbe überraschte alle.,auf,Sein Verzicht auf das Erbe überraschte alle.,His renunciation of the inheritance surprised everyone.,,Verzicht,,
409,10,Die Zusammensetzung _____ verschiedenen Stoffen macht das Produkt aus.,aus,Die Zusammensetzung aus verschiedenen Stoffen macht das Produkt aus.,The composition from various materials defines the product.,,Zusammensetzung,,
410,10,Die Zusammensetzung _____ Experten unterschiedlicher Bereiche war sinnvoll.,aus,Die Zusammensetzung aus Experten unterschiedlicher Bereiche war sinnvoll.,The composition of experts from different fields made sense.,,Zusammensetzung,,
411,10,Sein Engagement _____ den Umweltschutz ist beeindruckend.,für,Sein Engagement für den Umweltschutz ist beeindruckend.,His commitment to environmental protection is impressive.,,Engagement,,
412,10,Das Engagement _____ soziale Projekte steigt.,für,Das Engagement für soziale Projekte steigt.,The commitment to social projects is increasing.,,Engagement,,
413,10,Sie schwor Rache _____ den Betrug.,für,Sie schwor Rache für den Betrug.,She swore revenge for the betrayal.,,Rache,,
414,10,Die Rache _____ das Unrecht ließ nicht lange auf sich warten.,für,Die Rache für das Unrecht ließ nicht lange auf sich warten.,The revenge for the injustice came quickly.,,Rache,,
415,10,Die Verteidigung _____ die Angriffe war gut organisiert.,gegen,Die Verteidigung gegen die Angriffe war gut organisiert.,The defense against the attacks was well organized.,,Verteidigung,,
416,10,Seine Verteidigung _____ die Vorwürfe war überzeugend.,gegen,Seine Verteidigung gegen die Vorwürfe war überzeugend.,His defense against the accusations was convincing.,,Verteidigung,,
417,10,Sein Verstoß _____ die Regeln blieb nicht unbestraft.,gegen,Sein Verstoß gegen die Regeln blieb nicht unbestraft.,His violation of the rules did not go unpunished.,,Verstoß,,
418,10,Der Verstoß _____ das Gesetz wurde angezeigt.,gegen,Der Verstoß gegen das Gesetz wurde angezeigt.,The violation of the law was reported.,,Verstoß,,
419,10,Die Verwandlung _____ einen modernen Raum war beeindruckend.,in,Die Verwandlung in einen modernen Raum war beeindruckend.,The transformation into a modern space was impressive.,,Verwandlung,,
420,10,Die Verwandlung _____ eine grüne Stadt ist ein großes Ziel.,in,Die Verwandlung in eine grüne Stadt ist ein großes Ziel.,The transformation into a green city is a big goal.,,Verwandlung,,
421,10,Die Unterscheidung _____ Gruppen hilft beim Verständnis.,in,Die Unterscheidung in Gruppen hilft beim Verständnis.,The distinction into groups helps with understanding.,,Unterscheidung,,
422,10,Die Unterscheidung _____ Kategorien ist nicht immer einfach.,in,Die Unterscheidung in Kategorien ist nicht immer einfach.,The classification into categories is not always easy.,,Unterscheidung,,
423,10,Die Täuschung _____ dieser Frage war beabsichtigt.,in,Die Täuschung in dieser Frage war beabsichtigt.,The deception in this matter was intentional.,,Täuschung,,
424,10,Seine Täuschung _____ Details war schwer zu erkennen.,in,Seine Täuschung in Details war schwer zu erkennen.,His deception in details was hard to detect.,,Täuschung,,
425,10,Die Gliederung _____ Kapitel macht das Lesen einfacher.,in,Die Gliederung in Kapitel macht das Lesen einfacher.,The division into chapters makes reading easier.,,Gliederung,,
426,10,Die Gliederung _____ Bereiche ist sinnvoll.,in,Die Gliederung in Bereiche ist sinnvoll.,The structure into sections is practical.,,Gliederung,,
427,10,Die Unterhaltung _____ dem Gast war sehr angenehm.,mit,Die Unterhaltung mit dem Gast war sehr angenehm.,The conversation with the guest was very pleasant.,,Unterhaltung,,
428,10,Ich hatte eine interessante Unterhaltung _____ meiner Nachbarin.,mit,Ich hatte eine interessante Unterhaltung mit meiner Nachbarin.,I had an interesting conversation with my neighbor.,,Unterhaltung,,
429,10,Sein Ruf _____ Freiheit wurde laut.,nach,Sein Ruf nach Freiheit wurde laut.,His call for freedom was loud.,,Ruf,,
430,10,Der Ruf _____ Reformen wird immer stärker.,nach,Der Ruf nach Reformen wird immer stärker.,The call for reforms is getting stronger.,,Ruf,,
431,10,Der Gestank _____ Verbranntem war unerträglich.,nach,Der Gestank nach Verbranntem war unerträglich.,The stench of something burnt was unbearable.,,Gestank,,
432,10,Der Gestank _____ Abfall erfüllte den Raum.,nach,Der Gestank nach Abfall erfüllte den Raum.,The stench of garbage filled the room.,,Gestank,,
433,10,Die Unterhaltung _____ Politik war sehr spannend.,über,Die Unterhaltung über Politik war sehr spannend.,The conversation about politics was very interesting.,,Unterhaltung,,
434,10,Unsere Unterhaltung _____ das Buch dauerte stundenlang.,über,Unsere Unterhaltung über das Buch dauerte stundenlang.,Our conversation about the book lasted for hours.,,Unterhaltung,,
435,10,Sein Spott _____ den Vortrag war verletzend.,über,Sein Spott über den Vortrag war verletzend.,His mockery of the presentation was hurtful.,,Spott,,
436,10,Der Spott _____ den Politiker war laut.,über,Der Spott über den Politiker war laut.,The mockery of the politician was loud.,,Spott,,
437,10,Das Erstaunen _____ die Reaktion war groß.,über,Das Erstaunen über die Reaktion war groß.,The astonishment at the reaction was great.,,Erstaunen,,
438,10,Unser Erstaunen _____ den Sieg war ehrlich.,über,Unser Erstaunen über den Sieg war ehrlich.,Our amazement at the victory was genuine.,,Erstaunen,,
439,10,Die Befreiung _____ der Last fiel ihm schwer.,von,Die Befreiung von der Last fiel ihm schwer.,Freeing himself from the burden was difficult.,,Befreiung,,
440,10,Ihre Befreiung _____ der Verantwortung war notwendig.,von,Ihre Befreiung von der Verantwortung war notwendig.,Her release from responsibility was necessary.,,Befreiung,,
441,10,Der Schutz _____ Kälte ist wichtig im Winter.,vor,Der Schutz vor Kälte ist wichtig im Winter.,Protection from the cold is important in winter.,,Schutz,,
442,10,Der Schutz _____ Gefahren ist lebenswichtig.,vor,Der Schutz vor Gefahren ist lebenswichtig.,Protection from dangers is vital.,,Schutz,,
443,10,Die Erziehung _____ Selbstständigkeit beginnt früh.,zu,Die Erziehung zu Selbstständigkeit beginnt früh.,Upbringing toward independence starts early.,,Erziehung,,
444,10,Die Erziehung _____ Toleranz ist wichtig.,zu,Die Erziehung zu Toleranz ist wichtig.,Education toward tolerance is important.,,Erziehung,,
445,10,Die Aufforderung _____ Schweigen war deutlich.,zu,Die Aufforderung zu Schweigen war deutlich.,The request to be silent was clear.,,Aufforderung,,
