Nr,level,reflexive,question,answer,english,german
351,5,,Er hat ein großes Haus _____.,besessen,He owned a big house.,Er hat ein großes Haus besessen.
352,5,,Ich habe das neue Gericht _____.,probiert,I tried the new dish.,Ich habe das neue Gericht probiert.
353,5,,Ich habe von einem Urlaub _____.,geträumt,I dreamed of a vacation.,Ich habe von einem Urlaub geträumt.
354,5,,Er hat eine Pizza _____.,bestellt,He ordered a pizza.,Er hat eine Pizza bestellt.
355,5,,Wir sind nach Italien _____.,gereist,We traveled to Italy.,Wir sind nach Italien gereist.
356,5,,Wir haben seinen Geburtstag _____.,gefeiert,We celebrated his birthday.,Wir haben seinen Geburtstag gefeiert.
357,5,,Sie hat auf meine Frage _____.,geantwortet,She answered my question.,Sie hat auf meine Frage geantwortet.
358,5,,Er hat den besten Kandidaten _____.,gewählt,He chose the best candidate.,Er hat den besten Kandidaten gewählt.
359,5,,Wir sind gestern Abend _____.,ausgegangen,We went out last night.,Wir sind gestern Abend ausgegangen.
360,5,,Ich habe das Geld _____.,gezählt,I counted the money.,Ich habe das Geld gezählt.
361,5,,Er hat den ganzen Abend _____.,ferngesehen,He watched TV all evening.,Er hat den ganzen Abend ferngesehen.
362,5,,Wir sind pünktlich _____.,angekommen,We arrived on time.,Wir sind pünktlich angekommen.
363,5,,Der Film hat zwei Stunden _____.,gedauert,The movie lasted two hours.,Der Film hat zwei Stunden gedauert.
364,5,,Ich habe viele neue Leute _____.,kennengelernt,I met many new people.,Ich habe viele neue Leute kennengelernt.
365,5,,Er hat viel Sport _____.,getrieben,He did a lot of sports.,Er hat viel Sport getrieben.
366,5,,Sie hat viele Schüler _____.,unterrichtet,She taught many students.,Sie hat viele Schüler unterrichtet.
367,5,,Er hat dem Vorschlag _____.,zugestimmt,He agreed with the proposal.,Er hat dem Vorschlag zugestimmt.
368,5,,Ich habe mich für den Kurs _____.,angemeldet,I registered for the course.,Ich habe mich für den Kurs angemeldet.
369,5,,Ich habe mein Handy zu Hause _____.,gelassen,I left my phone at home.,Ich habe mein Handy zu Hause gelassen.
370,5,,Er hat das Haus _____.,verlassen,He left the house.,Er hat das Haus verlassen.
371,5,,Ich habe ihm bei der Arbeit _____.,geholfen,I helped him with the work.,Ich habe ihm bei der Arbeit geholfen.
372,5,,Er hat den Tisch _____.,bewegt,He moved the table.,Er hat den Tisch bewegt.
373,5,,Ich habe ihm immer _____.,vertraut,I always trusted him.,Ich habe ihm immer vertraut.
374,5,,"Er hat mir geholfen, wie er es _____ hat.",versprochen,He helped me as he promised.,"Er hat mir geholfen, wie er es versprochen hat."
375,5,,Das Bild hat an der Wand _____.,gehangen,The picture was hanging on the wall.,Das Bild hat an der Wand gehangen.
376,6,,Das _____ viel bedeutet.,hat,That meant a lot.,Das hat viel bedeutet.
377,6,,Sie _____ den Termin bestimmt.,hat,She set the appointment.,Sie hat den Termin bestimmt.
378,6,,Ich _____ die Zeitung geholt.,habe,I fetched the newspaper.,Ich habe die Zeitung geholt.
379,6,,Der Computer _____ funktioniert.,hat,The computer worked.,Der Computer hat funktioniert.
380,6,,Ich _____ mich schlecht gefühlt.,habe,I felt bad.,Ich habe mich schlecht gefühlt.
381,6,,Das _____ viel Geld gekostet.,hat,That cost a lot of money.,Das hat viel Geld gekostet.
382,6,,Ich _____ mich daran erinnert.,habe,I remembered that.,Ich habe mich daran erinnert.
383,6,,Er _____ sich verletzt.,hat,He got injured.,Er hat sich verletzt.
384,6,,Ich _____ meine Mutter angerufen.,habe,I called my mother.,Ich habe meine Mutter angerufen.
385,6,,Er _____ mit dem Rauchen aufgehört.,hat,He stopped smoking.,Er hat mit dem Rauchen aufgehört.
386,6,,Er _____ die Gruppe geführt.,hat,He led the group.,Er hat die Gruppe geführt.
387,6,,Wir _____ mit der Arbeit angefangen.,haben,We started the work.,Wir haben mit der Arbeit angefangen.
388,6,,Er _____ das Spiel gewonnen.,hat,He won the game.,Er hat das Spiel gewonnen.
389,6,,Es _____ die ganze Nacht geregnet.,hat,It rained all night.,Es hat die ganze Nacht geregnet.
390,6,,Es _____ gestern geschneit.,hat,It snowed yesterday.,Es hat gestern geschneit.
391,6,,Mein Kopf _____ wehgetan.,hat,My head hurt.,Mein Kopf hat wehgetan.
392,6,,Wir _____ lange diskutiert.,haben,We discussed for a long time.,Wir haben lange diskutiert.
393,6,,Sie _____ die ganze Nacht getanzt.,hat,She danced all night.,Sie hat die ganze Nacht getanzt.
394,6,,Er _____ die Tür geöffnet.,hat,He opened the door.,Er hat die Tür geöffnet.
395,6,,Ich _____ die Getränke bezahlt.,habe,I paid for the drinks.,Ich habe die Getränke bezahlt.
396,6,,Das Konzert _____ um 8 Uhr begonnen.,hat,The concert started at 8 o'clock.,Das Konzert hat um 8 Uhr begonnen.
397,6,,Ich _____ das Werkzeug benutzt.,habe,I used the tool.,Ich habe das Werkzeug benutzt.
398,6,,Er _____ mir eine E-Mail geschickt.,hat,He sent me an email.,Er hat mir eine E-Mail geschickt.
399,6,,Wir _____ viel gelacht.,haben,We laughed a lot.,Wir haben viel gelacht.
400,6,,Die Sonne _____ geschienen.,hat,The sun was shining.,Die Sonne hat geschienen.
401,6,,Ich _____ meine Meinung geändert.,habe,I changed my opinion.,Ich habe meine Meinung geändert.
402,6,,Er _____ mich um Hilfe gebeten.,hat,He asked me for help.,Er hat mich um Hilfe gebeten.
403,6,,Ich _____ die Tür aufgemacht.,habe,I opened the door.,Ich habe die Tür aufgemacht.
404,6,,Sie _____ ihr altes Auto verkauft.,hat,She sold her old car.,Sie hat ihr altes Auto verkauft.
405,6,,Das Buch _____ mir gehört.,hat,The book belonged to me.,Das Buch hat mir gehört.
406,6,,Ich _____ lange auf dem Stuhl gesessen.,habe,I sat on the chair for a long time.,Ich habe lange auf dem Stuhl gesessen.
407,6,,Ich _____ die Vase auf den Tisch gestellt.,habe,I placed the vase on the table.,Ich habe die Vase auf den Tisch gestellt.
408,6,,Ich _____ mich auf den Stuhl gesetzt.,habe,I sat down on the chair.,Ich habe mich auf den Stuhl gesetzt.
409,6,,Das Buch _____ auf dem Tisch gelegen.,hat,The book was lying on the table.,Das Buch hat auf dem Tisch gelegen.
410,6,,Ich _____ ihm für seine Hilfe gedankt.,habe,I thanked him for his help.,Ich habe ihm für seine Hilfe gedankt.
411,6,,Ich _____ das Handy auf den Tisch gelegt.,habe,I laid the phone on the table.,Ich habe das Handy auf den Tisch gelegt.
412,6,,Er _____ aus dem Fenster geschaut.,hat,He looked out of the window.,Er hat aus dem Fenster geschaut.
413,6,,Sie _____ ein schönes Lied gesungen.,hat,She sang a beautiful song.,Sie hat ein schönes Lied gesungen.
414,6,,Wir _____ unsere Großeltern besucht.,haben,We visited our grandparents.,Wir haben unsere Großeltern besucht.
415,6,,Ich _____ mich über das Geschenk gefreut.,habe,I was happy about the gift.,Ich habe mich über das Geschenk gefreut.
416,6,,Er _____ das Fenster geschlossen.,hat,He closed the window.,Er hat das Fenster geschlossen.
417,6,,Ich _____ ihn zur Party eingeladen.,habe,I invited him to the party.,Ich habe ihn zur Party eingeladen.
418,6,,Der Film _____ mir gefallen.,hat,I liked the movie.,Der Film hat mir gefallen.
419,6,,Er _____ viel Geld verdient.,hat,He earned a lot of money.,Er hat viel Geld verdient.
420,6,,Ich _____ mir ein neues Fahrrad gewünscht.,habe,I wished for a new bike.,Ich habe mir ein neues Fahrrad gewünscht.
421,6,,Die Schuhe _____ mir nicht gepasst.,haben,The shoes didn't fit me.,Die Schuhe haben mir nicht gepasst.
422,6,,Sie _____ ihr Leben verändert.,hat,She changed her life.,Sie hat ihr Leben verändert.
423,6,,Der Hund _____ mir gefolgt.,ist,The dog followed me.,Der Hund ist mir gefolgt.
424,6,,Ich _____ mir einen Film angesehen.,habe,I watched a movie.,Ich habe mir einen Film angesehen.
425,6,,Er _____ müde ausgesehen.,hat,He looked tired.,Er hat müde ausgesehen.
426,6,,Er _____ ein großes Haus besessen.,hat,He owned a big house.,Er hat ein großes Haus besessen.
427,6,,Ich _____ das neue Gericht probiert.,habe,I tried the new dish.,Ich habe das neue Gericht probiert.
428,6,,Ich _____ von einem Urlaub geträumt.,habe,I dreamed of a vacation.,Ich habe von einem Urlaub geträumt.
429,6,,Er _____ eine Pizza bestellt.,hat,He ordered a pizza.,Er hat eine Pizza bestellt.
430,6,,Wir _____ nach Italien gereist.,sind,We traveled to Italy.,Wir sind nach Italien gereist.
431,6,,Wir _____ seinen Geburtstag gefeiert.,haben,We celebrated his birthday.,Wir haben seinen Geburtstag gefeiert.
432,6,,Sie _____ auf meine Frage geantwortet.,hat,She answered my question.,Sie hat auf meine Frage geantwortet.
433,6,,Er _____ den besten Kandidaten gewählt.,hat,He chose the best candidate.,Er hat den besten Kandidaten gewählt.
434,6,,Wir _____ gestern Abend ausgegangen.,sind,We went out last night.,Wir sind gestern Abend ausgegangen.
435,6,,Ich _____ das Geld gezählt.,habe,I counted the money.,Ich habe das Geld gezählt.
436,6,,Er _____ den ganzen Abend ferngesehen.,hat,He watched TV all evening.,Er hat den ganzen Abend ferngesehen.
437,6,,Wir _____ pünktlich angekommen.,sind,We arrived on time.,Wir sind pünktlich angekommen.
438,6,,Der Film _____ zwei Stunden gedauert.,hat,The movie lasted two hours.,Der Film hat zwei Stunden gedauert.
439,6,,Ich _____ viele neue Leute kennengelernt.,habe,I met many new people.,Ich habe viele neue Leute kennengelernt.
440,6,,Er _____ viel Sport getrieben.,hat,He did a lot of sports.,Er hat viel Sport getrieben.
441,6,,Sie _____ viele Schüler unterrichtet.,hat,She taught many students.,Sie hat viele Schüler unterrichtet.
442,6,,Er _____ dem Vorschlag zugestimmt.,hat,He agreed with the proposal.,Er hat dem Vorschlag zugestimmt.
443,6,,Ich _____ mich für den Kurs angemeldet.,habe,I registered for the course.,Ich habe mich für den Kurs angemeldet.
444,6,,Ich _____ mein Handy zu Hause gelassen.,habe,I left my phone at home.,Ich habe mein Handy zu Hause gelassen.
445,6,,Er _____ das Haus verlassen.,hat,He left the house.,Er hat das Haus verlassen.
446,6,,Ich _____ ihm bei der Arbeit geholfen.,habe,I helped him with the work.,Ich habe ihm bei der Arbeit geholfen.
447,6,,Er _____ den Tisch bewegt.,hat,He moved the table.,Er hat den Tisch bewegt.
448,6,,Ich _____ ihm immer vertraut.,habe,I always trusted him.,Ich habe ihm immer vertraut.
449,6,,"Er _____ mir geholfen, wie er es versprochen _____.",hat,He helped me as he promised.,"Er hat mir geholfen, wie er es versprochen hat."
450,6,,Das Bild _____ an der Wand gehangen.,hat,The picture was hanging on the wall.,Das Bild hat an der Wand gehangen.
451,7,,werfen,geworfen,to throw,
452,7,,erkennen,erkannt,"to recognise, to realise",
453,7,,teilen,geteilt,"to split, to share, to divide",
454,7,,bauen,gebaut,to build,
455,7,,unterschreiben,unterschrieben,to sign (write one's signature),
456,7,,melden,gemeldet,"to report, to register",
457,7,,brechen,gebrochen,to break,
458,7,,zerstören,zerstört,to destroy,
459,7,,merken,gemerkt,"to notice, to realise, to remember (refl.)",
460,7,,weinen,geweint,"to weep, cry",
461,7,,enden,geendet,to end (passive),
462,7,,stören,gestört,"to disturb, to interfere",
463,7,,abgeben,abgegeben,"to hand something in, to emit something, to deliver something, to cede something",
464,7,,annehmen,angenommen,"to accept, to assume (a hypothesis), to receive, to suppose",
465,7,,übernehmen,übernommen,to take over,
466,7,,stattfinden,stattgefunden,"to take place, to occur",
467,7,,fangen,gefangen,to catch,
468,7,,enthalten,enthalten,"to contain, to include",
469,7,,dienen,gedient,"to serve, to function",
470,7,,verschwinden,verschwunden,"to disappear, to get lost",
471,7,,schützen,geschützt,"to defend (lawyer), to protect (sunprotection)",
472,7,,nennen,genannt,"to name, to call someone something, to mention",
473,7,,schätzen,geschätzt,"to appreciate, to evaluate, to guess",
474,7,,erwarten,erwartet,"to expect, to await",
475,7,,töten,getötet,to kill,
476,7,,drehen,gedreht,"to turn, to veer",
477,7,,behalten,behalten,to keep,
478,7,,verpassen,verpasst,"to miss (to be late for something, e.g. a train)",
479,7,,schenken,geschenkt,"to gift, to give as a present",
480,7,,wachsen,gewachsen,"to grow, to increase",
481,7,,beschreiben,beschrieben,to describe,
482,7,,verbinden,verbunden,"to join, to connect, to bandage",
483,7,,springen,gesprungen,"to spring, to jump",
484,7,,befinden,befunden,"to be located (refl.), to find, to consider (formal)",
485,7,,raten,geraten,"to advise, to recommend, to guess",
486,7,,verbieten,verboten,"to forbid, to prohibit (with dative)",
487,7,,bieten,geboten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)",
488,7,,fallen,gefallen,"to fall, to fall in battle, to collapse",
489,7,,kümmern,gekümmert,"to take care (refl.), to trouble, to concern",
490,7,,drücken,gedrückt,"to press, to push",
491,7,,steigen,gestiegen,"to ascend, to climb, to rise",
492,7,,vergleichen,verglichen,to compare,
493,7,,achten,geachtet,"to respect, to regard someone, to pay attention to something",
494,7,,mitnehmen,mitgenommen,"to carry along, to pick up (something), to take away",
495,7,,mitbringen,mitgebracht,"to bring along, to bring with",
496,7,,tauschen,getauscht,"to swap, to trade, to exchange",
497,7,,sammeln,gesammelt,"to collect, to gather",
498,7,,aufpassen,aufgepasst,"to watch out, to look after something, to be attentive with something",
499,7,,betrinken,betrunken,to get drunk (refl.),
500,7,,küssen,geküsst,"to kiss, to make out",
501,7,,erwachsen,erwachsen,"to grow up, to spring up, to accrue",
502,7,,rennen,gerannt,"to race, to sprint, to run over someone (aux. with haben)",
503,7,,hassen,gehasst,to hate,
504,7,,verstecken,versteckt,to hide,
505,7,,zurückbringen,zurückgebracht,"to return something, to restore",
506,7,,zurückgehen,zurückgegangen,"to go back, to decline",
507,7,,zurückkommen,zurückgekommen,to return (to come back),
508,7,,verkleiden,verkleidet,"to dress up, to disguise oneself (refl.)",
509,7,,ärgern,geärgert,to annoy oneself (refl.),
510,7,,absagen,abgesagt,"to call off, to cancel",
511,7,,schieben,geschoben,to push,
512,7,,kündigen,gekündigt,"to terminate, to cancel",
513,7,,heben,gehoben,"to lift, to raise",
514,7,,abholen,abgeholt,"to pick up someone or something, to collect",
515,7,,füllen,gefüllt,to fill,
516,7,,wechseln,gewechselt,"to replace, to change, to exchange",
517,7,,wirken,gewirkt,"to work, to be effective, to take affect, to act",
518,7,,erhalten,erhalten,"to receive (passively), to maintain, to save",
519,7,,erlauben,erlaubt,to allow/permit something to someone,
520,7,,trennen,getrennt,"to separate, part, uncouple, to disconnect, to isolate",
521,7,,darstellen,dargestellt,"to represent, to portray",
522,7,,leeren,geleert,to empty,
523,7,,greifen,gegriffen,"to grab, to seize, to reach, to capture",
524,7,,entfernen,entfernt,"to remove, to recede, to deviate, to desert (military)",
525,7,,umziehen,umgezogen,"to change clothes (refl.), to move house",
526,8,,verlieben,verliebt,to fall in love (refl.),
527,8,,aufstehen,aufgestanden,"to get up, to be open (e.g. a window, door)",
528,8,,anziehen,angezogen,"to get dressed, to put on, to dress someone, to attract, to pull",
529,8,,ausziehen,ausgezogen,"to take something off, to undress, to pull out, to move out",
530,8,,verdienen,verdient,to earn,
531,8,,putzen,geputzt,"to clean, to rub",
532,8,,einschlafen,eingeschlafen,to fall asleep,
533,8,,aufräumen,aufgeräumt,"to tidy up, to clean up",
534,8,,rasieren,rasiert,to shave (refl.),
535,8,,kämmen,gekämmt,to comb,
536,8,,spülen,,"to rinse, to flush toilets",
537,8,,fernsehen,ferngesehen,to watch TV,
538,8,,einkaufen,,to shop,
539,8,,frühstücken,gefrühstückt,to have breakfast,
540,8,,richten,gerichtet,"to direct, to judge, to be directed (""auf"" towards, ""gegen"" at)",
541,8,,verursachen,verursacht,to cause,
542,8,,entstehen,entstanden,"to arise, to emerge, to develop",
543,8,,schlagen,geschlagen,"to hit, to defeat, to beat (cooking)",
544,8,,aufwachsen,aufgewachsen,"to grow up, to be raised",
545,8,,zunehmen,zugenommen,"to gain weight, to increase",
546,8,,lohnen,gelohnt,"to be worthwhile, to pay off",
547,8,,messen,gemessen,"to measure, to gauge",
548,8,,pflanzen,gepflanzt,to plant,
549,8,,scheiden,geschieden,"to separate, to divorce",
550,8,,schmerzen,geschmerzt,"to hurt, to ache",
551,8,,entsprechen,entsprochen,"to correspond, to comply",
552,8,,aufnehmen,aufgenommen,"to pick up, to receive, to take in, to record, to absorb",
553,8,,mitmachen,mitgemacht,"to join in, to take part",
554,8,,wecken,geweckt,"to wake, to wake up",
555,8,,fliehen,geflohen,"to flee, to diverge",
556,8,,sinken,gesunken,"to sink, to drop",
557,8,,abnehmen,abgenommen,"to decrease, to lose weight, to accept something, to pick up (of telephones)",
558,8,,vereinbaren,vereinbart,"to agree, to arrange",
559,8,,bewerten,bewertet,"to evaluate (subjectively), to assess, to rate, to judge",
560,8,,stammen,gestammt,"to descend, originate, be derived",
561,8,,retten,gerettet,"to save, to rescue",
562,8,,gebären,geboren,to give birth,
563,8,,füttern,gefüttert,to feed (an animal),
564,8,,stossen,gestossen,"to push, to thurst, to shove",
565,8,,vermeiden,vermieden,to avoid (+ nouns or verbs),
566,8,,hervorheben,hervorgehoben,"to point out, to emphasize",
567,8,,gelten,gegolten,"to be valid, to be effective, to be worth",
568,8,,erfüllen,erfüllt,"to fill (with something), to fulfill, to come true",
569,8,,lindern,gelindert,"to alleviate, to relieve",
570,8,,entziehen,entzogen,"to withdraw, deprive",
571,8,,gewöhnen,gewöhnt,to accustom oneself to something (refl.),
572,8,,ausfallen,ausgefallen,to stand out,
573,8,,hinterlassen,hinterlassen,"to leave, to leave behind, to bequeath",
574,8,,leiden,gelitten,"to bear, to endure, to suffer",
575,8,,wetten,gewettet,to bet,
576,8,,auswählen,ausgewählt,"to select, to choose",
577,8,,befördern,befördert,to transport,
578,8,,verzichten,verzichtet,"to renounce, to forgo, to do without, to waive",
579,8,,beurteilen,beurteilt,to judge,
580,8,,verwandeln,verwandelt,"to transform, to metamorphose, to turn something into something",
581,8,,treten,getreten,"to step, to read, to kick (a ball)",
582,8,,verhindern,verhindert,"to prevent, to inhibit",
583,8,,hetzen,gehetzt,"to rush, to hurry",
584,8,,bewältigen,bewältigt,"to cope with, to get over, to overcome, to manage",
585,8,,ablenken,abgelenkt,"to distract, to divert, to steer away",
586,8,,meiden,gemieden,to avoid (+ nouns only),
587,8,,vorgeben,vorgegeben,to pretend,
588,8,,hinweisen,hingewiesen,"to indicate, to point out",
589,8,,verschweigen,verschwiegen,to conceal,
590,8,,decken,gedeckt,"to cover, to meet",
591,8,,geraten,geraten,"to get into, to turn out, succeed, to thrive",
592,8,,veröffentlichen,veröffentlicht,"to publish, to release",
593,8,,ersetzen,ersetzt,"to replace, to substitute",
594,8,,anbieten,angeboten,"to offer, to provide",
595,8,,erscheinen,erschienen,"to appear, to seem",
596,8,,schiessen,geschossen,to shoot,
597,8,,verraten,verraten,"to betray, to reveal",
598,8,,erreichen,erreicht,to reach,
599,8,,starten,gestartet,"to start (car, airplane, etc), to start a competition",
600,8,,akzeptieren,akzeptiert,to accept,
