Nr,level,german,english,answer,question,type
202,8,"Er hat das teure Auto nicht gekauft, stattdessen hat er sich für ein günstigeres Modell entschieden.","He didn’t buy the expensive car; instead, he chose a cheaper model.",stattdessen,"Er hat das teure Auto nicht gekauft, _____ hat er sich für ein günstigeres Modell entschieden.",
203,8,"Sie wollte kochen, stattdessen hat sie Essen bestellt.","She wanted to cook; instead, she ordered food.",stattdessen,"Sie wollte kochen, _____ hat sie Essen bestellt.",
204,8,"Wir wollten spazieren gehen, aber es hat geregnet; stattdessen haben wir ein Café besucht.","We wanted to go for a walk, but it rained; instead, we visited a café.",stattdessen,"Wir wollten spazieren gehen, aber es hat geregnet; _____ haben wir ein Café besucht.",
205,8,"Er hatte keine Lust zu lernen, stattdessen hat er Videospiele gespielt.","He didn’t feel like studying; instead, he played video games.",stattdessen,"Er hatte keine Lust zu lernen, _____ hat er Videospiele gespielt.",
206,8,"Er hat nicht für die Prüfung gelernt, folglich hat er sie nicht bestanden.","He didn’t study for the exam; consequently, he didn’t pass it.",folglich,"Er hat nicht für die Prüfung gelernt, _____ hat er sie nicht bestanden.",
207,8,"Es gab einen Unfall auf der Autobahn, folglich hatten wir eine lange Verspätung.","There was an accident on the highway; consequently, we had a long delay.",folglich,"Es gab einen Unfall auf der Autobahn, _____ hatten wir eine lange Verspätung.",
208,8,"Sie hat jahrelang in Frankreich gelebt, folglich spricht sie fließend Französisch.","She has lived in France for years; consequently, she speaks fluent French.",folglich,"Sie hat jahrelang in Frankreich gelebt, _____ spricht sie fließend Französisch.",
209,8,"Er war krank, folglich konnte er nicht zur Arbeit gehen.","He was sick; therefore, he couldn’t go to work.",folglich,"Er war krank, _____ konnte er nicht zur Arbeit gehen.",
210,8,"Das Produkt war fehlerhaft, folglich mussten wir es zurücksenden.","The product was defective; consequently, we had to return it.",folglich,"Das Produkt war fehlerhaft, _____ mussten wir es zurücksenden.",
211,8,"Immer wenn ich dieses Lied höre, denke ich an meine Kindheit.","Whenever I hear this song, I think of my childhood.",Immer wenn,"_____ ich dieses Lied höre, denke ich an meine Kindheit.",
212,8,"Er ist glücklich, immer wenn er seine Freunde trifft.",He is happy whenever he meets his friends.,immer wenn,"Er ist glücklich, _____ er seine Freunde trifft.",
213,8,"Immer wenn es regnet, nehme ich meinen Regenschirm mit.","Whenever it rains, I take my umbrella with me.",Immer wenn,"_____ es regnet, nehme ich meinen Regenschirm mit.",
214,8,"Wir gehen spazieren, immer wenn das Wetter schön ist.",We go for a walk whenever the weather is nice.,immer wenn,"Wir gehen spazieren, _____ das Wetter schön ist.",
215,8,"Immer wenn sie nervös ist, spricht sie besonders schnell.","Whenever she is nervous, she speaks particularly fast.",Immer wenn,"_____ sie nervös ist, spricht sie besonders schnell.",
216,8,"Sobald ich zu Hause bin, rufe ich dich an.","As soon as I get home, I will call you.",Sobald,"_____ ich zu Hause bin, rufe ich dich an.",
217,8,"Er wird mit dem Projekt beginnen, sobald er alle Informationen hat.",He will start the project as soon as he has all the information.,sobald,"Er wird mit dem Projekt beginnen, _____ er alle Informationen hat.",
218,8,"Sobald das Wetter besser wird, machen wir einen Ausflug.","As soon as the weather gets better, we will go on a trip.",Sobald,"_____ das Wetter besser wird, machen wir einen Ausflug.",
219,8,"Ich werde dich besuchen, sobald ich Zeit habe.",I will visit you as soon as I have time.,sobald,"Ich werde dich besuchen, _____ ich Zeit habe.",
220,8,"Sobald sie die E-Mail gelesen hat, wird sie antworten.","As soon as she has read the email, she will reply.",Sobald,"_____ sie die E-Mail gelesen hat, wird sie antworten.",
221,8,"Er liebt Abenteuerreisen, wohingegen seine Frau lieber am Strand entspannt.","He loves adventure travel, whereas his wife prefers relaxing on the beach.",wohingegen,"Er liebt Abenteuerreisen, _____ seine Frau lieber am Strand entspannt.",
222,8,"Das eine Hotel war sehr teuer, wohingegen das andere viel günstiger war.","One hotel was very expensive, whereas the other one was much cheaper.",wohingegen,"Das eine Hotel war sehr teuer, _____ das andere viel günstiger war.",
223,8,"Ich mag moderne Kunst, wohingegen mein Bruder klassische Malerei bevorzugt.","I like modern art, whereas my brother prefers classical painting.",wohingegen,"Ich mag moderne Kunst, _____ mein Bruder klassische Malerei bevorzugt.",
224,8,"Sie arbeitet gerne im Team, wohingegen er lieber alleine arbeitet.","She enjoys working in a team, whereas he prefers to work alone.",wohingegen,"Sie arbeitet gerne im Team, _____ er lieber alleine arbeitet.",
225,8,"Ich bin gerne aktiv im Urlaub, wohingegen meine Freunde nur entspannen wollen.","I like to be active on vacation, whereas my friends just want to relax.",wohingegen,"Ich bin gerne aktiv im Urlaub, _____ meine Freunde nur entspannen wollen.",
226,8,"Ich trinke keinen Kaffee, sondern Tee.","I don’t drink coffee, but rather tea.",sondern,"Ich trinke keinen Kaffee, _____ Tee.",
227,8,"Er ist nicht müde, sondern einfach nur gelangweilt.","He is not tired, but rather just bored.",sondern,"Er ist nicht müde, _____ einfach nur gelangweilt.",
228,8,"Wir haben nicht den Bus genommen, sondern sind zu Fuß gegangen.","We didn’t take the bus, but rather walked.",sondern,"Wir haben nicht den Bus genommen, _____ sind zu Fuß gegangen.",
229,8,"Sie spricht nicht nur Deutsch, sondern auch Französisch.","She doesn’t only speak German, but also French.",sondern,"Sie spricht nicht nur Deutsch, _____ auch Französisch.",
230,8,"Das Problem ist nicht kompliziert, sondern leicht zu lösen.","The problem is not complicated, but rather easy to solve.",sondern,"Das Problem ist nicht kompliziert, _____ leicht zu lösen.",
231,8,"Ich mag Tee sehr gerne, mein Bruder dagegen trinkt nur Kaffee.","I like tea very much; my brother, on the other hand, only drinks coffee.",dagegen,"Ich mag Tee sehr gerne, mein Bruder _____ trinkt nur Kaffee.",
232,8,"Sie liebt es, früh aufzustehen, ihr Mann dagegen schläft gerne lange.","She loves getting up early; her husband, on the other hand, likes to sleep in.",dagegen,"Sie liebt es, früh aufzustehen, ihr Mann _____ schläft gerne lange.",
233,8,"Das Wetter ist heute sonnig, gestern war es dagegen sehr regnerisch.","The weather is sunny today; yesterday, in contrast, it was very rainy.",dagegen,"Das Wetter ist heute sonnig, gestern war es _____ sehr regnerisch.",
234,8,"Er ist sehr sportlich, seine Schwester dagegen interessiert sich nicht für Sport.","He is very athletic; his sister, on the other hand, is not interested in sports.",dagegen,"Er ist sehr sportlich, seine Schwester _____ interessiert sich nicht für Sport.",
235,8,"Ich bevorzuge ruhige Orte, meine Freunde dagegen lieben große Partys.","I prefer quiet places; my friends, on the other hand, love big parties.",dagegen,"Ich bevorzuge ruhige Orte, meine Freunde _____ lieben große Partys.",
236,8,"Du kannst hier bleiben, solange du möchtest.",You can stay here as long as you want.,solange,"Du kannst hier bleiben, _____ du möchtest.",
237,8,"Solange das Wetter schön ist, gehen wir jeden Tag spazieren.","As long as the weather is nice, we go for a walk every day.",Solange,"_____ das Wetter schön ist, gehen wir jeden Tag spazieren.",
238,8,"Er wird helfen, solange er Zeit hat.",He will help as long as he has time.,solange,"Er wird helfen, _____ er Zeit hat.",
239,8,"Solange du fleißig lernst, wirst du die Prüfung bestehen.","As long as you study diligently, you will pass the exam.",Solange,"_____ du fleißig lernst, wirst du die Prüfung bestehen.",
240,8,"Wir bleiben draußen, solange es nicht regnet.",We will stay outside as long as it doesn’t rain.,solange,"Wir bleiben draußen, _____ es nicht regnet.",
241,8,Wir können entweder ins Kino gehen oder zu Hause einen Film schauen.,We can either go to the cinema or watch a movie at home.,entweder,Wir können _____ ins Kino gehen oder zu Hause einen Film schauen.,
242,8,"Entweder du kommst pünktlich, oder wir starten ohne dich.","Either you arrive on time, or we will start without you.",Entweder,"_____ du kommst pünktlich, oder wir starten ohne dich.",
243,8,Sie wird entweder in Berlin studieren oder nach Hamburg ziehen.,She will either study in Berlin or move to Hamburg.,entweder,Sie wird _____ in Berlin studieren oder nach Hamburg ziehen.,
244,8,"Entweder du lernst fleißig, oder du wirst die Prüfung nicht bestehen.","Either you study hard, or you won’t pass the exam.",Entweder,"_____ du lernst fleißig, oder du wirst die Prüfung nicht bestehen.",
245,8,Wir können entweder mit dem Auto fahren oder den Zug nehmen.,We can either go by car or take the train.,entweder,Wir können _____ mit dem Auto fahren oder den Zug nehmen.,
246,8,Ich trinke weder Kaffee noch Tee.,I drink neither coffee nor tea.,weder,Ich trinke _____ Kaffee noch Tee.,
247,8,Er mag weder klassische Musik noch Pop.,He likes neither classical music nor pop.,weder,Er mag _____ klassische Musik noch Pop.,
248,8,Sie spricht weder Spanisch noch Italienisch.,She speaks neither Spanish nor Italian.,weder,Sie spricht _____ Spanisch noch Italienisch.,
249,8,Das Hotel war weder sauber noch günstig.,The hotel was neither clean nor affordable.,weder,Das Hotel war _____ sauber noch günstig.,
250,8,Wir haben weder Zeit noch Geld für eine Reise.,We have neither time nor money for a trip.,weder,Wir haben _____ Zeit noch Geld für eine Reise.,
251,8,Er interessiert sich weder für Sport noch für Kunst.,He is interested in neither sports nor art.,noch,Er interessiert sich weder für Sport _____ für Kunst.,
252,8,Ich kann weder tanzen noch singen.,I can neither dance nor sing.,noch,Ich kann weder tanzen _____ singen.,
253,8,Die Aufgabe war weder einfach noch schnell erledigt.,The task was neither easy nor quickly done.,noch,Die Aufgabe war weder einfach _____ schnell erledigt.,
254,8,Weder mein Bruder noch meine Schwester konnten kommen.,Neither my brother nor my sister could come.,noch,Weder mein Bruder _____ meine Schwester konnten kommen.,
255,8,Dieses Buch ist weder spannend noch informativ.,This book is neither exciting nor informative.,noch,Dieses Buch ist weder spannend _____ informativ.,
256,8,Wir brauchen mehr Informationen; zu diesem Zweck werden wir eine Umfrage durchführen.,"We need more information; for this purpose, we will conduct a survey.",zu diesem Zweck,Wir brauchen mehr Informationen; _____ werden wir eine Umfrage durchführen.,
257,8,"Die Firma hat ein neues Team eingestellt, zu diesem Zweck wurde ein spezielles Budget bereitgestellt.","The company hired a new team; for this purpose, a special budget was allocated.",zu diesem Zweck,"Die Firma hat ein neues Team eingestellt, _____ wurde ein spezielles Budget bereitgestellt.",
258,8,"Zu diesem Zweck haben wir eine Präsentation vorbereitet, um alle Fragen zu klären.","For this purpose, we prepared a presentation to address all questions.",Zu diesem Zweck,"_____ haben wir eine Präsentation vorbereitet, um alle Fragen zu klären.",
259,8,"Er hat extra einen Kurs besucht, zu diesem Zweck hat er seine Abende frei gehalten.",He attended a course specifically for this purpose and kept his evenings free.,zu diesem Zweck,"Er hat extra einen Kurs besucht, _____ hat er seine Abende frei gehalten.",
260,8,"Zu diesem Zweck wurde ein ausführlicher Bericht erstellt, der alle Details enthält.","For this purpose, a detailed report was created that contains all the details.",Zu diesem Zweck,"_____ wurde ein ausführlicher Bericht erstellt, der alle Details enthält.",
261,8,Wir haben die Daten analysiert und auf diese Weise die Fehler gefunden.,We analyzed the data and found the errors in this way.,auf diese Weise,Wir haben die Daten analysiert und _____ die Fehler gefunden.,
262,8,"Auf diese Weise können wir sicherstellen, dass das Projekt erfolgreich abgeschlossen wird.","In this way, we can ensure that the project is successfully completed.",Auf diese Weise,"_____ können wir sicherstellen, dass das Projekt erfolgreich abgeschlossen wird.",
263,8,Er hat viel geübt und auf diese Weise seine Fähigkeiten verbessert.,He practiced a lot and improved his skills in this way.,auf diese Weise,Er hat viel geübt und _____ seine Fähigkeiten verbessert.,
264,8,Die Probleme wurden diskutiert und auf diese Weise gelöst.,The problems were discussed and solved in this way.,auf diese Weise,Die Probleme wurden diskutiert und _____ gelöst.,
265,8,"Auf diese Weise lernen die Schüler, selbstständig zu arbeiten.","In this way, the students learn to work independently.",Auf diese Weise,"_____ lernen die Schüler, selbstständig zu arbeiten.",
266,8,"Ich habe das Abendessen vorbereitet, währenddessen hat er den Tisch gedeckt.","I prepared dinner; meanwhile, he set the table.",währenddessen,"Ich habe das Abendessen vorbereitet, _____ hat er den Tisch gedeckt.",
267,8,"Sie war im Meeting, währenddessen habe ich die Präsentation fertiggestellt.","She was in the meeting; meanwhile, I finished the presentation.",währenddessen,"Sie war im Meeting, _____ habe ich die Präsentation fertiggestellt.",
268,8,"Das Auto wurde repariert, währenddessen haben wir einen Kaffee getrunken.","The car was being repaired; in the meantime, we had a coffee.",währenddessen,"Das Auto wurde repariert, _____ haben wir einen Kaffee getrunken.",
269,8,"Der Lehrer hat die Hausaufgaben erklärt, währenddessen haben die Schüler Notizen gemacht.","The teacher explained the homework; meanwhile, the students took notes.",währenddessen,"Der Lehrer hat die Hausaufgaben erklärt, _____ haben die Schüler Notizen gemacht.",
270,8,"Die Bauarbeiten gingen weiter, währenddessen blieben die Geschäfte geöffnet.","The construction work continued; meanwhile, the shops remained open.",währenddessen,"Die Bauarbeiten gingen weiter, _____ blieben die Geschäfte geöffnet.",
271,8,"Je mehr du lernst, desto besser wirst du die Sprache verstehen.","The more you study, the better you will understand the language.",Je,"_____ mehr du lernst, desto besser wirst du die Sprache verstehen.",
272,8,"Je früher wir losfahren, desto schneller kommen wir an.","The earlier we leave, the faster we will arrive.",Je,"_____ früher wir losfahren, desto schneller kommen wir an.",
273,8,"Je länger du wartest, desto schwieriger wird es, eine Entscheidung zu treffen.","The longer you wait, the harder it will be to make a decision.",Je,"_____ länger du wartest, desto schwieriger wird es, eine Entscheidung zu treffen.",
274,8,"Je mehr Geld du sparst, desto mehr kannst du dir später leisten.","The more money you save, the more you can afford later.",Je,"_____ mehr Geld du sparst, desto mehr kannst du dir später leisten.",
275,8,"Je öfter du übst, desto sicherer wirst du im Sprechen.","The more often you practice, the more confident you will become in speaking.",Je,"_____ öfter du übst, desto sicherer wirst du im Sprechen.",
276,8,"Je kälter es draußen ist, desto mehr ziehe ich warme Kleidung an.","The colder it is outside, the more warm clothing I wear.",desto,"Je kälter es draußen ist, _____ mehr ziehe ich warme Kleidung an.",
277,8,"Je gesünder du isst, desto besser fühlst du dich.","The healthier you eat, the better you feel.",desto,"Je gesünder du isst, _____ besser fühlst du dich.",
278,8,"Je mehr Erfahrung du hast, desto einfacher wird der Job.","The more experience you have, the easier the job will be.",desto,"Je mehr Erfahrung du hast, _____ einfacher wird der Job.",
279,8,"Je lauter die Musik ist, desto schlechter kann ich mich konzentrieren.","The louder the music is, the harder it is for me to concentrate.",desto,"Je lauter die Musik ist, _____ schlechter kann ich mich konzentrieren.",
280,8,"Je länger wir arbeiten, desto müder werden wir.","The longer we work, the more tired we become.",desto,"Je länger wir arbeiten, _____ müder werden wir.",
281,8,"Er hat seine Sprachkenntnisse dadurch verbessert, dass er jeden Tag Deutsch gesprochen hat.",He improved his language skills by speaking German every day.,dadurch,"Er hat seine Sprachkenntnisse _____ verbessert, dass er jeden Tag Deutsch gesprochen hat.",
282,8,"Das Unternehmen konnte Kosten dadurch senken, dass es auf erneuerbare Energien umgestellt hat.",The company was able to reduce costs by switching to renewable energy.,dadurch,"Das Unternehmen konnte Kosten _____ senken, dass es auf erneuerbare Energien umgestellt hat.",
283,8,"Die Umwelt wurde dadurch geschont, dass weniger Plastik verwendet wurde.",The environment was preserved by using less plastic.,dadurch,"Die Umwelt wurde _____ geschont, dass weniger Plastik verwendet wurde.",
284,8,"Sie hat die Prüfung dadurch bestanden, dass sie intensiv gelernt hat.",She passed the exam by studying intensively.,dadurch,"Sie hat die Prüfung _____ bestanden, dass sie intensiv gelernt hat.",
285,8,"Wir haben Zeit dadurch gespart, dass wir online eingekauft haben.",We saved time by shopping online.,dadurch,"Wir haben Zeit _____ gespart, dass wir online eingekauft haben.",
