Nr,level,question,answer,sentence,answer_2,sentence_2
224,6,"Dem Urlaub, _____ sie erzählt hat, war interessant.",von dem,"Dem Urlaub, von dem sie erzählt hat, war interessant.",,
225,6,"Der Party, _____ wir waren, war lustig.",auf der,"Der Party, auf der wir waren, war lustig.",,
226,6,"Das ist das Haus, _____ Dach rot ist.",dessen,"Das ist das Haus, dessen Dach rot ist.",,
227,6,"Die Firma, _____ Produkte bekannt sind, ist erfolgreich.",deren,"Die Firma, deren Produkte bekannt sind, ist erfolgreich.",,
228,6,"Der Mann, _____ Auto kaputt ist, ist traurig.",dessen,"Der Mann, dessen Auto kaputt ist, ist traurig.",,
229,6,"Die Frau, _____ Kinder spielen, ist glücklich.",deren,"Die Frau, deren Kinder spielen, ist glücklich.",,
230,6,"Das Buch, _____ Inhalt spannend ist, gefällt mir.",dessen,"Das Buch, dessen Inhalt spannend ist, gefällt mir.",,
231,6,"Der Tisch, _____ Beine wackeln, ist instabil.",dessen,"Der Tisch, dessen Beine wackeln, ist instabil.",,
232,6,"Die Tür, _____ Farbe blau ist, gefällt mir.",deren,"Die Tür, deren Farbe blau ist, gefällt mir.",,
233,6,"Das Fenster, _____ Scheibe sauber ist, ist neu.",dessen,"Das Fenster, dessen Scheibe sauber ist, ist neu.",,
234,6,"Der Computer, _____ Software aktuell ist, funktioniert gut.",dessen,"Der Computer, dessen Software aktuell ist, funktioniert gut.",,
235,6,"Die Reise, _____ Ziel Italien ist, ist teuer.",deren,"Die Reise, deren Ziel Italien ist, ist teuer.",,
236,6,"Der Urlaub, _____ Dauer zwei Wochen beträgt, ist lang.",dessen,"Der Urlaub, dessen Dauer zwei Wochen beträgt, ist lang.",,
237,6,"Das Hotel, _____ Zimmer modern sind, ist komfortabel.",dessen,"Das Hotel, dessen Zimmer modern sind, ist komfortabel.",,
238,6,"Die Stadt, _____ Einwohner freundlich sind, gefällt mir.",deren,"Die Stadt, deren Einwohner freundlich sind, gefällt mir.",,
239,6,"Das Land, _____ Landschaft schön ist, besuche ich gerne.",dessen,"Das Land, dessen Landschaft schön ist, besuche ich gerne.",,
240,6,"Die Musik, _____ Melodie eingängig ist, gefällt vielen.",deren,"Die Musik, deren Melodie eingängig ist, gefällt vielen.",,
241,6,"Der Sport, _____ Regeln kompliziert sind, ist schwer zu verstehen.",dessen,"Der Sport, dessen Regeln kompliziert sind, ist schwer zu verstehen.",,
242,6,"Die Arbeit, _____ Arbeitszeiten flexibel sind, ist attraktiv.",deren,"Die Arbeit, deren Arbeitszeiten flexibel sind, ist attraktiv.",,
243,6,"Das Wetter, _____ Vorhersage schlecht ist, stört mich.",dessen,"Das Wetter, dessen Vorhersage schlecht ist, stört mich.",,
244,6,"Die Ferien, _____ Beginn bald ist, freut mich.",deren,"Die Ferien, deren Beginn bald ist, freut mich.",,
245,6,"Das Geschenk, _____ Verpackung schön ist, gefällt mir.",dessen,"Das Geschenk, dessen Verpackung schön ist, gefällt mir.",,
246,6,"Die Party, _____ Musik gut war, hat mir gefallen.",deren,"Die Party, deren Musik gut war, hat mir gefallen.",,
247,7,"Das ist das Dorf, _____ ich geboren wurde.",wo,"Das ist das Dorf, wo ich geboren wurde.",in dem,"Das ist das Dorf, in dem ich geboren wurde."
248,7,"Das ist der Park, _____ die Kinder spielen.",wo,"Das ist der Park, wo die Kinder spielen.",in dem,"Das ist der Park, in dem die Kinder spielen."
249,7,"Die Stadt, _____ ich meinen Urlaub verbracht habe, war wunderschön.",wo,"Die Stadt, wo ich meinen Urlaub verbracht habe, war wunderschön.",in die,"Die Stadt, in die ich meinen Urlaub verbracht habe, war wunderschön."
250,7,"Das Café, _____ wir unseren ersten Kaffee getrunken haben, war gemütlich.",wo,"Das Café, wo wir unseren ersten Kaffee getrunken haben, war gemütlich.",in das,"Das Café, in das wir unseren ersten Kaffee getrunken haben, war gemütlich."
251,7,"Das Hotel, _____ wir übernachtet haben, hatte ein tolles Frühstück.",wo,"Das Hotel, wo wir übernachtet haben, hatte ein tolles Frühstück.",in dem,"Das Hotel, in dem wir übernachtet haben, hatte ein tolles Frühstück."
252,7,"Die Wohnung, _____ ich seit drei Jahren wohne, ist sehr ruhig.",wo,"Die Wohnung, wo ich seit drei Jahren wohne, ist sehr ruhig.",in der,"Die Wohnung, in der ich seit drei Jahren wohne, ist sehr ruhig."
253,7,"Die Straße, _____ Name der berühmte Schriftsteller erwähnt wird, ist in der Altstadt.",wo,"Die Straße, wo der Name des berühmten Schriftstellers erwähnt wird, ist in der Altstadt.",in deren,"Die Straße, in deren Name der berühmte Schriftsteller erwähnt wird, ist in der Altstadt."
254,7,"Der Raum, _____ Decke repariert werden muss, ist geschlossen.",wo,"Der Raum, wo die Decke repariert werden muss, ist geschlossen.",in dessen,"Der Raum, in dessen Decke repariert werden muss, ist geschlossen."
255,7,"Das ist das Dorf, _____ ich gezogen bin.",wohin,"Das ist das Dorf, wohin ich gezogen bin.",in das,"Das ist das Dorf, in das ich gezogen bin."
256,7,"Das ist der Park, _____ die Kinder laufen.",wohin,"Das ist der Park, wohin die Kinder laufen.",in den,"Das ist der Park, in den die Kinder laufen."
257,7,"Die Stadt, _____ ich meinen Freund eingeladen habe, ist wunderschön.",wohin,"Die Stadt, wohin ich meinen Freund eingeladen habe, ist wunderschön.",in die,"Die Stadt, in die ich meinen Freund eingeladen habe, ist wunderschön."
258,7,"Das Café, _____ wir später gehen wollen, liegt in der Altstadt.",wohin,"Das Café, wohin wir später gehen wollen, liegt in der Altstadt.",in das,"Das Café, in das wir später gehen wollen, liegt in der Altstadt."
259,7,"Das Hotel, _____ wir unsere Koffer gebracht haben, ist sehr luxuriös.",wohin,"Das Hotel, wohin wir unsere Koffer gebracht haben, ist sehr luxuriös.",in das,"Das Hotel, in das wir unsere Koffer gebracht haben, ist sehr luxuriös."
260,7,"Die Wohnung, _____ ich meine Bücher gebracht habe, ist neu renoviert.",wohin,"Die Wohnung, wohin ich meine Bücher gebracht habe, ist neu renoviert.",in die,"Die Wohnung, in die ich meine Bücher gebracht habe, ist neu renoviert."
261,7,"Die Straße, _____ die Besucher kommen, ist sehr belebt.",wohin,"Die Straße, wohin die Besucher kommen, ist sehr belebt.",in die,"Die Straße, in die die Besucher kommen, ist sehr belebt."
262,7,"Der Raum, _____ die Möbel geliefert werden, ist leer.",wohin,"Der Raum, wohin die Möbel geliefert werden, ist leer.",in den,"Der Raum, in den die Möbel geliefert werden, ist leer."
263,7,"Das ist das Dorf, _____ ich komme.",woher,"Das ist das Dorf, woher ich komme.",aus dem,"Das ist das Dorf, aus dem ich komme."
264,7,"Das ist der Park, _____ die Geräusche kommen.",woher,"Das ist der Park, woher die Geräusche kommen.",aus dem,"Das ist der Park, aus dem die Geräusche kommen."
265,7,"Die Stadt, _____ ich meinen Freund kenne, ist weit entfernt.",woher,"Die Stadt, woher ich meinen Freund kenne, ist weit entfernt.",aus der,"Die Stadt, aus der ich meinen Freund kenne, ist weit entfernt."
266,7,"Das Café, _____ wir unseren Kaffee bestellen, ist sehr beliebt.",woher,"Das Café, woher wir unseren Kaffee bestellen, ist sehr beliebt.",aus dem,"Das Café, aus dem wir unseren Kaffee bestellen, ist sehr beliebt."
267,7,"Das Hotel, _____ die Gäste immer zufrieden abreisen, ist sehr renommiert.",woher,"Das Hotel, woher die Gäste immer zufrieden abreisen, ist sehr renommiert.",aus dem,"Das Hotel, aus dem die Gäste immer zufrieden abreisen, ist sehr renommiert."
268,7,"Die Wohnung, _____ ich ausgezogen bin, war zu klein.",woher,"Die Wohnung, woher ich ausgezogen bin, war zu klein.",aus der,"Die Wohnung, aus der ich ausgezogen bin, war zu klein."
269,7,"Die Straße, _____ die alten Geschichten stammen, ist sehr bekannt.",woher,"Die Straße, woher die alten Geschichten stammen, ist sehr bekannt.",aus der,"Die Straße, aus der die alten Geschichten stammen, ist sehr bekannt."
270,7,"Der Raum, _____ die seltsamen Geräusche kommen, ist verschlossen.",woher,"Der Raum, woher die seltsamen Geräusche kommen, ist verschlossen.",aus dem,"Der Raum, aus dem die seltsamen Geräusche kommen, ist verschlossen."
271,7,"Paris, _____ man den Eiffelturm besichtigen kann, ist eine wunderschöne Stadt.",wo,"Paris, wo man den Eiffelturm besichtigen kann, ist eine wunderschöne Stadt.",,
272,7,"Berlin, _____ die Geschichte der Mauer lebendig bleibt, ist die Hauptstadt Deutschlands.",wo,"Berlin, wo die Geschichte der Mauer lebendig bleibt, ist die Hauptstadt Deutschlands.",,
273,7,"Deutschland, _____ viele Weihnachtsmärkte stattfinden, ist im Winter sehr beliebt.",wo,"Deutschland, wo viele Weihnachtsmärkte stattfinden, ist im Winter sehr beliebt.",,
274,7,"Italien, _____ die beste Pizza gemacht wird, hat eine reiche kulinarische Tradition.",wo,"Italien, wo die beste Pizza gemacht wird, hat eine reiche kulinarische Tradition.",,
275,7,"Frankreich, _____ viele Touristen im Sommer reisen, ist ein beliebtes Urlaubsziel.",wohin,"Frankreich, wohin viele Touristen im Sommer reisen, ist ein beliebtes Urlaubsziel.",,
276,7,"Spanien, _____ wir diesen Winter fahren wollen, hat eine angenehme Atmosphäre.",wohin,"Spanien, wohin wir diesen Winter fahren wollen, hat eine angenehme Atmosphäre.",,
277,7,"München, _____ viele Menschen für das Oktoberfest kommen, ist bekannt für Bier und Brezeln.",wohin,"München, wohin viele Menschen für das Oktoberfest kommen, ist bekannt für Bier und Brezeln.",,
278,7,"Österreich, _____ wir jedes Jahr zum Skifahren fahren, bietet tolle Pisten.",wohin,"Österreich, wohin wir jedes Jahr zum Skifahren fahren, bietet tolle Pisten.",,
279,7,"Rom, _____ viele berühmte Künstler stammen, ist ein Zentrum der Kunstgeschichte.",woher,"Rom, woher viele berühmte Künstler stammen, ist ein Zentrum der Kunstgeschichte.",,
280,7,"Japan, _____ die besten Sushi-Rezepte kommen, ist weltweit für seine Küche bekannt.",woher,"Japan, woher die besten Sushi-Rezepte kommen, ist weltweit für seine Küche bekannt.",,
281,7,"Wien, _____ die klassischen Walzer ihren Ursprung haben, ist die Hauptstadt der Musik.",woher,"Wien, woher die klassischen Walzer ihren Ursprung haben, ist die Hauptstadt der Musik.",,
282,7,"Indien, _____ der beste Tee importiert wird, ist ein Land mit langer Teetradition.",woher,"Indien, woher der beste Tee importiert wird, ist ein Land mit langer Teetradition.",,
