Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,level,type
315,17,,gekümmert/sich gekümmert,kümmern,"to take care (refl.), to trouble, to concern","prendre soin (réfl.), être troublé par, se préoccuper","kümmern, kümmerte, gekümmert","kümmern, kümmerte, gekümmert",B1,all
316,17,,gedrückt,drücken,"to press, to push","appuyer, pousser","drücken, drückte, gedrückt","drücken, drückte, gedrückt",B1,all
317,17,,geputzt,putzen,"to clean, to rub","nettoyer, frotter","putzen, putzte, geputzt","putzen, putzte, geputzt",B1,all
318,17,,eingekauft,einkaufen,to shop,"faire les courses, faire du shopping","einkaufen, kaufte ein, eingekauft","einkaufen, kaufte ein, eingekauft",B1,all
319,17,,bestimmt,bestimmen,"to determine, to assign, to decide, to ascertain","déterminer, fixer, décider, identifier, assigner","bestimmen, bestimmte, bestimmt","bestimmen, bestimmte, bestimmt",B1,all
320,17,,gelöst,lösen,"to loosen, to solve, to separate, to remove","desserrer, résoudre, séparer, enlever","lösen, löste, gelöst","lösen, löste, gelöst",B1,all
321,17,,unterstützt,unterstützen,"to support, to provide help","soutenir, apporter de l'aide","unterstützen, unterstützte, unterstützt","unterstützen, unterstützte, unterstützt",B1,all
322,17,,getrieben,treiben,"to practice (sport), to propel, to put forth, to urge (figuratively), to fuck, to float, to sprout, to get up to","pratiquer (sport), propulser, mettre en avant, pousser (au sens figuré), baiser, flotter, germer, se lever","treiben, trieb, getrieben","treiben, trieb, getrieben",B1,all
323,17,,getanzt,tanzen,to dance,danser,"tanzen, tanzte, getanzt","tanzen, tanzte, getanzt",B1,all
324,17,,studiert,studieren,"to study, to major in (a subject)","étudier, se spécialiser dans (une matière)","studieren, studierte, studiert","studieren, studierte, studiert",B1,all
325,17,,geschmeckt,schmecken,"to taste, to be tasty, to enjoy (with Dat.)","être savoureux, apprécier (avec Dat.)","schmecken, schmeckte, geschmeckt","schmecken, schmeckte, geschmeckt",B1,all
326,17,,gestritten,streiten,"to argue, to fight, to quarrel","se disputer, se battre, se quereller","streiten, stritt, gestritten","streiten, stritt, gestritten",B1,all
327,17,,entwickelt,entwickeln,"to develop, to evolve, to create","développer, évoluer, créer","entwickeln, entwickelte, entwickelt","entwickeln, entwickelte, entwickelt",B1,all
328,17,,beendet,beenden,"to finish, to end, to complete","finir, terminer, achever","beenden, beendete, beendet","beenden, beendete, beendet",B1,all
329,17,,gewechselt,wechseln,"to change, to switch, to exchange","changer, échanger","wechseln, wechselte, gewechselt","wechseln, wechselte, gewechselt",B1,all
330,17,,erhalten,erhalten,"to receive, to get, to obtain, to preserve","recevoir, obtenir, acquérir, préserver","erhalten, erhielt, erhalten","erhalten, erhielt, erhalten",B1,all
331,17,,erlaubt,erlauben,"to allow, to permit","permettre, donner l'autorisation","erlauben, erlaubte, erlaubt","erlauben, erlaubte, erlaubt",B1,all
332,17,,verdient,verdienen,"to earn, to deserve","gagner, mériter","verdienen, verdiente, verdient","verdienen, verdiente, verdient",B1,all
333,17,,gerufen,rufen,"to call, to shout, to summon","appeler, crier, convoquer","rufen, rief, gerufen","rufen, rief, gerufen",B1,all
334,18,,geflogen,fliegen,"to fly, to travel by plane","voler, voyager en avion","fliegen, flog, geflogen","fliegen, flog, geflogen",B1,all
335,18,,getestet,testen,"to test, to examine","tester, examiner","testen, testete, getestet","testen, testete, getestet",B1,all
336,18,,kontrolliert,kontrollieren,"to control, to check","contrôler, vérifier","kontrollieren, kontrollierte, kontrolliert","kontrollieren, kontrollierte, kontrolliert",B1,all
337,18,,probiert,probieren,"to try, to taste, to sample, to probe","essayer, goûter, échantillonner, sonder","probieren, probierte, probiert","probieren, probierte, probiert",B1,all
338,18,,kennengelernt,kennenlernen,"to meet someone, to get to know someone","rencontrer quelqu'un, apprendre à connaître quelqu'un","kennenlernen, lernte kennen, kennengelernt","kennenlernen, lernte kennen, kennengelernt",B1,all
339,18,,gestohlen,stehlen,to steal,voler,"stehlen, stahl, gestohlen","stehlen, stahl, gestohlen",B1,all
340,18,,ersetzt,ersetzen,"to replace, to substitute, to compensate for","remplacer, substituer, compenser","ersetzen, ersetzte, ersetzt","ersetzen, ersetzte, ersetzt",B1,all
341,18,,gelitten,leiden,"to suffer, to endure, to bear","souffrir, endurer, supporter","leiden, litt, gelitten","leiden, litt, gelitten",B1,all
342,18,,diskutiert,diskutieren,"to discuss, to debate","discuter, débattre","diskutieren, diskutierte, diskutiert","diskutieren, diskutierte, diskutiert",B1,all
343,18,,vorgeschlagen,vorschlagen,"to suggest, to propose","suggérer, proposer","vorschlagen, schlug vor, vorgeschlagen","vorschlagen, schlug vor, vorgeschlagen",B1,all
344,18,,teilgenommen,teilnehmen,"to participate, to take part, to partake","participer, prendre part","teilnehmen, nahm teil, teilgenommen","teilnehmen, nahm teil, teilgenommen",B1,all
345,18,,überprüft,überprüfen,"to check, to examine, to verify","vérifier, examiner","überprüfen, überprüfte, überprüft","überprüfen, überprüfte, überprüft",B1,all
346,18,,beraten,beraten,"to advise, to consult, to discuss","conseiller, consulter, discuter","beraten, beriet, beraten","beraten, beriet, beraten",B1,all
347,18,,beworben/sich beworben,bewerben,"to apply (for a job, position)","postuler (à un emploi, un poste)","bewerben, bewarb, beworben","bewerben, bewarb, beworben",B1,all
348,18,,korrigiert,korrigieren,"to correct, to fix, to revise","corriger, réparer, réviser","korrigieren, korrigierte, korrigiert","korrigieren, korrigierte, korrigiert",B1,all
349,18,,angeboten,anbieten,"to offer, to provide, to propose","offrir, fournir, proposer","anbieten, bot an, angeboten","anbieten, bot an, angeboten",B1,all
350,18,,mitgenommen,mitnehmen,"to take along, to take with",emporter,"mitnehmen, nahm mit, mitgenommen","mitnehmen, nahm mit, mitgenommen",B1,all
351,18,,mitgebracht,mitbringen,"to bring along, to bring with",apporter,"mitbringen, brachte mit, mitgebracht","mitbringen, brachte mit, mitgebracht",B1,all
352,18,,gesammelt,sammeln,"to collect, to gather, to accumulate","recueillir, rassembler, accumuler","sammeln, sammelte, gesammelt","sammeln, sammelte, gesammelt",B1,all
353,18,,aufgepasst,aufpassen,"to pay attention, to watch out, to take care","faire attention, prendre soin","aufpassen, passte auf, aufgepasst","aufpassen, passte auf, aufgepasst",B1,all
354,19,,gehasst,hassen,"to hate, to detest","haïr, détester","hassen, hasste, gehasst","hassen, hasste, gehasst",B1,all
355,19,,geärgert,ärgern,"to annoy, to irritate, to anger","irriter, mettre en colère","ärgern, ärgerte, geärgert","ärgern, ärgerte, geärgert",B1,all
356,19,,gehoben,heben,"to lift, to raise","soulever, élever","heben, hob, gehoben","heben, hob, gehoben",B1,all
357,19,,abgeholt,abholen,"to pick up, to collect","ramasser, collecter","abholen, holte ab, abgeholt","abholen, holte ab, abgeholt",B1,all
358,19,,gewirkt,wirken,"to have an effect, to work","avoir un effet, functionner","wirken, wirkte, gewirkt","wirken, wirkte, gewirkt",B1,all
359,19,,verletzt,verletzen,"to injure, to hurt, to violate","blesser, faire du mal, être violent","verletzen, verletzte, verletzt","verletzen, verletzte, verletzt",B1,all
360,19,,zugestimmt,zustimmen,"to agree, to consent, to approve","être d'accord, consentir, approuver","zustimmen, stimmte zu, zugestimmt","zustimmen, stimmte zu, zugestimmt",B1,all
361,19,,getrennt,trennen,"to separate, to divide, to split","séparer, diviser","trennen, trennte, getrennt","trennen, trennte, getrennt",B1,all
362,19,,gegriffen,greifen,"to grab, to grasp, to seize","saisir, s'emparer","greifen, griff, gegriffen","greifen, griff, gegriffen",B1,all
363,19,,entfernt,entfernen,"to remove, to eliminate","supprimer, éliminer","entfernen, entfernte, entfernt","entfernen, entfernte, entfernt",B1,all
364,19,,sich verliebt,sich verlieben,to fall in love,tomber amoureux,"sich verlieben, verliebte sich, sich verliebt","sich verlieben, verliebte sich, sich verliebt",B1,all
365,19,,aufgeräumt,aufräumen,"to tidy up, to clean up, to clear","ranger, nettoyer, débarrasser","aufräumen, räumte auf, aufgeräumt","aufräumen, räumte auf, aufgeräumt",B1,all
366,19,,beschrieben,beschreiben,"to describe, to depict","décrire, représenter","beschreiben, beschrieb, beschrieben","beschreiben, beschrieb, beschrieben",B1,all
367,19,,verbunden,verbinden,"to connect, to link, to join, to bandage","connecter, lier, joindre, bander","verbinden, verband, verbunden","verbinden, verband, verbunden",B1,all
368,19,,abgehangen,abhängen,"to depend on, to hang out (coll.)","dépendre de, fréquenter (coll.)","abhängen, hing ab, abgehangen","abhängen, hing ab, abgehangen",B1,all
369,19,,telefoniert,telefonieren,to talk on the phone,parler au téléphone,"telefonieren, telefonierte, telefoniert","telefonieren, telefonierte, telefoniert",B1,all
370,19,,zurückgegeben,zurückgeben,"to return, to give back, to answer back","rendre, répondre","zurückgeben, gab zurück, zurückgegeben","zurückgeben, gab zurück, zurückgegeben",B1,all
371,19,,mitgekommen,mitkommen,"to come along, to keep up","venir, suivre","mitkommen, kam mit, mitgekommen","mitkommen, kam mit, mitgekommen",B1,all
372,19,,gerannt,rennen,"to run, to race, to sprint","courir, faire la course, sprinter","rennen, rannte, gerannt","rennen, rannte, gerannt",B1,all
373,19,,ausgeruht/sich ausgeruht,ausruhen,"to rest, to relax","se reposer, se détendre","ausruhen, ruhte aus, ausgeruht","ausruhen, ruhte aus, ausgeruht",B1,all
374,20,,entspannt/sich entspannt,entspannen,"to relax, to unwind","se détendre, se relaxer","entspannen, entspannte, entspannt","entspannen, entspannte, entspannt",B1,all
375,20,,verbracht,verbringen,"to spend (time), to pass",passer (du temps),"verbringen, verbrachte, verbracht","verbringen, verbrachte, verbracht",B1,all
376,20,,vorgehabt,vorhaben,"to intend, to plan, to be up to","avoir l'intention de, planifier, être à la hauteur","vorhaben, hatte vor, vorgehabt","vorhaben, hatte vor, vorgehabt",B1,all
377,20,,erlebt,erleben,"to experience, to live through","expérimenter, vivre","erleben, erlebte, erlebt","erleben, erlebte, erlebt",B1,all
378,20,,gemalt,malen,"to paint, to draw","peindre, dessiner","malen, malte, gemalt","malen, malte, gemalt",B1,all
379,20,,sich erholt,sich erholen,"to recover, to recuperate","récupérer, se rétablir","sich erholen, erholte sich, sich erholt","sich erholen, erholte sich, sich erholt",B1,all
380,20,,erfahren,erfahren,"to learn, to find out, to experience","apprendre, découvrir, expérimenter","erfahren, erfuhr, erfahren","erfahren, erfuhr, erfahren",B1,all
381,20,,besichtigt,besichtigen,"to visit, to tour, to inspect","visiter, faire un tour, inspecter","besichtigen, besichtigte, besichtigt","besichtigen, besichtigte, besichtigt",B1,all
382,20,,spaziert,spazieren,"to stroll, to walk leisurely","flâner, marcher tranquillement","spazieren, spazierte, spaziert","spazieren, spazierte, spaziert",B1,all
383,20,,gewandert,wandern,"to hike, to wander, to migrate","faire de la randonnée, errer, migrer","wandern, wanderte, gewandert","wandern, wanderte, gewandert",B1,all
384,20,,trainiert,trainieren,"to train, to practice, to coach","entraîner, pratiquer, coacher","trainieren, trainierte, trainiert","trainieren, trainierte, trainiert",B1,all
385,20,,gebucht,buchen,"to book, to reserve",réserver,"buchen, buchte, gebucht","buchen, buchte, gebucht",B1,all
386,20,,überrascht,überraschen,to surprise,surprendre,"überraschen, überraschte, überrascht","überraschen, überraschte, überrascht",B1,all
387,20,,verboten,verbieten,"to forbid, to prohibit","interdire, prohiber","verbieten, verbot, verboten","verbieten, verbot, verboten",B1,all
388,20,,unterschrieben,unterschreiben,"to sign, to subscribe, to unterwrite","signer, souscrire","unterschreiben, unterschrieb, unterschrieben","unterschreiben, unterschrieb, unterschrieben",B1,all
389,20,,empfangen,empfangen,"to receive, to welcome, to greet","recevoir, accueillir, saluer","empfangen, empfing, empfangen","empfangen, empfing, empfangen",B1,all
390,20,,bestellt,bestellen,"to order, to reserve","commander, réserver","bestellen, bestellte, bestellt","bestellen, bestellte, bestellt",B1,all
391,20,,geliefert,liefern,"to deliver, to supply","livrer, approvisionner","liefern, lieferte, geliefert","liefern, lieferte, geliefert",B1,all
392,20,,vertraut,vertrauen,to trust,faire confiance,"vertrauen, vertraute, vertraut","vertrauen, vertraute, vertraut",B1,all
393,20,,geraten,raten,"to advise, to recommend, to guess","conseiller, recommander, deviner","raten, riet, geraten","raten, riet, geraten",B1,all
394,21,,geschnitten,schneiden,"to cut, to slice","couper, trancher","schneiden, schnitt, geschnitten","schneiden, schnitt, geschnitten",B1,all
395,21,,gespart,sparen,"to save, to conserve","sauver, conserver","sparen, sparte, gespart","sparen, sparte, gespart",B1,all
396,21,,gebraten,braten,"to fry, to roast, to sauté","frire, rôtir, sauter","braten, briet, gebraten","braten, briet, gebraten",B1,all
397,21,,gebackt/gebacken,backen,to bake,cuire (du pain ou des pâtisseries),"backen, backte, gebackt","backen, backte, gebackt",B1,all
398,21,,gesendet/gesandt,senden,"to send, to broadcast","envoyer, diffuser","senden, sendete, gesendet","senden, sendete, gesendet",B1,all
399,21,,reserviert,reservieren,"to reserve, to book",réserver,"reservieren, reservierte, reserviert","reservieren, reservierte, reserviert",B1,all
400,21,,aufgenommen,aufnehmen,"to record, to take in, to absorb, to include","enregistrer, assimiler, absorber, inclure","aufnehmen, nahm auf, aufgenommen","aufnehmen, nahm auf, aufgenommen",B1,all
401,21,,verbessert,verbessern,"to improve, to enhance, to correct","améliorer, renforcer, corriger","verbessern, verbesserte, verbessert","verbessern, verbesserte, verbessert",B1,all
402,21,,gesichert,sichern,"to secure, to safeguard, to back up","sécuriser, sauvegarder","sichern, sicherte, gesichert","sichern, sicherte, gesichert",B1,all
403,21,,beantwortet,beantworten,"to answer, to reply to (transitive)","répondre, répliquer à (transitif)","beantworten, beantwortete, beantwortet","beantworten, beantwortete, beantwortet",B1,all
404,21,,beschäftigt/sich beschäftigt,beschäftigen,"to employ, to occupy, to engage","employer, occuper, engager","beschäftigen, beschäftigte, beschäftigt","beschäftigen, beschäftigte, beschäftigt",B1,all
405,21,,geweint,weinen,"to cry, to weep","pleurer, sangloter","weinen, weinte, geweint","weinen, weinte, geweint",B1,all
406,21,,genutzt,nutzen,"to use, to utilize, to benefit from","utiliser, exploiter, bénéficier de","nutzen, nutzte, genutzt","nutzen, nutzte, genutzt",B1,all
407,21,,besprochen,besprechen,"to discuss, to talk about","discuter, parler de","besprechen, besprach, besprochen","besprechen, besprach, besprochen",B1,all
408,21,,erfunden,erfinden,"to invent, to make up, to fabricate","inventer, fabriquer","erfinden, erfand, erfunden","erfinden, erfand, erfunden",B1,all
409,21,,gerechnet,rechnen,"to calculate, to expect, to count on","calculer, s'attendre à, compter sur","rechnen, rechnete, gerechnet","rechnen, rechnete, gerechnet",B1,all
410,21,,unterrichtet,unterrichten,"to teach, to instruct, to inform","enseigner, instruire, informer","unterrichten, unterrichtete, unterrichtet","unterrichten, unterrichtete, unterrichtet",B1,all
411,21,,bestanden,bestehen,"to pass, to exist, to consist, to insist","passer, exister, consister, insister","bestehen, bestand, bestanden","bestehen, bestand, bestanden",B1,all
412,21,,abgeschlossen,abschließen,"to complete, to conclude, to lock","compléter, conclure, verrouiller","abschließen, schloss ab, abgeschlossen","abschließen, schloss ab, abgeschlossen",B1,all
413,21,,gebildet,bilden,"to form, to constitute, to educate","former, constituer, éduquer","bilden, bildete, gebildet","bilden, bildete, gebildet",B1,all
414,22,,ausgebildet,ausbilden,"to train, to educate, to develop","former, éduquer, développer (une compétence)","ausbilden, bildete aus, ausgebildet","ausbilden, bildete aus, ausgebildet",B1,all
415,22,,herausgefunden,herausfinden,"to find out, to discover, to figure out","découvrir, comprendre","herausfinden, fand heraus, herausgefunden","herausfinden, fand heraus, herausgefunden",B1,all
416,22,,konzentriert/sich konzentriert,konzentrieren,"to concentrate, to focus","se concentrer, se focaliser","konzentrieren, konzentrierte, konzentriert","konzentrieren, konzentrierte, konzentriert",B1,all
417,22,,geküsst,küssen,"to kiss, to make out","embrasser, peloter","küssen, küsste, geküsst","küssen, küsste, geküsst",B1,all
418,22,,zurückgekommen,zurückkommen,"to come back, to return","revenir, retourner","zurückkommen, kam zurück, zurückgekommen","zurückkommen, kam zurück, zurückgekommen",B1,all
419,22,,zerstört,zerstören,"to destroy, to ruin","détruire, ruiner","zerstören, zerstörte, zerstört","zerstören, zerstörte, zerstört",B1,all
420,22,,geendet,enden,"to end, to finish, to conclude","terminer, achever, conclure","enden, endete, geendet","enden, endete, geendet",B1,all
421,22,,geachtet,achten,"to respect, to pay attention to, to heed","respecter, prêter attention à","achten, achtete, geachtet","achten, achtete, geachtet",B1,all
422,22,,abgesagt,absagen,"to cancel, to call off",annuler,"absagen, sagte ab, abgesagt","absagen, sagte ab, abgesagt",B1,all
423,22,,gespürt,spüren,"to feel, to sense, to perceive","sentir, pressentir, percevoir","spüren, spürte, gespürt","spüren, spürte, gespürt",B1,all
424,22,,geatmet,atmen,to breathe,respirer,"atmen, atmete, geatmet","atmen, atmete, geatmet",B1,all
425,22,,gelächelt,lächeln,to smile,sourire,"lächeln, lächelte, gelächelt","lächeln, lächelte, gelächelt",B1,all
426,22,,empfunden,empfinden,"to feel, to sense, to perceive","sentir, pressentir, percevoir","empfinden, empfand, empfunden","empfinden, empfand, empfunden",B1,all
427,22,,beobachtet,beobachten,"to observe, to watch, to monitor","observer, surveiller","beobachten, beobachtete, beobachtet","beobachten, beobachtete, beobachtet",B1,all
428,22,,gerochen,riechen,"to smell, to scent, to sniff, to reek","sentir, flairer, renifler, empester","riechen, roch, gerochen","riechen, roch, gerochen",B1,all
429,22,,geschlagen,schlagen,"to hit, to beat, to strike, to defeat","frapper, battre, vaincre","schlagen, schlug, geschlagen","schlagen, schlug, geschlagen",B1,all
430,22,,gemessen,messen,"to measure, to gauge","mesurer, jauger","messen, maß, gemessen","messen, maß, gemessen",B1,all
431,22,,gespült,spülen,"to rinse, to wash, to flush","rincer, laver, tirer la chasse","spülen, spülte, gespült","spülen, spülte, gespült",B1,all
432,22,,gelogen,lügen,"to lie, to tell a falsehood","mentir, dire une fausseté","lügen, log, gelogen","lügen, log, gelogen",B1,all
433,22,,geschrien,schreien,"to scream, to shout, to yell","crier, hurler","schreien, schrie, geschrien","schreien, schrie, geschrien",B1,all
434,23,,informiert,informieren,"to inform, to notify","informer, notifier","informieren, informierte, informiert","informieren, informierte, informiert",B1,all
435,23,,reagiert,reagieren,"to react, to respond","réagir, répondre","reagieren, reagierte, reagiert","reagieren, reagierte, reagiert",B1,all
436,23,,heruntergeladen,herunterladen,to download,télécharger,"herunterladen, lud herunter, heruntergeladen","herunterladen, lud herunter, heruntergeladen",B1,all
437,23,,berichtet,berichten,"to report, to inform, to cover","signaler, informer, couvrir","berichten, berichtete, berichtet","berichten, berichtete, berichtet",B1,all
438,23,,organisiert,organisieren,"to organize, to arrange","organiser, arranger","organisieren, organisierte, organisiert","organisieren, organisierte, organisiert",B1,all
439,23,,begrüßt,begrüßen,"to greet, to welcome","saluer, accueillir","begrüßen, begrüßte, begrüßt","begrüßen, begrüßte, begrüßt",B1,all
440,23,,umgestiegen,umsteigen,"to change, to transfer, to switch","changer, transférer, commuter","umsteigen, stieg um, umgestiegen","umsteigen, stieg um, umgestiegen",B1,all
441,23,,enttäuscht,enttäuschen,"to disappoint, to let down","décevoir, laisser tomber","enttäuschen, enttäuschte, enttäuscht","enttäuschen, enttäuschte, enttäuscht",B1,all
442,23,,geladen,laden,"to load, to charge, to invite","charger, inviter","laden, lud, geladen","laden, lud, geladen",B1,all
443,23,,fotografiert,fotografieren,"to take a photo, to photograph","prendre une photo, photographier","fotografieren, fotografierte, fotografiert","fotografieren, fotografierte, fotografiert",B1,all
444,23,,gefrühstückt,frühstücken,to have breakfast,prendre le petit déjeuner,"frühstücken, frühstückte, gefrühstückt","frühstücken, frühstückte, gefrühstückt",B1,all
445,23,,gehandelt,handeln,"to act, to deal, to trade, to negotiate","agir, traiter, commercer, négocier","handeln, handelte, gehandelt","handeln, handelte, gehandelt",B1,all
446,23,,geliehen,leihen,"to lend, to borrow","prêter, emprunter","leihen, lieh, geliehen","leihen, lieh, geliehen",B1,all
447,23,,vermieden,vermeiden,"to avoid, to prevent","éviter, empêcher","vermeiden, vermied, vermieden","vermeiden, vermied, vermieden",B1,all
448,23,,erhöht,erhöhen,"to increase, to raise, to enhance","augmenter, élever, rehausser","erhöhen, erhöhte, erhöht","erhöhen, erhöhte, erhöht",B1,all
449,23,,beschränkt,beschränken,"to limit, to restrict","limiter, restreindre","beschränken, beschränkte, beschränkt","beschränken, beschränkte, beschränkt",B1,all
450,23,,ermöglicht,ermöglichen,"to enable, to make possible","permettre, rendre possible","ermöglichen, ermöglichte, ermöglicht","ermöglichen, ermöglichte, ermöglicht",B1,all
451,23,,geflohen,fliehen,"to flee, to escape, to diverge","fuir, s'échapper, diverger","fliehen, floh, geflohen","fliehen, floh, geflohen",B1,all
452,23,,versteckt,verstecken,"to hide, to conceal","cacher, dissimuler","verstecken, versteckte, versteckt","verstecken, versteckte, versteckt",B1,all
453,23,,gerettet,retten,"to save, to rescue","sauver, secourir","retten, rettete, gerettet","retten, rettete, gerettet",B1,all
454,24,,bewiesen,beweisen,"to prove, to demonstrate","prouver, démontrer","beweisen, bewies, bewiesen","beweisen, bewies, bewiesen",B2,irregular
455,24,,gefangen,fangen,to catch,attraper,"fangen, fing, gefangen","fangen, fing, gefangen",B2,irregular
456,24,,angesehen,ansehen,"to look at something, to watch something","regarder quelque chose, observer quelque chose","ansehen, sah an, angesehen","ansehen, sah an, angesehen",B2,irregular
457,24,,gesunken,sinken,"to sink, to decrease, to drop","couler, diminuer, laisser tomber","sinken, sank, gesunken","sinken, sank, gesunken",B2,irregular
458,24,,geklungen,klingen,"to sound, to ring, to seem","sonner, sonner, sembler","klingen, klang, geklungen","klingen, klang, geklungen",B2,irregular
459,24,,geschoben,schieben,"to push, to shove, to wheel","pousser, bousculer, faire tourner","schieben, schob, geschoben","schieben, schob, geschoben",B2,irregular
460,24,,genossen,genießen,"to savor, to relish, to enjoy, to take pleasure in","apprécier, savourer","genießen, genoss, genossen","genießen, genoss, genossen",B2,irregular
461,24,,entstanden,entstehen,"to arise, to develop, to come into being","surgir, se développer, naître","entstehen, entstand, entstanden","entstehen, entstand, entstanden",B2,irregular
462,24,,gegolten,gelten,"to apply, to be valid, to count","appliquer, être valide, compter","gelten, galt, gegolten","gelten, galt, gegolten",B2,irregular
463,24,,gezwungen,zwingen,"to force, to compel","forcer, contraindre","zwingen, zwang, gezwungen","zwingen, zwang, gezwungen",B2,irregular
464,24,,übertragen,übertragen,"to transfer, to transmit, to broadcast","transférer, transmettre, diffuser","übertragen, übertrug, übertragen","übertragen, übertrug, übertragen",B2,irregular
465,24,,abgegeben,abgeben,"to submit, to hand in, to deliver","soumettre, remettre, livrer","abgeben, gab ab, abgegeben","abgeben, gab ab, abgegeben",B2,irregular
466,24,,gelungen,gelingen,"to succeed, to be successful, to work out","réussir, s'entraîner","gelingen, gelang, gelungen","gelingen, gelang, gelungen",B2,irregular
467,24,,getreten,treten,"to step, to kick, to enter","marcher, donner un coup de pied, entrer","treten, trat, getreten","treten, trat, getreten",B2,irregular
468,24,,geraten,geraten,"to get into, to fall into, to turn out","entrer dans, tomber dans, se révéler","geraten, geriet, geraten","geraten, geriet, geraten",B2,irregular
469,24,,zugenommen,zunehmen,"to increase, to gain (weight), to rise","augmenter, prendre (du poids), s'élever","zunehmen, nahm zu, zugenommen","zunehmen, nahm zu, zugenommen",B2,irregular
470,24,,geschieden,scheiden,"to separate, to divorce, to part","se séparer, divorcer","scheiden, schied, geschieden","scheiden, schied, geschieden",B2,irregular
471,24,,entsprochen,entsprechen,"to correspond, to match, to comply with","correspondre, égaler, se conformer à","entsprechen, entsprach, entsprochen","entsprechen, entsprach, entsprochen",B2,irregular
472,24,,abgenommen,abnehmen,"to decrease, to lose weight, to remove","diminuer, perdre du poids, éliminer","abnehmen, nahm ab, abgenommen","abnehmen, nahm ab, abgenommen",B2,irregular
473,24,,gestoßen,stoßen,"to push, to bump, to kick, to thrust","pousser, cogner, donner un coup de pied","stoßen, stieß, gestoßen","stoßen, stieß, gestoßen",B2,irregular
474,25,,erschienen,erscheinen,"to appear, to be published, to seem","apparaître, être publié, sembler","erscheinen, erschien, erschienen","erscheinen, erschien, erschienen",B2,irregular
475,25,,vertreten,vertreten,"to represent, to advocate, to stand in for","représenter, défendre, se substituer","vertreten, vertrat, vertreten","vertreten, vertrat, vertreten",B2,irregular
476,25,,unterbrochen,unterbrechen,"to interrupt, to suspend","interrompre, suspendre","unterbrechen, unterbrach, unterbrochen","unterbrechen, unterbrach, unterbrochen",B2,irregular
477,25,,beschlossen,beschließen,"to decide, to resolve","décider, résoudre","beschließen, beschloss, beschlossen","beschließen, beschloss, beschlossen",B2,irregular
478,25,,nachgedacht,nachdenken,"to think about, to reflect, to ponder","penser à, réfléchir, méditer","nachdenken, dachte nach, nachgedacht","nachdenken, dachte nach, nachgedacht",B2,irregular
479,25,,hingewiesen,hinweisen,"to indicate, to point out, to refer","indiquer, faire remarquer, se référer","hinweisen, wies hin, hingewiesen","hinweisen, wies hin, hingewiesen",B2,irregular
480,25,,geschehen,geschehen,"to happen, to occur, to take place","se produire, avoir lieu (formel)","geschehen, geschah, geschehen","geschehen, geschah, geschehen",B2,irregular
481,25,,gebrannt,brennen,"to burn, to have a strong affection for, to induce pain, to tan","brûler, avoir une forte affection pour, provoquer de la douleur","brennen, brannte, gebrannt","brennen, brannte, gebrannt",B2,irregular
482,25,,zurückgegangen,zurückgehen,"to go back, to decrease, to decline","revenir en arrière, diminuer, décliner","zurückgehen, ging zurück, zurückgegangen","zurückgehen, ging zurück, zurückgegangen",B2,irregular
483,25,,entlassen,entlassen,"to dismiss, to fire, to release","congédier, licencier, libérer","entlassen, entließ, entlassen","entlassen, entließ, entlassen",B2,irregular
484,25,,verschoben,verschieben,"to postpone, to move, to shift","reporter, déplacer, décaler","verschieben, verschob, verschoben","verschieben, verschob, verschoben",B2,irregular
485,25,,ergeben,ergeben,"to result in, to yield, to surrender","aboutir à, céder, se rendre","ergeben, ergab, ergeben","ergeben, ergab, ergeben",B2,irregular
486,25,,unternommen,unternehmen,"to undertake, to attempt, to take action","entreprendre, tenter, agir","unternehmen, unternahm, unternommen","unternehmen, unternahm, unternommen",B2,irregular
487,25,,anerkannt,anerkennen,"to recognize, to acknowledge, to approve","reconnaître, admettre, approuver","anerkennen, erkannte an, anerkannt","anerkennen, erkannte an, anerkannt",B2,irregular
488,25,,beigetragen,beitragen,to contribute,contribuer,"beitragen, trug bei, beigetragen","beitragen, trug bei, beigetragen",B2,irregular
489,25,,geworben,werben,"to advertise, to recruit","faire de la publicité, recruter","werben, warb, geworben","werben, warb, geworben",B2,irregular
490,25,,zugelassen,zulassen,"to allow, to permit, to license","permettre, autoriser, autoriser","zulassen, ließ zu, zugelassen","zulassen, ließ zu, zugelassen",B2,irregular
491,25,,geschritten,schreiten,"to stride, to proceed, to step (formal)","marcher à grands pas, avancer, faire un pas (formel)","schreiten, schritt, geschritten","schreiten, schritt, geschritten",B2,irregular
492,25,,gebunden,binden,"to tie, to bind, to attach","attacher, lier","binden, band, gebunden","binden, band, gebunden",B2,irregular
493,25,,gegossen,gießen,"to pour, to water (plants), to cast (metal)","verser, arroser (des plantes), couler (du métal)","gießen, goss, gegossen","gießen, goss, gegossen",B2,irregular
494,26,,geschossen,schießen,"to shoot, to fire","tirer, faire feu","schießen, schoss, geschossen","schießen, schoss, geschossen",B2,irregular
495,26,,verraten,verraten,"to betray, to reveal","trahir, révéler","verraten, verriet, verraten","verraten, verriet, verraten",B2,irregular
496,26,,aufgetreten,auftreten,"to appear, to occur, to perform","apparaître, se produire, accomplir","auftreten, trat auf, aufgetreten","auftreten, trat auf, aufgetreten",B2,irregular
497,26,,vergeben,vergeben,"to forgive, to award, to assign","pardonner, récompenser, attribuer","vergeben, vergab, vergeben","vergeben, vergab, vergeben",B2,irregular
