exercise,level_verb,Nr_verb,answer,question,german,english,french,type,prefix,level_root,root_german,root_english,root_french,explanation_prefix_english,explanation_prefix_french,explanation_english_beta,explanation_french_beta
54,C1,673,einnehmen,,,"to capture, to earn, to ingest","capturer, gagner, ingérer",1. verb,ein,A1,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)","to add the meaning of <i>in</i>, <i>into</i> → ein",,,
54,C1,675,verarbeiten,,,"to process, to handle, to work through","traiter, manipuler, travailler",1. verb,ver,A1,arbeiten,to work,travailler,,,,
54,C1,676,aufbauen,,,"to build, to establish, to develop","construire, établir, développer",1. verb,auf,A2,bauen,to build,construire,to add the meaning of <i>up</i> → auf,,,
54,C1,678,erfordern,,,"to require, to demand, to necessitate","exiger, nécessiter",1. verb,er,B2,fordern,"to demand, to require, to call for","exiger, requérir, réclamer",,,,
54,C1,682,einhalten,,,"to observe, to adhere, to comply","observer, adhérer, se conformer",1. verb,ein,A1,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",,,,
54,C1,683,ausprobieren,,,"to test, to try, to check out","tester, essayer, vérifier",1. verb,aus,B1,probieren,"to try, to taste, to sample, to probe","essayer, goûter, échantillonner, sonder",,,,
54,C1,684,weitergeben,,,"to pass on, to impart, to relay","transmettre, relayer",1. verb,weiter,A1,geben,to give,donner,,,,
54,C1,687,einbauen,,,"to install, to build in, to build into","installer, monter, intégrer, insérer",1. verb,ein,A2,bauen,to build,construire,"to add the meaning of <i>in</i>, <i>into</i> → ein",,,
54,C1,688,aufrufen,,,"to call up, to call, to call for, to invite","appeler, solliciter, inviter",1. verb,auf,B1,rufen,"to call, to shout, to summon","appeler, crier, convoquer",,,,
54,C1,690,aufheben,,,"to abolish, to lift, to pick up, to keep","abolir, lever, ramasser, garder",1. verb,auf,B1,heben,"to lift, to raise","soulever, élever",to add the meaning of <i>up</i> → auf,,,
54,C1,693,hinterlassen,,,"to leave behind, to bequeath","laisser derrière soi, léguer",1. verb,hinter,A2,lassen,"to let, to leave, to allow","laisser, quitter, permettre",to add the meaning of <i>behind</i> → hinter,,,
54,C1,694,aufstellen,,,"to set up, to establish","mettre en place, établir",1. verb,auf,A2,stellen,"to position, to put, to catch","positionner, mettre",to add the meaning of <i>up</i> → auf,,,
54,C1,696,anhaben,,,"to have on, to wear, to harm, to damage","porter, arborer, avoir, posséder",1. verb,an,A1,haben,"to have, to contain","avoir, contenir","to add the meaning of <i>on</i>, of a contact → an",,,
54,C1,698,sich beeilen,,,"to hurry, to hasten, to rush (refl.)","se dépêcher, se hâter, se précipiter (réfl.)",1. verb,be,C1,eilen,"to hurry, to rush, to be urgent, to haste","se dépêcher, se hâter, être urgent",,,,
54,C1,699,abbrechen,,,"to cancel, to break off, to interrupt","annuler, interrompre, rompre",1. verb,ab,A2,brechen,to break,"casser, briser","to add the meaning of <i>off</i>, <i>away</i> → ab",,,
54,C1,700,zerschlagen,,,"to break, to crush, to defeat, to shatter","briser, écraser, vaincre, anéantir",1. verb,zer,B1,schlagen,"to hit, to beat, to strike, to defeat","frapper, battre, vaincre",,,,
54,C1,704,bewirken,,,"to bring about, to cause, to effect","provoquer, causer, effectuer",1. verb,be,B1,wirken,"to have an effect, to work","avoir un effet, functionner",to make an intransitive verb transitive → be,,,
54,C1,706,unterliegen,,,"to be subject to, to undergo","être soumis à, subir",1. verb,unter,A2,liegen,"to lie, to be located","être allongé, être localisé","to add the meaning of <i>under</i>, to translate the prefix <i>sub-</i> → unter",,,
54,C1,709,gebrauchen,,,"to use, to make use of","utiliser, faire usage de",1. verb,ge,A1,brauchen,to need,avoir besoin,,,,
55,C1,711,aussprechen,,,"to pronounce, to express, to speak out","prononcer, exprimer, s'exprimer",1. verb,aus,A1,sprechen,to speak,parler (une langue),,,,
55,C1,712,entwerfen,,,"to design, to draft, to sketch","concevoir, ébaucher, esquisser",1. verb,ent,A2,werfen,to throw,"jeter, lancer",,,,
55,C1,713,eintragen,,,"to register, to enter, to record, to enrol","inscrire, entrer, enregistrer, inscrire",1. verb,ein,A1,tragen,"to wear (clothing), to carry, to hold","porter (des vêtements), transporter, tenir","to add the meaning of <i>in</i>, <i>into</i> → ein",,,
55,C1,715,zurückkehren,,,to return,revenir,1. verb,zurück,C1,kehren,"to sweep, to return","retourner, balayer",to add the meaning of <i>back</i> → zurück,,,
55,C1,716,verwechseln,,,"to mix up, to confuse, to mistake for",confondre,1. verb,ver,B1,wechseln,"to change, to switch, to exchange","changer, échanger",,,,
55,C1,718,verpacken,,,"to pack, to wrap, to package","emballer, envelopper, conditionner",1. verb,ver,B2,packen,"to pack, to grab, to manage","emballer, saisir, gérer",,,,
55,C1,719,versichern,,,"to assure, to insure, to cover","assurer, couvrir",1. verb,ver,B1,sichern,"to secure, to safeguard, to back up","sécuriser, sauvegarder",,,,
55,C1,721,bereitstellen,,,"to make available, to provide, to supply","mettre à disposition, fournir, approvisionner",1. verb,bereit,A2,stellen,"to position, to put, to catch","positionner, mettre",,,,
55,C1,722,umdrehen,,,to turn around,faire demi-tour,1. verb,um,B2,drehen,"to turn, to veer","tourner, dévier",to add the meaning of <i>around</i> → um,,,
55,C1,723,einfallen,,,"to invade, to collapse, to come to mind","envahir, s'effondrer, venir à l'esprit",1. verb,ein,B1,fallen,"to fall, to fall in battle, to collapse","tomber, tomber au combat, s'effondrer",,,,
55,C1,726,abstellen,,,"to put down, to assign, to set down, to shut down","poser, assigner, mettre en place, fermer",1. verb,ab,A2,stellen,"to position, to put, to catch","positionner, mettre",,,,
55,C1,731,vermieten,,,"to lease, to let, to rent to","louer, donner en location à",1. verb,ver,A2,mieten,"to rent, to hire","louer, embaucher",,,,
55,C1,733,vorliegen,,,"to exist, to be available","exister, être disponible",1. verb,vor,A2,liegen,"to lie, to be located","être allongé, être localisé","to add the meaning of <i>pre-</i>, that something is <i>before</i>, <i>in advance</i> → vor",,,
55,C1,735,erwerben,,,"to acquire, to purchase, to gain","acquérir, acheter, gagner",1. verb,er,B2,werben,"to advertise, to recruit","faire de la publicité, recruter",,,,
55,C1,737,bereiten,,,"to prepare, to cause","préparer, provoquer",1. verb,be,B2,reiten,to ride (a horse),monter à cheval,,,,
55,C1,739,verreisen,,,"to go away, to travel, to go on a trip","partir, voyager, faire un voyage",1. verb,ver,A1,reisen,to travel,voyager,,,,
55,C1,744,vorlegen,,,"to present, to submit, to bring forward","présenter, soumettre, avancer",1. verb,vor,A2,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger","to indicate that something is <i>in front</i>, a performance → vor",,,
55,C1,748,einleiten,,,"to introduce, to initiate, to commence","introduire, initier, commencer",1. verb,ein,B2,leiten,"to lead, to manage, to conduct","diriger, gérer, conduire","to add the meaning of <i>in</i>, <i>into</i> → ein",,,
55,C1,749,durchsetzen,,,"to enforce, to assert","faire respecter, affirmer",1. verb,durch,A2,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.),to add the meaning of <i>through</i> → durch,,,
55,C1,750,nachweisen,,,"to prove, to account for, to demonstrate","prouver, rendre compte de, démontrer",1. verb,nach,B2,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer",to indicate a purposeful action → nach,,,
56,C1,751,aufweisen,,,"to exhibit, to feature, to show, to boast","exposer, mettre en valeur, montrer, se vanter",1. verb,auf,B2,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer",,,,
56,C1,753,befehlen,,,"to command, to order, to bid","ordonner, commander, enjoindre",1. verb,be,A2,fehlen,"to lack, to be absent or missing","manquer, être absent ou manquant",,,,
56,C1,760,verbrennen,,,"to burn, to consume by fire, to incinerate","brûler, consumer par le feu, incinérer",1. verb,ver,B2,brennen,"to burn, to have a strong affection for, to induce pain, to tan","brûler, avoir une forte affection pour, provoquer de la douleur",,,,
56,C1,761,aufhalten,,,"to stop, to stay, to delay","arrêter, rester, retarder",1. verb,auf,A1,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",,,,
56,C1,762,erarbeiten,,,"to develop, to elaborate, to work out, to acquire","développer, élaborer, acquérir",1. verb,er,A1,arbeiten,to work,travailler,,,,
56,C1,763,bedrohen,,,"to threaten, to menace",menacer,1. verb,be,B2,drohen,to threaten,menacer,,,,
56,C1,764,ausüben,,,"to exercise, to perform, to practice","exercer, exécuter, pratiquer",1. verb,aus,A2,üben,"to practice, to exercise, to rehearse","pratiquer, s'exercer, répéter",,,,
56,C1,765,verstärken,,,"to amplify, to intensify, to strengthen","amplifier, intensifier, renforcer",1. verb,ver,B2,stärken,"to strengthen, to reinforce","renforcer, consolider",,,,
56,C1,766,bedenken,,,"to consider, to reflect, to give, to allow for","considérer, réfléchir, donner, permettre",1. verb,be,A1,denken,"to think, to consider","penser, considérer",,,,
56,C1,769,verklagen,,,"to sue, to bring a suit against, to bring an action against","poursuivre en justice, intenter un procès",1. verb,ver,B2,klagen,"to complain, to lament, to sue","se plaindre, se lamenter, poursuivre en justice",,,,
56,C1,771,beherrschen,,,"to dominate, to master, to control, to rule","dominer, maîtriser, contrôler, régner",1. verb,be,C1,herrschen,"to rule, to prevail, to control","gouverner, prévaloir, contrôler",,,,
56,C1,774,auseinandersetzen,,,"to discuss, to engage, to altercate, to argue with","discuter, s'engager, se disputer, argumenter avec",1. verb,auseinander,A2,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.),,,,
56,C1,775,aushalten,,,"to bear, to endure, to withstand, to tolerate","supporter, endurer, résister, tolérer",1. verb,aus,A1,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",,,,
56,C1,777,vorbeikommen,,,"to come by, to come over, to drop by","passer, venir voir, faire un saut",1. verb,vorbei,A1,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire",,,,
56,C1,778,weitergehen,,,"to continue, to proceed, to keep moving","continuer, avancer, continuer à avancer",1. verb,weiter,A1,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)",,,,
56,C1,779,betreten,,,"to enter, to access, to apprehend, to catch","entrer, accéder, appréhender, attraper",1. verb,be,B2,treten,"to step, to kick, to enter","marcher, donner un coup de pied, entrer",,,,
56,C1,780,entsorgen,,,"to clean up, to depollute, to dispose, to dispose of","nettoyer, dépolluer, éliminer, se débarrasser de",1. verb,ent,A2,sorgen,"to care, to worry","se soucier, s'inquiéter",,,,
56,C1,783,verlegen,,,"to install, to lay, to misplace, to publish","installer, poser, égarer, publier",1. verb,ver,A2,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger",,,,
56,C1,784,aufschreiben,,,"to write down, to note down, to record","écrire, noter, enregistrer",1. verb,auf,A1,schreiben,to write,écrire,,,,
56,C1,786,einlegen,,,"to insert, to pickle, to assert","insérer, mettre en conserve, affirmer",1. verb,ein,A2,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger",,,,
57,C1,787,wahrnehmen,,,"to perceive, to notice, to observe, to sense","percevoir, remarquer, observer, pressentir",1. verb,wahr,A1,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)",,,,
57,C1,788,sicherstellen,,,"to seize, to assure, to confiscate, to guarantee","saisir, assurer, confisquer, garantir",1. verb,sicher,A2,stellen,"to position, to put, to catch","positionner, mettre",,,,
57,C1,789,besetzen,,,"to occupy, to border, to cast","occuper, border, jeter",1. verb,be,A2,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.),to work on or change the state of an object → be,,,
57,C1,790,aufführen,,,"to perform, to present","exécuter, présenter",1. verb,auf,A2,führen,"to lead, to guide","guider, conduire",,,,
57,C1,791,verhaften,,,"to detain, to take into custody","détenir, mettre en détention",1. verb,ver,C1,haften,"to adhere, to be liable","adhérer, être responsable",,,,
57,C1,793,überlassen,,,"to leave to, to entrust, to surrender","laisser à, confier, abandonner",1. verb,über,A2,lassen,"to let, to leave, to allow","laisser, quitter, permettre","to add the meaning of <i>over</i>, to translate the prefix <i>sur</i> → über",,,
57,C1,794,befürchten,,,"to fear, to apprehend, to be afraid","craindre, appréhender, avoir peur",1. verb,be,B2,fürchten,"to fear, to be afraid of",avoir peur de,,,,
57,C1,795,verfassen,,,"to write, to compose, to draft","écrire, composer, rédiger",1. verb,ver,B2,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre",,,,
57,C1,801,ablaufen,,,"to expire, to run out, to discharge","expirer, s'épuiser, se décharger",1. verb,ab,A1,laufen,"to walk, to flow (of a fluid), to run (of an event)","marcher, couler (un fluide), se dérouler (un événement)","to add the meaning of <i>off</i>, <i>away</i> → ab",,,
57,C1,802,anführen,,,"to cite, to lead, to quote, to instruct","citer, diriger, instruire",1. verb,an,A2,führen,"to lead, to guide","guider, conduire",to add intensity to a reference point → an,,,
57,C1,803,vertreiben,,,"to expel, to dislodge, to displace, to put on the market, to sell","expulser, déloger, déplacer",1. verb,ver,B1,treiben,"to practice (sport), to propel, to put forth, to urge (figuratively), to fuck, to float, to sprout, to get up to","pratiquer (sport), propulser, mettre en avant, pousser (au sens figuré), baiser, flotter, germer, se lever",,,,
57,C1,804,erteilen,,,"to grant, to issue, to give","accorder, délivrer, donner",1. verb,er,A2,teilen,"to split, to share, to divide","diviser, partager",,,,
57,C1,805,erfassen,,,"to record, to capture, to collect","enregistrer, capturer, collecter",1. verb,er,B2,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre",,,,
57,C1,806,übergeben,,,"to hand over, to vomit (refl.)","remettre, vomir (réfl.)",1. verb,über,A1,geben,to give,donner,"to add the meaning of <i>over</i>, to translate the prefix <i>sur</i> → über",,,
57,C1,808,befassen,,,"to address, to deal with, to attend to","s'adresser à, traiter, s'occuper de",1. verb,be,B2,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre",to discuss or mention an object → be,,,
57,C1,809,beruhen,,,"to base on, to depend on, to consist","se baser sur, dépendre de, se composer de",1. verb,be,C1,ruhen,"to rest, to be at rest, to repose",reposer,,,,
57,C1,810,vorwerfen,,,"to reproach, to accuse of, to allege","reprocher, accuser de, alléguer",1. verb,vor,A2,werfen,to throw,"jeter, lancer",to add the meaning of <i>forward</i> → vor,,,
57,C1,813,vereinigen,,,"to coalesce, to unify, to merge","unir, réunir, unifier, combiner",1. verb,ver,C1,einigen,"to unite, to reconcile, to agree","s'unir, se réconcilier, s'accorder",,,,
57,C1,817,sich auswirken,,,"to affect, to have an impact","affecter, avoir un impact",1. verb,aus,B1,wirken,"to have an effect, to work","avoir un effet, functionner","to add the meaning of ""out"", to extend, to complete → aus",,,
57,C1,818,abbauen,,,"to dismantle, to reduce, to break down","démanteler, réduire, décomposer",1. verb,ab,A2,bauen,to build,construire,"to add the meaning of <i>off</i>, <i>away</i> → ab",,,
58,C1,819,besorgen,,,"to get, to obtain, to take care of","obtenir, prendre soin de",1. verb,be,A2,sorgen,"to care, to worry","se soucier, s'inquiéter",,,,
58,C1,820,anwenden,,,"to apply, to make use of","appliquer, faire usage de",1. verb,an,B2,wenden,"to turn, to reverse, to address","tourner, inverser, s'adresser",,,,
58,C1,821,zusammenstellen,,,"to compile, to assemble","compiler, assembler",1. verb,zusammen,A2,stellen,"to position, to put, to catch","positionner, mettre","to add the meaning of <i>co</i>, <i>together</i> → zusammen",,,
58,C1,822,verbrauchen,,,"to consume, to use","consommer, utiliser",1. verb,ver,A1,brauchen,to need,avoir besoin,,,,
58,C1,823,berühren,,,to touch,toucher,1. verb,be,C1,rühren,"to stir, to move, to mix",remuer,,,,
58,C1,824,anstellen,,,"to queue (refl.), to employ someone, to hire, to get into mischief","faire la queue (réfl.), employer quelqu'un, faire des bêtises",1. verb,an,A2,stellen,"to position, to put, to catch","positionner, mettre",,,,
58,C1,825,festhalten,,,"to hold, to retain something, to record something, to detain","détenir, conserver quelque chose, enregistrer quelque chose, détenir",1. verb,fest,A1,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",,,,
58,C1,826,auflösen,,,"to dissolve, to resolve, to annul, to liquidate","dissoudre, résoudre, annuler, liquider",1. verb,auf,B1,lösen,"to loosen, to solve, to separate, to remove","desserrer, résoudre, séparer, enlever",,,,
58,C1,827,auslösen,,,"to ransom, to trigger, to initiate, to set up","rançonner, déclencher, initier, mettre en place",1. verb,aus,B1,lösen,"to loosen, to solve, to separate, to remove","desserrer, résoudre, séparer, enlever",,,,
58,C1,828,eintreten,,,"to enter, to join, to occur, to step in","entrer, se joindre, se produire",1. verb,ein,B2,treten,"to step, to kick, to enter","marcher, donner un coup de pied, entrer","to add the meaning of <i>in</i>, <i>into</i> → ein",,,
58,C1,831,verweisen,,,"to refer, to direct","se référer, diriger",1. verb,ver,B2,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer",,,,
58,C1,835,abziehen,,,"to remove, to deduct, to withdraw","supprimer, déduire, retirer",1. verb,ab,A1,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer","to add the meaning of <i>off</i>, <i>away</i> → ab",,,
58,C1,838,ausschalten,,,"to disable, to turn off","désactiver, éteindre",1. verb,aus,B2,schalten,"to switch, to shift gears, to turn on, to turn off","changer, changer de vitesse, allumer, éteindre",,,,
58,C1,842,übereinstimmen,,,"to agree, to concur, to correspond","concorder, correspondre, coïncider",1. verb,überein,B1,stimmen,"to be true, to vote, to tune","être vrai, voter, s'accorder",,,,
58,C1,843,kennzeichnen,,,"to mark, to label, to characterize, to flag","marquer, étiqueter, caractériser, signaler",1. verb,kenn,A2,zeichnen,"to draw, to sketch","dessiner, esquisser",,,,
58,C1,850,zurückziehen,,,"to withdraw, to pull back, to retreat","se retirer, se replier",1. verb,zurück,A1,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer",to add the meaning of <i>back</i> → zurück,,,
58,C1,851,bekämpfen,,,to fight against something,lutter contre quelque chose,1. verb,be,A2,kämpfen,"to fight, to struggle","se battre, lutter",to make an intransitive verb transitive → be,,,
58,C1,852,erlassen,,,"to enact, to issue, to forgive, to let off, to release from","promulguer, pardonner, renoncer à, libérer de",1. verb,er,A2,lassen,"to let, to leave, to allow","laisser, quitter, permettre",,,,
58,C1,858,angehen,,,"to concern, to tackle (a problem), to turn on (a machine)","s'inquiéter, s'attaquer (à un problème), mettre en marche (une machine)",1. verb,an,A1,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)","to add the meaning of <i>on</i>, of a contact → an",,,
58,C1,859,wegwerfen,,,"to throw away, to discard","jeter, se débarrasser de",1. verb,weg,A2,werfen,to throw,"jeter, lancer",,,,
59,C1,861,ablegen,,,"to lay down, to put down, to remove","déposer, poser, enlever",1. verb,ab,A2,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger",,,,
59,C1,862,vergehen,,,"to die, to pass, to elapse, to perish","mourir, passer, s'écouler, périr",1. verb,ver,A1,gehen,"to go, to leave, to work, to function (coll.), to be going (Dat.), to be all right (Dat.)","aller, partir, fonctionner (familier)",,,,
59,C1,865,befragen,,,"to question, to ask, to interrogate, to consult","questionner, demander, interroger, consulter",1. verb,be,A1,fragen,"to ask, to wonder (refl.)","demander, se demander (réfl.)",,,,
59,C1,870,erstrecken,,,"to extend, to span, to bestride","étendre, enjamber",1. verb,er,C1,strecken,"to stretch, to dilute, to extend","étirer, allonger",,,,
59,C1,872,umstellen,,,"to relocate, to adapt, to change","déménager, s'adapter, changer",1. verb,um,A2,stellen,"to position, to put, to catch","positionner, mettre",,,,
59,C1,877,überschreiten,,,"to exceed, to overstep, to surpass","dépasser, outrepasser, surpasser",1. verb,über,C1,schreiten,"to stride, to proceed, to step (formal)","marcher à grands pas, avancer, faire un pas (formel)","to add the meaning of <i>over</i>, to translate the prefix <i>sur</i> → über",,,
59,C1,878,abrufen,,,"to retrieve, to access, to call away","récupérer, accéder, appeler",1. verb,ab,B1,rufen,"to call, to shout, to summon","appeler, crier, convoquer","to add the meaning of <i>off</i>, <i>away</i> → ab",,,
59,C1,879,einschließen,,,"to include, to enclose, to lock up, to surround","inclure, enfermer, entourer",1. verb,ein,A1,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure","to add the meaning of <i>in</i>, <i>into</i> → ein",,,
59,C1,880,gewähren,,,"to grant, to afford, to allow, to accord","accorder, permettre",1. verb,ge,C1,währen,"to last, to persist","durer, persister",,,,
59,C1,882,weiterleiten,,,"to forward, to pass on","transmettre, faire passer",1. verb,weiter,B2,leiten,"to lead, to manage, to conduct","diriger, gérer, conduire",,,,
59,C1,885,versagen,,,"to fail, to refuse, to deny","échouer, refuser, nier",1. verb,ver,A1,sagen,"to say, to tell","dire, raconter",,,,
59,C1,887,hervorheben,,,"to emphasize, to highlight, to stress","souligner, mettre en valeur, insister",1. verb,hervor,B1,heben,"to lift, to raise","soulever, élever",,,,
59,C1,888,entziehen,,,"to withdraw, to remove, to deprive","retirer, enlever, priver",1. verb,ent,A1,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer",,,,
59,C1,889,auswerten,,,"to evaluate, to analyze, to assess","évaluer, analyser, estimer",1. verb,aus,C1,werten,"to assess, to consider, to value",évaluer,,,,
59,C1,893,auffordern,,,"to request, to invite, to ask","demander, inviter",1. verb,auf,B2,fordern,"to demand, to require, to call for","exiger, requérir, réclamer",,,,
59,C1,894,ableiten,,,"to derive, to deduce","dériver, déduire",1. verb,ab,B2,leiten,"to lead, to manage, to conduct","diriger, gérer, conduire",,,,
59,C1,897,benennen,,,"to name, to designate, to appoint","nommer, désigner",1. verb,be,B1,nennen,"to name, to call someone something, to mention","nommer, appeler quelqu'un par quelque chose, mentionner",,,,
59,C1,901,umbringen,,,"to kill, to murder, to be very angry at someone","tuer, assassiner, être très en colère contre quelqu'un",1. verb,um,A1,bringen,"to bring, to take, to lead","apporter, prendre, conduire",,,,
59,C1,907,verfahren,,,"to proceed, to act, to deal",procéder,1. verb,ver,A1,fahren,"to go (by vehicle), to leave, to drive","aller (en véhicule), partir, conduire",,,,
59,C1,908,auskommen,,,"to get along, to get on, to manage",s'entendre,1. verb,aus,A1,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire",,,,
60,C1,913,ablenken,,,"to distract, to divert, to steer away","distraire, détourner, éloigner",1. verb,ab,C1,lenken,"to steer, to direct, to guide","diriger, orienter, guider","to add the meaning of <i>off</i>, <i>away</i> → ab",,,
60,C1,914,aufladen,,,"to charge, to load, to burden, to impose","charger, accabler, imposer",1. verb,auf,B1,laden,"to load, to charge, to invite","charger, inviter",to add the meaning of <i>up</i> → auf,,,
60,C1,915,übertreiben,,,"to exaggerate, to overdo","exagérer, exagérer",1. verb,über,B1,treiben,"to practice (sport), to propel, to put forth, to urge (figuratively), to fuck, to float, to sprout, to get up to","pratiquer (sport), propulser, mettre en avant, pousser (au sens figuré), baiser, flotter, germer, se lever","to add the meaning of <i>over</i>, to translate the prefix <i>sur</i> → über",,,
60,C1,917,ausbauen,,,"to expand, to develop","étendre, développer",1. verb,aus,A2,bauen,to build,construire,,,,
60,C1,919,abbiegen,,,"to turn, to turn off, to bend","tourner, éteindre, plier",1. verb,ab,C1,biegen,"to turn, to bend","tourner, se pencher","to add the meaning of <i>off</i>, <i>away</i> → ab",,,
60,C1,920,aussagen,,,"to testify, to state","témoigner, déclarer",1. verb,aus,A1,sagen,"to say, to tell","dire, raconter",,,,
60,C1,924,ausleihen,,,"to borrow, to lend, to lend out","emprunter, prêter",1. verb,aus,B1,leihen,"to lend, to borrow","prêter, emprunter",,,,
60,C1,926,aufkommen,,,"to arise, to come down, to emerge, to land","se lever, descendre, émerger, atterrir",1. verb,auf,A1,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire",,,,
60,C1,928,anfordern,,,"to request, to solicit, to ask for, to circularize","demander, solliciter, diffuser",1. verb,an,B2,fordern,"to demand, to require, to call for","exiger, requérir, réclamer",,,,
60,C1,930,verschlafen,,,"to oversleep, to sleep in","dormir trop longtemps, faire la grasse matinée",1. verb,ver,A1,schlafen,to sleep,dormir,,,,
60,C1,932,zuschauen,,,"to watch, to look on, to observe","regarder, observer, surveiller",1. verb,zu,A2,schauen,to look at (Bayern and Austria),regarder (Bayern et Autriche),,,,
60,C1,933,einzahlen,,,"to deposit, to make a deposit","déposer, verser",1. verb,ein,A1,zahlen,"to pay (for something), to atone for","payer (pour quelque chose), expier",,,,
60,C1,935,sich wohlfühlen,,,"to feel good, to be comfortable","se sentir bien, être à l'aise",1. verb,wohl,A1,fühlen,"to feel, to feel something (refl.)","sentir, ressentir quelque chose (réfl.)",,,,
60,C1,937,ablesen,,,"to read off, to read out, to deduce","lire à haute voix, déduire",1. verb,ab,A1,lesen,to read,lire,,,,
60,C1,942,verschicken,,,"to dispatch, to despatch, to mail, to send","expédier, envoyer par la poste, envoyer",1. verb,ver,A1,schicken,to send,envoyer,,,,
60,C1,943,anmachen,,,"to turn on, to light, to switch on","allumer, mettre en marche, allumer",1. verb,an,A1,machen,"to make, to prepare, to do","faire, préparer",,,,
60,C1,946,anhalten,,,"to stop (cease moving), to continue, to compel","arrêter (cesser de bouger), continuer, contraindre",1. verb,an,A1,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",,,,
60,C1,949,umgeben,,,"to surround, to enclose, to encompass","entourer, enfermer, englober",1. verb,um,A1,geben,to give,donner,to add the meaning of <i>around</i> → um,,,
60,C1,951,wiederherstellen,,,"to restore, to recover, to rehabilitate","restaurer, récupérer, réhabiliter",1. verb,wiederher,A2,stellen,"to position, to put, to catch","positionner, mettre",,,,
60,C1,953,aufsteigen,,,"to rise, to ascend, to advance, to climb","s'élever, monter, avancer, grimper",1. verb,auf,A2,steigen,"to ascend, to climb, to rise","monter, grimper, s'élever",to add the meaning of <i>up</i> → auf,,,
61,C1,954,zusehen,,,"to watch, to see, to make sure (that something happens)","regarder, voir, s'assurer (que quelque chose se passe)",1. verb,zu,A1,sehen,"to see, to realise","voir, se rendre compte",,,,
61,C1,955,auftauchen,,,"to arise, to surface, to turn up","surgir, faire surface, apparaître",1. verb,auf,C1,tauchen,"to dive, to dip","plonger, tremper",to add the meaning of <i>up</i> → auf,,,
61,C1,956,beklagen,,,"to complain, to lament, to air grievances","se plaindre, se lamenter, exprimer des griefs",1. verb,be,B2,klagen,"to complain, to lament, to sue","se plaindre, se lamenter, poursuivre en justice",,,,
61,C1,959,beinhalten,,,"to include, to contain, to entail, to comprise","inclure, contenir, impliquer, comprendre",1. verb,bein,A1,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder",,,,
61,C1,960,beauftragen,,,"to assign, to commission, to instruct","assigner, commissionner, instruire",1. verb,beauf,A1,tragen,"to wear (clothing), to carry, to hold","porter (des vêtements), transporter, tenir",,,,
61,C1,963,vorsehen,,,"to plan, to provide for","planifier, prévoir",1. verb,vor,A1,sehen,"to see, to realise","voir, se rendre compte","to add the meaning of <i>pre-</i>, that something is <i>before</i>, <i>in advance</i> → vor",,,
61,C1,964,anfallen,,,"to accrue, to accumulate, to arise, to incur","s'accumuler, survenir, encourir",1. verb,an,B1,fallen,"to fall, to fall in battle, to collapse","tomber, tomber au combat, s'effondrer","to indicate the action is partial, beginning → an",,,
61,C1,965,entkommen,,,to escape,s'échapper,1. verb,ent,A1,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire",,,,
61,C1,967,anfassen,,,"to touch, to handle","toucher, manipuler",1. verb,an,B2,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre","to add the meaning of <i>on</i>, of a contact → an",,,
