exercise,question,answer,german,english,french,transitivity_english,transitivity_french
25,,,unternehmen,"to undertake, to attempt, to take action","entreprendre, tenter, agir",,
26,,,kündigen,"to resign, to quit, to terminate, to cancel","démissionner, quitter, mettre fin à, annuler",Sometimes Reflexive,Parfois Réfléchi
26,,,vertreten,"to represent, to advocate, to stand in for","représenter, défendre, se substituer",,
26,,,gründen,"to found, to establish, to start","fonder, établir, démarrer",,
26,,,packen,"to pack, to grab, to manage","emballer, saisir, gérer",Sometimes Reflexive,Parfois Réfléchi
26,,,durchführen,"to carry out, to conduct, to implement","réaliser, mener, mettre en œuvre",,
26,,,drucken,to print,imprimer,Sometimes Reflexive,Parfois Réfléchi
26,,,untersuchen,"to investigate, to examine, to analyze","enquêter, examiner, analyser",Sometimes Reflexive,Parfois Réfléchi
26,,,verraten,"to betray, to reveal","trahir, révéler",,
26,,,entstehen,"to arise, to develop, to come into being","surgir, se développer, naître",,
26,,,abgeben,"to submit, to hand in, to deliver","soumettre, remettre, livrer",,
26,,,gelingen,"to succeed, to be successful, to work out","réussir, s'entraîner",,
26,,,reichen,"to reach, to hand, to be enough","atteindre, mettre la main, être suffisant",Sometimes Reflexive,Parfois Réfléchi
26,,,fordern,"to demand, to require, to call for","exiger, requérir, réclamer",,
26,,,schießen,"to shoot, to fire","tirer, faire feu",Sometimes Reflexive,Parfois Réfléchi
26,,,wenden,"to turn, to reverse, to address","tourner, inverser, s'adresser",Sometimes Reflexive,Parfois Réfléchi
26,,,ablehnen,"to refuse, to reject, to decline","refuser, rejeter, décliner",,
26,,,einsetzen,"to use, to apply, to deploy, to insert","utiliser, appliquer, déployer, insérer",Sometimes Reflexive,Parfois Réfléchi
26,,,gestalten,"to shape, to design, to organize","façonner, concevoir, organiser",Sometimes Reflexive,Parfois Réfléchi
26,,,speichern,"to save, to store","sauvegarder, stocker",,
26,,,stoßen,"to push, to bump, to kick, to thrust","pousser, cogner, donner un coup de pied",Sometimes Reflexive,Parfois Réfléchi
27,,,auswählen,"to choose, to select","choisir, sélectionner",Sometimes Reflexive,Parfois Réfléchi
27,,,bestätigen,"to confirm, to acknowledge, to endorse","confirmer, reconnaître, approuver",,
27,,,reparieren,"to repair, to fix",réparer,Sometimes Reflexive,Parfois Réfléchi
27,,,reduzieren,"to reduce, to decrease","réduire, diminuer",Sometimes Reflexive,Parfois Réfléchi
27,,,starten,"to start, to launch, to take off","démarrer, lancer, décoller",Sometimes Reflexive,Parfois Réfléchi
27,,,überzeugen,"to convince, to persuade","convaincre, persuader",Sometimes Reflexive,Parfois Réfléchi
27,,,brennen,"to burn, to have a strong affection for, to induce pain, to tan","brûler, avoir une forte affection pour, provoquer de la douleur",,
27,,,kriegen,"to get after asking or fighting, to wage war","obtenir après avoir demandé ou combattu, faire la guerre",Sometimes Reflexive,Parfois Réfléchi
27,,,benötigen,"to need, to require (formal)","avoir besoin, exiger",,
27,,,erledigen,"to handle, to deal with, to get done","gérer, traiter, faire avancer les choses",Sometimes Reflexive,Parfois Réfléchi
27,,,prüfen,"to check, to examine, to test, to investigate","vérifier, examiner, tester, enquêter",,
27,,,behandeln,"to treat, to handle, to deal with","traiter, manipuler, faire face à",Sometimes Reflexive,Parfois Réfléchi
27,,,ansehen,"to look at something, to watch something","regarder quelque chose, observer quelque chose",Sometimes Reflexive,Parfois Réfléchi
27,,,mitteilen,"to inform, to notify, to communicate","informer, notifier, communiquer",,
27,,,erstellen,"to create, to prepare, to compile","créer, préparer, compiler",,
27,,,schieben,"to push, to shove, to wheel","pousser, bousculer, faire tourner",,
27,,,bedienen,"to serve, to operate, to use","servir, opérer, utiliser",Sometimes Reflexive,Parfois Réfléchi
27,,,verabschieden,"to say goodbye, to bid farewell, to adopt (a law formally)","dire au revoir, faire ses adieux",Sometimes Reflexive,Parfois Réfléchi
27,,,behaupten,"to claim, to assert, to maintain","revendiquer, affirmer, maintenir",,
27,,,zuhören,to listen to someone (with dative),écouter quelqu'un,,
28,,,rücken,"to move, to shift, to edge, to advance","déplacer, décaler, border, avancer",Sometimes Reflexive,Parfois Réfléchi
28,,,zwingen,"to force, to compel","forcer, contraindre",,
28,,,übertragen,"to transfer, to transmit, to broadcast","transférer, transmettre, diffuser",Sometimes Reflexive,Parfois Réfléchi
28,,,verteilen,"to distribute, to allocate, to hand out","distribuer, attribuer",Sometimes Reflexive,Parfois Réfléchi
28,,,treten,"to step, to kick, to enter","marcher, donner un coup de pied, entrer",Sometimes Reflexive,Parfois Réfléchi
28,,,geraten,"to get into, to fall into, to turn out","entrer dans, tomber dans, se révéler",,
28,,,zunehmen,"to increase, to gain (weight), to rise","augmenter, prendre (du poids), s'élever",,
28,,,entsprechen,"to correspond, to match, to comply with","correspondre, égaler, se conformer à",,
28,,,mitmachen,"to participate, to join in, to go along","participer, se joindre à, accompagner",,
28,,,stammen,"to come from, to originate, to descend","venir de, être originaire, descendre",,
28,,,erfüllen,"to fulfill, to satisfy, to carry out","accomplir, satisfaire, réaliser",Sometimes Reflexive,Parfois Réfléchi
28,,,garantieren,"to guarantee, to assure","garantir, assurer",,
28,,,installieren,"to install, to set up","installer, configurer",,
28,,,drehen,"to turn, to veer","tourner, dévier",Sometimes Reflexive,Parfois Réfléchi
28,,,verhindern,"to prevent, to hinder, to stop","empêcher, entraver, arrêter",,
28,,,surfen,to surf,surfer,,
28,,,akzeptieren,to accept,accepter,,
28,,,vereinbaren,"to agree, to arrange, to settle","convenir, arranger, régler",,
28,,,schalten,"to switch, to shift gears, to turn on, to turn off","changer, changer de vitesse, allumer, éteindre",Sometimes Reflexive,Parfois Réfléchi
28,,,präsentieren,"to present, to showcase","présenter, mettre en valeur",Sometimes Reflexive,Parfois Réfléchi
29,,,beschränken,"to limit, to restrict","limiter, restreindre",Sometimes Reflexive,Parfois Réfléchi
29,,,leisten,"to achieve, to perform, to provide","réaliser, réaliser, fournir",Sometimes Reflexive,Parfois Réfléchi
29,,,produzieren,"to produce, to manufacture","produire, fabriquer",,
29,,,fördern,"to promote, to support","promouvoir, soutenir",,
29,,,erfolgen,"to occur, to take place","se produire, avoir lieu",,
29,,,ordnen,"to arrange, to organize, to classify","arranger, organiser, classer",Sometimes Reflexive,Parfois Réfléchi
29,,,stärken,"to strengthen, to reinforce","renforcer, consolider",,
29,,,begleiten,"to accompany, to escort","accompagner, escorter",,
29,,,begründen,"to justify, to explain, to establish","justifier, expliquer, établir",,
29,,,veröffentlichen,"to publish, to release","publier, diffuser",,
29,,,festlegen,"to define, to determine, to set","définir, déterminer, établir",Sometimes Reflexive,Parfois Réfléchi
29,,,löschen,"to delete, to extinguish, to erase","supprimer, éteindre, effacer",Sometimes Reflexive,Parfois Réfléchi
29,,,reiten,to ride (a horse),monter à cheval,Sometimes Reflexive,Parfois Réfléchi
29,,,ausfüllen,"to complete, to fill in, to fill out","compléter, remplir",Sometimes Reflexive,Parfois Réfléchi
29,,,verlangen,"to demand, to request, to desire","exiger, requérir, désirer",,
29,,,wiegen,"to weight, to balance",peser,Sometimes Reflexive,Parfois Réfléchi
29,,,einziehen,"to move in, to penetrate, to infiltrate","s'introduire, pénétrer, s'infiltrer",Sometimes Reflexive,Parfois Réfléchi
29,,,wagen,"to venture, to dare, to risk, to jeopardise","s'aventurer, oser, risquer, mettre en péril",,
29,,,stürzen,"to fall, to rush, to throw, to overturn, to overthrow something","tomber, se précipiter, jeter, renverser, renverser quelque chose",Sometimes Reflexive,Parfois Réfléchi
29,,,eingehen,"to shrink (textile), to wither, to die (plants, animals), to assume something","rétrécir (textile), se faner, mourir (plantes, animaux), prendre quelque chose",,
30,,,baden,"to bathe, to swim, to take a bath","se baigner, nager, prendre un bain",Sometimes Reflexive,Parfois Réfléchi
30,,,fressen,"to devour, to eat (animals), to gobble","dévorer, manger (des animaux), engloutir",,
30,,,gucken,"to look, to watch, to peek (coll.)","regarder, épier, jeter un coup d'œil (familier)",,
30,,,decken,"to cover, to set (a table), to hedge","couvrir, dresser (une table), se protéger",Sometimes Reflexive,Parfois Réfléchi
30,,,richten,"to direct, to adjust, to focus, to judge","diriger, ajuster, focaliser, juger",Sometimes Reflexive,Parfois Réfléchi
30,,,verzichten,"to renounce, to give up, to do without, to forgo","renoncer, abandonner, se passer de",,
30,,,erwähnen,"to mention, to refer to","mentionner, faire référence à",,
30,,,töten,"to kill, to slay","tuer, égorger",,
30,,,vermuten,"to suspect, to assume, to suppose","soupçonner, supposer, présumer",,
30,,,nachdenken,"to think about, to reflect, to ponder","penser à, réfléchir, méditer",,
30,,,reinigen,"to clean, to cleanse","nettoyer, purifier",Sometimes Reflexive,Parfois Réfléchi
30,,,einrichten,"to set up, to furnish, to arrange","installer, meubler, aménager",Sometimes Reflexive,Parfois Réfléchi
30,,,verwalten,"to manage, to administer","gérer, administrer",,
30,,,analysieren,to analyze,analyser,,
30,,,beachten,"to notice, to pay attention to, to observe","remarquer, prêter attention à, observer",,
30,,,landen,"to land, to end up","atterrir, finir",,
30,,,profitieren,"to benefit, to profit","bénéficier, profiter",,
30,,,anzeigen,"to report, to indicate, to display","signaler, indiquer, afficher",Sometimes Reflexive,Parfois Réfléchi
30,,,berücksichtigen,"to consider, to take into account","considérer, prendre en compte",,
30,,,pflanzen,"to plant, to sow","planter, semer",,
31,,,fließen,"to flow, to run","couler, courir",,
31,,,eröffnen,"to open, to inaugurate","ouvrir, inaugurer",Sometimes Reflexive,Parfois Réfléchi
31,,,steuern,"to steer, to control, to govern","diriger, contrôler, gouverner",Sometimes Reflexive,Parfois Réfléchi
31,,,schweigen,"to be silent, to say nothing","se taire, ne rien dire",,
31,,,klagen,"to complain, to lament, to sue","se plaindre, se lamenter, poursuivre en justice",,
31,,,kopieren,"to copy, to duplicate","copier, dupliquer",,
31,,,streichen,"to stroke, to cancel, to spread, to rub, to paint","caresser, annuler, étaler, frotter, peindre",Sometimes Reflexive,Parfois Réfléchi
31,,,aufregen,"to upset, to agitate, to annoy","déranger, agiter, ennuyer",Mostly Reflexive,Principalement Réfléchi
31,,,klicken,to click,cliquer,Sometimes Reflexive,Parfois Réfléchi
31,,,wecken,"to wake, to awaken, to arouse","réveiller, éveiller",Sometimes Reflexive,Parfois Réfléchi
31,,,abnehmen,"to decrease, to lose weight, to remove","diminuer, perdre du poids, éliminer",Sometimes Reflexive,Parfois Réfléchi
31,,,beweisen,"to prove, to demonstrate","prouver, démontrer",,
31,,,parken,to park,se garer,Sometimes Reflexive,Parfois Réfléchi
31,,,erscheinen,"to appear, to be published, to seem","apparaître, être publié, sembler",,
31,,,joggen,to jog,faire du jogging,,
31,,,verursachen,"to cause, to provoke, to bring about","causer, provoquer",,
31,,,beschließen,"to decide, to resolve","décider, résoudre",,
31,,,bearbeiten,"to edit, to process, to work on","éditer, traiter, travailler sur",,
31,,,hinweisen,"to indicate, to point out, to refer","indiquer, faire remarquer, se référer",,
31,,,leiten,"to lead, to manage, to conduct","diriger, gérer, conduire",,
32,,,beeinflussen,"to influence, to affect","influencer, affecter",,
32,,,zulassen,"to allow, to permit, to license","permettre, autoriser, autoriser",,
32,,,verlängern,"to extend, to prolong","étendre, prolonger",Sometimes Reflexive,Parfois Réfléchi
32,,,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre",Sometimes Reflexive,Parfois Réfléchi
32,,,belegen,"to prove, to occupy, to substantiate","prouver, occuper, étayer",,
32,,,auftreten,"to appear, to occur, to perform","apparaître, se produire, accomplir",,
32,,,angeben,"to state, to declare, to show off, to brag","déclarer, affirmer, se vanter",Sometimes Reflexive,Parfois Réfléchi
32,,,betonen,"to emphasize, to stress","souligner, insister",,
32,,,errichten,"to build, to erect, to establish","construire, ériger, établir",,
32,,,ausrichten,"to align, to arrange, to organize","aligner, arranger, organiser",Sometimes Reflexive,Parfois Réfléchi
32,,,schaden,"to damage, to harm (someone)","endommager, nuire (à quelqu'un)",,
32,,,klingeln,"to ring, to chime","sonner, faire sonner",,
32,,,unterstreichen,"to underline, to emphasize, to highlight","souligner, mettre en valeur, mettre en valeur",,
32,,,ermöglichen,"to enable, to make possible","permettre, rendre possible",,
32,,,klären,"to clarify, to resolve, to clear up","clarifier, résoudre, éclaircir",Sometimes Reflexive,Parfois Réfléchi
32,,,erzielen,"to achieve, to obtain, to reach","atteindre, obtenir, parvenir",,
32,,,blicken,"to look, to glance, to gaze","regarder, jeter un coup d'œil, contempler",Sometimes Reflexive,Parfois Réfléchi
32,,,scheiden,"to separate, to divorce, to part","se séparer, divorcer",Sometimes Reflexive,Parfois Réfléchi
32,,,äußern,"to express, to voice, to state","exprimer, déclarer",Sometimes Reflexive,Parfois Réfléchi
32,,,betreuen,"to look after, to care for, to supervise","prendre soin de, soigner, superviser",,
33,,,verfügen,"to have at one’s disposal (formal), to possess, to control","avoir à sa disposition (formel), posséder, contrôler",,
33,,,beitragen,to contribute,contribuer,,
33,,,berechnen,"to calculate, to charge","calculer, facturer",Sometimes Reflexive,Parfois Réfléchi
33,,,regeln,"to regulate, to control, to settle","réguler, contrôler, régler",Sometimes Reflexive,Parfois Réfléchi
33,,,füllen,"to fill, to stuff","remplir, farcir",Sometimes Reflexive,Parfois Réfléchi
33,,,bezeichnen,"to designate, to label, to describe","désigner, étiqueter, décrire",,
33,,,binden,"to tie, to bind, to attach","attacher, lier",Sometimes Reflexive,Parfois Réfléchi
33,,,gießen,"to pour, to water (plants), to cast (metal)","verser, arroser (des plantes), couler (du métal)",Sometimes Reflexive,Parfois Réfléchi
33,,,umgehen,"to handle, to deal with, to avoid","gérer, faire face à, éviter",Sometimes Reflexive,Parfois Réfléchi
33,,,anpassen,"to adapt, to adjust","s'adapter, ajuster",Sometimes Reflexive,Parfois Réfléchi
33,,,unterscheiden,"to distinguish, to differentiate","distinguer, différencier",Mostly Reflexive,Principalement Réfléchi
33,,,verfolgen,"to pursue, to track, to follow, to prosecute","poursuivre, pister, suivre",,
33,,,anschließen,"to join, to attach, to affiliate, to connect","rejoindre, attacher, s'affilier, se connecter",Sometimes Reflexive,Parfois Réfléchi
33,,,heilen,to heal,guérir,Sometimes Reflexive,Parfois Réfléchi
33,,,betreffen,"to concern, to affect","concerner, affecter",,
33,,,vorkommen,"to occur, to happen, to advance","se produire, arriver, progresser",,
33,,,kleben,"to stick, to adhere, to bond, to glue","coller, adhérer, lier",Sometimes Reflexive,Parfois Réfléchi
33,,,zusammenarbeiten,"to cooperate, to collaborate","coopérer, collaborer",,
33,,,hochladen,to upload,"uploader, télécharger",,
33,,,abmelden,"to deregister, to unsubscribe, to log out","se désinscrire, se désabonner, se déconnecter",,
34,,,grillen,"to grill, to barbecue","griller, faire un barbecue",,
34,,,bedanken,to thank,remercier,Mostly Reflexive,Principalement Réfléchi
34,,,verlaufen,"to proceed, to pass, to go (in a certain way)","procéder, passer, aller (d'une certaine manière)",Sometimes Reflexive,Parfois Réfléchi
34,,,klettern,"to climb, to scale","grimper, escalader",,
34,,,eingeben,"to enter, to input, to give, to supply","entrer, saisir, donner, fournir",Sometimes Reflexive,Parfois Réfléchi
34,,,engagieren,"to hire, to engage, to get involved","embaucher, engager, s'impliquer",Sometimes Reflexive,Parfois Réfléchi
34,,,umtauschen,"to convert, to exchange (currency)","convertir, échanger (monnaie)",,
34,,,notieren,"to note, to quote","à noter, à citer",Sometimes Reflexive,Parfois Réfléchi
34,,,räumen,"to clear, to remove, to vacate","déblayer, débrancher, dégager",Sometimes Reflexive,Parfois Réfléchi
34,,,nachfragen,"to ask, to inquire, to demand","demander, s'enquérir, exiger",,
34,,,gewöhnen,"to get used to, to accustom oneself","s'habituer à, s'accoutumer",Mostly Reflexive,Principalement Réfléchi
34,,,erweitern,"to expand, to broaden, to widen, to extend","étendre, élargir, étendre",Sometimes Reflexive,Parfois Réfléchi
34,,,loben,"to praise, to commend","louer, féliciter",Sometimes Reflexive,Parfois Réfléchi
34,,,fürchten,"to fear, to be afraid of",avoir peur de,Sometimes Reflexive,Parfois Réfléchi
34,,,aufmachen,"to open (coll.), to head or move off (refl.), to undo something","ouvrir (familier), se diriger ou s'éloigner (réfl.), défaire quelque chose",Sometimes Reflexive,Parfois Réfléchi
34,,,werben,"to advertise, to recruit","faire de la publicité, recruter",,
34,,,verleihen,"to award, to grant, to lend","attribuer, accorder, prêter",,
34,,,eignen,"to be suitable, to be appropriate","être convenable, être approprié",Mostly Reflexive,Principalement Réfléchi
34,,,gelangen,"to reach, to arrive, to attain","atteindre, arriver",,
34,,,einschalten,"to switch on, to intervene, to turn on","allumer, intervenir",Sometimes Reflexive,Parfois Réfléchi
35,,,integrieren,"to integrate, to incorporate","intégrer, incorporer",Sometimes Reflexive,Parfois Réfléchi
35,,,widmen,"to dedicate, to devote",consacrer,Regularly Reflexive,Toujours Réfléchi
35,,,stoppen,to stop a movement (vehicle or person),arrêter un mouvement (véhicule ou personne),Sometimes Reflexive,Parfois Réfléchi
35,,,austauschen,"to exchange, to replace, to swap","échanger, remplacer, permuter",Sometimes Reflexive,Parfois Réfléchi
35,,,zusammenfassen,"to summarize, to condense, to abstract","résumer, condenser, abstraire",,
35,,,erschrecken,"to be frightened, to frighten","avoir peur, effrayer",Sometimes Reflexive,Parfois Réfléchi
35,,,markieren,"to mark, to highlight","marquer, mettre en valeur",,
35,,,operieren,to operate,opérer,,
35,,,verzeihen,"to forgive, to pardon, to excuse","pardonner, excuser",,
35,,,abfahren,"to depart, to leave","partir, quitter",,
35,,,erleichtern,"to facilitate, to ease, to relieve","faciliter, alléger, soulager",Sometimes Reflexive,Parfois Réfléchi
35,,,senken,"to lower, to sink, to drop, to reduce","abaisser, couler, laisser tomber, réduire",Sometimes Reflexive,Parfois Réfléchi
35,,,warnen,"to warn, to caution","avertir, mettre en garde",Sometimes Reflexive,Parfois Réfléchi
35,,,klappen,"to work out, to go smoothly, to fold","se dérouler, se dérouler sans problème, se plier",,
35,,,ergänzen,"to complement, to add, to supplement","compléter, ajouter, suppléer",Sometimes Reflexive,Parfois Réfléchi
35,,,zubereiten,"to prepare (food), to cook","préparer (de la nourriture), cuisiner",,
35,,,stinken,to stink,puer,,
35,,,sich verhalten,"to behave (refl.), to act (refl.), to press (coll.)","se comporter (réfl.), agir (réfl.), faire pression (familier)",Always Reflexive,Toujours Réfléchi
35,,,überweisen,"to transfer (money), to refer (a patient)","transférer (de l'argent), référer (un patient)",,
35,,,basteln,"to craft, to tinker","bricoler, fabriquer",,
36,,,ansprechen,"to address, to speak to, to appeal to","s'adresser à, parler à, faire appel à",,
36,,,kritisieren,"to criticize, to censure","critiquer, censurer",,
36,,,zurückgehen,"to go back, to decrease, to decline","revenir en arrière, diminuer, décliner",Sometimes Reflexive,Parfois Réfléchi
36,,,investieren,to invest,investir,Sometimes Reflexive,Parfois Réfléchi
36,,,steigern,"to increase, to boost, to enhance","augmenter, stimuler, améliorer",Sometimes Reflexive,Parfois Réfléchi
36,,,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer",Sometimes Reflexive,Parfois Réfléchi
36,,,importieren,to import,importer,,
36,,,klopfen,"to knock, to tap (food)","frapper, tapoter (nourriture)",Sometimes Reflexive,Parfois Réfléchi
36,,,winken,"to wave, to beckon",faire signe,,
36,,,schmelzen,to melt,faire fondre,Sometimes Reflexive,Parfois Réfléchi
36,,,pflegen,"to nurse, to care for, to maintain","soigner, prendre soin de, entretenir",Sometimes Reflexive,Parfois Réfléchi
36,,,finanzieren,"to finance, to fund","financer, financer",Sometimes Reflexive,Parfois Réfléchi
36,,,ernähren,"to feed, to nourish, to sustain","nourrir, entretenir, soutenir",Sometimes Reflexive,Parfois Réfléchi
36,,,ankündigen,"to announce, to declare","annoncer, déclarer",Sometimes Reflexive,Parfois Réfléchi
36,,,realisieren,"to realize, to implement, to actualize","réaliser, mettre en œuvre, actualiser",,
36,,,verabreden,"to arrange, to make an appointment","prendre rendez-vous, convenir d'un rendez-vous",Mostly Reflexive,Principalement Réfléchi
36,,,unterbrechen,"to interrupt, to suspend","interrompre, suspendre",,
36,,,renovieren,"to refurbish, to renovate","remettre à neuf, rénover",,
36,,,verschreiben,"to prescribe, to commit oneself to, to misspell by accident","prescrire, s'engager à, faire une faute d'orthographe par accident",Sometimes Reflexive,Parfois Réfléchi
36,,,hingehen,"to go (there), (of time) to pass","aller (là-bas), passer (le temps)",,
37,,,weggehen,"to go away, to leave","s'en aller, quitter",,
37,,,abheben,"to withdraw (money), to take off (aircraft)","retirer (de l'argent), décoller (un avion)",Sometimes Reflexive,Parfois Réfléchi
37,,,gratulieren,"to congratulate, to compliment on","féliciter, complimenter",,
37,,,zaubern,"to perform magic, to conjure","conjurer, ensorceler, évoquer",,
37,,,servieren,to serve,servir,,
37,,,entlassen,"to dismiss, to fire, to release","congédier, licencier, libérer",,
37,,,lehren,"to teach, to instruct","enseigner, instruire",,
37,,,einfügen,"to insert, to infix, to conform","insérer, infixer, se conformer",Sometimes Reflexive,Parfois Réfléchi
37,,,zusagen,"to promise, to accept, to agree","promettre, accepter, convenir",,
37,,,preisen,"to praise, to commend","louer, féliciter",,
37,,,erheben,"to raise, to collect, to levy","lever, collecter, prélever",Sometimes Reflexive,Parfois Réfléchi
37,,,ausreichen,"to suffice, to be sufficient, to be adequate","suffire, être suffisant, être adéquat",,
37,,,vergrößern,to enlarge,pour agrandir,Sometimes Reflexive,Parfois Réfléchi
37,,,trocknen,"to dry, to dehumidify","sécher, déshumidifier",Sometimes Reflexive,Parfois Réfléchi
37,,,stechen,"to sting, to prick, to puncture, to pierce","piquer, percer",Sometimes Reflexive,Parfois Réfléchi
37,,,auffallen,"to stand out, to catch someone's eye (with dative)","se démarquer, attirer l'attention (avec le datif)",,
37,,,mischen,"to mix, to blend",mélanger,Sometimes Reflexive,Parfois Réfléchi
37,,,schwitzen,"to sweat, to be in a sweat","transpirer, être en sueur",,
37,,,streiken,"to strike, to be on strike","faire grève, être en grève",,
37,,,heizen,"to heat, to warm, to fuel","chauffer, se chauffer",Sometimes Reflexive,Parfois Réfléchi
38,,,einschlafen,to fall asleep,s'endormir,,
38,,,chatten,to chat,"discuter, chatter",,
38,,,anklicken,"to click, to click on, to press","cliquer, cliquer sur, appuyer",,
38,,,bewerten,"to evaluate, to assess, to rate","évaluer, estimer, noter",,
38,,,sich bemühen,"to make an effort, to strive","faire un effort, s'efforcer",Always Reflexive,Toujours Réfléchi
38,,,sich beteiligen,"to participate, to be involved, to take part","participer, être impliqué, prendre part",Mostly Reflexive,Principalement Réfléchi
38,,,vergeben,"to forgive, to award, to assign","pardonner, récompenser, attribuer",,
38,,,verhandeln,"to negotiate, to bargain, to discuss","négocier, discuter",,
38,,,gleichen,"to equal, to match, to resemble","égaler, ressembler",Sometimes Reflexive,Parfois Réfléchi
38,,,würzen,"to season, to flavor","assaisonner, aromatiser",,
38,,,sich lohnen,"to be worthwhile, to pay off","être utile, être rentable",Always Reflexive,Toujours Réfléchi
38,,,widersprechen,"to contradict, to disagree","contredire, être en désaccord",,
38,,,frieren,"to freeze, to feel cold","geler, avoir froid",Sometimes Reflexive,Parfois Réfléchi
38,,,losgehen,"to leave, to go off, to advance","partir, s'en aller, avancer",,
38,,,beruhigen,"to calm, to reassure, to soothe","calmer, rassurer, apaiser",Sometimes Reflexive,Parfois Réfléchi
38,,,zögern,to hesitate,hésiter,,
38,,,ausfallen,"to fail, to be canceled, to malfunction","échouer, être annulé, dysfonctionner",,
38,,,protestieren,"to protest, to object","protester, s'opposer",,
38,,,aufgeben,"to give up on, to give up (refl.), to abandon","renoncer à, abandonner (réfl.),",Sometimes Reflexive,Parfois Réfléchi
38,,,überwachen,"to keep under surveillance, to monitor, to observe, to oversee","surveiller, observer, superviser",,
39,,,verteidigen,to defend,défendre,Sometimes Reflexive,Parfois Réfléchi
39,,,bestrafen,to punish,punir,Sometimes Reflexive,Parfois Réfléchi
39,,,vorlesen,"to read aloud, to read out",lire à haute voix,,
39,,,zugeben,"to admit, to confess, to add","admettre, confesser, ajouter",Sometimes Reflexive,Parfois Réfléchi
39,,,hinzufügen,to add,ajouter,,
39,,,beurteilen,"to judge, to assess","juger, évaluer",,
39,,,husten,"to cough, to have a cough","tousser, toussoter",,
39,,,ausschließen,"to exclude, to eliminate","exclure, éliminer",,
39,,,absolvieren,"to complete, to graduate, to finish","compléter, obtenir un diplôme, finir",,
39,,,faulenzen,"to chill, to laze around","se détendre, paresser",,
39,,,beten,to pray,prier,,
39,,,jagen,"to hunt, to chase, to pursue","chasser, poursuivre",Sometimes Reflexive,Parfois Réfléchi
39,,,angeln,"to fish, to angle, to hook up","pêcher, aller à la pêcher",,
39,,,bluten,"to bleed, to haemorrhage","saigner, avoir une hémorragie",,
39,,,anprobieren,"to try on, to fit, to fit on","essayer, ajuster, s'adapter à",Sometimes Reflexive,Parfois Réfléchi
39,,,duschen,"to shower, to have a shower, to take a shower","se doucher, prendre une douche",Mostly Reflexive,Principalement Réfléchi
39,,,ankreuzen,"to check, to cross, to mark","vérifier, croiser, marquer",,
39,,,graben,"to dig, to excavate, to delve","creuser, fouiller, excaver",Sometimes Reflexive,Parfois Réfléchi
39,,,abstimmen,"to coordinate, to vote, to adjust","coordonner, voter, ajuster",Sometimes Reflexive,Parfois Réfléchi
39,,,beschädigen,"to damage, to harm","endommager, nuire",,
40,,,weitermachen,"to go on, to keep going, to continue to do something","continuer, continuer à faire quelque chose",,
40,,,existieren,to exist,exister,,
40,,,anschauen,"to look at, to behold, to take a look at, to watch (Bayern and Austria)","regarder, contempler, jeter un coup d'œil à, observer (Bayern et Autriche)",Sometimes Reflexive,Parfois Réfléchi
40,,,veranstalten,"to organize, to arrange, to host","organiser, arranger, héberger",,
40,,,spalten,"to split, to divide","diviser, diviser",Sometimes Reflexive,Parfois Réfléchi
40,,,angreifen,to attack,attaquer,,
40,,,beeindrucken,to impress,impressionner,Sometimes Reflexive,Parfois Réfléchi
40,,,begeistern,"to enthuse, to be enthusiastic (refl.)","enthousiasmer, être enthousiaste (réfl.)",Sometimes Reflexive,Parfois Réfléchi
40,,,einpacken,"to pack in, to pack, to wrap, to wrap up","emballer, conclure",,
40,,,auspacken,"to unpack, to unwrap, to blow the whistle on","déballer, dénoncer",,
40,,,ausdrücken,"to express, to articulate, to convey, to embody","exprimer, articuler, transmettre, incarner",Sometimes Reflexive,Parfois Réfléchi
40,,,recyceln,to recycle,recycler,,
40,,,aufwachsen,"to grow up, to be raised","grandir, être élevé",,
40,,,kommunizieren,"to communicate, to commune, to connect","communiquer, se connecter",,
40,,,entnehmen,"to extract, to gather from, to remove","retirer, tirer, déduire",,
40,,,überleben,to survive,survivre,,
40,,,scheitern,"to fail, to fall through","échouer, tomber à travers",,
40,,,drohen,to threaten,menacer,,
40,,,beschweren,"to complain, to weigh down","se plaindre, alourdir",,
40,,,bemerken,"to notice, to observe, to remark","remarquer, observer",,
41,,darstellen,darstellen,"to depict, to portray, to represent, to illustrate","dépeindre, représenter, illustrer",,
41,,fangen,fangen,to catch,attraper,,
41,,erreichen,erreichen,"to reach, to achieve, to attain","atteindre, réaliser, parvenir",,
41,,genießen,genießen,"to savor, to relish, to enjoy, to take pleasure in","apprécier, savourer",,
41,,gelten,gelten,"to apply, to be valid, to count","appliquer, être valide, compter",,
41,,herstellen,herstellen,"to produce, to make, to establish","produire, fabriquer, établir",,
41,,entschuldigen,entschuldigen,"to excuse, to apologize","excuser, s'excuser",Mostly Reflexive,Principalement Réfléchi
41,,schaffen,schaffen,"to manage, to accomplish, to create","gérer, accomplir, créer",,
41,,meinen,meinen,"to think, to mean, to have an opinion","penser, vouloir dire, avoir une opinion",,
41,,verwenden,verwenden,"to use, to employ, to utilize","utiliser, employer, exploiter",,
41,,verschieben,verschieben,"to postpone, to move, to shift","reporter, déplacer, décaler",Sometimes Reflexive,Parfois Réfléchi
