Nr,exercise,level_verben,Nr_verben,level_noun,level_goethe,level_routledge,question,answer,german,root_english,english,root_french,french,german_verb,english_verb,french_verb,german_noun,english_noun,french_noun,gender_english,gender_french
341,19,B1,217,B1,A2,,die Bewerbung,bewerben,,the application,"to apply (for a job, position)",l'application,"postuler (à un emploi, un poste)",bewerben,"to apply (for a job, position)","postuler (à un emploi, un poste)",die Bewerbung,the application,l'application,,
342,19,B1,220,A1,A1,A1,das Angebot,anbieten,,the offer,"to offer, to provide, to propose",l'offre,"offrir, fournir, proposer",anbieten,"to offer, to provide, to propose","offrir, fournir, proposer",das Angebot,the offer,l'offre,,
343,19,B1,226,A2,B1,B1,der Ärger,ärgern,,the annoyance,"to annoy, to irritate, to anger",l'ennui,"irriter, mettre en colère",ärgern,"to annoy, to irritate, to anger","irriter, mettre en colère",der Ärger,the annoyance,l'ennui,,
344,19,B1,228,B1,B1,B1,die Kündigung,kündigen,,the resignation,"to resign, to quit, to terminate, to cancel",la démission,"démissionner, quitter, mettre fin à, annuler",kündigen,"to resign, to quit, to terminate, to cancel","démissionner, quitter, mettre fin à, annuler",die Kündigung,the resignation,la démission,,
345,19,B1,231,A1,B1,A1,die Wirkung,wirken,,the effect,"to have an effect, to work",l'effet,"avoir un effet, functionner",wirken,"to have an effect, to work","avoir un effet, functionner",die Wirkung,the effect,l'effet,,
346,19,B1,232,A2,B1,A2,die Verletzung,verletzen,,the injury,"to injure, to hurt, to violate",la blessure,"blesser, faire du mal, être violent",verletzen,"to injure, to hurt, to violate","blesser, faire du mal, être violent",die Verletzung,the injury,la blessure,,
347,19,B1,233,A2,B1,A2,die Zustimmung,zustimmen,,the agreement,"to agree, to consent, to approve",l'accord,"être d'accord, consentir, approuver",zustimmen,"to agree, to consent, to approve","être d'accord, consentir, approuver",die Zustimmung,the agreement,l'accord,,
348,19,B1,234,B1,B1,B1,die Trennung,trennen,,the separation,"to separate, to divide, to split",la séparation,"séparer, diviser",trennen,"to separate, to divide, to split","séparer, diviser",die Trennung,the separation,la séparation,,
349,19,B1,236,A2,B1,A2,die Entfernung,entfernen,,the distance,"to remove, to eliminate",la distance,"supprimer, éliminer",entfernen,"to remove, to eliminate","supprimer, éliminer",die Entfernung,the distance,la distance,,
350,19,B1,239,A2,B1,A2,die Beschreibung,beschreiben,,the description,"to describe, to depict",la description,"décrire, représenter",beschreiben,"to describe, to depict","décrire, représenter",die Beschreibung,the description,la description,,
351,19,B1,240,A1,B1,A1,die Verbindung,verbinden,,the connection,"to connect, to link, to join, to bandage",la connexion,"connecter, lier, joindre, bander",verbinden,"to connect, to link, to join, to bandage","connecter, lier, joindre, bander",die Verbindung,the connection,la connexion,,
352,19,B1,240,B1,,A2,der Verband,verbinden,,the bandage,"to connect, to link, to join, to bandage",le bandage,"connecter, lier, joindre, bander",verbinden,"to connect, to link, to join, to bandage","connecter, lier, joindre, bander",der Verband,the bandage,le bandage,,
353,20,B1,,A1,A1,A2,testen,der Test,,"to test, to examine",the test,"tester, examiner",le test,testen,"to test, to examine","tester, examiner",der Test,the test,le test,Masculine,Masculin
354,20,B1,,A1,B1,A1,kontrollieren,die Kontrolle,,"to control, to check",the control,"contrôler, vérifier",le contrôle,kontrollieren,"to control, to check","contrôler, vérifier",die Kontrolle,the control,le contrôle,Feminine,Féminin
355,20,B1,,B1,B1,B1,ersetzen,der Ersatz,,"to replace, to substitute, to compensate for",the replacement,"remplacer, substituer, compenser",le remplacement,ersetzen,"to replace, to substitute, to compensate for","remplacer, substituer, compenser",der Ersatz,the replacement,le remplacement,Masculine,Masculin
356,20,B1,,A1,B1,A1,diskutieren,die Diskussion,,"to discuss, to debate",the discussion,"discuter, débattre",la discussion,diskutieren,"to discuss, to debate","discuter, débattre",die Diskussion,the discussion,la discussion,Feminine,Féminin
357,20,B1,,A1,A2,A1,vorschlagen,der Vorschlag,,"to suggest, to propose",the suggestion,"suggérer, proposer",la suggestion,vorschlagen,"to suggest, to propose","suggérer, proposer",der Vorschlag,the suggestion,la suggestion,Masculine,Masculin
358,20,B1,,A2,B1,B1,teilnehmen,die Teilnahme,,"to participate, to take part, to partake",the participation,"participer, prendre part",la participation,teilnehmen,"to participate, to take part, to partake","participer, prendre part",die Teilnahme,the participation,la participation,Feminine,Féminin
359,20,B1,,A1,B1,A1,gründen,der Grund,,"to found, to establish, to start",the reason,"fonder, établir, démarrer",la raison,gründen,"to found, to establish, to start","fonder, établir, démarrer",der Grund,the reason,la raison,Masculine,Masculin
360,20,B1,,A2,B1,A2,beraten,die Beratung,,"to advise, to consult, to discuss",the advice,"conseiller, consulter, discuter",les conseils,beraten,"to advise, to consult, to discuss","conseiller, consulter, discuter",die Beratung,the advice,les conseils,Feminine,Féminin
361,20,B1,,B1,A2,,bewerben,die Bewerbung,,"to apply (for a job, position)",the application,"postuler (à un emploi, un poste)",l'application,bewerben,"to apply (for a job, position)","postuler (à un emploi, un poste)",die Bewerbung,the application,l'application,Feminine,Féminin
362,20,B1,,A1,A1,A1,anbieten,das Angebot,,"to offer, to provide, to propose",the offer,"offrir, fournir, proposer",l'offre,anbieten,"to offer, to provide, to propose","offrir, fournir, proposer",das Angebot,the offer,l'offre,Neuter,Neutre
363,20,B1,,A2,B1,B1,ärgern,der Ärger,,"to annoy, to irritate, to anger",the annoyance,"irriter, mettre en colère",l'ennui,ärgern,"to annoy, to irritate, to anger","irriter, mettre en colère",der Ärger,the annoyance,l'ennui,Masculine,Masculin
364,20,B1,,B1,B1,B1,kündigen,die Kündigung,,"to resign, to quit, to terminate, to cancel",the resignation,"démissionner, quitter, mettre fin à, annuler",la démission,kündigen,"to resign, to quit, to terminate, to cancel","démissionner, quitter, mettre fin à, annuler",die Kündigung,the resignation,la démission,Feminine,Féminin
365,20,B1,,A1,B1,A1,wirken,die Wirkung,,"to have an effect, to work",the effect,"avoir un effet, functionner",l'effet,wirken,"to have an effect, to work","avoir un effet, functionner",die Wirkung,the effect,l'effet,Feminine,Féminin
366,20,B1,,A2,B1,A2,verletzen,die Verletzung,,"to injure, to hurt, to violate",the injury,"blesser, faire du mal, être violent",la blessure,verletzen,"to injure, to hurt, to violate","blesser, faire du mal, être violent",die Verletzung,the injury,la blessure,Feminine,Féminin
367,20,B1,,A2,B1,A2,zustimmen,die Zustimmung,,"to agree, to consent, to approve",the agreement,"être d'accord, consentir, approuver",l'accord,zustimmen,"to agree, to consent, to approve","être d'accord, consentir, approuver",die Zustimmung,the agreement,l'accord,Feminine,Féminin
368,20,B1,,B1,B1,B1,trennen,die Trennung,,"to separate, to divide, to split",the separation,"séparer, diviser",la séparation,trennen,"to separate, to divide, to split","séparer, diviser",die Trennung,the separation,la séparation,Feminine,Féminin
369,20,B1,,A2,B1,A2,entfernen,die Entfernung,,"to remove, to eliminate",the distance,"supprimer, éliminer",la distance,entfernen,"to remove, to eliminate","supprimer, éliminer",die Entfernung,the distance,la distance,Feminine,Féminin
370,20,B1,,A2,B1,A2,beschreiben,die Beschreibung,,"to describe, to depict",the description,"décrire, représenter",la description,beschreiben,"to describe, to depict","décrire, représenter",die Beschreibung,the description,la description,Feminine,Féminin
371,20,B1,,A1,B1,A1,verbinden,die Verbindung,,"to connect, to link, to join, to bandage",the connection,"connecter, lier, joindre, bander",la connexion,verbinden,"to connect, to link, to join, to bandage","connecter, lier, joindre, bander",die Verbindung,the connection,la connexion,Feminine,Féminin
372,20,B1,,B1,,A2,verbinden,der Verband,,"to connect, to link, to join, to bandage",the bandage,"connecter, lier, joindre, bander",le bandage,verbinden,"to connect, to link, to join, to bandage","connecter, lier, joindre, bander",der Verband,the bandage,le bandage,Masculine,Masculin
373,21,B1,247,B1,B1,A2,das Erlebnis,erleben,,the experience,"to experience, to live through",l'expérience,"expérimenter, vivre",erleben,"to experience, to live through","expérimenter, vivre",das Erlebnis,the experience,l'expérience,,
374,21,B1,249,B1,B1,B1,die Erholung,erholen,,the recovery,"to recover, to recuperate",la récupération,"récupérer, se rétablir",erholen,"to recover, to recuperate","récupérer, se rétablir",die Erholung,the recovery,la récupération,,
375,21,B1,250,A1,A1,A1,der Plan,planen,,the plan,"to plan, to schedule",le plan,"planifier, programmer",planen,"to plan, to schedule","planifier, programmer",der Plan,the plan,le plan,,
376,21,B1,252,A1,A2,A1,die Erfahrung,erfahren,,the experience,"to learn, to find out, to experience",l'expérience,"apprendre, découvrir, expérimenter",erfahren,"to learn, to find out, to experience","apprendre, découvrir, expérimenter",die Erfahrung,the experience,l'expérience,,
377,21,B1,253,B1,B1,B1,die Enttäuschung,enttäuschen,,the disappointment,"to disappoint, to let down",la déception,"décevoir, laisser tomber",enttäuschen,"to disappoint, to let down","décevoir, laisser tomber",die Enttäuschung,the disappointment,la déception,,
378,21,B1,256,A2,A2,,der Spaziergang,spazieren,,the walk,"to stroll, to walk leisurely",la promenade,"flâner, marcher tranquillement",spazieren,"to stroll, to walk leisurely","flâner, marcher tranquillement",der Spaziergang,the walk,la promenade,,
379,21,B1,257,B2,B1,,die Wanderung,wandern,,the hike,"to hike, to wander, to migrate",la randonnée,"faire de la randonnée, errer, migrer",wandern,"to hike, to wander, to migrate","faire de la randonnée, errer, migrer",die Wanderung,the hike,la randonnée,,
380,21,B1,259,A1,A2,A2,das Training,trainieren,,the training,"to train, to practice, to coach",la formation,"entraîner, pratiquer, coacher",trainieren,"to train, to practice, to coach","entraîner, pratiquer, coacher",das Training,the training,la formation,,
381,21,B1,262,A2,B1,B1,die Überraschung,überraschen,,the surprise,to surprise,la surprise,surprendre,überraschen,to surprise,surprendre,die Überraschung,the surprise,la surprise,,
382,21,B1,263,B1,B1,B1,das Verbot,verbieten,,the prohibition,"to forbid, to prohibit",l'interdiction,"interdire, prohiber",verbieten,"to forbid, to prohibit","interdire, prohiber",das Verbot,the prohibition,l'interdiction,,
383,21,B1,265,B1,A1,B1,die Unterschrift,unterschreiben,,the signature,"to sign, to subscribe, to unterwrite",la signature,"signer, souscrire",unterschreiben,"to sign, to subscribe, to unterwrite","signer, souscrire",die Unterschrift,the signature,la signature,,
384,21,B1,266,A2,B1,B1,der Empfang,empfangen,,the reception,"to receive, to welcome, to greet",la réception,"recevoir, accueillir, saluer",empfangen,"to receive, to welcome, to greet","recevoir, accueillir, saluer",der Empfang,the reception,la réception,,
385,21,B1,269,A2,B1,B1,die Lieferung,liefern,,the delivery,"to deliver, to supply",la livraison,"livrer, approvisionner",liefern,"to deliver, to supply","livrer, approvisionner",die Lieferung,the delivery,la livraison,,
386,21,B1,270,A2,B1,A2,das Vertrauen,vertrauen,,the trust,to trust,la confiance,faire confiance,vertrauen,to trust,faire confiance,das Vertrauen,the trust,la confiance,,
387,21,B1,271,A1,B1,A2,der Rat,raten,,the guess,"to advise, to recommend, to guess",la supposition,"conseiller, recommander, deviner",raten,"to advise, to recommend, to guess","conseiller, recommander, deviner",der Rat,the guess,la supposition,,
388,21,B1,279,A2,B1,A1,die Aufnahme,aufnehmen,,the recording,"to record, to take in, to absorb, to include",l'enregistrement,"enregistrer, assimiler, absorber, inclure",aufnehmen,"to record, to take in, to absorb, to include","enregistrer, assimiler, absorber, inclure",die Aufnahme,the recording,l'enregistrement,,
389,21,B1,282,A1,B1,A1,die Sicherheit,sichern,,the security,"to secure, to safeguard, to back up",la sécurité,"sécuriser, sauvegarder",sichern,"to secure, to safeguard, to back up","sécuriser, sauvegarder",die Sicherheit,the security,la sécurité,,
390,21,B1,284,B1,B1,A2,die Beschäftigung,beschäftigen,,the employment,"to employ, to occupy, to engage",l'emploi,"employer, occuper, engager",beschäftigen,"to employ, to occupy, to engage","employer, occuper, engager",die Beschäftigung,the employment,l'emploi,,
391,21,B1,285,A2,B1,A2,die Vorbereitung,vorbereiten,,the preparation,"to prepare, to get ready, to prepare in advance",la préparation,se préparer,vorbereiten,"to prepare, to get ready, to prepare in advance",se préparer,die Vorbereitung,the preparation,la préparation,,
392,21,B1,291,B2,B1,,die Besprechung,besprechen,,the discussion,"to discuss, to talk about",la discussion,"discuter, parler de",besprechen,"to discuss, to talk about","discuter, parler de",die Besprechung,the discussion,la discussion,,
393,22,B1,,B1,B1,A2,erleben,das Erlebnis,,"to experience, to live through",the experience,"expérimenter, vivre",l'expérience,erleben,"to experience, to live through","expérimenter, vivre",das Erlebnis,the experience,l'expérience,Neuter,Neutre
394,22,B1,,B1,B1,B1,erholen,die Erholung,,"to recover, to recuperate",the recovery,"récupérer, se rétablir",la récupération,erholen,"to recover, to recuperate","récupérer, se rétablir",die Erholung,the recovery,la récupération,Feminine,Féminin
395,22,B1,,A1,A1,A1,planen,der Plan,,"to plan, to schedule",the plan,"planifier, programmer",le plan,planen,"to plan, to schedule","planifier, programmer",der Plan,the plan,le plan,Masculine,Masculin
396,22,B1,,A1,A2,A1,erfahren,die Erfahrung,,"to learn, to find out, to experience",the experience,"apprendre, découvrir, expérimenter",l'expérience,erfahren,"to learn, to find out, to experience","apprendre, découvrir, expérimenter",die Erfahrung,the experience,l'expérience,Feminine,Féminin
397,22,B1,,B1,B1,B1,enttäuschen,die Enttäuschung,,"to disappoint, to let down",the disappointment,"décevoir, laisser tomber",la déception,enttäuschen,"to disappoint, to let down","décevoir, laisser tomber",die Enttäuschung,the disappointment,la déception,Feminine,Féminin
398,22,B1,,A2,A2,,spazieren,der Spaziergang,,"to stroll, to walk leisurely",the walk,"flâner, marcher tranquillement",la promenade,spazieren,"to stroll, to walk leisurely","flâner, marcher tranquillement",der Spaziergang,the walk,la promenade,Masculine,Masculin
399,22,B1,,B2,B1,,wandern,die Wanderung,,"to hike, to wander, to migrate",the hike,"faire de la randonnée, errer, migrer",la randonnée,wandern,"to hike, to wander, to migrate","faire de la randonnée, errer, migrer",die Wanderung,the hike,la randonnée,Feminine,Féminin
400,22,B1,,A1,A2,A2,trainieren,das Training,,"to train, to practice, to coach",the training,"entraîner, pratiquer, coacher",la formation,trainieren,"to train, to practice, to coach","entraîner, pratiquer, coacher",das Training,the training,la formation,Neuter,Neutre
401,22,B1,,A2,B1,B1,überraschen,die Überraschung,,to surprise,the surprise,surprendre,la surprise,überraschen,to surprise,surprendre,die Überraschung,the surprise,la surprise,Feminine,Féminin
402,22,B1,,B1,B1,B1,verbieten,das Verbot,,"to forbid, to prohibit",the prohibition,"interdire, prohiber",l'interdiction,verbieten,"to forbid, to prohibit","interdire, prohiber",das Verbot,the prohibition,l'interdiction,Neuter,Neutre
403,22,B1,,B1,A1,B1,unterschreiben,die Unterschrift,,"to sign, to subscribe, to unterwrite",the signature,"signer, souscrire",la signature,unterschreiben,"to sign, to subscribe, to unterwrite","signer, souscrire",die Unterschrift,the signature,la signature,Feminine,Féminin
404,22,B1,,A2,B1,B1,empfangen,der Empfang,,"to receive, to welcome, to greet",the reception,"recevoir, accueillir, saluer",la réception,empfangen,"to receive, to welcome, to greet","recevoir, accueillir, saluer",der Empfang,the reception,la réception,Masculine,Masculin
405,22,B1,,A2,B1,B1,liefern,die Lieferung,,"to deliver, to supply",the delivery,"livrer, approvisionner",la livraison,liefern,"to deliver, to supply","livrer, approvisionner",die Lieferung,the delivery,la livraison,Feminine,Féminin
406,22,B1,,A2,B1,A2,vertrauen,das Vertrauen,,to trust,the trust,faire confiance,la confiance,vertrauen,to trust,faire confiance,das Vertrauen,the trust,la confiance,Neuter,Neutre
407,22,B1,,A1,B1,A2,raten,der Rat,,"to advise, to recommend, to guess",the guess,"conseiller, recommander, deviner",la supposition,raten,"to advise, to recommend, to guess","conseiller, recommander, deviner",der Rat,the guess,la supposition,Masculine,Masculin
408,22,B1,,A2,B1,A1,aufnehmen,die Aufnahme,,"to record, to take in, to absorb, to include",the recording,"enregistrer, assimiler, absorber, inclure",l'enregistrement,aufnehmen,"to record, to take in, to absorb, to include","enregistrer, assimiler, absorber, inclure",die Aufnahme,the recording,l'enregistrement,Feminine,Féminin
409,22,B1,,A1,B1,A1,sichern,die Sicherheit,,"to secure, to safeguard, to back up",the security,"sécuriser, sauvegarder",la sécurité,sichern,"to secure, to safeguard, to back up","sécuriser, sauvegarder",die Sicherheit,the security,la sécurité,Feminine,Féminin
410,22,B1,,B1,B1,A2,beschäftigen,die Beschäftigung,,"to employ, to occupy, to engage",the employment,"employer, occuper, engager",l'emploi,beschäftigen,"to employ, to occupy, to engage","employer, occuper, engager",die Beschäftigung,the employment,l'emploi,Feminine,Féminin
411,22,B1,,A2,B1,A2,vorbereiten,die Vorbereitung,,"to prepare, to get ready, to prepare in advance",the preparation,se préparer,la préparation,vorbereiten,"to prepare, to get ready, to prepare in advance",se préparer,die Vorbereitung,the preparation,la préparation,Feminine,Féminin
412,22,B1,,B2,B1,,besprechen,die Besprechung,,"to discuss, to talk about",the discussion,"discuter, parler de",la discussion,besprechen,"to discuss, to talk about","discuter, parler de",die Besprechung,the discussion,la discussion,Feminine,Féminin
413,23,B1,292,B1,B1,B1,die Erhöhung,erhöhen,,the increase,"to increase, to raise, to enhance",l'augmentation,"augmenter, élever, rehausser",erhöhen,"to increase, to raise, to enhance","augmenter, élever, rehausser",die Erhöhung,the increase,l'augmentation,,
414,23,B1,297,A2,B1,A2,der Beweis,beweisen,,the proof,"to prove, to demonstrate",la preuve,"prouver, démontrer",beweisen,"to prove, to demonstrate","prouver, démontrer",der Beweis,the proof,la preuve,,
415,23,B1,298,B1,B1,B1,die Erfindung,erfinden,,the invention,"to invent, to make up, to fabricate",l'invention,"inventer, fabriquer",erfinden,"to invent, to make up, to fabricate","inventer, fabriquer",die Erfindung,the invention,l'invention,,
416,23,B1,299,A1,A1,A2,die Rechnung,rechnen,,the bill,"to calculate, to expect, to count on",le projet de loi,"calculer, s'attendre à, compter sur",rechnen,"to calculate, to expect, to count on","calculer, s'attendre à, compter sur",die Rechnung,the bill,le projet de loi,,
417,23,B1,300,A2,A1,A1,der Unterricht,unterrichten,,the lesson,"to teach, to instruct, to inform",la leçon,"enseigner, instruire, informer",unterrichten,"to teach, to instruct, to inform","enseigner, instruire, informer",der Unterricht,the lesson,la leçon,,
418,23,B1,303,A1,B1,A1,der Abschluss,abschließen,,the completion,"to complete, to conclude, to lock",l'achèvement,"compléter, conclure, verrouiller",abschließen,"to complete, to conclude, to lock","compléter, conclure, verrouiller",der Abschluss,the completion,l'achèvement,,
419,23,B1,305,A1,A2,A1,die Ausbildung,ausbilden,,the training,"to train, to educate, to develop",la formation,"former, éduquer, développer (une compétence)",ausbilden,"to train, to educate, to develop","former, éduquer, développer (une compétence)",die Ausbildung,the training,la formation,,
420,23,B1,308,B1,B1,,der Kuss,küssen,,the kiss,"to kiss, to make out",le baiser,"embrasser, peloter",küssen,"to kiss, to make out","embrasser, peloter",der Kuss,the kiss,le baiser,,
421,23,B1,310,B1,A2,B1,der Umzug,umziehen,,the move,"to move (house), to change clothes",le déménagement,"déménager, changer de vêtements",umziehen,"to move (house), to change clothes","déménager, changer de vêtements",der Umzug,the move,le déménagement,,
422,23,B1,312,A1,A1,A1,das Ende,enden,,the end,"to end, to finish, to conclude",la fin,"terminer, achever, conclure",enden,"to end, to finish, to conclude","terminer, achever, conclure",das Ende,the end,la fin,,
423,23,B1,314,B1,A1,,die Achtung,achten,,the respect,"to respect, to pay attention to, to heed",le respect,"respecter, prêter attention à",achten,"to respect, to pay attention to, to heed","respecter, prêter attention à",die Achtung,the respect,le respect,,
424,23,B1,318,A2,B1,A2,der Atem,atmen,,the breath,to breathe,le souffle,respirer,atmen,to breathe,respirer,der Atem,the breath,le souffle,,
425,23,B1,323,A1,A1,A1,der Blick,blicken,,"the look, the glance, the gaze","to look, to glance, to gaze","le regard, le coup d'œil, le regard","regarder, jeter un coup d'œil, contempler",blicken,"to look, to glance, to gaze","regarder, jeter un coup d'œil, contempler",der Blick,"the look, the glance, the gaze","le regard, le coup d'œil, le regard",,
426,23,B1,324,B1,B1,B1,die Flucht,fliehen,,the escape,"to flee, to escape, to diverge",l'évasion,"fuir, s'échapper, diverger",fliehen,"to flee, to escape, to diverge","fuir, s'échapper, diverger",die Flucht,the escape,l'évasion,,
427,23,B1,332,A1,B1,A1,die Richtung,richten,,the direction,"to direct, to adjust, to focus, to judge",la direction,"diriger, ajuster, focaliser, juger",richten,"to direct, to adjust, to focus, to judge","diriger, ajuster, focaliser, juger",die Richtung,the direction,la direction,,
428,23,B1,336,B1,B1,B1,die Scheidung,scheiden,,the divorce,"to separate, to divorce, to part",le divorce,"se séparer, divorcer",scheiden,"to separate, to divorce, to part","se séparer, divorcer",die Scheidung,the divorce,le divorce,,
429,23,B1,347,B1,B1,,die Gewohnheit,gewöhnen,,the habit,"to get used to, to accustom oneself",l'habitude,"s'habituer à, s'accoutumer",gewöhnen,"to get used to, to accustom oneself","s'habituer à, s'accoutumer",die Gewohnheit,the habit,l'habitude,,
430,23,B1,348,A2,B1,A2,die Auswahl,auswählen,,the selection,"to choose, to select",la sélection,"choisir, sélectionner",auswählen,"to choose, to select","choisir, sélectionner",die Auswahl,the selection,la sélection,,
431,23,B1,350,B1,B1,A2,die Begründung,begründen,,the justification,"to justify, to explain, to establish",la justification,"justifier, expliquer, établir",begründen,"to justify, to explain, to establish","justifier, expliquer, établir",die Begründung,the justification,la justification,,
432,23,B1,351,B1,A2,,die Lüge,lügen,,the lie,"to lie, to tell a falsehood",le mensonge,"mentir, dire une fausseté",lügen,"to lie, to tell a falsehood","mentir, dire une fausseté",die Lüge,the lie,le mensonge,,
433,24,B1,,B1,B1,B1,erhöhen,die Erhöhung,,"to increase, to raise, to enhance",the increase,"augmenter, élever, rehausser",l'augmentation,erhöhen,"to increase, to raise, to enhance","augmenter, élever, rehausser",die Erhöhung,the increase,l'augmentation,Feminine,Féminin
434,24,B1,,A2,B1,A2,beweisen,der Beweis,,"to prove, to demonstrate",the proof,"prouver, démontrer",la preuve,beweisen,"to prove, to demonstrate","prouver, démontrer",der Beweis,the proof,la preuve,Masculine,Masculin
435,24,B1,,B1,B1,B1,erfinden,die Erfindung,,"to invent, to make up, to fabricate",the invention,"inventer, fabriquer",l'invention,erfinden,"to invent, to make up, to fabricate","inventer, fabriquer",die Erfindung,the invention,l'invention,Feminine,Féminin
436,24,B1,,A1,A1,A2,rechnen,die Rechnung,,"to calculate, to expect, to count on",the bill,"calculer, s'attendre à, compter sur",le projet de loi,rechnen,"to calculate, to expect, to count on","calculer, s'attendre à, compter sur",die Rechnung,the bill,le projet de loi,Feminine,Féminin
437,24,B1,,A2,A1,A1,unterrichten,der Unterricht,,"to teach, to instruct, to inform",the lesson,"enseigner, instruire, informer",la leçon,unterrichten,"to teach, to instruct, to inform","enseigner, instruire, informer",der Unterricht,the lesson,la leçon,Masculine,Masculin
438,24,B1,,A1,B1,A1,abschließen,der Abschluss,,"to complete, to conclude, to lock",the completion,"compléter, conclure, verrouiller",l'achèvement,abschließen,"to complete, to conclude, to lock","compléter, conclure, verrouiller",der Abschluss,the completion,l'achèvement,Masculine,Masculin
439,24,B1,,A1,A2,A1,ausbilden,die Ausbildung,,"to train, to educate, to develop",the training,"former, éduquer, développer (une compétence)",la formation,ausbilden,"to train, to educate, to develop","former, éduquer, développer (une compétence)",die Ausbildung,the training,la formation,Feminine,Féminin
440,24,B1,,B1,B1,,küssen,der Kuss,,"to kiss, to make out",the kiss,"embrasser, peloter",le baiser,küssen,"to kiss, to make out","embrasser, peloter",der Kuss,the kiss,le baiser,Masculine,Masculin
441,24,B1,,B1,A2,B1,umziehen,der Umzug,,"to move (house), to change clothes",the move,"déménager, changer de vêtements",le déménagement,umziehen,"to move (house), to change clothes","déménager, changer de vêtements",der Umzug,the move,le déménagement,Masculine,Masculin
442,24,B1,,A1,A1,A1,enden,das Ende,,"to end, to finish, to conclude",the end,"terminer, achever, conclure",la fin,enden,"to end, to finish, to conclude","terminer, achever, conclure",das Ende,the end,la fin,Neuter,Neutre
443,24,B1,,B1,A1,,achten,die Achtung,,"to respect, to pay attention to, to heed",the respect,"respecter, prêter attention à",le respect,achten,"to respect, to pay attention to, to heed","respecter, prêter attention à",die Achtung,the respect,le respect,Feminine,Féminin
444,24,B1,,A2,B1,A2,atmen,der Atem,,to breathe,the breath,respirer,le souffle,atmen,to breathe,respirer,der Atem,the breath,le souffle,Masculine,Masculin
445,24,B1,,A1,A1,A1,blicken,der Blick,,"to look, to glance, to gaze","the look, the glance, the gaze","regarder, jeter un coup d'œil, contempler","le regard, le coup d'œil, le regard",blicken,"to look, to glance, to gaze","regarder, jeter un coup d'œil, contempler",der Blick,"the look, the glance, the gaze","le regard, le coup d'œil, le regard",Masculine,Masculin
446,24,B1,,B1,B1,B1,fliehen,die Flucht,,"to flee, to escape, to diverge",the escape,"fuir, s'échapper, diverger",l'évasion,fliehen,"to flee, to escape, to diverge","fuir, s'échapper, diverger",die Flucht,the escape,l'évasion,Feminine,Féminin
447,24,B1,,A1,B1,A1,richten,die Richtung,,"to direct, to adjust, to focus, to judge",the direction,"diriger, ajuster, focaliser, juger",la direction,richten,"to direct, to adjust, to focus, to judge","diriger, ajuster, focaliser, juger",die Richtung,the direction,la direction,Feminine,Féminin
448,24,B1,,B1,B1,B1,scheiden,die Scheidung,,"to separate, to divorce, to part",the divorce,"se séparer, divorcer",le divorce,scheiden,"to separate, to divorce, to part","se séparer, divorcer",die Scheidung,the divorce,le divorce,Feminine,Féminin
449,24,B1,,B1,B1,,gewöhnen,die Gewohnheit,,"to get used to, to accustom oneself",the habit,"s'habituer à, s'accoutumer",l'habitude,gewöhnen,"to get used to, to accustom oneself","s'habituer à, s'accoutumer",die Gewohnheit,the habit,l'habitude,Feminine,Féminin
450,24,B1,,A2,B1,A2,auswählen,die Auswahl,,"to choose, to select",the selection,"choisir, sélectionner",la sélection,auswählen,"to choose, to select","choisir, sélectionner",die Auswahl,the selection,la sélection,Feminine,Féminin
451,24,B1,,B1,B1,A2,begründen,die Begründung,,"to justify, to explain, to establish",the justification,"justifier, expliquer, établir",la justification,begründen,"to justify, to explain, to establish","justifier, expliquer, établir",die Begründung,the justification,la justification,Feminine,Féminin
452,24,B1,,B1,A2,,lügen,die Lüge,,"to lie, to tell a falsehood",the lie,"mentir, dire une fausseté",le mensonge,lügen,"to lie, to tell a falsehood","mentir, dire une fausseté",die Lüge,the lie,le mensonge,Feminine,Féminin
453,25,B1,353,B1,A1,B1,die Entschuldigung,entschuldigen,,the apology,"to excuse, to apologize",les excuses,"excuser, s'excuser",entschuldigen,"to excuse, to apologize","excuser, s'excuser",die Entschuldigung,the apology,les excuses,,
454,25,B1,354,B1,B1,,die Bestätigung,bestätigen,,the confirmation,"to confirm, to acknowledge, to endorse",la confirmation,"confirmer, reconnaître, approuver",bestätigen,"to confirm, to acknowledge, to endorse","confirmer, reconnaître, approuver",die Bestätigung,the confirmation,la confirmation,,
455,25,B1,355,A1,A1,A1,die Information,informieren,,the information,"to inform, to notify",les informations,"informer, notifier",informieren,"to inform, to notify","informer, notifier",die Information,the information,les informations,,
456,25,B1,356,A1,B1,A1,die Reaktion,reagieren,,the reaction,"to react, to respond",la réaction,"réagir, répondre",reagieren,"to react, to respond","réagir, répondre",die Reaktion,the reaction,la réaction,,
457,25,B1,358,B1,B1,,die Garantie,garantieren,,the guarantee,"to guarantee, to assure",la garantie,"garantir, assurer",garantieren,"to guarantee, to assure","garantir, assurer",die Garantie,the guarantee,la garantie,,
458,25,B1,359,A1,B1,A1,die Kritik,kritisieren,,the criticism,"to criticize, to censure",la critique,"critiquer, censurer",kritisieren,"to criticize, to censure","critiquer, censurer",die Kritik,the criticism,la critique,,
459,25,B1,362,B1,A1,B1,die Reparatur,reparieren,,the repair,"to repair, to fix",la réparation,réparer,reparieren,"to repair, to fix",réparer,die Reparatur,the repair,la réparation,,
