exercise,question,answer,german,english,french,explanation_english,explanation_french,antonym
19,,empfindlich,,sensitive,sensible,​,​,
19,,beliebt,,popular,populaire,<br><br>beliebt ↔ unbeliebt,<br><br>beliebt ↔ unbeliebt,unbeliebt
19,,unbeliebt,,impopular,impopulaire,<br><br>unbeliebt ↔ beliebt,<br><br>unbeliebt ↔ beliebt,beliebt
19,,großzügig,,generous,généreux,​,​,
19,,berühmt,,famous,célèbre,​,​,
19,,bescheiden,,modest,modeste,​,​,
19,,eifersüchtig,,"jealous, envious","jaloux, envieux",​,​,
19,,geboren,,born,né,​,​,
19,,kompliziert,,complicated,compliqué,<br><br>kompliziert ↔ unkompliziert,<br><br>kompliziert ↔ unkompliziert,unkompliziert
19,,anstrengend,,exhausting,épuisant,​,​,
19,,entscheidend,,"decisive, crucial",décisif,​,​,
19,,aggressiv,,aggressive,agressif,​,​,
19,,ungenügend,,insufficient,insuffisant,<br><br>ungenügend ↔ ausreichend,<br><br>ungenügend ↔ ausreichend,ausreichend
19,,ausreichend,,sufficient,suffisant,<br><br>ausreichend ↔ ungenügend,<br><br>ausreichend ↔ ungenügend,ungenügend
19,,aufgeregt,,excited,excité,​,​,
19,,enttäuscht,,disappointed,déçu,​,​,
19,,überrascht,,surprised,surpris,​,​,
19,,unheimlich,,uncanny,"effrayant, étrange",<br><br>unheimlich ↔ heimlich,<br><br>unheimlich ↔ heimlich,heimlich
20,,ziemlich,,considerable,"pas mal de, assez",​,​,
20,,fein,,"fine, refined","fin, raffiné",​,​,
20,,brav,,well-behaved,sage,​,​,
20,,geduldig,,patient,patient,<br><br>geduldig ↔ ungeduldig,<br><br>geduldig ↔ ungeduldig,ungeduldig
20,,ungeduldig,,impatient,impatient,<br><br>ungeduldig ↔ geduldig,<br><br>ungeduldig ↔ geduldig,geduldig
20,,hilfreich,,helpful,"aidant, utile",​,​,
20,,gemein,,"common, nasty",méchant,​,​,
20,,genial,,"brillant, ingenious","génial, ingénieux",​,​,
20,,schüchtern,,shy,timide,​,​,
20,,dringend,,urgent,urgent,​,​,
20,,verrückt,,crazy,fou,​,​,
20,,ausgezeichnet,,"excellent, distinguished","excellent, distingué",​,​,
20,,lokal,,local,local,​,​,
20,,einverstanden,,agreed,"d'accord, en accord",​,​,
20,,national,,national,national,​,​,
20,,regional,,regional,régional,​,​,
20,,weltweit,,worldwide,mondial,​,​,
20,,global,,global,global,​,​,
20,,international,,international,international,​,​,
20,,europäisch,,European,européen,​,​,
21,,unentschieden,,undecided,indécis,​,​,
21,,reichlich,,plenty,abondant,​,​,
21,,sachlich,,factual,factuel,​,​,
21,,ehrgeizig,,ambitious,ambitieux,​,​,
21,,begeistert,,enthusiastic,enthousiaste,​,​,
21,,erheblich,,"significant, considerable",considérable,<br><br>erheblich ↔ unerheblich,<br><br>erheblich ↔ unerheblich,unerheblich
21,,schuld,,responsible,responsable,​,​,
21,,stabil,,stable,stable,​,​,
21,,telefonisch,,"by phone, telephonic","par téléphone, téléphonique",​,​,
21,,vergleichbar,,comparable,comparable,​,​,
21,,einseitig,,one-sided,"unilatéral, partial",<br><br>einseitig ↔ zweiseitig,<br><br>einseitig ↔ zweiseitig,zweiseitig
21,,wütend,,angry,furieux,​,​,
21,,formell,,formal,formel,​,​,
21,,umweltfreundlich,,environmentally friendly,respectueux de l'environnement,​,​,
21,,vegan,,vegan,vegan,​,​,
21,,komplex,,complex,complexe,​,​,
21,,reif,,"mature, ripe",mûr,​,​,
21,,zentral,,central,central,​,​,
21,,romantisch,,romantic,romatique,​,​,
21,,fantastisch,,fantastic,fantastique,​,​,
22,,gesellschaftlich,sozial,"social, societal","social, sociétale",​,​,
22,,besondere,speziell,special,spécial,​,​,
22,,fair,gerecht,fair,"juste, équitable",​,​,
22,,lustig,witzig,funny,drôle,​,​,
22,,deutlich,eindeutig,"articulate, clear, distinct, considerable","clair, notable, évident",​,​,
22,,natürlich,selbstverständlich,"natural, self-evident","naturel, évident",​,​,
22,,ruhig,still,"calm, quiet","calme, silencieux",​,​,
22,,offen,geöffnet,"open, honest","ouvert, franc",​,​,
22,,komisch,merkwürdig,"strange, funny","étrange, drôle",​,​,
22,,toll,prima,great,super,​,​,
22,,möglich,eventuell,"possible, likely",possible,​,​,
22,,verfügbar,vorhanden,"available, at hand","disponible, accessible",​,​,
23,,wunderbar,herrlich,wonderful,merveilleux,​,​,
23,,niedrig,gering,low,bas,​,​,
23,,ganz,komplett,"whole, entire, complete","entier, complet",​,​,
23,,dünn,schlank,thin,mince,​,​,
23,,unbedingt,absolut,"absolute, unconditional","inconditionnel, absolu",​,​,
23,,fremd,ausländisch,foreign,étranger,​,​,
23,,rechtlich,gesetzlich,legal,légal,​,​,
23,,gesamt,total,"total, entire","total, complet",​,​,
23,,fair,recht,fair,"juste, équitable",​,​,
23,,verfügbar,erhältlich,"available, at hand","disponible, accessible",<br><br>verfügbar ↔ unerhältlich,<br><br>verfügbar ↔ unerhältlich,unerhältlich
23,,vorsichtig,sorgfältig,"careful, cautious","prudent, vigilant",​,​,
23,,ganz,vollständig,"whole, entire, complete","entier, complet",​,​,
24,,glücklich,fröhlich,"happy, glad","heureux, content",​,​,
24,,nass,feucht,wet,"humide, mouillé",​,​,
24,,zukünftig,künftig,future,futur,​,​,
24,,direkt,unmittelbar,direct,direct,​,​,
24,,beliebt,populär,popular,populaire,​,​,
24,,bestimmt,gewiss,"certain, determined","déterminé, destiné",​,​,
24,,beruflich,professionell,professional,professionnel,​,​,
24,,tatsächlich,eigentlich,actual,"effectif, réel",​,​,
24,,echt,wirklich,"real, genuine",réel,​,​,
24,,offenbar,offensichtlich,"obvious, evident",évident,​,​,
1000,,einheimisch,,"indigenous, domestic, native",indigène,​,​,
1000,,amerikanisch,,American,américain,​,​,
1000,,französisch,,French,français,​,​,
1000,,italienisch,,Italian,italien,​,​,
1000,,russisch,,Russian,russe,​,​,
1000,,englisch,,english,anglais,​,​,
1000,,österreichisch,,Austrian,autrichien,​,​,
1000,,bayerisch,,Bavarian,bavarois,​,​,
1000,,britisch,,British,britannique,​,​,
1000,,chinesisch,,Chinese,chinois,​,​,
1000,,arabisch,,arabic,arabe,​,​,
1000,,niederländisch,,Dutch,néerlandais,​,​,
1000,,osteuropäisch,,Eastern European,est-européen,​,​,
1000,,portugiesisch,,Portuguese,portugais,​,​,
1000,,schottisch,,Scottish,écossais,​,​,
1000,,spanisch,,Spanish,espagnol,​,​,
1000,,tschechisch,,Czech,tchèque,​,​,
1000,,griechisch,,Greek,grec,​,​,
1000,,indisch,,Indian,indien,​,​,
1000,,ungarisch,,Hungarian,hongrois,​,​,
1000,,ostdeutsch,,East German,est-allemand,​,​,
1000,,westdeutsch,,West German,Allemagne de l'Ouest,​,​,
1000,,ethnisch,,,,​,​,
1000,,römisch,,,,​,​,
1000,,holländisch,,,,​,​,
