Nr,exercise,level,level_adjektive,level_verb,question,answer,german,english,root_english,french,root_french,adjective_german,adjective_english,adjective_french,verb_german,verb_english,verb_french
139,9,B2,B2,B1,enttäuschen,enttäuscht,,disappointed,"to disappoint, to let down",déçu,"décevoir, laisser tomber",enttäuscht,disappointed,déçu,enttäuschen,"to disappoint, to let down","décevoir, laisser tomber"
140,9,B2,B2,B1,überraschen,überrascht,,surprised,to surprise,surpris,surprendre,überrascht,surprised,surpris,überraschen,to surprise,surprendre
141,9,B2,B2,A2,helfen,hilfreich,,helpful,to help,"aidant, utile",aider,hilfreich,helpful,"aidant, utile",helfen,to help,aider
142,9,B2,B2,B2,reichen,reichlich,,plenty,"to reach, to hand, to be enough",abondant,"atteindre, mettre la main, être suffisant",reichlich,plenty,abondant,reichen,"to reach, to hand, to be enough","atteindre, mettre la main, être suffisant"
143,9,B2,B2,B2,erheben,erheblich,,"significant, considerable","to raise, to collect, to levy",considérable,"lever, collecter, prélever",erheblich,"significant, considerable",considérable,erheben,"to raise, to collect, to levy","lever, collecter, prélever"
144,9,B2,B2,A1,sollen,schuld,,responsible,"shall, to be asked to (do something), to be supposed to (do something)",responsable,"devoir, être invité (à faire quelque chose)",schuld,responsible,responsable,sollen,"shall, to be asked to (do something), to be supposed to (do something)","devoir, être invité (à faire quelque chose)"
145,9,B2,B2,A2,vergleichen,vergleichbar,,comparable,to compare,comparable,comparer,vergleichbar,comparable,comparable,vergleichen,to compare,comparer
146,9,B2,B2,A2,merken,merkwürdig,,"strange, funny","to notice, to realise, to remember (refl.)","étrange, drôle","remarquer, se rendre compte, se souvenir (réfl.)",merkwürdig,"strange, funny","étrange, drôle",merken,"to notice, to realise, to remember (refl.)","remarquer, se rendre compte, se souvenir (réfl.)"
147,9,B2,B2,A2,erhalten,erhältlich,,"available, at hand","to receive, to get, to obtain, to preserve","disponible, accessible","recevoir, obtenir, acquérir, préserver",erhältlich,"available, at hand","disponible, accessible",erhalten,"to receive, to get, to obtain, to preserve","recevoir, obtenir, acquérir, préserver"
148,9,B2,B2,A2,sorgen,sorgfältig,,"careful, cautious","to care, to worry","prudent, vigilant","se soucier, s'inquiéter",sorgfältig,"careful, cautious","prudent, vigilant",sorgen,"to care, to worry","se soucier, s'inquiéter"
149,9,B2,B2,A1,kommen,künftig,,future,"to come, to make it (e.g. over something), to go to, to occur",futur,"venir, aller à, se produire",künftig,future,futur,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire"
150,10,B2,B2,B1,enttäuscht,enttäuschen,,"to disappoint, to let down",disappointed,"décevoir, laisser tomber",déçu,enttäuscht,disappointed,déçu,enttäuschen,"to disappoint, to let down","décevoir, laisser tomber"
151,10,B2,B2,B1,überrascht,überraschen,,to surprise,surprised,surprendre,surpris,überrascht,surprised,surpris,überraschen,to surprise,surprendre
152,10,B2,B2,A2,hilfreich,helfen,,to help,helpful,aider,"aidant, utile",hilfreich,helpful,"aidant, utile",helfen,to help,aider
153,10,B2,B2,B2,reichlich,reichen,,"to reach, to hand, to be enough",plenty,"atteindre, mettre la main, être suffisant",abondant,reichlich,plenty,abondant,reichen,"to reach, to hand, to be enough","atteindre, mettre la main, être suffisant"
154,10,B2,B2,B2,erheblich,erheben,,"to raise, to collect, to levy","significant, considerable","lever, collecter, prélever",considérable,erheblich,"significant, considerable",considérable,erheben,"to raise, to collect, to levy","lever, collecter, prélever"
155,10,B2,B2,A1,schuld,sollen,,"shall, to be asked to (do something), to be supposed to (do something)",responsible,"devoir, être invité (à faire quelque chose)",responsable,schuld,responsible,responsable,sollen,"shall, to be asked to (do something), to be supposed to (do something)","devoir, être invité (à faire quelque chose)"
156,10,B2,B2,A2,vergleichbar,vergleichen,,to compare,comparable,comparer,comparable,vergleichbar,comparable,comparable,vergleichen,to compare,comparer
157,10,B2,B2,A2,merkwürdig,merken,,"to notice, to realise, to remember (refl.)","strange, funny","remarquer, se rendre compte, se souvenir (réfl.)","étrange, drôle",merkwürdig,"strange, funny","étrange, drôle",merken,"to notice, to realise, to remember (refl.)","remarquer, se rendre compte, se souvenir (réfl.)"
158,10,B2,B2,A2,erhältlich,erhalten,,"to receive, to get, to obtain, to preserve","available, at hand","recevoir, obtenir, acquérir, préserver","disponible, accessible",erhältlich,"available, at hand","disponible, accessible",erhalten,"to receive, to get, to obtain, to preserve","recevoir, obtenir, acquérir, préserver"
159,10,B2,B2,A2,sorgfältig,sorgen,,"to care, to worry","careful, cautious","se soucier, s'inquiéter","prudent, vigilant",sorgfältig,"careful, cautious","prudent, vigilant",sorgen,"to care, to worry","se soucier, s'inquiéter"
160,10,B2,B2,A1,künftig,kommen,,"to come, to make it (e.g. over something), to go to, to occur",future,"venir, aller à, se produire",futur,künftig,future,futur,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire"
161,11,C1,A1,C1,vereinfachen,einfach,,"easy, simple","to simplify, to demystify, to deskill, to dumb down","facile, simple","simplifier, démystifier, déqualifier, abêtir",einfach,"easy, simple","facile, simple",vereinfachen,"to simplify, to demystify, to deskill, to dumb down","simplifier, démystifier, déqualifier, abêtir"
162,11,C1,A1,C1,ergänzen,ganz,,"whole, entire, complete","to complement, to add, to supplement","entier, complet","compléter, ajouter, suppléer",ganz,"whole, entire, complete","entier, complet",ergänzen,"to complement, to add, to supplement","compléter, ajouter, suppléer"
163,11,C1,A1,C1,heizen,heiß,,hot,"to heat, to warm, to fuel",chaud,"chauffer, se chauffer",heiß,hot,chaud,heizen,"to heat, to warm, to fuel","chauffer, se chauffer"
164,11,C1,A1,C1,nähern,nah,,"close, near","to approach, to get closer, to advance","proche, près","s'approcher, se rapprocher, avancer",nah,"close, near","proche, près",nähern,"to approach, to get closer, to advance","s'approcher, se rapprocher, avancer"
165,11,C1,A2,C1,aktualisieren,aktuell,,current,to update,actuel,mettre à jour,aktuell,current,actuel,aktualisieren,to update,mettre à jour
166,11,C1,A2,C1,ruhen,ruhig,,"calm, quiet","to rest, to be at rest, to repose","calme, silencieux",reposer,ruhig,"calm, quiet","calme, silencieux",ruhen,"to rest, to be at rest, to repose",reposer
167,11,C1,A2,C1,beruhigen,ruhig,,"calm, quiet","to calm, to reassure, to soothe","calme, silencieux","calmer, rassurer, apaiser",ruhig,"calm, quiet","calme, silencieux",beruhigen,"to calm, to reassure, to soothe","calmer, rassurer, apaiser"
168,11,C1,A2,C1,lauten,laut,,loud,"to read, to sound, to go (as in “it goes like…”)",fort,"lire, sonner",laut,loud,fort,lauten,"to read, to sound, to go (as in “it goes like…”)","lire, sonner"
169,11,C1,A2,C1,wundern,wunderbar,,wonderful,"to surprise, to amaze",merveilleux,"surprendre, étonner",wunderbar,wonderful,merveilleux,wundern,"to surprise, to amaze","surprendre, étonner"
170,11,C1,A2,C1,langweilen,langweilig,,boring,"to bore, to be bored, to be boring",ennuyeux,"s'ennuyer, être ennuyé, être ennuyeux",langweilig,boring,ennuyeux,langweilen,"to bore, to be bored, to be boring","s'ennuyer, être ennuyé, être ennuyeux"
171,11,C1,A2,C1,faulenzen,faul,,lazy,"to chill, to laze around",paresseux,"se détendre, paresser",faul,lazy,paresseux,faulenzen,"to chill, to laze around","se détendre, paresser"
172,11,C1,B1,C1,deuten,deutlich,,"articulate, clear, distinct, considerable","to indicate, to interpret, to point","clair, notable, évident","interpréter, indiquer",deutlich,"articulate, clear, distinct, considerable","clair, notable, évident",deuten,"to indicate, to interpret, to point","interpréter, indiquer"
173,11,C1,B1,C1,vertiefen,tief,,deep,"to deepen, to intensify",profond,"approfondir, intensifier",tief,deep,profond,vertiefen,"to deepen, to intensify","approfondir, intensifier"
174,11,C1,B1,C1,bereiten,bereit,,ready,"to prepare, to cause",prêt,"préparer, provoquer",bereit,ready,prêt,bereiten,"to prepare, to cause","préparer, provoquer"
175,11,C1,B2,C1,vergehen,vergangen,,past,"to die, to pass, to elapse, to perish",passé,"mourir, passer, s'écouler, périr",vergangen,past,passé,vergehen,"to die, to pass, to elapse, to perish","mourir, passer, s'écouler, périr"
176,11,C1,B2,C1,wachen,wach,,awake,"to wake, to guard, to be awake",éveillé,"veiller, réveiller, surveiller",wach,awake,éveillé,wachen,"to wake, to guard, to be awake","veiller, réveiller, surveiller"
177,11,C1,B2,C1,vorsehen,vorsichtig,,"careful, cautious","to plan, to provide for","prudent, vigilant","planifier, prévoir",vorsichtig,"careful, cautious","prudent, vigilant",vorsehen,"to plan, to provide for","planifier, prévoir"
178,11,C1,B2,C1,gebären,geboren,,born,to give birth to,né,donner naissance à,geboren,born,né,gebären,to give birth to,donner naissance à
179,11,C1,B2,C1,genügen,ungenügend,,insufficient,"to suffice, to satisfy",insuffisant,"suffire, satisfaire",ungenügend,insufficient,insuffisant,genügen,"to suffice, to satisfy","suffire, satisfaire"
180,11,C1,B2,C1,dringen,dringend,,urgent,"to insist, the seep, to penetrate",urgent,"insister, s'infiltrer, pénétrer",dringend,urgent,urgent,dringen,"to insist, the seep, to penetrate","insister, s'infiltrer, pénétrer"
181,12,C1,A1,C1,einfach,vereinfachen,,"to simplify, to demystify, to deskill, to dumb down","easy, simple","simplifier, démystifier, déqualifier, abêtir","facile, simple",einfach,"easy, simple","facile, simple",vereinfachen,"to simplify, to demystify, to deskill, to dumb down","simplifier, démystifier, déqualifier, abêtir"
182,12,C1,A1,C1,ganz,ergänzen,,"to complement, to add, to supplement","whole, entire, complete","compléter, ajouter, suppléer","entier, complet",ganz,"whole, entire, complete","entier, complet",ergänzen,"to complement, to add, to supplement","compléter, ajouter, suppléer"
183,12,C1,A1,C1,heiß,heizen,,"to heat, to warm, to fuel",hot,"chauffer, se chauffer",chaud,heiß,hot,chaud,heizen,"to heat, to warm, to fuel","chauffer, se chauffer"
184,12,C1,A1,C1,nah,nähern,,"to approach, to get closer, to advance","close, near","s'approcher, se rapprocher, avancer","proche, près",nah,"close, near","proche, près",nähern,"to approach, to get closer, to advance","s'approcher, se rapprocher, avancer"
185,12,C1,A2,C1,aktuell,aktualisieren,,to update,current,mettre à jour,actuel,aktuell,current,actuel,aktualisieren,to update,mettre à jour
186,12,C1,A2,C1,ruhig,ruhen,,"to rest, to be at rest, to repose","calm, quiet",reposer,"calme, silencieux",ruhig,"calm, quiet","calme, silencieux",ruhen,"to rest, to be at rest, to repose",reposer
187,12,C1,A2,C1,ruhig,beruhigen,,"to calm, to reassure, to soothe","calm, quiet","calmer, rassurer, apaiser","calme, silencieux",ruhig,"calm, quiet","calme, silencieux",beruhigen,"to calm, to reassure, to soothe","calmer, rassurer, apaiser"
188,12,C1,A2,C1,laut,lauten,,"to read, to sound, to go (as in “it goes like…”)",loud,"lire, sonner",fort,laut,loud,fort,lauten,"to read, to sound, to go (as in “it goes like…”)","lire, sonner"
189,12,C1,A2,C1,wunderbar,wundern,,"to surprise, to amaze",wonderful,"surprendre, étonner",merveilleux,wunderbar,wonderful,merveilleux,wundern,"to surprise, to amaze","surprendre, étonner"
190,12,C1,A2,C1,langweilig,langweilen,,"to bore, to be bored, to be boring",boring,"s'ennuyer, être ennuyé, être ennuyeux",ennuyeux,langweilig,boring,ennuyeux,langweilen,"to bore, to be bored, to be boring","s'ennuyer, être ennuyé, être ennuyeux"
191,12,C1,A2,C1,faul,faulenzen,,"to chill, to laze around",lazy,"se détendre, paresser",paresseux,faul,lazy,paresseux,faulenzen,"to chill, to laze around","se détendre, paresser"
192,12,C1,B1,C1,deutlich,deuten,,"to indicate, to interpret, to point","articulate, clear, distinct, considerable","interpréter, indiquer","clair, notable, évident",deutlich,"articulate, clear, distinct, considerable","clair, notable, évident",deuten,"to indicate, to interpret, to point","interpréter, indiquer"
193,12,C1,B1,C1,tief,vertiefen,,"to deepen, to intensify",deep,"approfondir, intensifier",profond,tief,deep,profond,vertiefen,"to deepen, to intensify","approfondir, intensifier"
194,12,C1,B1,C1,bereit,bereiten,,"to prepare, to cause",ready,"préparer, provoquer",prêt,bereit,ready,prêt,bereiten,"to prepare, to cause","préparer, provoquer"
195,12,C1,B2,C1,vergangen,vergehen,,"to die, to pass, to elapse, to perish",past,"mourir, passer, s'écouler, périr",passé,vergangen,past,passé,vergehen,"to die, to pass, to elapse, to perish","mourir, passer, s'écouler, périr"
196,12,C1,B2,C1,wach,wachen,,"to wake, to guard, to be awake",awake,"veiller, réveiller, surveiller",éveillé,wach,awake,éveillé,wachen,"to wake, to guard, to be awake","veiller, réveiller, surveiller"
197,12,C1,B2,C1,vorsichtig,vorsehen,,"to plan, to provide for","careful, cautious","planifier, prévoir","prudent, vigilant",vorsichtig,"careful, cautious","prudent, vigilant",vorsehen,"to plan, to provide for","planifier, prévoir"
198,12,C1,B2,C1,geboren,gebären,,to give birth to,born,donner naissance à,né,geboren,born,né,gebären,to give birth to,donner naissance à
199,12,C1,B2,C1,ungenügend,genügen,,"to suffice, to satisfy",insufficient,"suffire, satisfaire",insuffisant,ungenügend,insufficient,insuffisant,genügen,"to suffice, to satisfy","suffire, satisfaire"
200,12,C1,B2,C1,dringend,dringen,,"to insist, the seep, to penetrate",urgent,"insister, s'infiltrer, pénétrer",urgent,dringend,urgent,urgent,dringen,"to insist, the seep, to penetrate","insister, s'infiltrer, pénétrer"
201,13,C1,B2,C1,begeistern,begeistert,,enthusiastic,"to enthuse, to be enthusiastic (refl.)",enthousiaste,"enthousiasmer, être enthousiaste (réfl.)",begeistert,enthusiastic,enthousiaste,begeistern,"to enthuse, to be enthusiastic (refl.)","enthousiasmer, être enthousiaste (réfl.)"
202,13,C1,B2,C1,verwirklichen,wirklich,,"real, genuine","to realize, to actualize, to fulfill, to implement",réel,"réaliser, concrétiser, accomplir, mettre en œuvre",wirklich,"real, genuine",réel,verwirklichen,"to realize, to actualize, to fulfill, to implement","réaliser, concrétiser, accomplir, mettre en œuvre"
203,13,C1,C1,B1,töten,tödlich,,deadly,"to kill, to slay",mortel,"tuer, égorger",tödlich,deadly,mortel,töten,"to kill, to slay","tuer, égorger"
204,13,C1,C1,C1,werten,wert,,"worth, worthy, dear","to assess, to consider, to value","valable, cher",évaluer,wert,"worth, worthy, dear","valable, cher",werten,"to assess, to consider, to value",évaluer
205,13,C1,C1,A1,bestimmen,bestimmt,,"certain, determined",to determine,"déterminé, destiné",déterminer,bestimmt,"certain, determined","déterminé, destiné",bestimmen,to determine,déterminer
206,13,C1,C1,C1,begeistern,geistig,,"mental, spiritual","to enthuse, to be enthusiastic (refl.)","mental, intellectuel","enthousiasmer, être enthousiaste (réfl.)",geistig,"mental, spiritual","mental, intellectuel",begeistern,"to enthuse, to be enthusiastic (refl.)","enthousiasmer, être enthousiaste (réfl.)"
207,13,C1,C1,A2,nennen,sogenannt,,so-called,"to name, to call someone something, to mention",soi-disant,"nommer, appeler quelqu'un par quelque chose, mentionner",sogenannt,so-called,soi-disant,nennen,"to name, to call someone something, to mention","nommer, appeler quelqu'un par quelque chose, mentionner"
208,13,C1,C1,A2,teilen,teilweise,,partial,"to split, to share, to divide",partiel,"diviser, partager",teilweise,partial,partiel,teilen,"to split, to share, to divide","diviser, partager"
209,13,C1,C1,B1,vermuten,vermutlich,,"probable, assumed","to suspect, to assume, to suppose",supposé,"soupçonner, supposer, présumer",vermutlich,"probable, assumed",supposé,vermuten,"to suspect, to assume, to suppose","soupçonner, supposer, présumer"
210,13,C1,C1,A1,verstehen,verständlich,,understandable,"to understand, to get along with someone",compréhensible,"comprendre, s'entendre avec quelqu'un",verständlich,understandable,compréhensible,verstehen,"to understand, to get along with someone","comprendre, s'entendre avec quelqu'un"
211,13,C1,C1,B2,angeben,angeblich,,alleged,"to state, to declare, to show off",prétendu,"déclarer, affirmer, se vanter",angeblich,alleged,prétendu,angeben,"to state, to declare, to show off","déclarer, affirmer, se vanter"
212,13,C1,C1,C1,ausschließen,ausschließlich,,exclusive,"to exclude, to eliminate",exclusif,"exclure, éliminer",ausschließlich,exclusive,exclusif,ausschließen,"to exclude, to eliminate","exclure, éliminer"
213,13,C1,C1,B1,nachdenken,nachdenklich,,pensive,"to think about, to reflect, to ponder",pensif,"penser à, réfléchir, méditer",nachdenklich,pensive,pensif,nachdenken,"to think about, to reflect, to ponder","penser à, réfléchir, méditer"
214,13,C1,C1,B1,verlieben,verliebt,,in love,to fall in love,amoureux,tomber amoureux,verliebt,in love,amoureux,verlieben,to fall in love,tomber amoureux
215,13,C1,C1,B1,verbieten,verboten,,prohibited,"to forbid, to prohibit",interdit,"interdire, prohiber",verboten,prohibited,interdit,verbieten,"to forbid, to prohibit","interdire, prohiber"
216,13,C1,C1,B2,fließen,fließend,,fluent,"to flow, to run",courant,"couler, courir",fließend,fluent,courant,fließen,"to flow, to run","couler, courir"
217,13,C1,C1,C1,senken,senkrecht,,vertical,"to lower, to sink, to drop, to reduce",perpendiculaire,"abaisser, couler, laisser tomber, réduire",senkrecht,vertical,perpendiculaire,senken,"to lower, to sink, to drop, to reduce","abaisser, couler, laisser tomber, réduire"
218,13,C1,C1,C1,ausdrücken,ausdrücklich,,explicit,"to express, to articulate, to convey, to embody","explicite, exprès","exprimer, articuler, transmettre, incarner",ausdrücklich,explicit,"explicite, exprès",ausdrücken,"to express, to articulate, to convey, to embody","exprimer, articuler, transmettre, incarner"
219,13,C1,C1,B2,ausführen,ausführlich,,detailed,"to carry out, to execute, to perform",détaillé,"réaliser, exécuter, accomplir",ausführlich,detailed,détaillé,ausführen,"to carry out, to execute, to perform","réaliser, exécuter, accomplir"
220,13,C1,C1,A2,dauern,dauerhaft,,"permanent, lasting","to last, to take (time)","durable, permanent","durer, prendre (du temps)",dauerhaft,"permanent, lasting","durable, permanent",dauern,"to last, to take (time)","durer, prendre (du temps)"
221,14,C1,B2,C1,begeistert,begeistern,,"to enthuse, to be enthusiastic (refl.)",enthusiastic,"enthousiasmer, être enthousiaste (réfl.)",enthousiaste,begeistert,enthusiastic,enthousiaste,begeistern,"to enthuse, to be enthusiastic (refl.)","enthousiasmer, être enthousiaste (réfl.)"
222,14,C1,B2,C1,wirklich,verwirklichen,,"to realize, to actualize, to fulfill, to implement","real, genuine","réaliser, concrétiser, accomplir, mettre en œuvre",réel,wirklich,"real, genuine",réel,verwirklichen,"to realize, to actualize, to fulfill, to implement","réaliser, concrétiser, accomplir, mettre en œuvre"
223,14,C1,C1,B1,tödlich,töten,,"to kill, to slay",deadly,"tuer, égorger",mortel,tödlich,deadly,mortel,töten,"to kill, to slay","tuer, égorger"
224,14,C1,C1,C1,wert,werten,,"to assess, to consider, to value","worth, worthy, dear",évaluer,"valable, cher",wert,"worth, worthy, dear","valable, cher",werten,"to assess, to consider, to value",évaluer
225,14,C1,C1,A1,bestimmt,bestimmen,,to determine,"certain, determined",déterminer,"déterminé, destiné",bestimmt,"certain, determined","déterminé, destiné",bestimmen,to determine,déterminer
226,14,C1,C1,C1,geistig,begeistern,,"to enthuse, to be enthusiastic (refl.)","mental, spiritual","enthousiasmer, être enthousiaste (réfl.)","mental, intellectuel",geistig,"mental, spiritual","mental, intellectuel",begeistern,"to enthuse, to be enthusiastic (refl.)","enthousiasmer, être enthousiaste (réfl.)"
227,14,C1,C1,A2,sogenannt,nennen,,"to name, to call someone something, to mention",so-called,"nommer, appeler quelqu'un par quelque chose, mentionner",soi-disant,sogenannt,so-called,soi-disant,nennen,"to name, to call someone something, to mention","nommer, appeler quelqu'un par quelque chose, mentionner"
228,14,C1,C1,A2,teilweise,teilen,,"to split, to share, to divide",partial,"diviser, partager",partiel,teilweise,partial,partiel,teilen,"to split, to share, to divide","diviser, partager"
229,14,C1,C1,B1,vermutlich,vermuten,,"to suspect, to assume, to suppose","probable, assumed","soupçonner, supposer, présumer",supposé,vermutlich,"probable, assumed",supposé,vermuten,"to suspect, to assume, to suppose","soupçonner, supposer, présumer"
230,14,C1,C1,A1,verständlich,verstehen,,"to understand, to get along with someone",understandable,"comprendre, s'entendre avec quelqu'un",compréhensible,verständlich,understandable,compréhensible,verstehen,"to understand, to get along with someone","comprendre, s'entendre avec quelqu'un"
231,14,C1,C1,B2,angeblich,angeben,,"to state, to declare, to show off",alleged,"déclarer, affirmer, se vanter",prétendu,angeblich,alleged,prétendu,angeben,"to state, to declare, to show off","déclarer, affirmer, se vanter"
232,14,C1,C1,C1,ausschließlich,ausschließen,,"to exclude, to eliminate",exclusive,"exclure, éliminer",exclusif,ausschließlich,exclusive,exclusif,ausschließen,"to exclude, to eliminate","exclure, éliminer"
233,14,C1,C1,B1,nachdenklich,nachdenken,,"to think about, to reflect, to ponder",pensive,"penser à, réfléchir, méditer",pensif,nachdenklich,pensive,pensif,nachdenken,"to think about, to reflect, to ponder","penser à, réfléchir, méditer"
234,14,C1,C1,B1,verliebt,verlieben,,to fall in love,in love,tomber amoureux,amoureux,verliebt,in love,amoureux,verlieben,to fall in love,tomber amoureux
235,14,C1,C1,B1,verboten,verbieten,,"to forbid, to prohibit",prohibited,"interdire, prohiber",interdit,verboten,prohibited,interdit,verbieten,"to forbid, to prohibit","interdire, prohiber"
236,14,C1,C1,B2,fließend,fließen,,"to flow, to run",fluent,"couler, courir",courant,fließend,fluent,courant,fließen,"to flow, to run","couler, courir"
237,14,C1,C1,C1,senkrecht,senken,,"to lower, to sink, to drop, to reduce",vertical,"abaisser, couler, laisser tomber, réduire",perpendiculaire,senkrecht,vertical,perpendiculaire,senken,"to lower, to sink, to drop, to reduce","abaisser, couler, laisser tomber, réduire"
238,14,C1,C1,C1,ausdrücklich,ausdrücken,,"to express, to articulate, to convey, to embody",explicit,"exprimer, articuler, transmettre, incarner","explicite, exprès",ausdrücklich,explicit,"explicite, exprès",ausdrücken,"to express, to articulate, to convey, to embody","exprimer, articuler, transmettre, incarner"
239,14,C1,C1,B2,ausführlich,ausführen,,"to carry out, to execute, to perform",detailed,"réaliser, exécuter, accomplir",détaillé,ausführlich,detailed,détaillé,ausführen,"to carry out, to execute, to perform","réaliser, exécuter, accomplir"
240,14,C1,C1,A2,dauerhaft,dauern,,"to last, to take (time)","permanent, lasting","durer, prendre (du temps)","durable, permanent",dauerhaft,"permanent, lasting","durable, permanent",dauern,"to last, to take (time)","durer, prendre (du temps)"
241,15,C1,C1,A1,machen,mächtig,,"powerful, mighty","to make, to prepare (e.g. food), to do",puissant,"faire, préparer (par exemple de la nourriture)",mächtig,"powerful, mighty",puissant,machen,"to make, to prepare (e.g. food), to do","faire, préparer (par exemple de la nourriture)"
242,15,C1,C1,A1,sprechen,sprachlich,,linguistic,to speak,linguistique,parler (une langue),sprachlich,linguistic,linguistique,sprechen,to speak,parler (une langue)
243,15,C1,C1,B1,wirken,wirksam,,effective,"to have an effect, to work",efficace,"avoir un effet, functionner",wirksam,effective,efficace,wirken,"to have an effect, to work","avoir un effet, functionner"
244,15,C1,C1,B2,betrachten,beträchtlich,,considerable,"to view, to observe",considérable,"voir, observer",beträchtlich,considerable,considérable,betrachten,"to view, to observe","voir, observer"
245,15,C1,C1,C1,bemerken,bemerkenswert,,remarkable,"to notice, to observe, to remark",remarquable,"remarquer, observer",bemerkenswert,remarkable,remarquable,bemerken,"to notice, to observe, to remark","remarquer, observer"
246,15,C1,C1,B1,verbinden,unverbindlich,,non-binding,"to connect, to link, to join, to bandage",sans engagement,"connecter, lier, joindre, bander",unverbindlich,non-binding,sans engagement,verbinden,"to connect, to link, to join, to bandage","connecter, lier, joindre, bander"
247,15,C1,C1,A2,fangen,fähig,,"capable, able",to catch,capable,attraper,fähig,"capable, able",capable,fangen,to catch,attraper
248,15,C1,C1,C1,bedenken,bedenklich,,dubious,"to consider, to reflect, to give, to allow for",douteux,"considérer, réfléchir, donner, permettre",bedenklich,dubious,douteux,bedenken,"to consider, to reflect, to give, to allow for","considérer, réfléchir, donner, permettre"
249,15,C1,C1,A2,fehlen,fehlerhaft,,faulty,"to lack, to be absent or missing",défectueux,"manquer, être absent ou manquant",fehlerhaft,faulty,défectueux,fehlen,"to lack, to be absent or missing","manquer, être absent ou manquant"
250,15,C1,C1,B1,leiden,leidenschaftlich,,passionate,"to suffer, to endure, to bear",passionné,"souffrir, endurer, supporter",leidenschaftlich,passionate,passionné,leiden,"to suffer, to endure, to bear","souffrir, endurer, supporter"
251,15,C1,C1,B1,liefern,lieferbar,,deliverable,"to deliver, to supply",livrable,"livrer, approvisionner",lieferbar,deliverable,livrable,liefern,"to deliver, to supply","livrer, approvisionner"
252,15,C1,C1,A2,träumen,traumhaft,,dreamy,to dream,rêveur,rêver,traumhaft,dreamy,rêveur,träumen,to dream,rêver
253,15,C1,C1,B2,erleichtern,erleichtert,,relieved,"to facilitate, to ease, to relieve",soulagé,"faciliter, alléger, soulager",erleichtert,relieved,soulagé,erleichtern,"to facilitate, to ease, to relieve","faciliter, alléger, soulager"
254,15,C1,C1,C1,locken,lockig,,curly,"to entice, to lure, to rock, to tempt",bouclé,"attirer, allécher",lockig,curly,bouclé,locken,"to entice, to lure, to rock, to tempt","attirer, allécher"
255,15,C1,C1,C1,ertragen,erträglich,,bearable,"to bear, to stand",supportable,"supporter, se tenir debout",erträglich,bearable,supportable,ertragen,"to bear, to stand","supporter, se tenir debout"
256,15,C1,C1,A2,helfen,hilflos,,helpless,to help,sans défense,aider,hilflos,helpless,sans défense,helfen,to help,aider
257,15,C1,C1,B1,überlegen,überlegen,,superior,"to consider, to think about, to reflect, to lay over",supérieur,"considérer, penser à, réfléchir, recouvrir, poser par-dessus",überlegen,superior,supérieur,überlegen,"to consider, to think about, to reflect, to lay over","considérer, penser à, réfléchir, recouvrir, poser par-dessus"
258,15,C1,C1,A2,erkennen,erkennbar,,recognizable,"to recognize, to realise",reconnaissable,"reconnaître, réaliser",erkennbar,recognizable,reconnaissable,erkennen,"to recognize, to realise","reconnaître, réaliser"
259,15,C1,C1,A1,scheinen,scheinbar,,apparent,"to shine, to seem (formal)",apparent,"briller, paraître (formel)",scheinbar,apparent,apparent,scheinen,"to shine, to seem (formal)","briller, paraître (formel)"
260,15,C1,C1,B1,enden,unendlich,,infinite,"to end, to finish, to conclude",infini,"terminer, achever, conclure",unendlich,infinite,infini,enden,"to end, to finish, to conclude","terminer, achever, conclure"
261,16,C1,C1,A1,mächtig,machen,,"to make, to prepare (e.g. food), to do","powerful, mighty","faire, préparer (par exemple de la nourriture)",puissant,mächtig,"powerful, mighty",puissant,machen,"to make, to prepare (e.g. food), to do","faire, préparer (par exemple de la nourriture)"
262,16,C1,C1,A1,sprachlich,sprechen,,to speak,linguistic,parler (une langue),linguistique,sprachlich,linguistic,linguistique,sprechen,to speak,parler (une langue)
263,16,C1,C1,B1,wirksam,wirken,,"to have an effect, to work",effective,"avoir un effet, functionner",efficace,wirksam,effective,efficace,wirken,"to have an effect, to work","avoir un effet, functionner"
264,16,C1,C1,B2,beträchtlich,betrachten,,"to view, to observe",considerable,"voir, observer",considérable,beträchtlich,considerable,considérable,betrachten,"to view, to observe","voir, observer"
265,16,C1,C1,C1,bemerkenswert,bemerken,,"to notice, to observe, to remark",remarkable,"remarquer, observer",remarquable,bemerkenswert,remarkable,remarquable,bemerken,"to notice, to observe, to remark","remarquer, observer"
266,16,C1,C1,B1,unverbindlich,verbinden,,"to connect, to link, to join, to bandage",non-binding,"connecter, lier, joindre, bander",sans engagement,unverbindlich,non-binding,sans engagement,verbinden,"to connect, to link, to join, to bandage","connecter, lier, joindre, bander"
267,16,C1,C1,A2,fähig,fangen,,to catch,"capable, able",attraper,capable,fähig,"capable, able",capable,fangen,to catch,attraper
268,16,C1,C1,C1,bedenklich,bedenken,,"to consider, to reflect, to give, to allow for",dubious,"considérer, réfléchir, donner, permettre",douteux,bedenklich,dubious,douteux,bedenken,"to consider, to reflect, to give, to allow for","considérer, réfléchir, donner, permettre"
