Nr,exercise,level,level_adjektive,level_noun,question,answer,german,english,root_english,french,root_french,adjective_german,adjective_english,adjective_french,noun_german,noun_english,noun_french,gender_english,gender_french
172,10,B2,A2,B2,klar,die Klarheit,,the clarity,clear,la clarté,clair,klar,clear,clair,die Klarheit,the clarity,la clarté,Feminine,Féminin
173,10,B2,A2,B2,zufrieden,die Zufriedenheit,,the satisfaction,satisfied,la satisfaction,satisfait,zufrieden,satisfied,satisfait,die Zufriedenheit,the satisfaction,la satisfaction,Feminine,Féminin
174,10,B2,A2,B2,schrecklich,der Schreck,,"the fright, shock",terrible,la peur,terrible,schrecklich,terrible,terrible,der Schreck,"the fright, shock",la peur,Masculine,Masculin
175,10,B2,A2,B2,süß,die Süßigkeit,,the candy,sweet,le sucré,sucré,süß,sweet,sucré,die Süßigkeit,the candy,le sucré,Feminine,Féminin
176,10,B2,B1,B2,notwendig,die Notwendigkeit,,the necessity,necessary,le besoin,nécessaire,notwendig,necessary,nécessaire,die Notwendigkeit,the necessity,le besoin,Feminine,Féminin
177,10,B2,B1,B2,gemeinsam,die Gemeinsamkeit,,the commonality,"common, collective",le point commun,"commun, collectif",gemeinsam,"common, collective","commun, collectif",die Gemeinsamkeit,the commonality,le point commun,Feminine,Féminin
178,10,B2,B1,B2,flexibel,die Flexibilität,,the flexibility,flexible,la flexibilité,flexible,flexibel,flexible,flexible,die Flexibilität,the flexibility,la flexibilité,Feminine,Féminin
179,10,B2,B1,B2,bereit,die Bereitschaft,,the willingness,ready,la volonté,prêt,bereit,ready,prêt,die Bereitschaft,the willingness,la volonté,Feminine,Féminin
180,10,B2,B1,B2,furchtbar,die Furcht,,the fear,terrible,la peur,terrible,furchtbar,terrible,terrible,die Furcht,the fear,la peur,Feminine,Féminin
181,10,B2,B1,B2,unabhängig,die Unabhängigkeit,,the independence,independent,l'indépendance,indépendant,unabhängig,independent,indépendant,die Unabhängigkeit,the independence,l'indépendance,Feminine,Féminin
182,10,B2,B1,B2,abhängig,die Abhängigkeit,,the dependence,dependent,la dépendance,dépendant,abhängig,dependent,dépendant,die Abhängigkeit,the dependence,la dépendance,Feminine,Féminin
183,10,B2,B1,B2,gemütlich,das Gemüt,,"the feeling, the heart, the soul","cozy, comfortable",l'esprit,"douillet, confortable",gemütlich,"cozy, comfortable","douillet, confortable",das Gemüt,"the feeling, the heart, the soul",l'esprit,Neuter,Neutre
184,10,B2,B1,B2,günstig,die Gunst,,"the goodwill, favor",cheap,la faveur,bon marché,günstig,cheap,bon marché,die Gunst,"the goodwill, favor",la faveur,Feminine,Féminin
185,10,B2,B1,B2,wahrscheinlich,die Wahrscheinlichkeit,,the probability,"possible, likely",la probabilité,possible,wahrscheinlich,"possible, likely",possible,die Wahrscheinlichkeit,the probability,la probabilité,Feminine,Féminin
186,10,B2,B2,A1,zukünftig,die Zukunft,,the future,future,l'avenir,futur,zukünftig,future,futur,die Zukunft,the future,l'avenir,Feminine,Féminin
187,10,B2,B2,B2,ursprünglich,der Ursprung,,the origin,original,l'origine,original,ursprünglich,original,original,der Ursprung,the origin,l'origine,Masculine,Masculin
188,10,B2,B2,B2,einsam,die Einsamkeit,,the loneliness,lonely,la solitude,solitaire,einsam,lonely,solitaire,die Einsamkeit,the loneliness,la solitude,Feminine,Féminin
189,10,B2,B2,A1,vergangen,die Vergangenheit,,the past,past,le passé,passé,vergangen,past,passé,die Vergangenheit,the past,le passé,Feminine,Féminin
190,10,B2,B2,A2,flach,die Fläche,,"the area, surface","flat, shallow",la région,"plat, superficiel",flach,"flat, shallow","plat, superficiel",die Fläche,"the area, surface",la région,Feminine,Féminin
191,11,B2,B2,B2,die Besonderheit,besondere,,special,"the characteristic, specific, feature",spécial,la caractéristique spéciale,besondere,special,spécial,die Besonderheit,"the characteristic, specific, feature",la caractéristique spéciale,,
192,11,B2,B2,A1,der Körper,körperlich,,physical,the body,physique,le corps,körperlich,physical,physique,der Körper,the body,le corps,,
193,11,B2,B2,A1,der Sinn,sinnvoll,,sensible,"the sense, meaning",sensible,la signification,sinnvoll,sensible,sensible,der Sinn,"the sense, meaning",la signification,,
194,11,B2,B2,A1,der Sinn,sinnlos,,pointless,"the sense, meaning",inutile,la signification,sinnlos,pointless,inutile,der Sinn,"the sense, meaning",la signification,,
195,11,B2,B2,A2,das Recht,rechtlich,,legal,"the right, law",légal,le droit,rechtlich,legal,légal,das Recht,"the right, law",le droit,,
196,11,B2,B2,B2,die Unsicherheit,unsicher,,unsure,the uncertainty,incertain,l'incertitude,unsicher,unsure,incertain,die Unsicherheit,the uncertainty,l'incertitude,,
197,11,B2,B2,B2,die Intensität,intensiv,,intensive,the intensity,intensif,l'intensité,intensiv,intensive,intensif,die Intensität,the intensity,l'intensité,,
198,11,B2,B2,A2,der Durchschnitt,durchschnittlich,,average,the average,moyenne,la moyenne,durchschnittlich,average,moyenne,der Durchschnitt,the average,la moyenne,,
199,11,B2,B2,A1,der Alltag,alltäglich,,everyday,"the workday, daily routine",tous les jours,le quotidien,alltäglich,everyday,tous les jours,der Alltag,"the workday, daily routine",le quotidien,,
200,11,B2,B2,A2,die Schrift,schriftlich,,written,"the script, handwriting",écrit,l'écriture,schriftlich,written,écrit,die Schrift,"the script, handwriting",l'écriture,,
201,11,B2,B2,A1,der Mund,mündlich,,oral,the mouth,oral,la bouche,mündlich,oral,oral,der Mund,the mouth,la bouche,,
202,11,B2,B2,B2,die Selbstständigkeit,selbstständig,,"self-employed, independent","the independence, the self-employment","autonome, indépendant, à son compte",le travail indépendant,selbstständig,"self-employed, independent","autonome, indépendant, à son compte",die Selbstständigkeit,"the independence, the self-employment",le travail indépendant,,
203,11,B2,B2,B1,das Wesen,wesentlich,,"essential, substantial","the being, creature, nature",essentiel,l'essence,wesentlich,"essential, substantial",essentiel,das Wesen,"the being, creature, nature",l'essence,,
204,11,B2,B2,A1,die Wirtschaft,wirtschaftlich,,economic,"the economy, commerce",économique,l'économie,wirtschaftlich,economic,économique,die Wirtschaft,"the economy, commerce",l'économie,,
205,11,B2,B2,B2,der Wirt,wirtschaftlich,,economic,"the host, the keeper, the agent",économique,l'aubergiste,wirtschaftlich,economic,économique,der Wirt,"the host, the keeper, the agent",l'aubergiste,,
206,11,B2,B2,A2,die Kritik,kritisch,,critical,"the criticism, review",critique,la critique,kritisch,critical,critique,die Kritik,"the criticism, review",la critique,,
207,11,B2,B2,A2,die Bedingung,unbedingt,,"absolute, unconditional","the condition, stipulation","inconditionnel, absolu",la condition,unbedingt,"absolute, unconditional","inconditionnel, absolu",die Bedingung,"the condition, stipulation",la condition,,
208,11,B2,B2,A1,die Kunst,künstlich,,artificial,the art,artificiel,l'art,künstlich,artificial,artificiel,die Kunst,the art,l'art,,
209,11,B2,B2,A1,die Stadt,städtisch,,urban,"the city, town",urbain,la ville,städtisch,urban,urbain,die Stadt,"the city, town",la ville,,
210,11,B2,B2,A1,das Land,ländlich,,rural,"the land, country, state",rural,le pays,ländlich,rural,rural,das Land,"the land, country, state",le pays,,
211,12,B2,B2,B2,besondere,die Besonderheit,,"the characteristic, specific, feature",special,la caractéristique spéciale,spécial,besondere,special,spécial,die Besonderheit,"the characteristic, specific, feature",la caractéristique spéciale,Feminine,Féminin
212,12,B2,B2,A1,körperlich,der Körper,,the body,physical,le corps,physique,körperlich,physical,physique,der Körper,the body,le corps,Masculine,Masculin
213,12,B2,B2,A1,sinnvoll,der Sinn,,"the sense, meaning",sensible,la signification,sensible,sinnvoll,sensible,sensible,der Sinn,"the sense, meaning",la signification,Masculine,Masculin
214,12,B2,B2,A1,sinnlos,der Sinn,,"the sense, meaning",pointless,la signification,inutile,sinnlos,pointless,inutile,der Sinn,"the sense, meaning",la signification,Masculine,Masculin
215,12,B2,B2,A2,rechtlich,das Recht,,"the right, law",legal,le droit,légal,rechtlich,legal,légal,das Recht,"the right, law",le droit,Neuter,Neutre
216,12,B2,B2,B2,unsicher,die Unsicherheit,,the uncertainty,unsure,l'incertitude,incertain,unsicher,unsure,incertain,die Unsicherheit,the uncertainty,l'incertitude,Feminine,Féminin
217,12,B2,B2,B2,intensiv,die Intensität,,the intensity,intensive,l'intensité,intensif,intensiv,intensive,intensif,die Intensität,the intensity,l'intensité,Feminine,Féminin
218,12,B2,B2,A2,durchschnittlich,der Durchschnitt,,the average,average,la moyenne,moyenne,durchschnittlich,average,moyenne,der Durchschnitt,the average,la moyenne,Masculine,Masculin
219,12,B2,B2,A1,alltäglich,der Alltag,,"the workday, daily routine",everyday,le quotidien,tous les jours,alltäglich,everyday,tous les jours,der Alltag,"the workday, daily routine",le quotidien,Masculine,Masculin
220,12,B2,B2,A2,schriftlich,die Schrift,,"the script, handwriting",written,l'écriture,écrit,schriftlich,written,écrit,die Schrift,"the script, handwriting",l'écriture,Feminine,Féminin
221,12,B2,B2,A1,mündlich,der Mund,,the mouth,oral,la bouche,oral,mündlich,oral,oral,der Mund,the mouth,la bouche,Masculine,Masculin
222,12,B2,B2,B2,selbstständig,die Selbstständigkeit,,"the independence, the self-employment","self-employed, independent",le travail indépendant,"autonome, indépendant, à son compte",selbstständig,"self-employed, independent","autonome, indépendant, à son compte",die Selbstständigkeit,"the independence, the self-employment",le travail indépendant,Feminine,Féminin
223,12,B2,B2,B1,wesentlich,das Wesen,,"the being, creature, nature","essential, substantial",l'essence,essentiel,wesentlich,"essential, substantial",essentiel,das Wesen,"the being, creature, nature",l'essence,Neuter,Neutre
224,12,B2,B2,A1,wirtschaftlich,die Wirtschaft,,"the economy, commerce",economic,l'économie,économique,wirtschaftlich,economic,économique,die Wirtschaft,"the economy, commerce",l'économie,Feminine,Féminin
225,12,B2,B2,B2,wirtschaftlich,der Wirt,,"the host, the keeper, the agent",economic,l'aubergiste,économique,wirtschaftlich,economic,économique,der Wirt,"the host, the keeper, the agent",l'aubergiste,Masculine,Masculin
226,12,B2,B2,A2,kritisch,die Kritik,,"the criticism, review",critical,la critique,critique,kritisch,critical,critique,die Kritik,"the criticism, review",la critique,Feminine,Féminin
227,12,B2,B2,A2,unbedingt,die Bedingung,,"the condition, stipulation","absolute, unconditional",la condition,"inconditionnel, absolu",unbedingt,"absolute, unconditional","inconditionnel, absolu",die Bedingung,"the condition, stipulation",la condition,Feminine,Féminin
228,12,B2,B2,A1,künstlich,die Kunst,,the art,artificial,l'art,artificiel,künstlich,artificial,artificiel,die Kunst,the art,l'art,Feminine,Féminin
229,12,B2,B2,A1,städtisch,die Stadt,,"the city, town",urban,la ville,urbain,städtisch,urban,urbain,die Stadt,"the city, town",la ville,Feminine,Féminin
230,12,B2,B2,A1,ländlich,das Land,,"the land, country, state",rural,le pays,rural,ländlich,rural,rural,das Land,"the land, country, state",le pays,Neuter,Neutre
231,13,B2,B2,B1,die Glaube,unglaublich,,unbelievable,the faith,incroyable,la foi,unglaublich,unbelievable,incroyable,die Glaube,the faith,la foi,,
232,13,B2,B2,A1,der Wert,wertvoll,,valuable,the value,précieux,la valeur,wertvoll,valuable,précieux,der Wert,the value,la valeur,,
233,13,B2,B2,A1,der Wert,wertlos,,worthless,the value,sans valeur,la valeur,wertlos,worthless,sans valeur,der Wert,the value,la valeur,,
234,13,B2,B2,B1,das Heim,geheim,,secret,the home,secret,la maison,geheim,secret,secret,das Heim,the home,la maison,,
235,13,B2,B2,B1,der Zufall,zufällig,,random,"the chance, the coincidence","aléatoire, fortuit","la chance, la coincidence",zufällig,random,"aléatoire, fortuit",der Zufall,"the chance, the coincidence","la chance, la coincidence",,
236,13,B2,B2,A1,der Schaden,schädlich,,harmful,the damage,nocif,les dégâts,schädlich,harmful,nocif,der Schaden,the damage,les dégâts,,
237,13,B2,B2,B1,die Anwesenheit,anwesend,,present,the presence,présent,la présence,anwesend,present,présent,die Anwesenheit,the presence,la présence,,
238,13,B2,B2,B2,die Abwesenheit,abwesend,,absent,the absence,absent,l'absence,abwesend,absent,absent,die Abwesenheit,the absence,l'absence,,
239,13,B2,B2,A1,der Fall,fällig,,due,"the fall, case",exigible,l'affaire,fällig,due,exigible,der Fall,"the fall, case",l'affaire,,
240,13,B2,B2,B1,die Gewohnheit,gewöhnlich,,ordinary,the habit,"ordinaire, habituel",l'habitude,gewöhnlich,ordinary,"ordinaire, habituel",die Gewohnheit,the habit,l'habitude,,
241,13,B2,B2,A1,der Grund,gründlich,,thorough,"the reason, basis","minutieux, rigoureux",la raison,gründlich,thorough,"minutieux, rigoureux",der Grund,"the reason, basis",la raison,,
242,13,B2,B2,A2,die Schuld,schuldig,,guilty,the guilt,coupable,la faute,schuldig,guilty,coupable,die Schuld,the guilt,la faute,,
243,13,B2,B2,B2,die Vernunft,vernünftig,,reasonable,the reason,raisonnable,la raison,vernünftig,reasonable,raisonnable,die Vernunft,the reason,la raison,,
244,13,B2,B2,B2,die Zuverlässigkeit,zuverlässig,,reliable,the reliability,fiable,la fiabilité,zuverlässig,reliable,fiable,die Zuverlässigkeit,the reliability,la fiabilité,,
245,13,B2,B2,B1,das Gift,giftig,,toxic,the poison,toxique,le poison,giftig,toxic,toxique,das Gift,the poison,le poison,,
246,13,B2,B2,A1,die Angst,ängstlich,,anxious,"the fear, anxiety",craintif,la peur,ängstlich,anxious,craintif,die Angst,"the fear, anxiety",la peur,,
247,13,B2,B2,A1,die Gesellschaft,gesellschaftlich,,"social, societal","the society, company","social, sociétale",la société,gesellschaftlich,"social, societal","social, sociétale",die Gesellschaft,"the society, company",la société,,
248,13,B2,B2,A1,der Tag,täglich,,daily,the day,quotidien,le jour,täglich,daily,quotidien,der Tag,the day,le jour,,
249,13,B2,B2,A1,das Jahr,jährlich,,yearly,the year,annuel,l'année,jährlich,yearly,annuel,das Jahr,the year,l'année,,
250,13,B2,B2,A1,der Monat,monatlich,,monthly,the month,mensuel,le mois,monatlich,monthly,mensuel,der Monat,the month,le mois,,
251,14,B2,B2,B1,unglaublich,die Glaube,,the faith,unbelievable,la foi,incroyable,unglaublich,unbelievable,incroyable,die Glaube,the faith,la foi,Feminine,Féminin
252,14,B2,B2,A1,wertvoll,der Wert,,the value,valuable,la valeur,précieux,wertvoll,valuable,précieux,der Wert,the value,la valeur,Masculine,Masculin
253,14,B2,B2,A1,wertlos,der Wert,,the value,worthless,la valeur,sans valeur,wertlos,worthless,sans valeur,der Wert,the value,la valeur,Masculine,Masculin
254,14,B2,B2,B1,geheim,das Heim,,the home,secret,la maison,secret,geheim,secret,secret,das Heim,the home,la maison,Neuter,Neutre
255,14,B2,B2,B1,zufällig,der Zufall,,"the chance, the coincidence",random,"la chance, la coincidence","aléatoire, fortuit",zufällig,random,"aléatoire, fortuit",der Zufall,"the chance, the coincidence","la chance, la coincidence",Masculine,Masculin
256,14,B2,B2,A1,schädlich,der Schaden,,the damage,harmful,les dégâts,nocif,schädlich,harmful,nocif,der Schaden,the damage,les dégâts,Masculine,Masculin
257,14,B2,B2,B1,anwesend,die Anwesenheit,,the presence,present,la présence,présent,anwesend,present,présent,die Anwesenheit,the presence,la présence,Feminine,Féminin
258,14,B2,B2,B2,abwesend,die Abwesenheit,,the absence,absent,l'absence,absent,abwesend,absent,absent,die Abwesenheit,the absence,l'absence,Feminine,Féminin
259,14,B2,B2,A1,fällig,der Fall,,"the fall, case",due,l'affaire,exigible,fällig,due,exigible,der Fall,"the fall, case",l'affaire,Masculine,Masculin
260,14,B2,B2,B1,gewöhnlich,die Gewohnheit,,the habit,ordinary,l'habitude,"ordinaire, habituel",gewöhnlich,ordinary,"ordinaire, habituel",die Gewohnheit,the habit,l'habitude,Feminine,Féminin
261,14,B2,B2,A1,gründlich,der Grund,,"the reason, basis",thorough,la raison,"minutieux, rigoureux",gründlich,thorough,"minutieux, rigoureux",der Grund,"the reason, basis",la raison,Masculine,Masculin
262,14,B2,B2,A2,schuldig,die Schuld,,the guilt,guilty,la faute,coupable,schuldig,guilty,coupable,die Schuld,the guilt,la faute,Feminine,Féminin
263,14,B2,B2,B2,vernünftig,die Vernunft,,the reason,reasonable,la raison,raisonnable,vernünftig,reasonable,raisonnable,die Vernunft,the reason,la raison,Feminine,Féminin
264,14,B2,B2,B2,zuverlässig,die Zuverlässigkeit,,the reliability,reliable,la fiabilité,fiable,zuverlässig,reliable,fiable,die Zuverlässigkeit,the reliability,la fiabilité,Feminine,Féminin
265,14,B2,B2,B1,giftig,das Gift,,the poison,toxic,le poison,toxique,giftig,toxic,toxique,das Gift,the poison,le poison,Neuter,Neutre
266,14,B2,B2,A1,ängstlich,die Angst,,"the fear, anxiety",anxious,la peur,craintif,ängstlich,anxious,craintif,die Angst,"the fear, anxiety",la peur,Feminine,Féminin
267,14,B2,B2,A1,gesellschaftlich,die Gesellschaft,,"the society, company","social, societal",la société,"social, sociétale",gesellschaftlich,"social, societal","social, sociétale",die Gesellschaft,"the society, company",la société,Feminine,Féminin
268,14,B2,B2,A1,täglich,der Tag,,the day,daily,le jour,quotidien,täglich,daily,quotidien,der Tag,the day,le jour,Masculine,Masculin
269,14,B2,B2,A1,jährlich,das Jahr,,the year,yearly,l'année,annuel,jährlich,yearly,annuel,das Jahr,the year,l'année,Neuter,Neutre
270,14,B2,B2,A1,monatlich,der Monat,,the month,monthly,le mois,mensuel,monatlich,monthly,mensuel,der Monat,the month,le mois,Masculine,Masculin
271,15,B2,B2,A1,die Woche,wöchentlich,,weekly,the week,hebdomadaire,la semaine,wöchentlich,weekly,hebdomadaire,die Woche,the week,la semaine,,
272,15,B2,B2,B2,der Grundsatz,grundsätzlich,,"basic, fundamental",the principle,fondamental,le principe,grundsätzlich,"basic, fundamental",fondamental,der Grundsatz,the principle,le principe,,
273,15,B2,B2,A1,der Hunger,hungrig,,hungry,the hunger,affamé,la faim,hungrig,hungry,affamé,der Hunger,the hunger,la faim,,
274,15,B2,B2,B1,der Durst,durstig,,thirsty,the thirst,assoiffé,la soif,durstig,thirsty,assoiffé,der Durst,the thirst,la soif,,
275,15,B2,B2,A2,die Wissenschaft,wissenschaftlich,,scientific,the science,scientifique,la science,wissenschaftlich,scientific,scientifique,die Wissenschaft,the science,la science,,
276,15,B2,B2,B2,die Eile,eilig,,hurry,"the rush, the hurry","pressé, urgent",la hâte,eilig,hurry,"pressé, urgent",die Eile,"the rush, the hurry",la hâte,,
277,15,B2,B2,A2,die Vielfalt,vielfältig,,"diverse, varied",the diversity,"varié, divers",la diversité,vielfältig,"diverse, varied","varié, divers",die Vielfalt,the diversity,la diversité,,
278,15,B2,B2,B2,die Nachhaltigkeit,nachhaltig,,"sustainable, lasting",the sustainability,durable,la durabilité,nachhaltig,"sustainable, lasting",durable,die Nachhaltigkeit,the sustainability,la durabilité,,
279,15,B2,B2,A1,die Kraft,kräftig,,vigorous,"the strength, power","fort, vigoureux",le pouvoir,kräftig,vigorous,"fort, vigoureux",die Kraft,"the strength, power",le pouvoir,,
280,15,B2,B2,B1,die Vorsicht,vorsichtig,,"careful, cautious",the caution,"prudent, vigilant",la prudence,vorsichtig,"careful, cautious","prudent, vigilant",die Vorsicht,the caution,la prudence,,
281,15,B2,B2,A1,das Leben,lebendig,,"alive, lively",the life,"vivant, vif",la vie,lebendig,"alive, lively","vivant, vif",das Leben,the life,la vie,,
282,15,B2,B2,B2,die Beliebtheit,beliebt,,popular,the popularity,populaire,la popularité,beliebt,popular,populaire,die Beliebtheit,the popularity,la popularité,,
283,15,B2,B2,B2,der Ruhm,berühmt,,famous,the fame,célèbre,la gloire,berühmt,famous,célèbre,der Ruhm,the fame,la gloire,,
284,15,B2,B2,A1,die Geburt,geboren,,born,the birth,né,la naissance,geboren,born,né,die Geburt,the birth,la naissance,,
285,15,B2,B2,A1,die Hilfe,hilfreich,,helpful,the help,"aidant, utile",l'aide,hilfreich,helpful,"aidant, utile",die Hilfe,the help,l'aide,,
286,15,B2,B2,B1,die Nation,national,,national,the nation,national,la nation,national,national,national,die Nation,the nation,la nation,,
287,15,B2,B2,B1,das Reichtum,reichlich,,plenty,the wealth,abondant,la richesse,reichlich,plenty,abondant,das Reichtum,the wealth,la richesse,,
288,15,B2,B2,A1,die Sache,sachlich,,factual,the matter,factuel,la question,sachlich,factual,factuel,die Sache,the matter,la question,,
289,15,B2,B2,A2,die Schuld,schuld,,responsible,the guilt,responsable,la faute,schuld,responsible,responsable,die Schuld,the guilt,la faute,,
290,15,B2,B2,B1,die Stabilität,stabil,,stable,the stability,stable,la stabilité,stabil,stable,stable,die Stabilität,the stability,la stabilité,,
291,16,B2,B2,A1,wöchentlich,die Woche,,the week,weekly,la semaine,hebdomadaire,wöchentlich,weekly,hebdomadaire,die Woche,the week,la semaine,Feminine,Féminin
292,16,B2,B2,B2,grundsätzlich,der Grundsatz,,the principle,"basic, fundamental",le principe,fondamental,grundsätzlich,"basic, fundamental",fondamental,der Grundsatz,the principle,le principe,Masculine,Masculin
293,16,B2,B2,A1,hungrig,der Hunger,,the hunger,hungry,la faim,affamé,hungrig,hungry,affamé,der Hunger,the hunger,la faim,Masculine,Masculin
294,16,B2,B2,B1,durstig,der Durst,,the thirst,thirsty,la soif,assoiffé,durstig,thirsty,assoiffé,der Durst,the thirst,la soif,Masculine,Masculin
295,16,B2,B2,A2,wissenschaftlich,die Wissenschaft,,the science,scientific,la science,scientifique,wissenschaftlich,scientific,scientifique,die Wissenschaft,the science,la science,Feminine,Féminin
296,16,B2,B2,B2,eilig,die Eile,,"the rush, the hurry",hurry,la hâte,"pressé, urgent",eilig,hurry,"pressé, urgent",die Eile,"the rush, the hurry",la hâte,Feminine,Féminin
297,16,B2,B2,A2,vielfältig,die Vielfalt,,the diversity,"diverse, varied",la diversité,"varié, divers",vielfältig,"diverse, varied","varié, divers",die Vielfalt,the diversity,la diversité,Feminine,Féminin
298,16,B2,B2,B2,nachhaltig,die Nachhaltigkeit,,the sustainability,"sustainable, lasting",la durabilité,durable,nachhaltig,"sustainable, lasting",durable,die Nachhaltigkeit,the sustainability,la durabilité,Feminine,Féminin
299,16,B2,B2,A1,kräftig,die Kraft,,"the strength, power",vigorous,le pouvoir,"fort, vigoureux",kräftig,vigorous,"fort, vigoureux",die Kraft,"the strength, power",le pouvoir,Feminine,Féminin
300,16,B2,B2,B1,vorsichtig,die Vorsicht,,the caution,"careful, cautious",la prudence,"prudent, vigilant",vorsichtig,"careful, cautious","prudent, vigilant",die Vorsicht,the caution,la prudence,Feminine,Féminin
301,16,B2,B2,A1,lebendig,das Leben,,the life,"alive, lively",la vie,"vivant, vif",lebendig,"alive, lively","vivant, vif",das Leben,the life,la vie,Neuter,Neutre
302,16,B2,B2,B2,beliebt,die Beliebtheit,,the popularity,popular,la popularité,populaire,beliebt,popular,populaire,die Beliebtheit,the popularity,la popularité,Feminine,Féminin
303,16,B2,B2,B2,berühmt,der Ruhm,,the fame,famous,la gloire,célèbre,berühmt,famous,célèbre,der Ruhm,the fame,la gloire,Masculine,Masculin
304,16,B2,B2,A1,geboren,die Geburt,,the birth,born,la naissance,né,geboren,born,né,die Geburt,the birth,la naissance,Feminine,Féminin
305,16,B2,B2,A1,hilfreich,die Hilfe,,the help,helpful,l'aide,"aidant, utile",hilfreich,helpful,"aidant, utile",die Hilfe,the help,l'aide,Feminine,Féminin
306,16,B2,B2,B1,national,die Nation,,the nation,national,la nation,national,national,national,national,die Nation,the nation,la nation,Feminine,Féminin
307,16,B2,B2,B1,reichlich,das Reichtum,,the wealth,plenty,la richesse,abondant,reichlich,plenty,abondant,das Reichtum,the wealth,la richesse,Neuter,Neutre
308,16,B2,B2,A1,sachlich,die Sache,,the matter,factual,la question,factuel,sachlich,factual,factuel,die Sache,the matter,la question,Feminine,Féminin
309,16,B2,B2,A2,schuld,die Schuld,,the guilt,responsible,la faute,responsable,schuld,responsible,responsable,die Schuld,the guilt,la faute,Feminine,Féminin
310,16,B2,B2,B1,stabil,die Stabilität,,the stability,stable,la stabilité,stable,stabil,stable,stable,die Stabilität,the stability,la stabilité,Feminine,Féminin
311,17,B2,B2,A2,der Vergleich,vergleichbar,,comparable,the comparison,comparable,la comparaison,vergleichbar,comparable,comparable,der Vergleich,the comparison,la comparaison,,
312,17,B2,B2,B1,die Wut,wütend,,angry,"the rage, fury",furieux,la colère,wütend,angry,furieux,die Wut,"the rage, fury",la colère,,
313,17,B2,B2,A1,das Zentrum,zentral,,central,the center,central,le centre,zentral,central,central,das Zentrum,the center,le centre,,
314,17,B2,B2,A1,das Gericht,gerecht,,fair,"the court, dish","juste, équitable",le tribunal,gerecht,fair,"juste, équitable",das Gericht,"the court, dish",le tribunal,,
315,17,B2,B2,A2,der Witz,witzig,,funny,the joke,drôle,la blague,witzig,funny,drôle,der Witz,the joke,la blague,,
316,17,B2,B2,A1,die Hand,vorhanden,,"available, at hand",the hand,"disponible, accessible",la main,vorhanden,"available, at hand","disponible, accessible",die Hand,the hand,la main,,
317,17,B2,B2,A1,das Gesetz,gesetzlich,,legal,the law,légal,la loi,gesetzlich,legal,légal,das Gesetz,the law,la loi,,
318,17,B2,B2,A2,das Mittel,unmittelbar,,direct,the means,direct,les moyens,unmittelbar,direct,direct,das Mittel,the means,les moyens,,
319,17,B2,B2,A2,die Wirklichkeit,wirklich,,"real, genuine",the reality,réel,la réalité,wirklich,"real, genuine",réel,die Wirklichkeit,the reality,la réalité,,
320,18,B2,B2,A2,vergleichbar,der Vergleich,,the comparison,comparable,la comparaison,comparable,vergleichbar,comparable,comparable,der Vergleich,the comparison,la comparaison,Masculine,Masculin
321,18,B2,B2,B1,wütend,die Wut,,"the rage, fury",angry,la colère,furieux,wütend,angry,furieux,die Wut,"the rage, fury",la colère,Feminine,Féminin
322,18,B2,B2,A1,zentral,das Zentrum,,the center,central,le centre,central,zentral,central,central,das Zentrum,the center,le centre,Neuter,Neutre
323,18,B2,B2,A1,gerecht,das Gericht,,"the court, dish",fair,le tribunal,"juste, équitable",gerecht,fair,"juste, équitable",das Gericht,"the court, dish",le tribunal,Neuter,Neutre
324,18,B2,B2,A2,witzig,der Witz,,the joke,funny,la blague,drôle,witzig,funny,drôle,der Witz,the joke,la blague,Masculine,Masculin
325,18,B2,B2,A1,vorhanden,die Hand,,the hand,"available, at hand",la main,"disponible, accessible",vorhanden,"available, at hand","disponible, accessible",die Hand,the hand,la main,Feminine,Féminin
326,18,B2,B2,A1,gesetzlich,das Gesetz,,the law,legal,la loi,légal,gesetzlich,legal,légal,das Gesetz,the law,la loi,Neuter,Neutre
327,18,B2,B2,A2,unmittelbar,das Mittel,,the means,direct,les moyens,direct,unmittelbar,direct,direct,das Mittel,the means,les moyens,Neuter,Neutre
328,18,B2,B2,A2,wirklich,die Wirklichkeit,,the reality,"real, genuine",la réalité,réel,wirklich,"real, genuine",réel,die Wirklichkeit,the reality,la réalité,Feminine,Féminin
329,101,C1,A1,C1,die Neuheit,neu,,new,the novelty,nouveau,la nouveauté,neu,new,nouveau,die Neuheit,the novelty,la nouveauté,,
330,101,C1,A1,C1,die Neuerung,neu,,new,the innovation,nouveau,l'innovation,neu,new,nouveau,die Neuerung,the innovation,l'innovation,,
331,101,C1,A1,C1,die Einfachheit,einfach,,"easy, simple",the simplicity,"facile, simple",la simplicité,einfach,"easy, simple","facile, simple",die Einfachheit,the simplicity,la simplicité,,
332,101,C1,A1,C1,die Richtigkeit,richtig,,"right, correct",the correctness,"correct, juste",la justesse,richtig,"right, correct","correct, juste",die Richtigkeit,the correctness,la justesse,,
333,101,C1,A1,C1,die Wichtigkeit,wichtig,,important,the importance,important,l'importance,wichtig,important,important,die Wichtigkeit,the importance,l'importance,,
334,101,C1,A1,C1,die Gänze,ganz,,"whole, entire, complete",the whole,"entier, complet",l'ensemble,ganz,"whole, entire, complete","entier, complet",die Gänze,the whole,l'ensemble,,
335,101,C1,A2,C1,die Fertigkeit,fertig,,finished,the skill,fini,la compétence,fertig,finished,fini,die Fertigkeit,the skill,la compétence,,
