Nr,exercise,level_verben,question,answer,german,english
495,11,B2,the security,die Sicherung,sichern,to secure
496,11,B2,the security,die Sicherheit,sichern,to secure
497,11,B2,the strengthening,die Stärkung,stärken,to strengthen
498,11,B2,the strength,die Stärke,stärken,to strengthen
499,11,B2,the improvement,die Verbesserung,verbessern,to improve
500,11,B2,the answer,die Beantwortung,beantworten,to answer
501,11,B2,the assignment,der Auftrag,beauftragen,to assign
502,11,B2,the thanks,das Bedanken,bedanken,to thank
503,11,B2,the hurry,die Eile,beeilen,to hurry
504,11,B2,the completion,die Beendigung,beenden,to finish
505,11,B2,the liberation,die Befreiung,befreien,to free
506,11,B2,the friendship,die Freundschaft,befreunden,to befriend
507,11,B2,the congratulation,die Beglückwünschung,beglückwünschen,to congratulate
508,11,B2,the greeting,die Begrüßung,begrüssen,to greet
509,11,B2,the obstruction,die Behinderung,behindern,to obstruct
510,11,B2,the realization,die Bemerkung,bemerken,to realize
511,11,B2,the effort,die Bemühung,bemühen,to strive
512,11,B2,the computation,die Berechnung,berechnen,to compute
513,11,B2,the calm,die Ruhe,beruhigen,to calm
514,12,B2,the damage,die Beschädigung,beschädigen,to damage
515,12,B2,the occupation,die Beschäftigung,beschäftigen,to occupy
516,12,B2,the decision,der Beschluss,beschliessen,to decide
517,12,B2,the limitation,die Beschränkung,beschränken,to limit
518,12,B2,the protection,der Schutz,beschützen,to protect
519,12,B2,the rejection,die Ablehnung,ablehnen,to reject
520,12,B2,the acceptance,die Akzeptanz,akzeptieren,to accept
521,12,B2,the offer,das Angebot,anbieten,to offer
522,12,B2,the statement,die Angabe,angeben,to state
523,12,B2,the approach,das Angehen,angehen,to tackle
524,12,B2,the occurrence,das Auftreten,auftreten,to occur
525,12,B2,the failure,der Ausfall,ausfallen,to fail
526,12,B2,the promotion,die Beförderung,befördern,to promote
527,12,B2,the accompaniment,die Begleitung,begleiten,to accompany
528,12,B2,the assertion,die Behauptung,behaupten,to claim
529,12,B2,the concern,die Betroffenheit,betreffen,to affect
530,12,B2,the definition,die Definition,definieren,to define
531,12,B2,the engagement,das Eingehen,eingehen,to deal with
532,12,B2,the commitment,das Engagement,engagieren,to commit (oneself)
533,12,B2,the investigation,die Ermittlung,ermitteln,to investigate
534,12,B2,the achievement,die Erreichung,erreichen,to reach
535,12,B2,the appearance,das Erscheinen,erscheinen,to appear
536,12,B2,the grasp,das Fassen,fassen,to grasp
537,12,B2,the determination,die Feststellung,feststellen,to determine
538,12,B2,the escape,die Flucht,fliehen,to flee
539,12,B2,the demand,die Forderung,fordern,to demand
540,12,B2,the rule,die Herrschaft,herrschen,to rule
541,12,B2,the haste,die Hetze,hetzen,to rush
542,12,B2,the legacy,das Hinterlassen,hinterlassen,to leave behind
543,12,B2,the success,das Klappen,klappen,to work out
544,12,B2,the comment,der Kommentar,kommentieren,to comment
545,12,B2,the landing,die Landung,landen,to land
546,12,B2,the impression,die Prägung,prägen,to shape
547,12,B2,the profit,der Profit,profitieren,to profit
548,12,B2,the reduction,die Reduzierung,reduzieren,to reduce
549,12,B2,the rescue,die Rettung,retten,to save
550,12,B2,the movement,die Rückung,rücken,to move (position)
551,12,B2,the failure,das Schiefgehen,schiefgehen,to go wrong
552,12,B2,the shot,der Schuss,schiessen,to shoot
553,12,B2,the start,der Start,starten,to start
554,12,B2,the handling,der Umgang,umgehen,to handle
555,12,B2,the farewell,die Verabschiedung,verabschieden,to say goodbye
556,12,B2,the inheritance,die Vererbung,vererben,to inherit
557,12,B2,the forgiveness,die Vergebung,vergeben,to forgive
558,12,B2,the prevention,die Verhinderung,verhindern,to prevent
559,12,B2,the course,der Verlauf,verlaufen,to proceed
560,12,B2,the betrayal,der Verrat,verraten,to betray
561,12,B2,the concealment,das Verschweigen,verschweigen,to withhold
562,12,B2,the defense,die Verteidigung,verteidigen,to defend
563,12,B2,the transformation,die Verwandlung,verwandeln,to transform
564,12,B2,the turn,die Wendung,wenden,to turn
565,12,B2,the compulsion,der Zwang,zwingen,to force
566,13,C1,the intention,das Absicht,absehen,to foresee
567,13,C1,the attack,der Angriff,angreifen,to attack
568,13,C1,the investment,die Anlage,anlegen,to invest
569,13,C1,the adaptation,die Anpassung,anpassen,to adapt
570,13,C1,"the address, the speech",die Ansprache,ansprechen,to address
571,13,C1,the competition,das Antreten,antreten,to compete
572,13,C1,the report,die Anzeige,anzeigen,to report
573,13,C1,the construction,der Aufbau,aufbauen,to build up
574,13,C1,the remarkability,die Auffälligkeit,auffallen,to stand out
575,13,C1,the excitement,die Aufregung,aufregen,to excite
576,13,C1,the setup,die Aufstellung,aufstellen,to set up
577,13,C1,the expansion,der Ausbau,ausbauen,to expand
578,13,C1,the execution,die Ausführung,ausführen,to execute
579,13,C1,the exclusion,der Ausschluss,ausschliessen,to exclude
580,13,C1,the equipment,die Ausstattung,ausstatten,to equip
581,13,C1,"the distinction, the award",die Auszeichnung,auszeichnen,to distinguish
582,13,C1,the basis,die Basis,basieren,to be based on
583,13,C1,the application,der Antrag,beantragen,to apply for
584,13,C1,the service,die Bedienung,bedienen,to serve
585,13,C1,the encounter,die Begegnung,begegnen,to encounter
586,13,C1,the commission,die Begehung,begehen,to commit (a crime)
587,13,C1,the burial,das Begräbnis,begraben,to bury
588,13,C1,the proof,der Beleg,belegen,to prove
589,13,C1,the consideration,die Berücksichtigung,berücksichtigen,to consider
590,13,C1,the victory,der Sieg,besiegen,to defeat
591,13,C1,the emphasis,die Betonung,betonen,to emphasize
592,13,C1,the accent,die Betonung,betonen,to emphasize
593,13,C1,the consideration,die Betrachtung,betrachten,to regard
594,13,C1,the amount,der Betrag,betragen,to amount to
595,13,C1,the operation,der Betrieb,betreiben,to operate
596,13,C1,the supervision,die Betreuung,betreuen,to supervise
597,13,C1,the fraud,der Betrug,betrügen,to cheat
598,13,C1,the description,die Bezeichnung,bezeichnen,to describe
599,13,C1,the receipt,der Bezug,beziehen,to obtain
600,13,C1,the threat,die Drohung,drohen,to threaten
601,13,C1,the implementation,die Durchführung,durchführen,to carry out
602,13,C1,the enforcement,die Durchsetzung,durchsetzen,to enforce
603,13,C1,the suitability,die Eignung,eignen,to be suitable
604,13,C1,the escape,das Entkommen,entkommen,to escape
605,13,C1,the delight,die Freude,erfreuen,to please
606,13,C1,the levy,die Erhebung,erheben,to raise
607,13,C1,the explanation,die Erläuterung,erläutern,to explain
608,13,C1,the murder,der Mord,ermorden,to murder
609,13,C1,the establishment,die Errichtung,errichten,to establish
610,13,C1,the fright,der Schreck,erschrecken,to frighten
611,13,C1,the issuance,die Erteilung,erteilen,to grant
612,13,C1,the endurance,das Ertragen,ertragen,to endure
613,13,C1,the proof,der Beweis,erweisen,to prove
614,13,C1,the acquisition,der Erwerb,erwerben,to acquire
615,13,C1,the existence,die Existenz,existieren,to exist
616,14,C1,the determination,die Festlegung,festlegen,to determine
617,14,C1,"the flow, the river",der Fluss,fliessen,to flow
618,14,C1,the usage,der Gebrauch,gebrauchen,to use
619,14,C1,the remembrance,das Gedenken,gedenken,to commemorate
620,14,C1,the arrival,das Gelangen,gelangen,to reach
621,14,C1,the sufficiency,die Genüge,genügen,to be sufficient
622,14,C1,the design,die Gestaltung,gestalten,to shape
623,14,C1,the guarantee,die Gewährleistung,gewährleisten,to ensure
624,14,C1,the healing,die Heilung,heilen,to heal
625,14,C1,the origin,die Herkunft,herkommen,to come from
626,14,C1,the production,die Herstellung,herstellen,to produce
627,14,C1,the attendance,das Hingehen,hingehen,to go there
628,14,C1,the addition,die Hinzufügung,hinzufügen,to add
629,14,C1,the integration,die Integration,integrieren,to integrate
630,14,C1,the theft,der Klau,klauen,to steal (slang)
631,14,C1,the acquisition,das Kriegen,kriegen,to get
632,14,C1,the deletion,das Löschen,löschen,to delete
633,14,C1,the removal,das Loswerden,loswerden,to get rid of
634,14,C1,the notification,die Mitteilung,mitteilen,to inform
635,14,C1,the modernization,die Modernisierung,modern,to modernize
636,14,C1,the organization,die Organisation,organisieren,to organize
637,14,C1,the emergence,das Rauskommen,rauskommen,to come out
638,14,C1,the registration,die Registrierung,registrieren,to register
639,14,C1,the risk,das Risiko,riskieren,to risk
640,14,C1,the renovation,die Sanierung,sanieren,to renovate
641,14,C1,the harm,der Schaden,schaden,to harm
642,14,C1,the failure,das Scheitern,scheitern,to fail
643,14,C1,the snatch,das Schnappen,schnappen,to grab
644,14,C1,the stride,das Schreiten,schreiten,to stride
645,14,C1,the oath,der Schwur,schwören,to swear
646,14,C1,the separation,die Sonderung,sondern,to separate
647,14,C1,the split,die Spaltung,spalten,to split
648,14,C1,the storage,das Speichern,speichern,to save (data)
649,14,C1,the increase,die Steigerung,steigern,to increase
650,14,C1,the control,die Steuerung,steuern,to control
651,14,C1,the argument,der Streit,streiten,to argue
652,14,C1,the support,die Stütze,stützen,to support
653,14,C1,the telephone call,das Telefonat,telefonieren,to make a call
654,14,C1,the handover,die Übergabe,übergeben,to hand over
655,14,C1,the transmission,die Übertragung,übertragen,to transmit
656,14,C1,the turn,die Umdrehung,umdrehen,to turn around
657,14,C1,the scope,die Umfassung,umfassen,to encompass
658,14,C1,the implementation,die Umsetzung,umsetzen,to implement
659,14,C1,the entertainment,die Unterhaltung,unterhalten,to entertain
660,14,C1,the subjugation,das Unterliegen,unterliegen,to be subject to
661,14,C1,the differentiation,die Unterscheidung,unterscheiden,to differentiate
662,14,C1,the event,die Veranstaltung,veranstalten,to organize (event)
663,14,C1,the distribution,die Verbreitung,verbreiten,to spread
664,14,C1,the condemnation,die Verdammung,verdammen,to condemn
665,14,C1,the composition,die Verfassung,verfassen,to compose
666,15,C1,the pursuit,die Verfolgung,verfolgen,to pursue
667,15,C1,the arrest,die Verhaftung,verhaften,to arrest
668,15,C1,the award,die Verleihung,verleihen,to award
669,15,C1,the mediation,die Vermittlung,vermitteln,to mediate
670,15,C1,the destruction,die Vernichtung,vernichten,to destroy
671,15,C1,the obligation,die Verpflichtung,verpflichten,to obligate
672,15,C1,the distribution,die Verteilung,verteilen,to distribute
673,15,C1,the reference,der Verweis,verweisen,to refer
674,15,C1,the existence,das Vorliegen,vorliegen,to exist
675,15,C1,the provision,die Vorsicht,vorsehen,to plan
676,15,C1,the risk,die Wagnis,wagen,to dare
677,15,C1,the resistance,die Wehr,wehren,to resist
678,15,C1,the indication,der Hinweis,weisen,to point
679,15,C1,the dedication,die Widmung,widmen,to dedicate
680,15,C1,the quotation,das Zitat,zitieren,to quote
681,15,C1,the return,die Rückkehr,zurückkehren,to return
682,15,C1,the withdrawal,der Rückzug,zurückziehen,to withdraw
683,15,C1,the observation,das Zusehen,zusehen,to watch
684,15,C1,the retrieval,der Abruf,abrufen,to retrieve
685,15,C1,the activation,die Aktivierung,aktivieren,to activate
686,15,C1,the update,die Aktualisierung,aktualisieren,to update
687,15,C1,the age,das Alter,altern,to age
688,15,C1,the inquiry,die Anfrage,anfragen,to inquire
689,15,C1,the increase,der Anstieg,ansteigen,to increase
690,15,C1,the employment,die Anstellung,anstellen,to hire
691,15,C1,the instruction,die Anweisung,anweisen,to instruct
692,15,C1,the task,die Aufgabe,aufgeben,to give up
693,15,C1,the attention,die Aufmerksamkeit,aufmerken,to pay attention
694,15,C1,the emergence,das Auftauchen,auftauchen,to emerge
695,15,C1,the characteristic,die Aufweisung,aufweisen,to exhibit
696,15,C1,the expression,der Ausdruck,ausdrücken,to express
697,15,C1,the alignment,die Ausrichtung,ausrichten,to align
698,15,C1,the statement,die Aussage,aussagen,"to testify, to state"
699,15,C1,the suspension,die Aussetzung,aussetzen,to suspend
700,15,C1,the exit,der Ausstieg,aussteigen,to get off (transport)
701,15,C1,the selection,die Auswahl,aussuchen,to pick out
702,15,C1,the exchange,der Austausch,austauschen,to exchange
703,15,C1,the consideration,das Bedenken,bedenken,to consider
704,15,C1,the threat,die Bedrohung,bedrohen,to threaten
705,15,C1,the command,der Befehl,befehligen,to command
706,15,C1,the enthusiasm,die Begeisterung,begeistern,to inspire
707,15,C1,the fight,die Bekämpfung,bekämpfen,to combat
708,15,C1,the insult,die Beleidigung,beleidigen,to insult
709,15,C1,the regret,die Reue,bereuen,to regret
710,15,C1,the touch,die Berührung,berühren,to touch
711,15,C1,the punishment,die Bestrafung,bestrafen,to punish
712,15,C1,the guard,der Wächten,bewachen,to guard
713,15,C1,the preservation,die Bewahrung,bewahren,to preserve
714,15,C1,the burn,das Brennen,brennen,to burn
715,15,C1,the occurrence,der Einfall,einfallen,to occur
716,16,C1,the creation,die Erschaffung,erschaffen,to create
717,16,C1,the explosion,die Explosion,explodieren,to explode
718,16,C1,the color,die Farbe,färben,to color
719,16,C1,the detention,das Festhalten,festhalten,to hold on
720,16,C1,the fire,das Feuer,feuern,to fire
721,16,C1,the hit,der Hieb,hauen,to hit
722,16,C1,the identification,die Identifikation,identifizieren,to identify
723,16,C1,the import,der Import,importieren,to import
724,16,C1,the error,der Irrtum,irren,to be wrong
725,16,C1,the clothes,die Kleidung,kleiden,to dress
726,16,C1,the knee,das Knie,knien,to kneel
727,16,C1,the teacher,der Lehrer,lehren,to teach
728,16,C1,the sacrifice,das Opfer,opfern,to sacrifice
729,16,C1,the praise,das Preisen,preisen,to praise
730,16,C1,the revenge,die Rache,rächen,to avenge
731,16,C1,the government,die Regierung,regieren,to govern
732,16,C1,the debt,die Schuld,schulden,to owe
733,16,C1,the silence,das Schweigen,schweigen,to remain silent
734,16,C1,the stench,der Gestank,stinken,to stink
735,16,C1,the deletion,die Streichung,streichen,to paint/cancel
736,16,C1,the fall,der Sturz,stürzen,to fall
737,16,C1,the trust,das Vertrauen,trauen,to trust
738,16,C1,the dryer,der Trockner,trocknen,to dry
739,16,C1,the handover,die Überlassung,überlassen,to leave to
740,16,C1,the exaggeration,die Übertreibung,übertreiben,to exaggerate
741,16,C1,the concealment,die Verbergung,verbergen,to hide
742,16,C1,the stay,der Verbleib,verbleiben,to remain
743,16,C1,the behavior,das Verhalten,verhalten,to behave
744,16,C1,the negotiation,die Verhandlung,verhandeln,to negotiate
745,16,C1,the failure,das Versagen,versagen,to fail
746,16,C1,the waste,die Verschwendung,verschwenden,to waste
747,16,C1,the relocation,die Versetzung,versetzen,to relocate
748,16,C1,the forgiveness,die Verzeihung,verzeihen,to forgive
749,16,C1,the continuation,das Weitergehen,weitergehen,to continue
750,16,C1,the continuation,das Weitermachen,weitermachen,to continue
751,16,C1,the weight,das Gewicht,wiegen,to weight
