Nr,exercise,question,answer,german,english,french,person,case_english,case_french,gender_english,gender_french,,,
346,12,Heute Abend bade ich _____.,mich,Heute Abend bade ich mich.,I'm going to take a bath tonight.,Ce soir je prends un bain.,Ich,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
347,12,Hast du _____ schon geduscht?,dich,Hast du dich schon geduscht?,Have you already taken a shower?,As-tu déjà pris une douche ?,Du,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
348,12,Ziehst du _____ nach dem Sport um?,dich,Ziehst du dich nach dem Sport um?,Do you change your clothes after playing sports?,Changez-vous de vêtements après avoir fait de l’exercice ?,Du,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
349,12,"Du freust _____ auf die Ferien, oder?",dich,"Du freust dich auf die Ferien, oder?","You're looking forward to the holidays, aren't you?","Vous attendez les vacances avec impatience, n'est-ce pas ?",Du,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
350,12,Er duscht _____ jeden Morgen vor der Arbeit.,sich,Er duscht sich jeden Morgen vor der Arbeit.,He showers every morning before work.,Il prend une douche tous les matins avant d'aller travailler.,Er,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
351,12,Sie freut _____ auf den Urlaub am Meer.,sich,Sie freut sich auf den Urlaub am Meer.,She is looking forward to her holiday by the sea.,Elle attend avec impatience ses vacances à la mer.,Sie (Singular),Reflexive & Accusative,Réfléchi & Accusatif,,,,,
352,12,Er informiert _____ über die neuesten Nachrichten.,sich,Er informiert sich über die neuesten Nachrichten.,He keeps himself informed about the latest news.,Il se tient informé des dernières nouvelles.,Er,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
353,12,Wir duschen _____ nach dem Sport.,uns,Wir duschen uns nach dem Sport.,We shower after sports.,Nous prenons une douche après l'exercice.,Wir,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
354,12,"Wir ziehen _____ um, bevor die Gäste kommen.",uns,"Wir ziehen uns um, bevor die Gäste kommen.",We'll change our clothes before the guests arrive.,Nous nous changeons avant l'arrivée des invités.,Wir,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
355,12,Wir freuen _____ auf die Reise nach Italien.,uns,Wir freuen uns auf die Reise nach Italien.,We are looking forward to the trip to Italy.,Nous attendons avec impatience le voyage en Italie.,Wir,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
356,12,Habt ihr _____ nach dem Training geduscht?,euch,Habt ihr euch nach dem Training geduscht?,Did you shower after training?,As-tu pris une douche après l'entraînement ?,Ihr,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
357,12,"Zieht ihr _____ um, bevor ihr ins Bett geht?",euch,"Zieht ihr euch um, bevor ihr ins Bett geht?",Do you change your clothes before going to bed?,Est-ce que tu changes de vêtements avant d’aller au lit ?,Ihr,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
358,12,"Ihr freut _____ auf die Ferien, oder?",euch,"Ihr freut euch auf die Ferien, oder?","You're looking forward to the holidays, aren't you?","Vous attendez les vacances avec impatience, n'est-ce pas ?",Ihr,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
359,12,Sie duschen _____ nach dem Training.,sich,Sie duschen sich nach dem Training.,They shower after training.,Ils prennent une douche après l'entraînement.,Sie (Plural),Reflexive & Accusative,Réfléchi & Accusatif,,,,,
360,12,"Sie ziehen _____ um, bevor sie schlafen gehen.",sich,"Sie ziehen sich um, bevor sie schlafen gehen.",They change their clothes before going to sleep.,Ils changent de vêtements avant d'aller dormir.,Sie (Plural),Reflexive & Accusative,Réfléchi & Accusatif,,,,,
361,12,Sie freuen _____ auf die Ferien.,sich,Sie freuen sich auf die Ferien.,They are looking forward to the holidays.,Ils attendent les vacances avec impatience.,Sie (Plural),Reflexive & Accusative,Réfléchi & Accusatif,,,,,
362,12,Haben Sie _____ heute schon geduscht?,sich,Haben Sie sich heute schon geduscht?,Have you taken a shower today?,As-tu pris une douche aujourd'hui ?,Sie (Formell),Reflexive & Accusative,Réfléchi & Accusatif,,,,,
363,12,"Ziehen Sie _____ um, bevor Sie ausgehen?",sich,"Ziehen Sie sich um, bevor Sie ausgehen?",Do you change your clothes before you go out?,Est-ce que tu changes de vêtements avant de sortir ?,Sie (Formell),Reflexive & Accusative,Réfléchi & Accusatif,,,,,
364,12,Freuen Sie _____ auf den bevorstehenden Urlaub?,sich,Freuen Sie sich auf den bevorstehenden Urlaub?,Are you looking forward to your upcoming vacation?,Avez-vous hâte de vos prochaines vacances ?,Sie (Formell),Reflexive & Accusative,Réfléchi & Accusatif,,,,,
365,12,Ich wasche _____ die Hände vor dem Essen.,mir,Ich wasche mir die Hände vor dem Essen.,I wash my hands before eating.,Je me lave les mains avant de manger.,Ich,Reflexive & Dative,Réfléchi & Datif,,,,,
366,12,Vor dem Schlafengehen ziehe ich _____ die Schuhe aus.,mir,Vor dem Schlafengehen ziehe ich mir die Schuhe aus.,I take my shoes off before going to bed.,J'enlève mes chaussures avant d'aller me coucher.,Ich,Reflexive & Dative,Réfléchi & Datif,,,,,
367,12,Du wäschst _____ die Hände vor dem Essen.,dir,Du wäschst dir die Hände vor dem Essen.,You wash your hands before eating.,Vous vous lavez les mains avant de manger.,Du,Reflexive & Dative,Réfléchi & Datif,,,,,
368,12,"Du ziehst _____ die Schuhe aus, bevor du ins Haus gehst.",dir,"Du ziehst dir die Schuhe aus, bevor du ins Haus gehst.",You take off your shoes before you go into the house.,Vous enlevez vos chaussures avant d'entrer dans la maison.,Du,Reflexive & Dative,Réfléchi & Datif,,,,,
369,12,Sie wäscht _____ die Hände vor dem Essen.,sich,Sie wäscht sich die Hände vor dem Essen.,She washes her hands before eating.,Elle se lave les mains avant de manger.,Sie (Singular),Reflexive & Dative,Réfléchi & Datif,,,,,
370,12,Es zieht _____ nach dem Spaziergang etwas Warmes an.,sich,Es zieht sich nach dem Spaziergang etwas Warmes an.,She puts on something warm after the walk.,Il met quelque chose de chaud après la marche.,Er,Reflexive & Dative,Réfléchi & Datif,,,,,
371,12,Wir waschen _____ die Hände vor dem Essen.,uns,Wir waschen uns die Hände vor dem Essen.,We wash our hands before eating.,Nous nous lavons les mains avant de manger.,Wir,Reflexive & Dative,Réfléchi & Datif,,,,,
372,12,"Wir ziehen _____ die Jacken aus, wenn wir ankommen.",uns,"Wir ziehen uns die Jacken aus, wenn wir ankommen.",We take off our jackets when we arrive.,Nous enlevons nos vestes à notre arrivée.,Wir,Reflexive & Dative,Réfléchi & Datif,,,,,
373,12,Ihr wascht _____ die Hände vor dem Essen.,euch,Ihr wascht euch die Hände vor dem Essen.,You wash your hands before eating.,Vous vous lavez les mains avant de manger.,Ihr,Reflexive & Dative,Réfléchi & Datif,,,,,
374,12,"Zieht ihr _____ die Schuhe aus, bevor ihr reinkommt?",euch,"Zieht ihr euch die Schuhe aus, bevor ihr reinkommt?",Do you take your shoes off before you come in?,Enlevez-vous vos chaussures avant d'entrer ?,Ihr,Reflexive & Dative,Réfléchi & Datif,,,,,
375,12,Sie waschen _____ die Hände vor dem Essen.,sich,Sie waschen sich die Hände vor dem Essen.,They wash their hands before eating.,Ils se lavent les mains avant de manger.,Sie (Plural),Reflexive & Dative,Réfléchi & Datif,,,,,
376,12,"Sie ziehen _____ die Jacken aus, bevor sie reinkommen.",sich,"Sie ziehen sich die Jacken aus, bevor sie reinkommen.",They take off their jackets before coming in.,Ils enlèvent leurs vestes avant d'entrer.,Sie (Plural),Reflexive & Dative,Réfléchi & Datif,,,,,
377,12,Haben Sie _____ die Hände vor dem Essen gewaschen?,sich,Haben Sie sich die Hände vor dem Essen gewaschen?,Did you wash your hands before eating?,Avez-vous lavé vos mains avant de manger ?,Sie (Formell),Reflexive & Dative,Réfléchi & Datif,,,,,
378,12,"Ziehen Sie _____ die Jacke aus, wenn es warm wird.",sich,"Ziehen Sie sich die Jacke aus, wenn es warm wird.",Take off your jacket when it gets warm.,Enlève ta veste quand il fait chaud.,Sie (Formell),Reflexive & Dative,Réfléchi & Datif,,,,,
379,13,Kannst du _____ morgen im Büro anrufen?,mich,Kannst du mich morgen im Büro anrufen?,Can you call me at the office tomorrow?,Peux-tu m'appeler au bureau demain ?,Ich,Accusative,Accusatif,,,,,
380,13,Heute hat niemand _____ besucht.,mich,Heute hat niemand mich besucht.,Nobody visited me today.,Personne ne m'a rendu visite aujourd'hui.,Ich,Accusative,Accusatif,,,,,
381,13,Der Film hat _____ gestern total begeistert.,mich,Der Film hat mich gestern total begeistert.,I was totally thrilled by the film yesterday.,J'ai été totalement enthousiasmé par le film d'hier.,Ich,Accusative,Accusatif,,,,,
382,13,Nach der Party habe ich _____ überall gesucht.,dich,Nach der Party habe ich dich überall gesucht.,"After the party, I looked for you everywhere. (Singular)","Après la fête, je t'ai cherché partout. (Singulier)",Du,Accusative,Accusatif,,,,,
383,13,Der Hund hat _____ sofort erkannt.,dich,Der Hund hat dich sofort erkannt.,The dog recognized you immediately. (Singular),Le chien t'a reconnu immédiatement. (Singulier),Du,Accusative,Accusatif,,,,,
384,13,Gestern habe ich _____ im Kino gesehen.,ihn,Gestern habe ich ihn im Kino gesehen.,I saw him in the cinema yesterday.,Je l'ai vu au cinéma hier.,Er,Accusative,Accusatif,,,,,
385,13,Kannst du _____ später anrufen?,ihn,Kannst du ihn später anrufen?,Can you call him later?,Peux-tu l'appeler plus tard ?,Er,Accusative,Accusatif,,,,,
386,13,Der Trainer hat _____ für die Mannschaft ausgewählt.,ihn,Der Trainer hat ihn für die Mannschaft ausgewählt.,The coach selected him for the team.,L'entraîneur l'a sélectionné pour l'équipe.,Er,Accusative,Accusatif,,,,,
387,13,Nach der Party habe ich _____ gesucht.,sie,Nach der Party habe ich sie gesucht.,After the party I looked for her.,"Après la fête, je l'ai cherchée.",Sie (Singular),Accusative,Accusatif,,,,,
388,13,Der Hund hat _____ sofort erkannt.,sie,Der Hund hat sie sofort erkannt.,The dog recognized her immediately.,Le chien l'a reconnue immédiatement.,Sie (Singular),Accusative,Accusatif,,,,,
389,13,Gestern habe ich _____ im Wohnzimmer gesehen.,es,Gestern habe ich es im Wohnzimmer gesehen.,Yesterday I saw it in the living room.,Hier je l'ai vu dans le salon.,Es,Accusative,Accusatif,,,,,
390,13,Kannst du _____ bitte auf den Tisch legen?,es,Kannst du es bitte auf den Tisch legen?,Can you please put it on the table?,"Peux-tu le mettre sur la table, s'il te plaît ?",Es,Accusative,Accusatif,,,,,
391,13,Der Hund hat _____ sofort gefressen.,es,Der Hund hat es sofort gefressen.,The dog ate it immediately.,Le chien l'a mangé immédiatement.,Es,Accusative,Accusatif,,,,,
392,13,"Wenn du _____ brauchst, ruf einfach an.",uns,"Wenn du uns brauchst, ruf einfach an.","If you need us, just call.","Si vous avez besoin de nous, appelez-nous.",Wir,Accusative,Accusatif,,,,,
393,13,Wir haben _____ gestern in der Stadt getroffen.,uns,Wir haben uns gestern in der Stadt getroffen.,We met in town yesterday.,Nous nous sommes rencontrés hier en ville.,Wir,Accusative,Accusatif,,,,,
394,13,Die Lehrerin hat _____ gestern gelobt.,euch,Die Lehrerin hat euch gestern gelobt.,The teacher praised you yesterday. (Plural),Le professeur t'a félicité hier. (Pluriel),Ihr,Accusative,Accusatif,,,,,
395,13,Ich werde _____ morgen ins Kino einladen.,euch,Ich werde euch morgen ins Kino einladen.,I'll invite you to the cinema tomorrow. (Plural),Je t'invite au cinéma demain. (Pluriel),Ihr,Accusative,Accusatif,,,,,
396,13,Der Hund hat _____ im Garten gesehen.,euch,Der Hund hat euch im Garten gesehen.,The dog saw you in the garden. (Plural),Le chien t'a vu dans le jardin. (Pluriel),Ihr,Accusative,Accusatif,,,,,
397,13,Nach der Besprechung hat der Chef _____ eingeladen.,sie,Nach der Besprechung hat der Chef sie eingeladen.,"After the meeting, the boss invited them.","Après la réunion, le patron les a invités.",Sie (Plural),Accusative,Accusatif,,,,,
398,13,Warum hat niemand _____ informiert?,sie,Warum hat niemand sie informiert?,Why didn't anyone inform them?,Pourquoi personne ne les a informés ?,Sie (Plural),Accusative,Accusatif,,,,,
399,13,Kann ich _____ später anrufen?,Sie,Kann ich Sie später anrufen?,Can I call you later? (Formal),Puis-je vous appeler plus tard ? (Formel),Sie (Formell),Accusative,Accusatif,,,,,
400,13,Der Chef möchte _____ morgen sprechen.,Sie,Der Chef möchte Sie morgen sprechen.,The boss wants to speak to you tomorrow. (Formal),Le patron veut vous parler demain. (Formel),Sie (Formell),Accusative,Accusatif,,,,,
401,13,Ich habe _____ gestern im Büro gesehen.,Sie,Ich habe Sie gestern im Büro gesehen.,I saw you at the office yesterday. (Formal),Je t'ai vu au bureau hier. (Formel),Sie (Formell),Accusative,Accusatif,,,,,
402,13,Nach dem Spiel hat er _____ seine Meinung gesagt.,mir,Nach dem Spiel hat er mir seine Meinung gesagt.,After the game he told me his opinion.,"Après le match, il m'a donné son avis.",Ich,Dative,Datif,,,,,
403,13,"Der Hund folgt immer _____, wenn ich ihn rufe.",mir,"Der Hund folgt immer mir, wenn ich ihn rufe.",The dog always follows me when I call him.,Le chien me suit toujours quand je l'appelle.,Ich,Dative,Datif,,,,,
404,13,Kann ich _____ später helfen?,dir,Kann ich dir später helfen?,Can I help you later? (Singular),Puis-je vous aider plus tard ? (Singulier),Du,Dative,Datif,,,,,
405,13,Der Lehrer hat _____ eine Frage gestellt.,dir,Der Lehrer hat dir eine Frage gestellt.,The teacher asked you a question. (Singular),Le professeur t'a posé une question. (Singulier),Du,Dative,Datif,,,,,
406,13,Das neue Lied gefällt _____?,dir,Das neue Lied gefällt dir?,Do you like the new song? (Singular),Aimes-tu la nouvelle chanson ? (Singulier),Du,Dative,Datif,,,,,
407,13,Nach dem Spiel hat der Trainer _____ ein Lob ausgesprochen.,ihm,Nach dem Spiel hat der Trainer ihm ein Lob ausgesprochen.,"After the game, the coach praised him.","Après le match, l'entraîneur l'a félicité.",Er,Dative,Datif,,,,,
408,13,"Der Hund folgt immer _____, wenn er ruft.",ihm,"Der Hund folgt immer ihm, wenn er ruft.",The dog always follows him when he calls.,Le chien le suit toujours quand il l'appelle.,Er,Dative,Datif,,,,,
409,13,Kannst du _____ morgen bei der Arbeit helfen?,ihr,Kannst du ihr morgen bei der Arbeit helfen?,Can you help her with her work tomorrow?,Peux-tu l'aider avec son travail demain ?,Sie (Singular),Dative,Datif,,,,,
410,13,Der Lehrer hat _____ eine gute Note gegeben.,ihr,Der Lehrer hat ihr eine gute Note gegeben.,The teacher gave her a good grade.,Le professeur lui a donné une bonne note.,Sie (Singular),Dative,Datif,,,,,
411,13,Das neue Kleid gefällt _____ sehr gut.,ihr,Das neue Kleid gefällt ihr sehr gut.,She really likes the new dress.,Elle aime vraiment la nouvelle robe.,Sie (Singular),Dative,Datif,,,,,
412,13,Nach der Präsentation hat der Chef _____ ein Kompliment gemacht.,ihm,Nach der Präsentation hat der Chef ihm ein Kompliment gemacht.,"After the presentation, the boss complimented it.","Après la présentation, le patron l'a complimenté.",Es,Dative,Datif,,,,,
413,13,"Der Hund folgt immer _____, wenn er ruft.",ihm,"Der Hund folgt immer ihm, wenn er ruft.",The dog always follows it when he calls.,Le chien le suit toujours quand il l'appelle.,Es,Dative,Datif,,,,,
414,13,Kannst du _____ bei der Entscheidung helfen?,uns,Kannst du uns bei der Entscheidung helfen?,Can you help us decide?,Pouvez-vous nous aider à décider ?,Wir,Dative,Datif,,,,,
415,13,Der Lehrer hat _____ die Regeln erklärt.,uns,Der Lehrer hat uns die Regeln erklärt.,The teacher explained the rules to us.,Le professeur nous a expliqué les règles.,Wir,Dative,Datif,,,,,
416,13,Die Idee mit dem Ausflug gefällt _____ sehr gut.,uns,Die Idee mit dem Ausflug gefällt uns sehr gut.,We really like the idea of the trip.,Nous aimons beaucoup l’idée du voyage.,Wir,Dative,Datif,,,,,
417,13,Nach dem Spiel hat der Trainer _____ ein Lob ausgesprochen.,euch,Nach dem Spiel hat der Trainer euch ein Lob ausgesprochen.,"After the game, the coach praised you. (Plural)","Après le match, l'entraîneur vous a félicité. (Pluriel)",Ihr,Dative,Datif,,,,,
418,13,"Der Hund folgt immer _____, wenn ihr ihn ruft.",euch,"Der Hund folgt immer euch, wenn ihr ihn ruft.",The dog always follows you when you call him. (Plural),Le chien vous suit toujours quand vous l'appelez. (Pluriel),Ihr,Dative,Datif,,,,,
419,13,Kann ich _____ bei der Organisation helfen?,ihnen,Kann ich ihnen bei der Organisation helfen?,Can I help them organize?,Puis-je les aider à s’organiser ?,Sie (Plural),Dative,Datif,,,,,
420,13,Der Lehrer hat _____ die neuen Regeln erklärt.,ihnen,Der Lehrer hat ihnen die neuen Regeln erklärt.,The teacher explained the new rules to them.,Le professeur leur a expliqué les nouvelles règles.,Sie (Plural),Dative,Datif,,,,,
421,13,Die Idee mit dem Ausflug gefällt _____ sehr gut.,ihnen,Die Idee mit dem Ausflug gefällt ihnen sehr gut.,They really like the idea of the trip.,Ils aiment vraiment l’idée du voyage.,Sie (Plural),Dative,Datif,,,,,
422,13,Nach dem Meeting hat der Chef _____ ein Kompliment gemacht.,Ihnen,Nach dem Meeting hat der Chef Ihnen ein Kompliment gemacht.,"After the meeting, the boss complimented you. (Formal)","Après la réunion, le patron vous a complimenté. (Formel)",Sie (Formell),Dative,Datif,,,,,
423,13,"Der Hund folgt immer _____, wenn Sie ihn rufen.",Ihnen,"Der Hund folgt immer Ihnen, wenn Sie ihn rufen.",The dog always follows you when you call him. (Formal),Le chien vous suit toujours lorsque vous l'appelez. (Formel),Sie (Formell),Dative,Datif,,,,,
424,13,Ich dusche _____ jeden Morgen.,mich,Ich dusche mich jeden Morgen.,I take a shower every morning.,Je prends une douche tous les matins.,Ich,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
425,13,Heute Abend bade ich _____.,mich,Heute Abend bade ich mich.,I'm going to take a bath tonight.,Ce soir je prends un bain.,Ich,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
426,13,Ziehst du _____ nach dem Sport um?,dich,Ziehst du dich nach dem Sport um?,Do you change your clothes after playing sports?,Changez-vous de vêtements après avoir fait de l’exercice ?,Du,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
427,13,Er duscht _____ jeden Morgen vor der Arbeit.,sich,Er duscht sich jeden Morgen vor der Arbeit.,He showers every morning before work.,Il prend une douche tous les matins avant d'aller travailler.,Er,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
428,13,Er informiert _____ über die neuesten Nachrichten.,sich,Er informiert sich über die neuesten Nachrichten.,He keeps himself informed about the latest news.,Il se tient informé des dernières nouvelles.,Er,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
429,13,"Wir ziehen _____ um, bevor die Gäste kommen.",uns,"Wir ziehen uns um, bevor die Gäste kommen.",We'll change our clothes before the guests arrive.,Nous nous changeons avant l'arrivée des invités.,Wir,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
430,13,Habt ihr _____ nach dem Training geduscht?,euch,Habt ihr euch nach dem Training geduscht?,Did you shower after training?,As-tu pris une douche après l'entraînement ?,Ihr,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
431,13,"Ihr freut _____ auf die Ferien, oder?",euch,"Ihr freut euch auf die Ferien, oder?","You're looking forward to the holidays, aren't you?","Vous attendez les vacances avec impatience, n'est-ce pas ?",Ihr,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
432,13,"Sie ziehen _____ um, bevor sie schlafen gehen.",sich,"Sie ziehen sich um, bevor sie schlafen gehen.",They change their clothes before going to sleep.,Ils changent de vêtements avant d'aller dormir.,Sie (Plural),Reflexive & Accusative,Réfléchi & Accusatif,,,,,
433,13,Haben Sie _____ heute schon geduscht?,sich,Haben Sie sich heute schon geduscht?,Have you taken a shower today?,As-tu pris une douche aujourd'hui ?,Sie (Formell),Reflexive & Accusative,Réfléchi & Accusatif,,,,,
434,13,Freuen Sie _____ auf den bevorstehenden Urlaub?,sich,Freuen Sie sich auf den bevorstehenden Urlaub?,Are you looking forward to your upcoming vacation?,Avez-vous hâte de vos prochaines vacances ?,Sie (Formell),Reflexive & Accusative,Réfléchi & Accusatif,,,,,
435,13,Vor dem Schlafengehen ziehe ich _____ die Schuhe aus.,mir,Vor dem Schlafengehen ziehe ich mir die Schuhe aus.,I take my shoes off before going to bed.,J'enlève mes chaussures avant d'aller me coucher.,Ich,Reflexive & Dative,Réfléchi & Datif,,,,,
436,13,"Du ziehst _____ die Schuhe aus, bevor du ins Haus gehst.",dir,"Du ziehst dir die Schuhe aus, bevor du ins Haus gehst.",You take off your shoes before you go into the house.,Vous enlevez vos chaussures avant d'entrer dans la maison.,Du,Reflexive & Dative,Réfléchi & Datif,,,,,
437,13,Es zieht _____ nach dem Spaziergang etwas Warmes an.,sich,Es zieht sich nach dem Spaziergang etwas Warmes an.,She puts on something warm after the walk.,Il met quelque chose de chaud après la marche.,Er,Reflexive & Dative,Réfléchi & Datif,,,,,
438,13,"Wir ziehen _____ die Jacken aus, wenn wir ankommen.",uns,"Wir ziehen uns die Jacken aus, wenn wir ankommen.",We take off our jackets when we arrive.,Nous enlevons nos vestes à notre arrivée.,Wir,Reflexive & Dative,Réfléchi & Datif,,,,,
439,13,"Zieht ihr _____ die Schuhe aus, bevor ihr reinkommt?",euch,"Zieht ihr euch die Schuhe aus, bevor ihr reinkommt?",Do you take your shoes off before you come in?,Enlevez-vous vos chaussures avant d'entrer ?,Ihr,Reflexive & Dative,Réfléchi & Datif,,,,,
440,13,"Sie ziehen _____ die Jacken aus, bevor sie reinkommen.",sich,"Sie ziehen sich die Jacken aus, bevor sie reinkommen.",They take off their jackets before coming in.,Ils enlèvent leurs vestes avant d'entrer.,Sie (Plural),Reflexive & Dative,Réfléchi & Datif,,,,,
441,13,"Ziehen Sie _____ die Jacke aus, wenn es warm wird.",sich,"Ziehen Sie sich die Jacke aus, wenn es warm wird.",Take off your jacket when it gets warm.,Enlève ta veste quand il fait chaud.,Sie (Formell),Reflexive & Dative,Réfléchi & Datif,,,,,
442,14,Nach dem Sport ziehe ich _____ um.,mich,Nach dem Sport ziehe ich mich um.,I change my clothes after exercising.,"Après avoir fait de l’exercice, je change de vêtements.",Ich,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
443,14,Hast du _____ schon geduscht?,dich,Hast du dich schon geduscht?,Have you already taken a shower?,As-tu déjà pris une douche ?,Du,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
444,14,"Du freust _____ auf die Ferien, oder?",dich,"Du freust dich auf die Ferien, oder?","You're looking forward to the holidays, aren't you?","Vous attendez les vacances avec impatience, n'est-ce pas ?",Du,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
445,14,Sie freut _____ auf den Urlaub am Meer.,sich,Sie freut sich auf den Urlaub am Meer.,She is looking forward to her holiday by the sea.,Elle attend avec impatience ses vacances à la mer.,Sie (Singular),Reflexive & Accusative,Réfléchi & Accusatif,,,,,
446,14,Wir duschen _____ nach dem Sport.,uns,Wir duschen uns nach dem Sport.,We shower after sports.,Nous prenons une douche après l'exercice.,Wir,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
447,14,Wir freuen _____ auf die Reise nach Italien.,uns,Wir freuen uns auf die Reise nach Italien.,We are looking forward to the trip to Italy.,Nous attendons avec impatience le voyage en Italie.,Wir,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
448,14,"Zieht ihr _____ um, bevor ihr ins Bett geht?",euch,"Zieht ihr euch um, bevor ihr ins Bett geht?",Do you change your clothes before going to bed?,Est-ce que tu changes de vêtements avant d’aller au lit ?,Ihr,Reflexive & Accusative,Réfléchi & Accusatif,,,,,
449,14,Sie duschen _____ nach dem Training.,sich,Sie duschen sich nach dem Training.,They shower after training.,Ils prennent une douche après l'entraînement.,Sie (Plural),Reflexive & Accusative,Réfléchi & Accusatif,,,,,
450,14,Sie freuen _____ auf die Ferien.,sich,Sie freuen sich auf die Ferien.,They are looking forward to the holidays.,Ils attendent les vacances avec impatience.,Sie (Plural),Reflexive & Accusative,Réfléchi & Accusatif,,,,,
451,14,"Ziehen Sie _____ um, bevor Sie ausgehen?",sich,"Ziehen Sie sich um, bevor Sie ausgehen?",Do you change your clothes before you go out?,Est-ce que tu changes de vêtements avant de sortir ?,Sie (Formell),Reflexive & Accusative,Réfléchi & Accusatif,,,,,
452,14,Ich wasche _____ die Hände vor dem Essen.,mir,Ich wasche mir die Hände vor dem Essen.,I wash my hands before eating.,Je me lave les mains avant de manger.,Ich,Reflexive & Dative,Réfléchi & Datif,,,,,
453,14,Du wäschst _____ die Hände vor dem Essen.,dir,Du wäschst dir die Hände vor dem Essen.,You wash your hands before eating.,Vous vous lavez les mains avant de manger.,Du,Reflexive & Dative,Réfléchi & Datif,,,,,
454,14,Sie wäscht _____ die Hände vor dem Essen.,sich,Sie wäscht sich die Hände vor dem Essen.,She washes her hands before eating.,Elle se lave les mains avant de manger.,Sie (Singular),Reflexive & Dative,Réfléchi & Datif,,,,,
455,14,Wir waschen _____ die Hände vor dem Essen.,uns,Wir waschen uns die Hände vor dem Essen.,We wash our hands before eating.,Nous nous lavons les mains avant de manger.,Wir,Reflexive & Dative,Réfléchi & Datif,,,,,
456,14,Ihr wascht _____ die Hände vor dem Essen.,euch,Ihr wascht euch die Hände vor dem Essen.,You wash your hands before eating.,Vous vous lavez les mains avant de manger.,Ihr,Reflexive & Dative,Réfléchi & Datif,,,,,
457,14,Sie waschen _____ die Hände vor dem Essen.,sich,Sie waschen sich die Hände vor dem Essen.,They wash their hands before eating.,Ils se lavent les mains avant de manger.,Sie (Plural),Reflexive & Dative,Réfléchi & Datif,,,,,
458,14,Haben Sie _____ die Hände vor dem Essen gewaschen?,sich,Haben Sie sich die Hände vor dem Essen gewaschen?,Did you wash your hands before eating?,Avez-vous lavé vos mains avant de manger ?,Sie (Formell),Reflexive & Dative,Réfléchi & Datif,,,,,
459,14,Nach dem Training hat der Trainer _____ gelobt.,mich,Nach dem Training hat der Trainer mich gelobt.,"After training, the coach praised me.","Après l’entraînement, l’entraîneur m’a félicité.",Ich,Accusative,Accusatif,,,,,
460,14,"Bitte ruf _____ an, wenn du angekommen bist.",mich,"Bitte ruf mich an, wenn du angekommen bist.",Please call me when you arrive.,"S'il vous plaît, appelez-moi quand vous arrivez.",Ich,Accusative,Accusatif,,,,,
461,14,Heute habe ich _____ im Park gesehen.,dich,Heute habe ich dich im Park gesehen.,Today I saw you in the park. (Singular),Aujourd'hui je t'ai vu au parc. (Singulier),Du,Accusative,Accusatif,,,,,
462,14,Kann ich _____ später anrufen?,dich,Kann ich dich später anrufen?,Can I call you later? (Singular),Puis-je t'appeler plus tard ? (Singulier),Du,Accusative,Accusatif,,,,,
463,14,Der Lehrer hat _____ gestern gelobt.,dich,Der Lehrer hat dich gestern gelobt.,The teacher praised you yesterday. (Singular),Le professeur t'a félicité hier. (Singulier),Du,Accusative,Accusatif,,,,,
464,14,Nach dem Spiel habe ich _____ überall gesucht.,ihn,Nach dem Spiel habe ich ihn überall gesucht.,"After the game, I looked for him everywhere.","Après le match, je l'ai cherché partout.",Er,Accusative,Accusatif,,,,,
465,14,Der Hund hat _____ sofort erkannt.,ihn,Der Hund hat ihn sofort erkannt.,The dog recognized him immediately.,Le chien l'a reconnu immédiatement.,Er,Accusative,Accusatif,,,,,
466,14,Heute habe ich _____ im Park getroffen.,sie,Heute habe ich sie im Park getroffen.,Today I met her in the park.,Aujourd'hui je l'ai rencontrée dans le parc.,Sie (Singular),Accusative,Accusatif,,,,,
467,14,Kannst du _____ später anrufen?,sie,Kannst du sie später anrufen?,Can you call her later?,Peux-tu l'appeler plus tard ?,Sie (Singular),Accusative,Accusatif,,,,,
